Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,172633607.76537707,9467755.043360269,236226889.18618494,2711753.782752942,208804181.92391044,0.0
2005-02-01,71604193.54250586,0.0,236238726.7510895,4981072.584164704,80673858.18529649,0.0
2005-03-01,72709435.87075578,0.0,236240936.54463884,23190991.09519216,94766863.96820161,0.0
2005-04-01,56070729.20092562,0.0,236240936.54463884,40798315.71206275,106742243.94864228,646082.0638308711
2005-05-01,17658223.200827293,0.0,231670513.57485968,55607456.81854121,77219942.33208534,1679813.5273939548
2005-06-01,910841.4753720525,0.0,201186586.67124087,109385669.68534115,60305460.58262686,2584328.2553234845
2005-07-01,102899.71425516544,0.0,116687114.16675243,125737111.26864314,4317490.74319817,3359627.0547879096
2005-08-01,285867.7878219366,0.0,85157082.91039506,87761542.30640006,12174669.058802688,2713544.6854710355
2005-09-01,205969.7871793861,0.0,74160374.47713828,70296293.3092,14851892.01402891,1292164.1276617423
2005-10-01,245775.42287049416,0.0,95287247.928434,30423810.83706666,43660772.931031935,646082.0638308711
2005-11-01,4592965.122562297,0.0,178075466.19220072,13677284.683435293,105829950.05370437,0.0
2005-12-01,107417537.58179486,16488829.405229948,234477010.53790116,8219647.577239216,202098029.44374985,0.0
2006-01-01,146670427.40707922,22180865.02744125,236228149.94979274,9504225.943890199,191913453.8574432,0.0
2006-02-01,77992270.66948204,0.0,236239598.69835615,8411908.056164702,90502474.25692919,0.0
2006-03-01,125197176.91751239,6539613.301555357,236240936.54463884,7584551.081184315,148616391.10196587,0.0
2006-04-01,27404714.553243782,0.0,228795142.9113969,33453779.873788238,52405255.36158899,742918.1139697805
2006-05-01,784328.8007385953,0.0,187317305.53498435,78987983.37928626,20037906.785738785,1931587.016421831
2006-06-01,63499.567743229396,0.0,141179240.413653,95303179.36522353,23061490.607916243,2971672.455879122
2006-07-01,403562.8700944566,0.0,112647858.46466693,71474797.71331765,18816603.87505539,3863174.032843662
2006-08-01,199845.06075837405,0.0,90254458.40727454,83355823.1761098,17315165.565073535,3120255.992830951
2006-09-01,3247017.3872562195,0.0,113687139.78578278,56973187.987035304,74094558.68908189,1485836.227939561
2006-10-01,3397839.310402861,0.0,140228995.15350932,31865238.859756857,53896157.03738318,742918.1139697805
2006-11-01,17703474.99465789,0.0,208006019.06902227,10170910.241529413,102069739.08588977,0.0
2006-12-01,38916838.16928128,0.0,223753320.76368117,8770409.360941177,65131055.36162129,0.0
2007-01-01,27063281.345853746,0.0,227780231.74417624,5238183.88124706,37848680.24516518,0.0
2007-02-01,89322319.1512667,168182.69271095924,234487163.4582664,9947604.0707451,116662943.1629768,0.0
2007-03-01,34498406.832231745,0.0,234327319.72572294,27410203.82890196,66065402.52643125,0.0
2007-04-01,4228809.649963323,0.0,220055006.1520428,44867628.72796078,33147724.511238225,599688.231379515
2007-05-01,143098.32792870642,0.0,192874445.18396142,73361922.74069804,36577632.22763479,1559189.5018357658
2007-06-01,320.5373988383935,0.0,162828697.81373945,86681763.3797882,22096787.77034889,2398752.92551806
2007-07-01,0.0,0.0,116111228.91262278,100750121.9169569,18586135.008469347,3118379.0036715316
2007-08-01,0.0,0.0,89588394.83661316,105171206.07549018,25440411.76529765,2518690.586530969
2007-09-01,471781.91448253475,0.0,93850539.91538799,57295126.84508237,43254118.33350378,1199376.46275903
2007-10-01,1760713.5090669699,0.0,118988693.57039186,27574562.98258039,47712057.86105968,599688.231379515
2007-11-01,1692921.8551439159,0.0,137667193.936769,15011223.791301958,28168874.456040565,0.0
2007-12-01,53117128.5289699,306721.40203628043,214149206.4353726,4862312.895819609,143469107.15165597,0.0
2008-01-01,143020675.1080225,14179053.756957887,234684868.58506733,162705.61771764705,194090287.8821575,0.0
2008-02-01,115642547.7238368,528295.6742041409,236237808.54680753,4487390.460376471,130134021.20494625,0.0
2008-03-01,78214091.99387562,980181.4006781231,236240936.5446388,11927860.394682357,95936619.75330399,0.0
2008-04-01,15062310.059484677,0.0,233934930.01856875,29423379.75265883,39144785.17381504,712928.6953245997
2008-05-01,17597442.743367605,0.0,233668761.13134667,47320580.81403138,67892512.80011421,1853614.5274875164
2008-06-01,153605.15551251752,0.0,188654795.20751867,97643408.94390588,25601442.6630292,2851714.781298399
2008-07-01,114085.04803792137,0.0,113045072.82486132,129512704.28629807,3000980.470358595,3707229.054975033
2008-08-01,411529.3598130879,0.0,85220469.30350119,103848656.83952159,42859198.5955963,2994300.4761069445
2008-09-01,6573.894802928527,0.0,69607720.75835371,59041072.31579608,14642832.296238434,1425857.3906491995
2008-10-01,105783.30689152214,0.0,87518666.63435051,31100505.818031363,38116316.87593656,712928.6953245997
2008-11-01,533186.8867937168,0.0,139516143.11897746,13073595.869623529,66506882.56871138,0.0
2008-12-01,67115383.27537198,1841359.8410207601,223198010.21099973,4308927.104180394,166267602.01879528,0.0
2009-01-01,105281326.24228814,1662592.3366048639,234130291.93727314,9573124.996384315,135059753.52481824,0.0
2009-02-01,82015913.94069922,0.0,235496921.26044634,9472884.36704314,98663292.12481883,0.0
2009-03-01,125588727.52820626,8132561.664461873,236240936.5446388,15689087.135192158,157692795.74471945,0.0
2009-04-01,54414738.05379324,0.0,236112940.7335027,36345295.595529415,90697467.63097328,679894.5407094614
2009-05-01,2422929.855971449,0.0,213910340.06637576,70616299.9885961,41034704.41043462,1767725.841562814
2009-06-01,17846504.23822563,0.0,220941791.78343824,89899393.39610979,107256396.2387061,2719578.1628378457
2009-07-01,0.0,0.0,157307791.87602666,108799512.03357647,6294427.167304323,3535451.683125628
2009-08-01,0.0,0.0,129495303.14916953,80391719.16974118,29588841.022743817,2855557.279527854
2009-09-01,0.0,0.0,118436245.92368403,52766862.045725495,19714488.399893593,1359789.0814189229
2009-10-01,3447933.634631279,0.0,167695529.90583843,28374343.284870584,72087916.71323049,679894.5407094614
2009-11-01,4431696.974069352,0.0,187937603.51804876,15868386.02724706,34835092.082535386,0.0
2009-12-01,43671691.113328,0.0,225366996.38710377,5816645.7249176465,93163447.73960334,0.0
2010-01-01,95662528.49386422,325310.4669510988,236022427.7367096,4851555.721325492,120635892.29805045,0.0
2010-02-01,58127633.846074104,0.0,236230798.9356689,7521690.777505884,67963364.63087833,0.0
