Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,130799185.33673663,9380450.926011248,233920242.21668696,8807067.545701962,208804181.92391044,0.0
2005-02-01,66393626.65612807,0.0,236175205.63540465,11505904.45672941,80673858.18529649,0.0
2005-03-01,75846811.0495572,0.0,236240936.5446388,26827001.54870588,94766863.96820161,0.0
2005-04-01,41933917.146218225,0.0,234917129.67506385,77196460.4323451,106742243.94864228,646082.0638308711
2005-05-01,3016699.594429416,0.0,209066397.12926692,124565586.02895688,77219942.33208533,1679813.5273939548
2005-06-01,235322.09948563098,0.0,166758892.49245214,132053884.56642357,60305460.58262685,2584328.2553234845
2005-07-01,213086.27872575368,0.0,88083045.63451275,128744175.98762353,4317490.74319817,3359627.0547879096
2005-08-01,175681.22335134837,0.0,43464335.660487905,115054381.77274512,12174669.058802688,2713544.6854710355
2005-09-01,103128.99367350376,0.0,31111397.963764317,69980565.0059294,14851892.01402891,1292164.1276617423
2005-10-01,0.0,0.0,36106490.746431306,50382332.8459294,43660772.931031935,646082.0638308711
2005-11-01,844161.5563104942,0.0,115959937.38659106,25962658.741294112,105829950.05370437,0.0
2005-12-01,64918399.69095028,13730274.900219005,216714108.65496266,10910755.306423532,202098029.44374985,0.0
2006-01-01,128282323.4473697,21969260.575453877,235630908.66415894,12742803.066282354,191913453.8574432,0.0
2006-02-01,76233886.13176982,0.0,236234279.2402385,14887346.970360788,90502474.25692919,0.0
2006-03-01,119941166.67098498,6178959.439769008,236240936.5446388,26602469.055380393,148616391.10196587,0.0
2006-04-01,24168977.111159746,0.0,219337763.94966918,69772474.3176,52405255.36158899,742918.1139697805
2006-05-01,345596.7617551054,0.0,167104240.31358135,110151801.4459451,20037906.785738785,1931587.016421831
2006-06-01,0.0,0.0,106980997.55415004,124331951.71506667,23061490.607916243,2971672.455879122
2006-07-01,371630.5363732405,0.0,61112519.17605832,115378069.76670589,18816603.87505539,3863174.032843662
2006-08-01,390835.10584072705,0.0,43702163.90520762,94652103.20473726,17315165.565073535,3120255.992830951
2006-09-01,299828.9375148572,0.0,58390575.448532686,77957215.30861962,74094558.68908189,1485836.227939561
2006-10-01,19304.85365554727,0.0,63246058.84128304,61802336.12343529,53896157.03738318,742918.1139697805
2006-11-01,1645397.6129909614,0.0,132456832.32238443,30358782.237607844,102069739.08588977,0.0
2006-12-01,14412829.8184616,0.0,171293250.30726692,13742691.865537258,65131055.36162129,0.0
2007-01-01,14755878.201468434,0.0,184071086.858163,10463169.575231373,37848680.24516517,0.0
