Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,200858976.6287221,608210.636625285,1011148104.9852128,75643914.74479999,359655066.8189999,0.0
2005-02-01,122877150.81200823,0.0,1015413542.6841546,113416388.49599996,240558977.00694957,0.0
2005-03-01,134450598.67366078,385011.0424531671,1000710477.0892849,177529794.1620471,297662338.28329134,0.0
2005-04-01,60891021.71934515,0.0,933444712.4785452,283148289.42257243,269828061.2245145,6945485.306663744
2005-05-01,25550123.669710904,0.0,779638430.5077742,333603764.056047,183889135.54441747,18058262.277954914
2005-06-01,16922575.52532072,0.0,774405992.2522593,281230432.49467456,262640850.6585013,27781941.226654977
2005-07-01,12825608.406129945,0.0,600345490.8701645,242717715.03429025,37884729.24673,36116524.55590983
2005-08-01,14252783.913407037,0.0,567855980.1628948,204908879.08616465,148820683.3459657,29171038.446478717
2005-09-01,3905348.3723904924,0.0,518722897.42908114,155200410.7138197,75925290.73206674,13890970.613327488
2005-10-01,6794630.125305571,0.0,540818919.4168488,171018085.31997636,190427710.7711449,6945485.306663744
2005-11-01,2640554.9624464875,0.0,545298052.3074424,114465792.3873647,119439153.54008433,0.0
2005-12-01,17046493.732955832,0.0,587213045.6704538,75224523.00741175,132376646.4068481,0.0
2006-01-01,54778241.387268975,0.0,687500785.7108184,69110358.30114508,224176339.7287783,0.0
2006-02-01,34541850.96668806,0.0,660375708.3937848,101643167.70919205,107941314.02959721,0.0
2006-03-01,164218202.6893426,2999989.6014256068,765730527.3462104,179120842.33405477,451693853.5772485,0.0
2006-04-01,33378707.184057858,0.0,627506825.1392957,279360403.21010196,163075857.0939238,7535791.5750349
2006-05-01,1731370.9869739674,0.0,432062719.9885714,258233858.2215999,27520538.50786263,19593057.91350221
2006-06-01,9413781.54342981,0.0,297440198.3950289,213953074.0480706,14875925.255656177,30143166.3001396
2006-07-01,20983274.233271863,0.0,355376572.22881216,208666035.60724708,225578026.30469674,39186115.82700442
2006-08-01,18042932.648650505,0.0,350584055.4601318,170755434.6221961,100203875.39832926,31650324.233888965
2006-09-01,5314796.045072599,0.0,346191377.5651943,171237974.27991366,122895281.93955621,15071583.1500698
2006-10-01,14585016.452427521,0.0,486801582.44766176,239301345.63752154,386682560.364397,7535791.5750349
2006-11-01,1652388.1022323063,0.0,434731630.8267969,156278894.72636074,102105595.47592694,0.0
2006-12-01,30177770.85653165,0.0,643642053.6893884,57115651.278721556,296203844.99784523,0.0
2007-01-01,37328754.102123305,0.0,721912992.0735176,49527021.056282334,165126713.54253432,0.0
2007-02-01,75031226.52654153,0.0,779773612.8151407,129825897.06889404,262717744.33705866,0.0
2007-03-01,30812230.355796006,0.0,698443141.6377536,226243762.92002377,174811481.18154505,0.0
2007-04-01,26390823.917059734,0.0,620150387.588013,230436409.76254117,169006041.38129228,6747627.451344744
2007-05-01,3217371.230311596,0.0,441122697.65034693,290383114.6730899,73458476.65421095,17543831.310033973
2007-06-01,3912395.53077166,0.0,335899724.1970544,221777405.95626667,48884766.2147202,26990509.805378977
2007-07-01,14464136.595364684,0.0,333128026.1540632,174641728.04888624,131787678.3524165,35087662.62006795
2007-08-01,13685491.477232115,0.0,340113045.4257939,182440059.60942742,150872570.3711713,28340034.919329464
2007-09-01,7432732.9529221235,0.0,360426099.0603782,158635788.45674503,155369880.6232152,13495254.902689489
2007-10-01,480139.9415757309,0.0,247140759.9677173,245680987.00596872,47769550.373495236,6747627.451344744
2007-11-01,992458.5187831107,0.0,226647302.1985884,116453509.15190594,72514997.7912204,0.0
2007-12-01,47827293.20179451,2894122.8522633947,596381789.9180915,45669218.45614117,466125122.2297024,0.0
2008-01-01,115138418.71539354,915380.9967788983,681868707.6653239,67570580.66047841,269111298.1198828,0.0
2008-02-01,138022110.29358637,0.0,733038173.0580648,108177613.864,297369189.55032766,0.0
2008-03-01,44555216.151659526,0.0,672266085.1090742,167235433.49195287,151018561.69462126,0.0
2008-04-01,11767850.582430098,0.0,532678170.4190863,194486334.79713732,52306501.36576661,6562022.978552294
2008-05-01,9102181.313555134,0.0,484783594.0553632,220713535.24815693,156892049.80969834,17061259.74759887
2008-06-01,7422151.162181844,0.0,430684496.3708252,232875825.28059608,149014905.36918637,26248091.914209176
2008-07-01,16880116.71333782,0.0,411124290.90470207,208751530.9186902,160947852.5542706,34122519.49519774
2008-08-01,13146734.878876077,0.0,374997536.0102717,167788942.69698825,91188909.73266368,27560496.82687824
2008-09-01,3187433.4704464716,0.0,332336246.3712699,140070787.5733882,45638614.34986515,13124045.957104588
2008-10-01,4035191.5251324424,0.0,359675364.4764565,128680971.48351368,146272958.66316906,6562022.978552294
2008-11-01,7233234.265091562,0.0,419878992.6547503,102663483.58087847,169559378.64177808,0.0
2008-12-01,99489995.22576849,0.0,699874484.3650929,49993024.65635291,429478511.5924642,0.0
2009-01-01,193604947.12305066,47300.838136634426,837521556.58247,55305224.05938037,386604544.2379452,0.0
2009-02-01,170900925.01864132,47773.15667750546,871305984.2418153,81442402.13935688,286175527.97402054,0.0
2009-03-01,74089357.2497111,0.0,811959145.3878334,193348459.60909814,208090978.00482726,0.0
2009-04-01,37237078.93262149,0.0,663802129.3285654,305151342.3171057,185779049.14237997,7887058.752874952
2009-05-01,2272187.8304854822,0.0,488405887.45631987,262486894.94703513,62025190.648027405,20506352.998046767
2009-06-01,10005009.477295112,0.0,394012242.0525495,211085674.1538903,83265098.17581727,31548235.011499807
2009-07-01,21578809.88548547,0.0,357604713.78124803,159603127.75667468,79656509.20354639,41012705.996093534
2009-08-01,14688324.043799127,0.0,296742875.93937856,189125750.7023843,33740371.469950326,33125647.377151106
2009-09-01,3983575.927504521,0.0,271039332.299971,146375727.96225098,45579272.21688375,15774117.505749904
2009-10-01,6166378.764617658,0.0,322898002.4917282,88740775.37667455,136343406.3486584,7887058.752874952
2009-11-01,1029444.2683727005,0.0,378804693.2408982,66235206.76156858,122985367.02022067,0.0
2009-12-01,70515982.50577156,337098.34012808936,729065163.157038,49463061.26167057,470576612.02371114,0.0
2010-01-01,144243052.52849275,0.0,875705751.7300055,64805081.26614902,355688722.36760956,0.0
2010-02-01,201500024.53269088,113026.6013029753,932281543.2961948,95885947.34603137,354074790.04621345,0.0
2010-03-01,189121613.15694115,242889.4816001885,918311124.3677784,158760417.14072937,334154500.85085475,0.0
2010-04-01,63133550.68709437,109470.88260836777,838699213.0260715,220770689.60523143,196868861.1018536,7532938.731373241
2010-05-01,11440116.779595204,0.0,696710868.5606456,251909653.56343526,100614409.2062647,19585640.416368693
2010-06-01,10022272.60337661,0.0,544441774.9244621,255451198.59221956,76709107.00718777,30131754.925492965
2010-07-01,18863504.579403725,0.0,473763846.3826337,218494092.3802196,118363948.18938692,39171280.832737386
2010-08-01,14665309.590893162,0.0,401944358.41285455,206487114.08633724,90773048.51124513,31638343.773598455
2010-09-01,3260583.3441559775,0.0,329568557.4646077,134950142.67075294,1087201.5643577415,15065877.462746482
2010-10-01,10042449.448302355,0.0,467992180.944447,142740830.00799203,283558846.3522672,7532938.731373241
2010-11-01,32348573.185813636,181587.5090768168,578040999.4787905,142883994.4136157,285289008.50846624,0.0
2010-12-01,251608976.96619585,55715129.46534955,907595573.4152362,60389109.71181956,697267790.0798109,0.0
2011-01-01,35676921.62410253,0.0,913015166.4782661,51882392.68003922,92978907.36717209,0.0
2011-02-01,215180826.96282494,0.0,974745256.0336968,75584056.84952947,352494973.36778456,0.0
2011-03-01,161588349.73966005,355670.88357384276,940803609.5213593,194662598.2418118,322664972.3527077,0.0
2011-04-01,167167398.85074654,1290482.069961975,937185537.3431188,245254994.50757644,403098396.49433553,6996406.755709054
2011-05-01,126371769.46346296,1492977.138604839,959735786.902304,256311445.50094128,387690601.30213463,18190657.53442943
2011-06-01,5678815.686639156,0.0,698564426.2674079,342438570.705341,54166069.917677596,27985627.022836216
2011-07-01,21944565.396225583,0.0,729884452.4224706,224304003.0097647,238018445.43134162,36381315.06885886
2011-08-01,15683380.1931219,0.0,671820875.2552639,177163904.32871363,101085029.03665543,29384908.960153323
2011-09-01,7558233.172613508,0.0,659234310.2666763,166590172.95629025,141131287.75929514,13992813.511418108
2011-10-01,14987246.227952437,0.0,707177887.9850111,203009003.1844549,257597435.30966017,6996406.755709054
2011-11-01,20299504.464120537,0.0,756970289.9233533,104585521.68242349,173920167.61222515,0.0
2011-12-01,43448154.81335692,0.0,834640572.3306156,52197797.93745881,173316235.15807882,0.0
2012-01-01,98333406.16690756,0.0,876801135.9326949,83854060.98941955,224348030.758406,0.0
2012-02-01,257986927.9349403,0.0,967819258.064327,83333547.25744317,432338597.3240158,0.0
2012-03-01,123928007.20932363,0.0,939225397.8751605,216589530.67069808,311923677.6908554,0.0
2012-04-01,58826090.75020498,0.0,853335180.2404757,236104256.26206276,199492718.81264427,7750276.457758441
2012-05-01,648901.92654767,0.0,673419011.7961409,213025073.39712942,8071959.900805844,20150719.044622768
2012-06-01,6821846.032328306,0.0,511725356.2580366,200538805.2657646,0.0,31001105.831033763
2012-07-01,25208875.426991027,0.0,591539766.7066429,193811671.31894135,252859477.72244534,40301438.089245535
2012-08-01,22115165.896879084,0.0,606217454.6719192,183981838.94823542,177885982.73018143,32551161.239034634
2012-09-01,8194643.539779755,0.0,592456841.2419429,144199660.88589016,103256708.37928817,15500552.915516881
2012-10-01,11787906.285080338,0.0,626862640.3588403,100414056.1635451,135448750.7393054,7750276.457758441
2012-11-01,18145649.282148156,0.0,681814316.3720278,92074855.96212542,164578649.94042313,0.0
2012-12-01,151087264.31087852,274920.0370616023,879563391.4105042,69501581.8159686,418612841.20238554,0.0
2013-01-01,162209793.12854114,0.0,957848617.9952887,31236259.88332547,271731279.5966514,0.0
2013-02-01,140544981.28871217,0.0,979440046.5750868,50405453.92275295,212541863.79126313,0.0
2013-03-01,110211421.40179773,0.0,964756314.3806374,179620529.9567921,275148219.16413957,0.0
2013-04-01,124547264.47178154,0.0,963747284.1571311,205221931.45875287,321286746.5487942,7323242.374978469
2013-05-01,5734975.05077017,0.0,844984211.3748778,213284475.8902667,78061814.18321034,19040429.816513006
2013-06-01,8632048.296204241,0.0,646898346.6878273,224779294.24212548,381318.0835833899,29292969.499913875
2013-07-01,32962734.886002585,0.0,732169395.3284585,180547279.98599997,258727212.35825008,38080859.63302601
2013-08-01,32114484.04104996,0.0,747290347.1010362,207611044.11347467,221518799.0016036,30757617.878020007
2013-09-01,43547913.475704566,0.0,812602908.273745,157938590.1758118,251959788.1533897,14646484.749956938
2013-10-01,8446546.916532584,0.0,749456474.3747215,181331239.0992705,117334104.86865102,7323242.374978469
2013-11-01,41014309.99820844,0.0,853066364.3388861,104531113.88676073,249155313.84913388,0.0
2013-12-01,113338550.89189705,0.0,921878514.7455425,42269147.71704313,224419849.01559657,0.0
2014-01-01,91186204.35003406,0.0,960942894.7455921,53975309.49570196,184225893.84578553,0.0
2014-02-01,124807147.63633148,0.0,955997211.1113291,95109278.424996,214970742.4270648,0.0
2014-03-01,55699832.267128184,0.0,889916887.7768317,172793751.35646275,162413260.2890935,0.0
2014-04-01,44846309.60500128,0.0,838139605.1459688,165465991.1720705,149179322.7697051,7289493.592276733
2014-05-01,17468564.50952337,0.0,832705170.268884,197410580.4784392,187590777.8581258,18952683.33721355
2014-06-01,8258881.9258974185,0.0,668107193.9499828,205588192.3178667,9194296.920078812,29157974.369106933
2014-07-01,22249206.225128222,0.0,674904134.7366911,200819296.89446265,180917776.00832316,37905366.6744271
2014-08-01,27911107.2818804,0.0,717013053.9212956,209198323.97043142,243172683.2236178,30615873.48545306
2014-09-01,76653182.85159913,0.0,820190834.2959738,181735455.9041569,346793581.2952126,14578987.184553467
2014-10-01,218397.75574021784,0.0,694435419.6283765,187051346.36539602,43034781.444060646,7289493.592276733
2014-11-01,1566601.9529065879,0.0,653478672.4833143,116130273.26665884,69280621.01339541,0.0
2014-12-01,30591854.62580959,0.0,811020737.3949997,57845583.92196082,245979503.4594557,0.0
2015-01-01,42040696.6080823,0.0,851742419.0316007,58426243.85852549,141188622.1032086,0.0
2015-02-01,96525457.36562394,0.0,924898311.3620701,104771017.5539608,274452367.2500543,0.0
2015-03-01,58443443.947936796,0.0,903020151.8027636,199502487.0439216,236067771.43255222,0.0
2015-04-01,40419558.4505893,0.0,832067902.613727,202170755.63652536,162077953.6517057,7348292.262127967
2015-05-01,66610195.98337103,1248626.092059077,874360639.6108011,265399268.47342756,354372032.4035979,19105560.871544037
2015-06-01,9165456.39033854,0.0,728999798.7180638,280495076.48462737,102107920.51535937,29393169.048511866
2015-07-01,22353493.23314189,0.0,674794227.5015398,198577866.390894,108002794.03057794,38211121.743088074
2015-08-01,19105605.87215048,0.0,647990433.7641351,158674647.26258823,101957892.9829569,30862827.344526377
