Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,241284464.64943746,1590786.200728099,1005601060.4194076,23257330.364164706,330565455.98667395,0.0
2005-02-01,160497793.87238076,26574.745727101086,1018476778.91858,67905577.64749016,241305664.7647705,0.0
2005-03-01,174785083.85238543,767260.1226076233,1018967185.9368681,124214311.80345877,300257062.7967401,0.0
2005-04-01,86712628.18002419,92671.82924970919,996648208.4572709,195411877.06934118,252952714.2923538,6945485.306663744
2005-05-01,35568888.9689593,0.0,948170774.2941982,201326344.89764705,170359537.42557925,18058262.277954914
2005-06-01,81018514.93400161,0.0,947481728.8260217,181667297.49928632,232843182.19516516,27781941.226654977
2005-07-01,10105917.810025347,0.0,778770989.606859,234660466.8345647,30764119.76070631,36116524.55590983
2005-08-01,20186063.436996777,0.0,721111427.5078769,238326289.34229004,154431335.83279505,29171038.446478717
2005-09-01,11276301.331779007,0.0,681703134.5620372,130076187.2095137,63254128.244226076,13890970.613327488
2005-10-01,39863980.70375149,0.0,744356874.3905146,101662685.99988237,196266218.29413098,6945485.306663744
2005-11-01,17797461.8431428,0.0,780644417.8583951,64856045.407858804,116797499.38842963,0.0
2005-12-01,59187713.03349863,0.0,849877118.9927071,28766228.363701962,157186642.53151238,0.0
2006-01-01,115899147.197187,0.0,926639656.3278786,28065573.15953726,220727257.69189584,0.0
2006-02-01,58164169.19120776,0.0,932810664.4966297,43461294.81079999,107770995.41929537,0.0
2006-03-01,293088681.74846977,3397867.5127020455,992225587.5993919,87940881.93323132,443842354.2971656,0.0
2006-04-01,43919602.338040486,0.0,917259973.8914369,190347453.9149804,151361694.75066173,7535791.5750349
2006-05-01,6028488.680855016,0.0,784766911.4030443,181546972.1134431,31379732.819538355,19593057.91350221
2006-06-01,8769449.767734388,0.0,638558046.5107859,223854765.9011294,20090828.89703633,30143166.3001396
2006-07-01,42390641.960650064,0.0,645724230.2233299,252645920.27410978,224454916.8287266,39186115.82700442
2006-08-01,16888336.318541396,0.0,599475180.7608454,224101568.638,76209204.87240256,31650324.233888965
2006-09-01,23528412.27438441,0.0,623039489.4903138,126817377.33975692,143118686.7462565,15071583.1500698
2006-10-01,139955982.52604383,0.0,782264476.5990262,111433512.26589787,403078690.3256191,7535791.5750349
2006-11-01,18977610.842109706,0.0,809776069.8082925,57009361.62446276,103285542.08738142,0.0
2006-12-01,164582491.3672817,0.0,930500039.3945743,17280935.978462737,302587396.9320256,0.0
2007-01-01,106655483.22007741,0.0,964232944.3768061,15388917.475921562,155777305.67823118,0.0
2007-02-01,179186128.5825131,0.0,999720288.5893977,51575111.115207836,266248583.91031265,0.0
2007-03-01,79567226.44312465,0.0,979980281.04235,118086485.98526266,177913704.88133937,0.0
2007-04-01,27724565.287856266,0.0,906853853.3044631,209199883.69509804,156248973.6918729,6747627.451344744
2007-05-01,5384177.669197657,0.0,793763567.2676373,209546902.8679922,79505136.46996878,17543831.310033973
2007-06-01,7946217.415974833,0.0,705672450.1949186,174338067.9774589,46273802.63599575,26990509.805378977
2007-07-01,24569605.632164,0.0,699748307.7791523,209866101.9169725,169822316.28737766,35087662.62006795
2007-08-01,21424033.08616162,0.0,665739142.2973281,222616194.5129648,135198842.56078228,28340034.919329464
2007-09-01,31163147.906225547,0.0,680347245.7322661,152627659.51871377,163258963.89077467,13495254.902689489
2007-10-01,4461613.527291227,0.0,656932413.3683,100088097.70842355,41306643.99768009,6747627.451344744
2007-11-01,16145622.455309851,0.0,693317573.5587462,52612446.34048625,103320545.10500622,0.0
2007-12-01,189062328.39910868,5082772.040303821,904203140.7037109,23643339.340658817,428674006.92503625,0.0
2008-01-01,165366815.08899,1749684.5320214678,957166874.1818635,30847683.73454116,250927916.83370516,0.0
2008-02-01,245214414.85354573,124990.38568269463,1000299159.3952113,26546960.22224313,315018650.6748194,0.0
2008-03-01,82374916.01924077,0.0,985255720.1450796,84305970.48036078,151637447.2494699,0.0
2008-04-01,14646596.825336812,0.0,919370781.4306005,103749123.5767843,45948758.709090285,6562022.978552294
2008-05-01,31112431.875180513,0.0,890894565.6029778,151879158.52032158,136746603.66342083,17061259.74759887
2008-06-01,51129884.82005834,0.0,847618139.6644251,156832381.97351384,129743273.35243885,26248091.914209176
2008-07-01,26148903.59569002,0.0,766173372.8011255,229948484.53098828,118968701.14031678,34122519.49519774
2008-08-01,12776273.454025269,0.0,694916202.2430354,210506187.45861173,82470987.75414445,27560496.82687824
2008-09-01,3790490.473632718,0.0,652587871.8659033,114247930.03854904,24024524.439904705,13124045.957104588
2008-10-01,23860766.519753557,0.0,687702463.1393359,91914694.33164705,137395667.11197588,6562022.978552294
2008-11-01,35756799.4266816,0.0,741903823.7681007,50262246.13901959,138635372.6572195,0.0
2008-12-01,227061180.11683664,351947.18058802094,939581977.2586625,27210879.759827442,452302160.54781437,0.0
2009-01-01,295433017.99008507,393019.3709964256,1019566335.5505501,28774637.096313722,404585032.74928266,0.0
2009-02-01,244407796.43711674,4605312.73254679,1031275979.1780349,39985898.41621958,300708651.21336776,0.0
2009-03-01,83246431.34083183,187510.39662828084,995891348.6385651,149942776.95629022,197992088.15428093,0.0
2009-04-01,71492230.30972318,0.0,984169246.9032271,163015251.50374106,214898321.32525188,7887058.752874952
2009-05-01,6697239.6996508045,0.0,907358745.2790234,156642324.53901982,64639100.70384112,20506352.998046767
2009-06-01,16666480.929897415,0.0,826528310.0812461,175292742.55993745,75282952.95990878,31548235.011499807
2009-07-01,16813672.385742825,0.0,703108210.1299535,248367187.43018827,66767666.74727075,41012705.996093534
2009-08-01,11173815.79404369,0.0,641322351.5519673,157167274.0607372,23375772.48229067,33125647.377151106
2009-09-01,4663630.17578458,0.0,618357218.9426084,122993474.68690975,52217550.74295891,15774117.505749904
2009-10-01,10125098.033446768,0.0,647387961.3751646,94678379.55827452,119338301.43545903,7887058.752874952
2009-11-01,15638401.172397893,0.0,694686104.7273513,62180654.82272158,123921343.24751815,0.0
2009-12-01,254947843.33698425,311370.7306195654,950924533.0661205,22622014.307733335,534119656.7141059,0.0
2010-01-01,272884359.458071,0.0,1021836693.7185154,29494239.073780388,373290759.18424594,0.0
2010-02-01,359069855.961875,337586.24814025714,1045992985.9169168,29792493.24309803,413356227.6515152,0.0
2010-03-01,334507058.81474364,663367.8810489277,1049583769.8397185,94773842.48818037,433535053.10677457,0.0
2010-04-01,143367463.27964887,180078.0112475361,1034961849.718422,172009072.51105887,293401754.94928604,7532938.731373241
2010-05-01,23684056.05335205,0.0,957776156.8602177,201362526.78957638,128275249.5683547,19585640.416368693
2010-06-01,19658856.015661713,0.0,855461100.8074076,207340612.3576628,93352896.9257988,30131754.925492965
2010-07-01,31605098.000830613,0.0,794790327.5891587,219505446.74456468,138985018.1847322,39171280.832737386
2010-08-01,15192763.577864217,0.0,703916898.6247663,254921877.51492554,117474746.56079389,31638343.773598455
2010-09-01,1990083.0430879726,0.0,641574224.4679877,117518185.34496468,3794471.654851351,15065877.462746482
2010-10-01,76259354.60203001,0.0,824944574.9397234,91091833.74685493,343188600.0892474,7532938.731373241
2010-11-01,161572792.75216743,568945.1629523177,946357446.4112581,69556818.77504313,353111428.16169775,0.0
2010-12-01,640454264.0126221,64174364.20575585,1041319466.8320938,40844630.01021176,840435278.6494259,0.0
2011-01-01,71187084.51333109,0.0,1042034279.1259558,6879993.7733333325,78781890.58052649,0.0
2011-02-01,263186029.64090368,0.0,1047082763.9813023,53814764.15632155,322049278.6525718,0.0
2011-03-01,180742123.77091855,509493.24025468004,1035912762.9747494,131743762.56397648,301825378.56859684,0.0
2011-04-01,228746423.31442407,2339816.4840220627,1041925330.7148997,198134313.20901164,428236713.99189943,6996406.755709054
2011-05-01,191797369.39072004,423709.90855078254,1043246036.3506457,244244451.04780403,419595578.44839096,18190657.53442943
2011-06-01,10541100.143376647,0.0,900831129.3298308,223830098.23047844,63489756.789822094,27985627.022836216
2011-07-01,65579779.07268792,0.0,900204087.0084294,190457310.65839994,214306996.7005051,36381315.06885886
2011-08-01,26981890.117014144,0.0,832051835.491409,206870596.0302745,117492063.15165581,29384908.960153323
2011-09-01,47892500.91396463,0.0,836259309.5262533,127077378.20019612,159817050.4906621,13992813.511418108
2011-10-01,84520538.77617767,0.0,910332574.5201982,102033039.01581962,253285297.9537179,6996406.755709054
2011-11-01,81465771.0743082,0.0,961742614.9100109,45752225.43178045,178020945.6484892,0.0
2011-12-01,94618769.9891152,0.0,992319575.5452771,25411112.29539606,150606842.9197776,0.0
2012-01-01,163188267.5201969,0.0,1015347515.4664154,28700223.713592157,214916431.15492725,0.0
