Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,206541257.0199799,13080218.690539565,1492952082.9970202,72837825.22414787,499596603.41656953,0
2005-02-01,160078572.70063025,9955.678186121791,1518005033.8188696,90405896.27787063,277028670.34838486,0
2005-03-01,209694803.33900267,7396452.618199388,1447093476.4281082,195338510.78631276,343369787.3278634,0
2005-04-01,82750365.71330531,1896700.203354065,1329144604.4693637,302040303.8683137,267099502.51315117,0
2005-05-01,52460916.62904605,16995885.9367216,1269573295.0762668,440266782.0915334,441710545.7221716,0
2005-06-01,4992024.627803576,4026.363031758455,1013337582.5447271,391281108.06101716,108048278.61133261,0
2005-07-01,88627.35052951687,0.0,814169139.1445589,317015891.38907015,78950451.04909123,0
2005-08-01,6709.9890056162985,0.0,670744957.4466666,265424696.7936991,68974177.44982745,0
2005-09-01,332489.46334000735,0.0,587940085.8527255,209484324.1618255,77826891.13860075,0
2005-10-01,1492023.346642281,0.0,569973177.103989,170363283.15179175,135402510.2018513,0
2005-11-01,39822846.925174125,2624247.208386801,724247066.9145542,127323452.55110636,320522581.27256304,0
2005-12-01,153983938.34096062,22867092.38584031,1007171934.1211561,54136311.721218646,517989087.58048743,0
2006-01-01,232184478.03218022,6865140.82972526,1132369590.3710852,35080158.37389739,403128573.00074977,0
2006-02-01,161393754.5885262,1181817.6490261622,1156554328.9910212,91069733.26630536,279407833.8053144,0
2006-03-01,215516350.75868487,13710484.721055552,1109872565.7847185,159294922.35928476,342652417.2651137,0
2006-04-01,68835646.01477364,5645473.980472148,897407749.5348865,319021989.7579625,162089620.61390513,0
2006-05-01,6134380.901135744,316549.5733020417,673063246.1636082,345410772.73952943,83464381.46346568,0
2006-06-01,0.0,0.0,496605083.9035426,339098464.09605455,110583847.2918623,0
2006-07-01,0.0,0.0,356908089.2147246,317610961.9527223,92267073.27358827,0
2006-08-01,0.0,0.0,311311342.7895208,229896807.8062352,103821837.89035645,0
2006-09-01,715113.7037509528,0.0,395836779.1733118,190230598.65006736,264396971.7423438,0
2006-10-01,16203319.803123862,28922.08796672375,593975929.8448304,215747343.9593246,430321379.23655725,0
2006-11-01,66269063.06767373,4017802.11003771,711669041.6013684,154127385.99380144,341874924.5089329,0
2006-12-01,80158081.17627132,0.0,908144781.9020013,92853380.0917197,371234926.492547,0
2007-01-01,94290389.03537723,0.0,1025435453.6290814,54437310.312899716,266876965.06699768,0
2007-02-01,141279506.85395244,288804.8551080912,1061601884.913441,111118193.23765427,290792298.0132837,0
2007-03-01,120879387.22337976,0.0,1049158975.6931808,265609751.38219225,374038537.7582236,0
2007-04-01,54277285.62899466,0.0,838921284.0837773,321661250.98130685,137629775.7267582,0
2007-05-01,11912331.751350582,0.0,787096430.4731134,338720635.3249598,285169442.46448,0
