Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,358783550.46376014,12567265.723178362,1504813989.4641438,47322509.25279153,499596603.41656953,0
2005-02-01,213522795.07064807,22013.908401749624,1547457675.1146607,19232772.925686505,277028670.34838486,0
2005-03-01,286004050.1401023,8319862.106431882,1555679282.7327824,38489103.33712434,343369787.3278634,0
2005-04-01,187961696.4002219,2396024.400410254,1543184621.1132154,88547532.02168636,267099502.51315117,0
2005-05-01,224638710.7442653,19299141.606496997,1505451601.9780793,241057775.75784823,441710545.7221716,0
2005-06-01,32034513.99995827,16033.850453304822,1328032349.8950233,299774499.5087055,108048278.61133261,0
2005-07-01,24976722.70965724,0.0,1144416438.9374683,314123222.1240699,78950451.04909123,0
2005-08-01,27163875.952452376,0.0,1025691974.1754221,257064576.10284933,68974177.44982745,0
2005-09-01,26004669.68949049,0.0,988862493.1487325,155806015.8602201,77826891.13860075,0
2005-10-01,52808076.50968296,0.0,1001748339.364587,87721132.7559458,135402510.2018513,0
2005-11-01,91471961.9631734,790537.2576320154,1173134185.211621,58449673.27804397,320522581.27256304,0
2005-12-01,261132911.6102445,23928929.59534984,1374713594.959484,27179404.969394874,517989087.58048743,0
2006-01-01,290660576.9568953,5606182.546447867,1456472733.4307737,21305657.64929098,403128573.00074977,0
2006-02-01,212020349.21048823,773429.3261402212,1488978967.926506,32356029.419027705,279407833.8053144,0
2006-03-01,272464097.55362296,13720164.765179249,1509908876.479652,33419498.09887407,342652417.2651137,0
2006-04-01,117105708.20918371,6670831.505015026,1478609399.051115,72014998.61274137,162089620.61390513,0
2006-05-01,37011324.03276076,403275.510892973,1391994655.857452,149291209.81146577,83464381.46346568,0
2006-06-01,47377385.563187465,0.0,1235330896.914461,270335419.7128678,110583847.2918623,0
2006-07-01,30301108.895169083,0.0,1109378595.4424913,273136174.77326894,92267073.27358827,0
2006-08-01,39439337.513403535,0.0,1013702448.0139267,261214645.60252154,103821837.89035645,0
2006-09-01,87597050.349542,181.6944314807582,1023753967.2564846,202388171.37626165,264396971.7423438,0
2006-10-01,181374687.42068687,47408.23973224206,1114271381.0208123,158512479.35195792,430321379.23655725,0
2006-11-01,142245575.72736713,4533956.332760067,1247965935.873045,60119443.899937145,341874924.5089329,0
2006-12-01,205084435.69865358,0.0,1375851072.6845093,36507162.50114731,371234926.492547,0
2007-01-01,179278073.68676928,0.0,1446393399.3499246,16211806.749941612,266876965.06699768,0
2007-02-01,206933678.6618163,406051.21967057255,1509726274.0907698,18084408.892284833,290792298.0132837,0
2007-03-01,287231176.0092806,0.0,1543666303.2947707,51312886.75913631,374038537.7582236,0
2007-04-01,88935114.52459946,0.0,1504158092.2151442,87514424.49939151,137629775.7267582,0
2007-05-01,141195065.64360502,0.0,1427980075.0640996,227736553.50353816,285169442.46448,0
2007-06-01,8475532.129394973,0.0,1243597263.4941497,274201679.1873497,41815325.48175828,0
2007-07-01,35089211.65487739,0.0,1113278226.1206594,270441327.5708092,93582365.88003062,0
2007-08-01,116673451.56545526,0.0,1053662219.5654836,274202462.70949507,245558474.60411495,0
2007-09-01,131035560.62100461,0.0,1066704981.2340215,197457295.47910565,304988788.0339437,0
2007-10-01,142475258.1953132,54005.89289009542,1127307488.310612,140379223.17148823,335738282.2139329,0
2007-11-01,29127585.027909253,0.0,1132201335.149937,45446761.99343435,73602672.62110429,0
2007-12-01,279104831.1814273,9484308.578515215,1332389110.4402661,16448863.163995545,507656375.4898817,0
2008-01-01,366522984.1862078,19528446.59717886,1500179471.5010605,2545645.5437181364,559584836.8801255,0
2008-02-01,413769879.5796637,4869267.150583435,1570859276.8383656,8576967.361718139,500529579.95424306,0
2008-03-01,334461724.1720664,177524.76357700102,1603216262.364575,11830785.60058185,381707259.1288703,0
2008-04-01,111345560.84716883,0.0,1597089624.1878982,31367970.644695394,137386543.39074484,0
2008-05-01,147715471.9375802,0.0,1571360335.319285,153489323.01321462,276661887.4232504,0
2008-06-01,46678289.6063747,0.0,1388386076.9673495,261322793.6656386,119644875.75300919,0
2008-07-01,45208889.45739895,0.0,1201488174.7322037,315263091.57447237,124102223.11715661,0
2008-08-01,82506676.32935102,0.0,1114295157.6019566,244533814.81044984,175139941.12113556,0
2008-09-01,88645909.23999663,0.0,1066721848.20043,200943163.76503316,193999057.28728193,0
2008-10-01,130078120.14583577,0.0,1112064757.5623765,118609417.52445883,288439640.64044327,0
2008-11-01,70190614.8206686,6468.059876163399,1178462545.9997118,63439903.05028392,196492176.9404029,0
2008-12-01,168848286.9941701,4788218.3391870735,1337307807.3845294,28203761.156831216,363501223.1765972,0
2009-01-01,290688656.5769347,3051822.901381643,1462103616.568798,28449064.07161222,449573277.81536126,0
2009-02-01,195727651.07119116,157833.35831620477,1495184551.8769345,28026045.700862266,258724537.9234311,0
2009-03-01,367654833.38769907,1388723.9355413613,1530448028.1281323,38963917.782076985,446144307.34111476,0
2009-04-01,473304688.9842622,13333593.49143387,1550459270.0513625,116714869.07389691,625580560.4088455,0
2009-05-01,91736374.51708357,0.0,1491251885.256996,170302640.02851614,194911483.3575953,0
2009-06-01,278736928.63399476,0.0,1446068294.2135959,383894853.20314306,605116240.7356774,0
2009-07-01,46690299.968084656,0.0,1251470250.019361,317063397.7954402,104315462.49060336,0
2009-08-01,48504483.59531265,0.0,1138385093.7689052,252480349.38082755,119632919.49309732,0
2009-09-01,86011601.68310614,0.0,1124053456.4984813,170578239.66566062,201569483.51585078,0
2009-10-01,106708049.66969988,32691.91993983994,1191688454.4709094,135804978.62093252,301610971.2302413,0
2009-11-01,48451627.177340105,0.0,1226334712.2842336,39369899.84791781,119290611.82204,0
2009-12-01,162313699.02183288,48331.692643701615,1363549099.3967884,28962051.358496685,329864911.7728913,0
2010-01-01,122365792.44587225,365424.189504124,1424433994.8436174,4997280.816921321,190507988.3653648,0
2010-02-01,164099359.90181762,0.0,1468045972.536993,14193079.749319103,223022726.36468118,0
2010-03-01,310428556.2832602,353003.3039630105,1532524782.9366426,20083089.82122549,396791867.78970295,0
2010-04-01,462646872.21461445,18859740.817560893,1566834558.062624,66321233.9241589,584137411.059025,0
2010-05-01,227656510.7556297,161777.51825871467,1556343796.8752494,132207386.5794559,351595723.24848706,0
2010-06-01,129816224.06646658,0.0,1443160729.2498865,291937882.8608555,298773037.6431457,0
2010-07-01,40785661.58643765,0.0,1279724101.6604319,292562130.7568439,109499809.39128399,0
2010-08-01,45319141.14197134,0.0,1183037430.47503,264567337.9214199,147856408.68106422,0
2010-09-01,13357990.551969875,0.0,1132559479.902284,135801299.23227438,35226186.76501148,0
2010-10-01,118084122.02206632,856961.7802580518,1233815402.308785,107494148.45815583,325618064.12014264,0
2010-11-01,222393142.83806038,15036093.19253022,1412726107.5525684,43297478.11651752,462991958.9866319,0
2010-12-01,772713856.7765894,51476252.58800389,1570346770.9749537,12254166.554423258,998324704.0972193,0
2011-01-01,308453633.4147364,617733.0725285576,1595120768.5582843,14363274.649796562,350718660.9315866,0
2011-02-01,381705271.32935125,7292597.714022509,1622703216.9880462,21485453.10992671,440054175.7987293,0
2011-03-01,440534510.2357545,12392596.52336376,1646642208.624249,21297580.42520449,501138194.71828747,0
2011-04-01,485816530.31607354,42788291.95722272,1672512248.344647,36109336.31257764,594039047.8197955,0
2011-05-01,582582544.2406521,11943837.632350931,1686402495.3235202,158571369.2479888,768766900.9698507,0
2011-06-01,32792781.064936128,0.0,1496513951.5733123,234193407.39862707,76321340.82532495,0
2011-07-01,107309350.37279505,0.0,1261597063.6736836,371881086.1305875,236933040.87008086,0
2011-08-01,35482010.61214679,0.0,1076348283.5523162,324201755.1044217,125015264.80389595,0
2011-09-01,38408165.52393755,0.0,1009076948.5565658,196916183.43756762,105622183.88060527,0
2011-10-01,150092207.40070924,122056.45245345526,1110413332.9528496,139231303.01269042,387075545.1286864,0
2011-11-01,230527508.26923883,118832.60396380183,1295135659.3366282,84359184.4196445,501594892.0236788,0
2011-12-01,126518427.11106725,0.0,1398382040.3458529,10261025.287033314,241026397.72084343,0
2012-01-01,246726444.3857071,966064.3159532257,1510393610.0268064,17188311.788826257,380454374.58702374,0
2012-02-01,335908482.45949274,1526248.5530222196,1566763953.0999122,16061924.393438488,411972223.1297106,0
2012-03-01,180194370.0508716,201319.39563131164,1577638049.0168815,14059070.379472079,206476167.3189845,0
2012-04-01,144025001.97794884,7258.69122026597,1563765731.986117,83271166.8683842,214386209.2659326,0
2012-05-01,15709120.585491372,0.0,1460426409.46541,158199741.06148797,69593301.1736247,0
