Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,117664292.45298256,0.0,324484527.804232,6993103.219457089,133773139.89361438,0.0
2005-02-01,68688819.64689682,0.0,325346494.1510311,7284653.437022529,78642974.3084031,0.0
2005-03-01,70983621.86788744,0.0,325712803.5977039,8925614.44889948,82570397.93522812,0.0
2005-04-01,59998671.65792332,0.0,325897298.62215155,26031585.02846173,80838659.44181125,6272141.683285962
2005-05-01,53786636.34602168,0.0,325730076.1760753,48369740.03418662,87068585.8359079,16307567.963307569
2005-06-01,12436432.462864932,0.0,306351570.5767454,88739903.55815011,56609083.509849526,25088566.733143847
2005-07-01,8228102.289985482,0.0,236877388.50988996,99524185.05624634,4105598.808295426,32615135.926615138
2005-08-01,9969520.103414824,0.0,198441246.52614388,64191396.387711406,7787995.136772831,26342994.94819867
2005-09-01,4497496.97708605,0.0,179028282.2245583,38745324.64209189,7072237.232073315,12544283.366571924
2005-10-01,5805110.935265635,0.0,189902238.1948748,19213686.98793332,29841720.827895485,6272141.683285962
2005-11-01,12013516.286725437,0.0,256379500.69901338,9959290.691315176,91023508.04508717,0.0
2005-12-01,95721662.89118715,0.0,320345053.44436854,7064858.598326683,171535205.07309517,0.0
2006-01-01,133101712.6195563,112001.50229687784,324618799.0201184,9995733.899922052,151853667.81974036,0.0
2006-02-01,60594925.99125872,0.0,325384971.78300565,11420880.400842886,74570265.62686616,0.0
2006-03-01,79147111.12275086,0.0,325694688.79749244,5799068.293886,87809881.73617814,0.0
2006-04-01,13945292.332523009,0.0,324411892.17868555,22138170.27160658,28251889.225406963,6855519.367166643
2006-05-01,8027232.253486728,0.0,297866986.02338177,51777389.24796516,14766339.586450273,17824350.032011423
2006-06-01,8966893.589400906,0.0,251874708.53529063,80114318.05729242,14298442.53144021,27422077.468666572
2006-07-01,14403094.910272915,0.0,209780307.78345495,75325287.29870749,9345902.190297563,35648700.06402285
2006-08-01,13372224.19459207,0.0,188767218.5848109,57558665.8285154,12680754.087459471,28793180.899736833
2006-09-01,13501802.575928189,0.0,210243320.0687857,31023540.06542497,52457532.55785932,13711038.734333286
2006-10-01,12208030.870107885,0.0,233684579.81109598,19365079.09389706,49190749.507887974,6855519.367166643
2006-11-01,19831281.77743667,0.0,277683176.9066002,19468365.792629622,85858851.10623135,0.0
2006-12-01,27275868.452652395,0.0,302522662.48749244,7207839.986135272,61384209.309617855,0.0
2007-01-01,19944111.404280066,0.0,311947107.54848534,4964968.589444086,35359250.80869835,0.0
2007-02-01,73307748.55069336,0.0,322287822.8901734,9178270.322166167,95652636.87331991,0.0
2007-03-01,43211473.60571948,0.0,323288646.8196226,15419951.607461775,61084088.97553573,0.0
2007-04-01,6345195.628712911,0.0,316709974.4392563,29154602.743904926,21900737.237437405,7190306.653961538
2007-05-01,8777612.37117793,0.0,295176966.62191623,64598016.87040754,32858479.842554983,18694797.623635016
2007-06-01,10231010.630361104,0.0,247255213.6905912,84118077.61617012,16231849.750240393,28761226.615846153
2007-07-01,18236837.7681272,0.0,213765716.96058166,69592881.7663916,14223545.753582234,37389595.24727003
2007-08-01,16791574.83818398,0.0,196309431.870136,56437299.45465638,18963903.2457686,30199288.69483857
2007-09-01,11614179.306614438,0.0,206073083.04509357,33502204.12578803,39319335.132789105,14380613.307923077
2007-10-01,10875560.766063182,0.0,224983371.21075624,20780514.54511978,44313576.59656035,7190306.653961538
2007-11-01,1349175.6428013218,0.0,226470640.05954933,14038758.273009796,16869198.916011546,0.0
2007-12-01,39425171.983317725,0.0,289401073.90506935,4182246.6620940985,109633960.44902591,0.0
2008-01-01,115577175.29351187,0.0,321886959.6592902,3451098.2637174027,155558888.04309034,0.0
2008-02-01,101693116.57901593,0.0,324146762.10013044,3812780.9788176385,111143178.05093156,0.0
2008-03-01,77301392.36723278,0.0,324754034.69666183,5275450.4709649235,85797033.53732337,0.0
2008-04-01,22911915.21334753,0.0,324810462.5480485,15184048.776379194,32357088.89237959,6418165.4679751685
2008-05-01,52468596.3554216,0.0,324770262.5975433,35694934.6452101,72718737.7276422,16687230.152748369
2008-06-01,9435345.33709719,0.0,286479072.15380776,82357978.12900855,27048148.906789392,25672661.871900674
2008-07-01,9362386.621898996,0.0,219079589.7265128,94698608.61085019,1357458.2175013043,33374460.305496737
2008-08-01,12629182.588446423,0.0,196034948.5721848,65695278.32732111,24674099.656803004,26956294.794126626
2008-09-01,7339990.987490828,0.0,191475487.79829392,33743042.708476216,20244682.005467866,12836330.935950337
2008-10-01,9019122.303110236,0.0,210545739.65377688,19287362.075696826,41638132.38232803,6418165.4679751685
2008-11-01,7403861.682727753,0.0,241572007.1134842,8629587.012204872,48574111.74497201,0.0
2008-12-01,57819563.410112955,0.0,310172558.0314686,3920802.1495610154,134201544.6104425,0.0
2009-01-01,109476230.9583539,0.0,323566559.27796894,9181165.668437753,135452544.79022497,0.0
2009-02-01,75165669.84085865,0.0,324727844.8704923,9550518.592003414,87915736.67961757,0.0
2009-03-01,115172164.89453797,0.0,325497676.2714542,8674174.95294776,127989516.27543727,0.0
2009-04-01,67410548.34199072,0.0,325651876.7242974,20784298.799521063,84159938.03892091,5918708.715488361
2009-05-01,22205293.33870216,0.0,321503632.4427035,47635732.36116859,50746774.356908955,15388642.585589569
2009-06-01,65043359.22259776,0.0,325375124.6937941,70456523.224698,117463671.50051604,23674834.861953445
2009-07-01,8275817.707869903,0.0,259850944.70007023,92244921.56061293,2566925.782740632,30777285.171179138
