Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,11123678.59003987,0,40223916.788937375,8515307.820127452,28399515.811433025,0
2005-02-01,9232773.72374461,0,42847618.19040617,10988759.998485286,23121049.202566717,0
2005-03-01,117259.02418572901,0,35719004.67719871,14133562.743184559,6520937.0908962125,0
2005-04-01,141340.9707682184,0,30422351.618162423,15151005.12869412,8650332.91998998,0
2005-05-01,25001.713943853527,0,25337988.965526644,13500956.39594656,5132026.862383186,0
2005-06-01,27002.107617694848,0,22753925.255701903,9270828.897412004,2560868.1601837478,0
2005-07-01,32762.27855602932,0,19144640.060228463,14376620.35160319,5284887.781958378,0
2005-08-01,881784.5166110997,0,24005823.2690543,13418562.407913508,18173943.97616565,0
2005-09-01,2584433.9238144946,0,28298337.55865112,9001021.107082106,15320939.640350292,0
2005-10-01,557650.9167840481,0,27147735.130120534,11774125.370529408,9446644.071396925,0
2005-11-01,841.2411552444596,0,24252938.416189924,6592025.826861275,1135907.4483554836,0
2005-12-01,0.0,0,21295849.568702728,5508016.560726223,0.0,0
2006-01-01,16151.70954835525,0,20304040.57267028,8256491.230348532,5154022.890230018,0
2006-02-01,0.0,0,16169596.532006288,9297742.808520338,0.0,0
2006-03-01,343508.59787595284,0,20649480.991491783,11811006.036463246,15503205.661492888,0
2006-04-01,0.0,0,15676058.562200928,14100579.456841417,1506173.9192583747,0
2006-05-01,0.0,0,12180953.467043221,14016929.234124016,875256.8799101647,0
2006-06-01,0.0,0,11739336.061896088,9180919.219985794,3000796.232196106,0
2006-07-01,254354.74186537522,0,15721389.718389966,11226062.544879172,13206095.178152189,0
2006-08-01,96465.74851262843,0,13778746.131758492,12500435.251453675,5378297.004694727,0
2006-09-01,54872.27063702111,0,12586068.106719716,10372644.64975956,3904863.9821961992,0
2006-10-01,3915782.5898277545,0,28629466.373653002,10788371.28508604,31116886.225364853,0
2006-11-01,0.0,0,20933248.66487145,8393554.942584816,20292.31134064943,0
2006-12-01,3807.691228758654,0,19498815.674623232,6662819.679139218,4103575.0620904784,0
2007-01-01,94704.85382247322,0,20426650.65396091,10680272.999153186,10931102.591693085,0
2007-02-01,601.8135084794045,0,15914469.791498763,12379976.02832475,4094979.3246886535,0
2007-03-01,16715.689230485284,0,13553553.148388581,14817074.947425723,5522493.087004407,0
2007-04-01,1529.4863483239412,0,9399467.339398628,15865583.847427696,2380993.3549451153,0
2007-05-01,11904.761812044442,0,8314503.609042111,15824873.664864952,7310089.89000924,0
2007-06-01,0.0,0,6765354.447452584,11333161.035465453,0.0,0
2007-07-01,111931.45712723756,0,11067283.285002455,11394938.521861775,13558570.909012888,0
2007-08-01,122978.96998765237,0,10517260.24785956,12948112.39792231,8218176.460994789,0
2007-09-01,151478.59963514342,0,10894778.097634904,11238599.023545586,8337468.10836933,0
2007-10-01,0.0,0,8312922.445082993,9384525.431075247,6543.619317908512,0
2007-11-01,9232.003639248847,0,7929533.396648676,7146710.199152699,3694678.6431754543,0
2007-12-01,1084799.557939104,0,23901231.059583806,6921939.008148782,24409162.836298384,0
2008-01-01,3582742.1823235443,0,35974557.58232384,6580589.071302208,22836438.151303563,0
2008-02-01,4966675.220625063,0,39365477.38163657,11844944.810579162,20369138.112641796,0
2008-03-01,0.0,0,27615377.10842178,12488997.771947306,0.0,0
2008-04-01,0.0,0,21033350.576818366,10469593.425114224,1339129.8992376314,0
2008-05-01,15820.85945749368,0,17548869.388644446,13728219.386093147,5410167.696705023,0
2008-06-01,10303.803560396043,0,15802126.462253565,9064944.099631876,1949797.9890228698,0
2008-07-01,0.0,0,12080512.488101903,10105634.27419681,468984.0636455678,0
2008-08-01,17852.124482002888,0,11940291.542921284,9449696.74836201,4431261.535603416,0
2008-09-01,0.0,0,9947860.164465055,9413857.258389458,1554071.2460376841,0
2008-10-01,30882.13996938672,0,10280464.438792748,8303737.3223176375,5715971.799555565,0
2008-11-01,58386.43305911953,0,10875199.266799808,6489049.931677454,5519280.146264251,0
2008-12-01,16159976.985411314,0,44481295.19037124,8313792.49356545,59167696.34450195,0
2009-01-01,35099.697332857184,0,36557444.61236747,10232159.28766764,2163350.709131889,0
2009-02-01,51310.40037051281,0,31359030.98684458,10292546.420645338,4921824.246480702,0
2009-03-01,287.51341828678534,0,20614473.360139742,13496789.207719106,1238753.1266762686,0
2009-04-01,34243.823366902114,0,17485967.758756615,12399463.85161078,6403660.596208979,0
2009-05-01,2627100.210963513,0,29221241.475329418,11725556.718615433,26084384.124525167,0
2009-06-01,461868.06972815265,0,26058554.72523749,9724578.884242898,4864197.442715032,0
2009-07-01,9620.102468830171,0,22822154.7414879,7991750.241757349,740256.3340399518,0
2009-08-01,0.0,0,20418516.065549612,6924058.748412742,16562.974462391037,0
2009-09-01,102672.03739759901,0,20240442.01738567,6528231.321661276,3964862.782816545,0
2009-10-01,115121.97033096854,0,19488402.29300694,6481966.104272792,3589986.71449456,0
2009-11-01,79524.83882804707,0,18802475.964831136,6870626.543977949,4091181.193370723,0
2009-12-01,5148876.540674457,0,32083711.523636278,7373226.022014216,26296285.017236587,0
2010-01-01,13707547.404280448,0,44282605.095520765,7327309.109709069,33979206.45981071,0
2010-02-01,5870642.362889731,0,45399650.999948844,8822341.738569122,15954728.25367403,0
2010-03-01,3049964.49572092,0,42591657.15270034,15252801.599020341,15453966.955408633,0
2010-04-01,0.0,0,29322712.897464275,15428372.1498,1265169.6957874368,0
2010-05-01,0.0,0,20040536.91338432,12930440.563389968,0.0,0
2010-06-01,2664.663321702987,0,18928124.754748598,6273434.0601298995,2622262.884432679,0
2010-07-01,460552.50840561965,0,21620834.275637586,8885042.654260304,9992154.401969936,0
2010-08-01,3903168.7077389793,0,29775275.65507455,14077475.615564197,25867041.938357048,0
2010-09-01,630541.7788513593,0,28581806.305315305,12478019.613392401,10180504.356065584,0
2010-10-01,2894709.7147571137,0,31186158.078130826,10812619.731805142,15872081.179571604,0
2010-11-01,12836.92029139602,0,28187477.824408814,6248621.834883088,1415884.4889864319,0
2010-12-01,7855479.553365908,0,36841729.45151309,5553085.267349264,22501511.814203292,0
2011-01-01,0.0,0,28133089.02030898,9571662.183892157,149614.88296255405,0
2011-02-01,0.0,0,22439023.75140706,11266539.863269128,2967696.7992497366,0
2011-03-01,0.0,0,14991693.997986395,15256076.356294854,2379598.16596614,0
2011-04-01,0.0,0,12339961.74730426,13999742.341096079,5898024.432010579,0
2011-05-01,0.0,0,10669593.958841503,11481162.234559076,3576808.2417676873,0
2011-06-01,0.0,0,9351854.378845708,7115874.222920593,50772.33514599336,0
2011-07-01,89034.02638859616,0,15962106.784147516,6484893.7134465715,12746228.422476148,0
2011-08-01,7336.875476468054,0,13073394.597770352,8559067.019221824,859324.9980730901,0
2011-09-01,168501.09779899628,0,13763959.976262048,12542089.470764706,10837225.995329767,0
2011-10-01,150129.7923859447,0,14216056.794716166,10514518.049241673,8872030.889340796,0
2011-11-01,21705.236514189095,0,12221663.452145062,8578332.012459308,3639233.77383362,0
2011-12-01,226271.51495896178,0,14400578.151459794,8416339.378195342,10445900.442827161,0
2012-01-01,249666.24045891548,0,13765398.074187823,8781446.609061271,6141655.523550344,0
2012-02-01,50335.58266832076,0,12175966.73938254,11820340.778351473,5875579.662620234,0
2012-03-01,66695.95176793914,0,10532817.604487048,14672246.70490564,6206193.974751163,0
2012-04-01,3361.0916238170557,0,8442496.158130517,12173889.314832352,1385080.844065306,0
2012-05-01,0.0,0,7037565.240850802,11295106.924576955,0.0,0
2012-06-01,0.0,0,6805634.898001805,5214847.690795343,178678.55583110274,0
2012-07-01,550292.7828174615,0,16860141.760990568,4520789.531336764,15116997.444473926,0
2012-08-01,371573.4832796518,0,15753377.544636067,10799835.558046337,8153356.653553717,0
2012-09-01,1003975.4052850897,0,16973070.73813769,12028421.90373775,12061955.583825208,0
2012-10-01,126666.47578903394,0,15155314.701795314,7614315.760492648,2315005.530025299,0
2012-11-01,107.65704594239592,0,13144070.758756502,5483942.442256865,94005.00258015051,0
2012-12-01,621352.7251675293,0,15949441.987896288,4884217.855938479,8181723.349690175,0
2013-01-01,5643665.888887674,0,32441321.49974232,3713707.9440477905,26404634.88188782,0
2013-02-01,1555136.604566054,0,31343698.288738497,10682323.93995588,10998068.101656767,0
2013-03-01,6211.140278511484,0,22104817.184582658,15906021.9105875,4597123.048323053,0
2013-04-01,0.0,0,16225306.041635947,13311335.348479915,1426045.9953804,0
2013-05-01,6102.678209168716,0,13958469.140626391,9938522.928162998,1637315.271469163,0
2013-06-01,0.0,0,13264205.172239475,4590887.598038479,0.0,0
2013-07-01,457245.83863751416,0,21478141.554048434,4409768.0416321065,12959243.692610443,0
2013-08-01,5671421.193111863,0,33364360.516885612,8206651.306754414,26167650.39102714,0
2013-09-01,3389626.282361346,0,34226090.69229502,13562768.693576466,17618302.815482777,0
2013-10-01,151149.59653548524,0,29822730.519469567,10335570.992194852,4849102.251918959,0
2013-11-01,8079042.508476559,0,38343112.478484064,7271344.687948535,24236108.247177556,0
2013-12-01,1145553.8782986023,0,36905266.5203321,8822718.109276464,8506088.969830798,0
2014-01-01,1719.991499972731,0,31751919.55638572,8260593.435639952,1655872.8987374369,0
2014-02-01,60914.98794299575,0,29499002.20640973,9755448.951035786,5775487.483779892,0
2014-03-01,2765.948534624934,0,23102539.38015338,14561370.545047563,4589237.850542299,0
2014-04-01,353.87599603128433,0,17620836.36479941,12508743.510783326,2433068.6225547255,0
2014-05-01,39654.45373443699,0,17173973.774296653,10847343.68147917,6454716.769233612,0
2014-06-01,0.0,0,13883562.969024641,8971627.870676963,0.0,0
2014-07-01,0.0,0,6857733.204968924,21473938.254347295,891385.0015347776,0
2014-08-01,46105.29037104427,0,9617668.731240867,12656282.203195328,12485266.952599136,0
2014-09-01,512803.0822887826,0,18371408.52561389,12938667.285764707,22119430.49294317,0
2014-10-01,0.0,0,12316677.955994591,9962744.559025735,146504.14604401498,0
2014-11-01,0.0,0,9933852.660211189,6803632.164185542,574288.6805068562,0
2014-12-01,282166.9184796435,0,16652789.52670574,6996440.639250252,14157113.085190013,0
2015-01-01,2225693.412891364,0,29134479.989112984,9905900.861614712,25009990.182088703,0
2015-02-01,16243051.518204032,0,45454497.49149646,12465169.317329908,45861242.18844298,0
2015-03-01,76658.32738024832,0,36248464.04883543,15905866.110982597,6374677.270081637,0
2015-04-01,112669.18075314845,0,27894633.06563004,14999527.569037253,5369090.990679572,0
2015-05-01,2100903.009067916,0,30327170.563261364,17167876.84373825,20329407.188846093,0
2015-06-01,6659403.371333275,0,35104076.675439484,19863272.711923778,30831350.546520974,0
2015-07-01,6693701.880776266,0,37042612.292418495,18563553.182449747,26353320.044542644,0
2015-08-01,8385781.021382007,0,38378806.42380221,16435909.911303684,25448127.756735936,0
