Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,6780806.045247696,0,41236495.75402861,8054600.822980392,24953620.259102553,0
2005-02-01,6083464.59230705,0,45510689.70305365,10251590.665482355,22473758.899995554,0
2005-03-01,0.0,0,36457881.060070746,13750940.13030588,4862093.884595361,0
2005-04-01,0.0,0,31165422.92311499,13541265.836525492,8622932.408633143,0
2005-05-01,0.0,0,22329125.355075445,13461529.198580392,2932761.4911938244,0
2005-06-01,0.0,0,18873289.688635398,7957911.465317647,1509021.844363398,0
2005-07-01,0.0,0,15246389.740335029,13892202.582109805,6063190.228872073,0
2005-08-01,144093.21932218812,0,20315958.650916185,13149466.770870589,19453343.28867293,0
2005-09-01,737540.2314417696,0,22779818.31718784,8202818.318745098,11552860.434787543,0
2005-10-01,311172.5296539828,0,23365570.437525995,11097854.243262747,12001267.883259537,0
2005-11-01,0.0,0,20536089.841077764,5822327.9717568625,741829.3866060626,0
2005-12-01,0.0,0,18351262.116561174,4403591.37549804,379766.3838302789,0
2006-01-01,0.0,0,17404279.352005262,7151923.4585568635,5318463.538136168,0
2006-02-01,0.0,0,14009083.332616094,8433179.711270588,423160.7680131262,0
2006-03-01,421.1941874881206,0,15907759.366053432,11099908.834541177,12087627.877633862,0
2006-04-01,0.0,0,12924588.36190469,13249288.769411767,1086171.6021848393,0
2006-05-01,0.0,0,9868429.625866938,13346180.472847061,1272027.3298630535,0
2006-06-01,0.0,0,9060960.896150727,7870076.800933333,2203343.0782542345,0
2006-07-01,0.0,0,11522924.988825778,11188607.900603922,12118856.677805051,0
2006-08-01,0.0,0,10190281.844638683,11101808.812501961,5165740.683586411,0
2006-09-01,0.0,0,9368246.254177032,9146149.102713726,4191774.2013582424,0
2006-10-01,1629163.1005664882,0,30243229.42936251,9983492.016509803,35321912.3224264,0
2006-11-01,0.0,0,23862294.812415052,7771400.270619605,1472349.0774170673,0
2006-12-01,0.0,0,24759278.774490915,5957198.159192157,7210973.397190899,0
2007-01-01,162663.65960455945,0,25593567.079744976,10203629.245615685,12285852.040776482,0
2007-02-01,957.633247753372,0,17390682.81368751,12370972.937607843,3568160.2242233907,0
2007-03-01,70185.08757568554,0,13530651.581692874,14002257.32749804,7088432.46648952,0
2007-04-01,0.0,0,10712696.679573579,15115226.181662748,5720942.551780421,0
2007-05-01,0.0,0,10311794.753465489,15075724.431686271,10504482.608256923,0
2007-06-01,0.0,0,8585344.906641101,9598040.743741175,1024654.7150340417,0
2007-07-01,417754.04919722164,0,11128827.591827925,10434545.567247061,12462974.154077737,0
2007-08-01,307240.5238452411,0,11032281.867912244,12185094.615364708,9414410.954315517,0
2007-09-01,666743.7613204846,0,12880647.443940647,9148882.284556862,11632112.163881976,0
2007-10-01,89828.83135238019,0,10937871.455337148,7913070.192047058,3495546.8548047435,0
2007-11-01,165.95955781587247,0,9038712.099411981,6918771.000227451,164632.7147222156,0
2007-12-01,919554.3259903389,0,23311889.786138766,7004463.549890195,24051461.70167324,0
2008-01-01,1873917.0779859135,0,32829213.533499777,7028356.789725489,19877684.31219947,0
2008-02-01,570815.619539057,0,30927496.063162684,11393606.0871451,10892402.795166709,0
2008-03-01,0.0,0,20371305.137132592,11622569.300180392,944.5813732824868,0
2008-04-01,0.0,0,16145733.780415237,9931906.776321571,2531500.4773010295,0
2008-05-01,3474.109086927905,0,14474514.268749058,13205353.482956864,6099339.889559981,0
2008-06-01,1252.3066423893717,0,13118158.438468277,7808187.94952157,956551.579111418,0
2008-07-01,46573.16083392127,0,11019674.7069976,9222681.91955294,4232025.3873292,0
2008-08-01,117415.98559859375,0,10773827.905584509,7899507.505207841,4769915.267178348,0
2008-09-01,0.0,0,8930634.482051594,8523377.647827452,2059395.1406603705,0
2008-10-01,73225.19841724518,0,8922539.872882247,7644351.901882354,5633169.766235078,0
2008-11-01,216969.3742355434,0,10605560.53196654,5805922.988949019,7744707.383284021,0
2008-12-01,991339.5571988688,0,22825088.153214034,8076130.348627452,23351808.776185982,0
2009-01-01,0.0,0,15586197.40787729,9738806.00842353,2172522.1879155077,0
2009-02-01,0.0,0,10976341.112619126,9528377.229215685,2757094.038915168,0
2009-03-01,0.0,0,8687918.370574653,12791666.243890194,1964580.4802592427,0
2009-04-01,0.0,0,7685723.66937322,11530426.802956862,3992479.448466073,0
2009-05-01,631887.3715049165,0,12958382.082665585,10689748.059356863,17125306.867052063,0
2009-06-01,94695.44133673412,0,10589565.237340024,8287024.076023529,2001136.8334705841,0
2009-07-01,91371.3170657849,0,10733865.39325114,7002103.80252549,3288947.461514444,0
2009-08-01,15935.94579463076,0,10122930.0641139,5523326.83162353,880738.6215773339,0
2009-09-01,66122.70452815747,0,11992759.65749127,4887491.744415686,6261266.173852162,0
2009-10-01,110367.61177597834,0,11138229.981003622,6236123.247733333,3440949.208872121,0
2009-11-01,0.0,0,9957948.160154592,6027438.41187451,2245939.2045276896,0
2009-12-01,1908196.0576284735,0,28179494.857088774,6917195.163788237,29471766.471038193,0
2010-01-01,6383728.5590302665,0,43234113.51727115,6862120.670164707,31087599.022645045,0
2010-02-01,1319649.8092136276,0,42082807.46158305,8718592.579090197,10005078.898329424,0
2010-03-01,537303.4405989571,0,37108847.003432415,14502544.53122353,10801750.18866843,0
2010-04-01,0.0,0,23073635.486759473,15920748.697427452,1166246.135719539,0
2010-05-01,0.0,0,16224344.706789065,11882589.163160784,1017317.5563333496,0
2010-06-01,0.0,0,15468567.807033518,4952893.216368627,2870014.850902819,0
