Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,18569500.329146292,0,52164647.688166596,1690717.9122823533,24953620.259102553,0
2005-02-01,17790744.67774451,0,52432471.93140907,2550680.285827451,22473758.899995554,0
2005-03-01,1978308.4948641828,0,50941080.71293883,4072919.7258509803,4862093.884595361,0
2005-04-01,2728151.578559083,0,49907384.03825137,6243073.481584314,8622932.408633143,0
2005-05-01,220767.2642760696,0,44285251.930718616,8180956.5268313745,2932761.4911938244,0
2005-06-01,52812.26113320794,0,37223721.666796125,8463497.003937256,1509021.844363398,0
2005-07-01,157375.7837384352,0,32631195.730471574,12253958.865066668,6063190.228872073,0
2005-08-01,4604296.524103904,0,39256023.21189479,6506423.832337255,19453343.28867293,0
2005-09-01,4863639.999698925,0,39753025.69595406,5870565.5163686285,11552860.434787543,0
2005-10-01,6025657.206296471,0,40976044.0421431,3836222.9927921565,12001267.883259537,0
2005-11-01,36483.45587990321,0,39152149.20884308,3061945.4050274515,741829.3866060626,0
2005-12-01,328.90463256891815,0,37499043.80617708,2485678.187905882,379766.3838302789,0
2006-01-01,645460.3833667326,0,38948342.92251226,2929918.700792157,5318463.538136168,0
2006-02-01,0.0,0,37111008.60117754,3076544.3593803924,423160.7680131262,0
2006-03-01,4704879.891586819,0,39531542.05233255,4204837.9676549025,12087627.877633862,0
2006-04-01,180485.77047097794,0,36174038.484889716,6857030.730682355,1086171.6021848393,0
2006-05-01,169675.22157155,0,33655812.59185545,7434845.531490197,1272027.3298630535,0
2006-06-01,186177.79331158282,0,30828725.75724166,12575208.55109804,2203343.0782542345,0
2006-07-01,1708290.0596664678,0,29341907.060167655,12389965.70949804,12118856.677805051,0
2006-08-01,723839.3062091295,0,29170626.000840396,7248554.803709804,5165740.683586411,0
2006-09-01,1250362.9969790168,0,29737175.07803387,3439923.074792156,4191774.2013582424,0
2006-10-01,14338551.927526146,0,44853522.92986753,3032738.5129019604,35321912.3224264,0
2006-11-01,179268.00283094772,0,43656576.08498971,2378226.7323450977,1472349.0774170673,0
2006-12-01,3160183.380262796,0,45173911.96807301,2074186.0849725492,7210973.397190899,0
2007-01-01,7077093.440348041,0,47437369.14632677,1754450.7759215685,12285852.040776482,0
2007-02-01,852717.613229943,0,46077385.613651596,3767489.116321568,3568160.2242233907,0
2007-03-01,2462272.9866583766,0,45452610.0443367,4698361.879631374,7088432.46648952,0
2007-04-01,1287267.5830231877,0,43138277.37718812,6767790.910000003,5720942.551780421,0
2007-05-01,4648850.064369197,0,42799683.468438745,5504293.77522353,10504482.608256923,0
2007-06-01,50048.60932055712,0,35443845.008896545,11226572.678133335,1024654.7150340417,0
2007-07-01,3120877.6940770783,0,36353666.41409683,8406123.342815688,12462974.154077737,0
2007-08-01,2210926.3550550197,0,35890637.27725535,7860831.427082353,9414410.954315517,0
2007-09-01,3696913.9088898865,0,37782559.067793325,5502530.15749804,11632112.163881976,0
2007-10-01,653042.9455693477,0,35736316.484179385,6137398.998588236,3495546.8548047435,0
