Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,7680090.996900125,0,52770193.75360387,14740913.763756866,24483524.643900614,0
2005-02-01,4405390.258785931,0,52770481.858958595,15391689.526768625,21428301.380549025,0
2005-03-01,223817.6503063527,0,52189173.92917538,4932734.929082353,4966544.34732392,0
2005-04-01,239036.74926585855,0,49386133.107044816,10158777.994752944,8269399.477818205,0
2005-05-01,81965.48982675388,0,47104450.92976773,4563434.488039215,2553819.410397147,0
2005-06-01,78454.50346029828,0,41568074.407044396,7159416.526384312,1839022.7390659202,0
2005-07-01,276342.86030386115,0,40558404.517253295,7531170.825513726,7507959.746878116,0
2005-08-01,943300.3211504176,0,42792272.04082218,15379283.671552941,20509160.430826906,0
2005-09-01,458265.6254846307,0,42561177.710839994,10578783.667882353,11417545.645146899,0
2005-10-01,318121.5388680545,0,40872221.1485309,10187748.203560783,9590643.772207137,0
2005-11-01,43293.53348040961,0,40789045.163656525,1081185.4783843139,1124695.5849307997,0
2005-12-01,12404.084509334005,0,40272302.57414511,662012.9491764704,174445.39680100672,0
2006-01-01,254322.92308131975,0,42581033.0149147,3361313.593317647,6558333.947523732,0
2006-02-01,32789.482640550814,0,42242868.097339734,797828.7205490196,535416.3917532647,0
2006-03-01,466286.80702262133,0,42484213.44381324,11351655.300337255,13191435.642397817,0
2006-04-01,25226.734233098963,0,40581735.183090486,2323153.9864941174,445153.8194848292,0
2006-05-01,44417.296129324335,0,39055409.54805402,2932674.078470588,1545512.8435234786,0
2006-06-01,90197.5709986974,0,37231306.74009371,4909083.357952942,3402733.5085930787,0
2006-07-01,385354.8533302979,0,30583809.319196783,15037882.94003137,9620412.360196877,0
2006-08-01,174437.98902086457,0,25776828.088899944,10074595.9651451,5656137.996273378,0
2006-09-01,108821.10098920006,0,20700556.428096518,10230838.819074512,4544863.674811793,0
2006-10-01,1049255.3093931538,0,29084530.896132987,19808598.91997647,31832688.281178128,0
2006-11-01,42194.88196973927,0,28511894.533550665,1927543.9390823527,1535075.11200035,0
2006-12-01,241398.5605881165,0,30595532.146672804,3555952.0737490198,6301112.050552986,0
2007-01-01,668094.5787273262,0,36372770.76332879,3912071.091333334,11495329.223152984,0
2007-02-01,305850.56917313626,0,35322314.47118714,6585958.407654903,6441324.319553463,0
2007-03-01,124766.82551978878,0,31754404.597951952,7910996.434682353,4916971.560683859,0
2007-04-01,228732.34339367077,0,28804584.119159043,7844536.689631373,5455641.338375214,0
2007-05-01,360530.6039246359,0,26926769.377953973,12162886.012439216,11398273.420868557,0
2007-06-01,90422.24759790805,0,28084131.54337122,2472154.728337255,3946995.6315592784,0
2007-07-01,511380.5853173936,0,26156881.461046536,13491753.857780391,12826266.471879456,0
2007-08-01,692252.6815521137,0,25638152.136025224,13047288.274298042,13275122.48545698,0
2007-09-01,345472.0136249755,0,24962384.835487075,9978747.26014902,10295913.653670324,0
