Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,8325321.899560343,0.0,40127141.80787914,2866493.6444752477,21180846.811465997,0.0
2005-02-01,7958085.744420511,0.0,40802753.17913494,5802218.0753411725,14435915.19101752,0.0
2005-03-01,2413957.8086517565,0.0,40012840.79295743,8944200.585301228,10568246.00777544,0.0
2005-04-01,23234.559787093753,0.0,31793251.326744076,15160578.857855383,6935712.710798321,2.2629173015192263
2005-05-01,482.5457585599095,0.0,18087462.256385624,17211687.57604436,2648027.799700884,5.8835855683873355
2005-06-01,45763.08025545428,0.0,14292111.993605427,17699139.36127696,11922576.039584152,9.051669206076905
2005-07-01,1561.370929362641,0.0,8829175.549239505,19871224.954467647,7514983.069683782,11.767171136774671
2005-08-01,55529.29519547333,0.0,9494412.348301232,15006489.14661715,9708750.934752095,9.504253104708761
2005-09-01,514441.1909811146,0.0,12127762.789232977,12065405.05034094,13238506.62443049,4.525834603038453
2005-10-01,1338776.6037623123,0.0,15422876.549683014,9004586.753725,13250553.78543757,2.2629173015192263
2005-11-01,46916.078122348255,0.0,14110980.195451355,5058507.337163729,2470601.4030647576,0.0
2005-12-01,1071121.6637007825,0.0,17962394.10896685,3595573.5855924017,8518109.162808679,0.0
2006-01-01,49017.052102322625,0.0,17880288.965884376,4478712.096162502,4398609.09464248,0.0
2006-02-01,1305.7094284051013,0.0,13269123.142044106,8020500.303381131,899942.4221670219,0.0
2006-03-01,807660.6541770145,0.0,18457203.03601999,8308834.609543135,14252987.404508332,0.0
2006-04-01,178.34774790927872,0.0,12073373.549780095,12684854.274944864,2753736.908821925,2.7580073284355047
2006-05-01,0.0,0.0,8434983.885035327,15175619.216947805,158038.31707216482,7.170819053932312
2006-06-01,0.0,0.0,6865066.22665507,15434739.728287488,1601330.6696661091,11.032029313742019
2006-07-01,500506.8448430486,0.0,10631108.390437622,15384331.82928064,15657267.192156537,14.341638107864624
2006-08-01,409321.4856091364,0.0,10713583.986352406,14086734.986364942,7444733.853941606,11.583630779429122
2006-09-01,1178316.2218618891,0.0,11876379.738064818,10951629.494814213,11077820.265717309,5.516014656871009
2006-10-01,5915902.422933014,0.0,33563375.84862999,7239655.356195101,34842551.13168592,2.7580073284355047
2006-11-01,474566.0798879197,0.0,33289688.266669404,5351906.356575978,5552784.854503322,0.0
2006-12-01,302825.5351001884,0.0,32929083.04173251,3486655.3267213213,3428875.636884625,0.0
2007-01-01,1588234.6126170615,0.0,34811459.68797812,4738812.888789703,8209424.147652355,0.0
2007-02-01,746225.893335399,0.0,33640949.13306316,5439584.876232604,5004399.131605462,0.0
2007-03-01,109462.74873421718,0.0,28148393.473386385,9645610.11303971,4013324.102048601,0.0
2007-04-01,20043.634695759672,0.0,22082152.490047224,14169181.29485489,7198056.097165695,2.4106205086254597
2007-05-01,0.0,0.0,14095122.198787177,15683517.246364696,2738166.650776565,6.267613505062866
2007-06-01,25330.508643861205,0.0,11304371.2854551,15011951.710327204,3132378.294910101,9.642482034501839
2007-07-01,17830.365554742515,0.0,9460018.602440616,15624261.323229408,2606478.3454378373,12.535227010125732
2007-08-01,691971.8190247354,0.0,11876599.731289573,15082444.218946813,14774980.615456164,10.124607049410287
2007-09-01,921924.8503292194,0.0,12622682.650529027,11203341.149553915,9842289.288100395,4.8212410172509195
2007-10-01,16493.030369346925,0.0,11539793.887839638,7401915.726539946,3212193.189786806,2.4106205086254597
2007-11-01,580213.600823577,0.0,14097519.575654548,4159150.5325561264,7051546.697757242,0.0
2007-12-01,4166633.770452894,0.0,31003737.06307525,2343777.8701620093,23416629.1280356,0.0
2008-01-01,10717501.700144878,0.0,40798808.89208036,390599.91510147054,20903173.44425142,0.0
2008-02-01,12220003.441835022,0.0,41475080.74220711,4561175.70119706,17457450.993158832,0.0
2008-03-01,61203.20261389015,0.0,32935681.335258055,9704487.796795832,1226291.59246066,0.0
2008-04-01,13204.607834362878,0.0,25910312.94816122,13092009.058386264,5928154.254677496,2.6545367140655736
2008-05-01,74353.74316192187,0.0,20772282.382898953,14031099.761351723,7548360.39325946,6.9017952374064855
2008-06-01,436760.84519307397,0.0,17097821.086392306,15420060.800780386,8076599.420335387,10.618146856262294
2008-07-01,2066.4677708941995,0.0,11857861.318814298,14294516.207820084,945047.8932725166,13.803590474812971
2008-08-01,188907.49839718148,0.0,11698070.390711354,13530694.478701718,8726324.974341583,11.14905412602074
2008-09-01,223.05430990001918,0.0,9947258.701965194,10623026.652636029,4903002.236289278,5.309073428131147
2008-10-01,93399.31714018728,0.0,10399084.961330213,6174065.432041426,5417416.514289589,2.6545367140655736
2008-11-01,765439.0111646695,0.0,13614606.659809757,3483886.7291803933,7406835.161963128,0.0
2008-12-01,4354839.668593349,0.0,32240697.24011198,1568184.0915534329,24549114.340448968,0.0
2009-01-01,1147435.476471207,0.0,37199673.866715916,1415850.1818335787,7522262.284908708,0.0
2009-02-01,29143.166299923956,0.0,33066538.344265856,6864047.208914712,2760054.852764585,0.0
2009-03-01,3410.6940592570045,0.0,24743720.07982723,11509025.988257844,3160188.2584288367,0.0
2009-04-01,71443.38288013781,0.0,20835250.26747555,12630745.058733096,8392901.682280678,6.62081237165723
2009-05-01,165776.3921293391,0.0,17320561.898582034,14552354.990672057,9283705.332667096,17.21411260463681
2009-06-01,178009.62037937596,0.0,13946262.999748899,15910716.518216413,6229982.226449401,26.48324948662892
2009-07-01,5576.0537610707,0.0,11098169.457367573,14694348.715396078,2289231.4366267477,34.42822520927362
2009-08-01,142.67186475605823,0.0,9674649.889419865,12034614.657148533,546148.4463278204,27.807412107069705
2009-09-01,301213.18181416945,0.0,10609374.161646564,9998437.104637738,8817760.323280787,13.24162474331446
2009-10-01,196475.08217808005,0.0,10767331.374040088,5920841.753766424,4852207.690650286,6.62081237165723
2009-11-01,105891.9125727215,0.0,10924378.2687191,5013632.844490928,3524873.6032404383,0.0
2009-12-01,3931567.95949474,0.0,27973901.71507432,2967900.8150411774,23948992.220891148,0.0
2010-01-01,5449214.288315786,0.0,39576475.22501182,266153.8161509805,17317941.614404257,0.0
2010-02-01,9783533.253748642,0.0,41063930.852433085,3752119.20905245,15023108.0902224,0.0
2010-03-01,5963319.854593526,0.0,41167086.35287707,9896976.978859793,15963452.33389733,0.0
2010-04-01,381759.5512012389,0.0,33584396.8511635,14061042.5780652,6860106.282792878,6.344759965480908
2010-05-01,8128.820379737739,0.0,22954553.33489592,16105154.047604894,5108855.582866143,16.496376786906385
2010-06-01,22843.679623661323,0.0,16729518.9401774,14605391.671389474,5636379.332237434,25.379039861923633
2010-07-01,37741.3581148621,0.0,12897011.581833307,14826759.264657345,4302266.497226141,32.99275357381277
2010-08-01,68543.14769711478,0.0,11944723.123699574,13388862.316755144,7581528.685692964,26.647993608331856
2010-09-01,201536.56163716558,0.0,11653291.03987539,10960962.473180141,7257734.598220052,12.689519930961817
2010-10-01,961709.2418341744,0.0,16380049.4111483,7347068.230331617,12976367.768236779,6.344759965480908
2010-11-01,457293.0223595246,0.0,21278408.497866146,5258661.164788976,10595963.467862844,0.0
2010-12-01,15620327.84805135,27463.6400017937,40371303.31323896,2924246.4766931385,37664932.78011914,0.0
2011-01-01,169442.70608109012,0.0,36159304.089609824,5916533.391068378,1873976.8735202958,0.0
2011-02-01,324717.7093844663,0.0,31506975.732818812,8826251.719826225,4493050.580493147,0.0
2011-03-01,291298.00527184206,0.0,28753450.67895984,11191935.524693388,8700016.79787895,0.0
2011-04-01,38671.77264584534,0.0,23702826.06022853,13270729.903708091,7892678.496828594,5.981125239500064
2011-05-01,546061.0235584996,0.0,26842436.151069887,11551550.920246797,14942279.348832032,15.550926645465523
2011-06-01,184385.22339708533,0.0,21372266.87745028,14872429.899095824,7973869.789568583,23.924500958000255
2011-07-01,775810.3252886797,0.0,17815467.479943946,18745086.14672648,11037567.768337267,31.101853290931047
2011-08-01,12197.110423289387,0.0,14181586.942917896,14640585.567039456,4682504.991063088,25.1207273208843
2011-09-01,326421.8189598876,0.0,14252760.430125501,12012168.980216179,10120049.206934933,11.962250479000128
2011-10-01,948470.1088883681,0.0,17404826.79932765,7734158.856624255,11741669.558809778,5.981125239500064
2011-11-01,1139413.7730692558,0.0,20215124.96847641,4641497.205562014,8568189.48262479,0.0
2011-12-01,807012.7211781378,0.0,21522903.627125148,3722104.035313969,5743363.951293695,0.0
2012-01-01,1317710.4479923549,0.0,25443438.833674595,4251706.399253435,9456710.517255833,0.0
2012-02-01,921894.7043087678,0.0,27708623.05136319,5975919.760106617,9042477.450481134,0.0
2012-03-01,3067.6435306441776,0.0,20849300.291835364,11487286.212195577,3112706.6419895263,0.0
2012-04-01,6495.60315084014,0.0,16820347.96400774,11440714.039651714,4315198.5159986885,7.468683392464402
2012-05-01,677.0571119803078,0.0,12777776.409864806,10924016.137920843,38934.50175715203,19.41857667429811
2012-06-01,0.0,0.0,10653250.0002863,11335877.63596201,114088.96826484897,29.874733569857607
2012-07-01,91701.0702948983,0.0,10963805.840928355,11200983.45579951,4398585.491333517,38.83715334859622
2012-08-01,713.0170114429865,0.0,9800872.976335347,10707371.603112016,797197.0209897158,31.368470686678496
2012-09-01,341722.9191772522,0.0,11026958.933709303,8535645.991612496,7331154.2099891715,14.937366784928804
2012-10-01,115571.32162906283,0.0,11168398.732105564,5978518.154597055,4803261.5998423565,7.468683392464402
2012-11-01,202370.36811808395,0.0,11808304.398989864,4478153.733746322,4607035.121187013,0.0
2012-12-01,3039972.789239998,0.0,25959353.02999711,3822333.2007328426,21013354.620980103,0.0
2013-01-01,1140626.5374380373,0.0,30393127.56233143,1969436.977416177,7543838.047188538,0.0
2013-02-01,329084.53052336705,0.0,33129412.203947302,3486847.0318480413,6552216.203987259,0.0
2013-03-01,51330.65830419143,0.0,29493356.00244197,9613564.026984803,6015178.769374148,0.0
2013-04-01,90864.24670771326,0.0,26698731.694809586,10748771.93519411,7903235.403884654,6.238543591397705
2013-05-01,327198.55809396703,0.0,20109014.89955888,12872298.346540939,5446683.091387058,16.220212607087348
2013-06-01,0.0,0.0,12992869.71778135,13580596.149467167,0.0,24.95417436559082
2013-07-01,289962.37963130546,0.0,13053619.506820027,13634461.181568626,8744662.15861404,32.440425214174695
2013-08-01,400692.5933257515,0.0,13028861.970554585,11925265.579432352,8622281.088385804,26.20188381441704
2013-09-01,1913186.187783125,0.0,16643224.559208097,11680163.32376471,16788414.44574664,12.47708718279541
2013-10-01,2203999.4191639735,0.0,21393189.350785144,8643392.79629681,15585070.60688439,6.238543591397705
2013-11-01,3288307.7324996274,0.0,26308744.926104758,5269375.758255393,13473239.066074641,0.0
2013-12-01,4427271.115070319,0.0,31466446.843698006,4585187.624650488,14170160.657314062,0.0
2014-01-01,2056861.9201501913,0.0,32804143.216043897,3836421.9638058837,7230980.256301968,0.0
2014-02-01,789558.5437156188,0.0,33516246.483306117,7206964.335287256,8708626.146265099,0.0
2014-03-01,12063.55304249304,0.0,24823119.389908835,11687258.950191425,2716646.082189482,0.0
2014-04-01,6028.0338185700775,0.0,21399336.834363785,12875664.636981621,8649404.071747292,5.513170273355345
2014-05-01,303061.1046279946,0.0,20173366.926137082,16758080.416717654,13630044.561410226,14.33424205323188
2014-06-01,0.0,0.0,13090548.850920005,15463890.849622792,614856.144994207,22.05268109342138
2014-07-01,3320.7215817781507,0.0,9651811.119582668,18686302.655814197,4391538.418200027,28.66848410646376
2014-08-01,190060.61086827662,0.0,11618229.927542109,16037861.373256866,15947564.313261386,23.15531419838176
2014-09-01,764008.3808395397,0.0,16660296.662991883,12851261.2988777,18634116.297965854,11.02634054671069
2014-10-01,26.002128921303093,0.0,12030735.0156076,9164092.790470833,2347421.427876929,5.513170273355345
2014-11-01,36869.51886247953,0.0,12497952.572240999,4672874.099869116,4043329.4250532063,0.0
2014-12-01,950108.1865423559,0.0,19474612.711980462,4351069.577267645,12277837.90354945,0.0
2015-01-01,1373440.808524249,0.0,25613895.315289795,5673694.975572556,13186418.387406139,0.0
2015-02-01,22189.059429844594,0.0,20996264.267096214,7055547.00328015,2288326.5324630975,0.0
2015-03-01,28949.099783177866,0.0,17839008.882052314,10988248.954110052,6403445.141423801,0.0
2015-04-01,1106340.4244333596,0.0,19583869.145242155,12612769.301918866,14668999.377854731,6.309877822394757
2015-05-01,450718.69480558607,0.0,20211993.96239964,17041945.478178922,17420678.30533195,16.40568233822637
2015-06-01,35855.29428372872,0.0,14513033.976543289,19761404.301539216,8866421.603489347,25.239511289579028
2015-07-01,841341.631624402,0.0,15297806.40591387,14809302.381659068,13528291.745061345,32.81136467645274
2015-08-01,92313.27798578587,0.0,13295690.154030683,13101868.663987245,4748381.614124785,26.501486854057976
