Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,447680175.0539207,238663.99934757344,1400435679.2939553,7455625.673832098,486065408.59032786,0.0
2005-02-01,323233659.08886,75975.59155996094,1407487768.1555707,17849759.518883146,350863458.13427734,0.0
2005-03-01,107212724.13433373,0.0,1403460733.1731658,106013347.29906565,208428788.45974678,0.0
2005-04-01,279270024.83474016,920.8203147885055,1410332575.343915,131400422.3146926,415480455.0110589,4329401.962952303
2005-05-01,357107432.91250956,121378.73915685862,1412072332.2040627,214385815.74173328,566606113.9865186,11256445.76816673
2005-06-01,38124445.75025009,0.0,1310571974.1642106,289202645.62194526,208934327.56487536,17317607.85180921
2005-07-01,4698525.976371494,0.0,1143858990.2595193,198411133.29656994,10398813.089948993,22512891.53633346
2005-08-01,14853660.359057622,0.0,1098820511.961031,131116111.67338233,77596754.9027879,18183488.7644232
2005-09-01,14036081.29865071,0.0,1073652709.2829237,145221330.1178192,117564385.72921997,8658803.925904606
2005-10-01,43312933.700920045,0.0,1114353983.5923223,99766816.28892075,175592189.11959174,4329401.962952303
2005-11-01,72483813.14220552,0.0,1205659586.2732584,40158665.07316737,203858866.1795529,0.0
2005-12-01,325484765.059538,398856.5917094833,1349512286.043483,19415248.128656358,491644476.25926834,0.0
2006-01-01,403109997.91443694,160289.58641053553,1385940295.864319,39606043.54264539,481220963.4736164,0.0
2006-02-01,81407030.02869383,0.0,1389975628.22669,46468269.88965639,132552243.02031949,0.0
2006-03-01,424769353.09244555,1681014.019327255,1404158201.8129838,85383462.90396789,529633410.86978376,0.0
2006-04-01,186459004.18631038,0.0,1405873655.5099258,166261041.47206402,351964134.07106847,4793310.307739704
2006-05-01,32893239.52237766,0.0,1355909368.0817218,166178738.51074183,136581223.90999198,12462606.696851712
2006-06-01,93136653.26798011,0.0,1331595639.753817,136160750.27532727,185876017.1691225,19173241.230958816
2006-07-01,16938740.269863535,0.0,1235109634.0708072,140522388.49543643,32726767.684340693,24925213.393703423
2006-08-01,12297698.679492665,0.0,1187069982.4905365,88780223.35550827,25246028.043362502,20131902.231451206
