Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,289726402.14501876,0.0,1291132940.2749333,24573053.576972548,488622154.1294116,0.0
2005-02-01,82979050.92945376,0.0,1308346407.930876,109654860.73527065,210203804.07010064,0.0
2005-03-01,11488925.688702784,0.0,1241989680.48751,236386495.11083916,179563023.62621662,0.0
2005-04-01,32138731.99185263,0.0,1266018124.3451858,365239549.0733408,417389609.19776297,4309645.521818367
2005-05-01,49374259.557552956,0.0,1266260665.1480365,465949986.1766039,502329383.5890305,11205079.083391692
2005-06-01,2037272.3439816395,0.0,1071326955.9838043,453029883.0814978,233180906.60507277,17238582.087273467
2005-07-01,441702.93910830125,0.0,760502784.2808684,398230497.42893344,19459503.17189051,22410158.166783385
2005-08-01,1065942.571370978,0.0,655223998.5678673,270259792.48668224,82882101.61706027,18100511.72874088
2005-09-01,100403.40148530983,0.0,622254641.7831908,181731469.12924716,94095027.80324548,8619291.043636734
2005-10-01,1813470.5187072088,0.0,659474542.2803766,155329747.65215692,175924659.02830675,4309645.521818367
2005-11-01,3024494.744654097,0.0,734179217.2907308,96826073.03357647,173382102.8792117,0.0
2005-12-01,48855041.64529849,0.0,1002852480.9809387,54642269.057419606,375153791.358285,0.0
2006-01-01,184539122.02686474,0.0,1210959750.356054,44671418.67348237,441947083.1712913,0.0
2006-02-01,35550514.53577783,0.0,1179328477.1655645,118354454.46607849,120613492.29257743,0.0
2006-03-01,108894193.36895144,0.0,1224040769.4114573,234997245.02882338,388797233.94320107,0.0
2006-04-01,3179002.6197959604,0.0,1110712277.2469215,384560303.5397962,264334012.47906864,4758175.170023206
2006-05-01,321927.1886071999,0.0,873363499.883889,421280237.5898038,138650263.77384862,12371255.111973662
2006-06-01,1716277.5968865561,0.0,689914669.2659822,342956076.88534147,89766601.8832173,19032700.680092823
2006-07-01,4182600.496150857,0.0,583017257.2327781,272439628.68648624,65304865.4381416,24742510.223947324
2006-08-01,4367494.1036773585,0.0,551024622.5333238,192201273.21409422,70644601.40276042,19984334.26300266
2006-09-01,10950035.29928439,0.0,647795649.5130826,158046071.87654907,244094700.30107665,9516350.340046411
2006-10-01,14406499.211159885,0.0,705204738.7865475,145555990.87359998,207778234.86914486,4758175.170023206
2006-11-01,11948677.542922845,0.0,775143865.9174596,85560066.48020387,167107425.81130457,0.0
2006-12-01,42602050.54602204,0.0,935182127.4808586,62255021.045121565,265784331.33735424,0.0
2007-01-01,6367794.44705378,0.0,915555125.9211663,87593203.75149798,71051352.0014389,0.0
2007-02-01,50210272.01896332,0.0,990927887.7728772,133500871.6745412,258356091.42054608,0.0
2007-03-01,2142720.365637006,0.0,911888294.2675472,235522774.2730511,147067106.43525138,0.0
2007-04-01,1232024.5275845167,0.0,814290141.0579835,277143838.16147476,141747235.9254796,4566252.16895035
2007-05-01,269323.1159274686,0.0,672194192.2989006,316706377.6946036,93308647.10611586,11872255.634095643
2007-06-01,4808037.541944144,0.0,624208894.7739086,275783703.8012548,134534646.9687653,18265008.6758014
2007-07-01,7056665.803364117,0.0,592347123.3486385,201347488.47737256,60002752.976222835,23744511.268191285
2007-08-01,12105655.245808192,0.0,601433914.3431863,132512725.01129422,79046067.55381599,19178258.338100392
2007-09-01,15159569.879912863,0.0,644285083.9165007,143370575.04319996,164224318.95307696,9132504.3379007
2007-10-01,18798837.795327686,0.0,694309917.388462,120158836.8567215,178392511.38431838,4566252.16895035
2007-11-01,2438787.760896963,0.0,685885975.6101148,66771572.34098828,48387150.74874588,0.0
2007-12-01,154736749.53352296,0.0,1023676733.7260125,22003931.633568626,521104285.5450871,0.0
2008-01-01,239165579.55757844,0.0,1249176876.50092,6792773.0536392145,476785916.53291374,0.0
2008-02-01,216511864.18194485,0.0,1312978945.2626843,80858187.48781179,362761256.0695999,0.0
2008-03-01,15436144.431720339,0.0,1201933780.0009022,183040627.41764715,82000611.37326913,0.0
2008-04-01,260866.5950946218,0.0,1027482973.0146844,233336982.42106664,43102374.93340602,4943266.755330106
2008-05-01,13069984.81247836,0.0,1042042039.5538528,223793087.22872162,225935429.38437122,12852493.123563956
2008-06-01,3289393.161758392,0.0,911675384.0160291,213901087.51255712,39534234.46695611,19773067.021320425
2008-07-01,5437404.663261722,0.0,844312065.33563,152143955.26749015,16662846.299067596,25704986.247127913
2008-08-01,11665711.415440077,0.0,854266754.5557984,122465867.5697725,80396116.80850859,20761720.303769678
2008-09-01,7621121.69103454,0.0,840990143.901955,115826238.72805493,57152620.646923274,9886533.510660212
2008-10-01,24400716.35126995,0.0,893497178.017631,102792665.2847529,164969213.22621116,4943266.755330106
2008-11-01,30860134.041549042,0.0,959411482.1113858,70191723.14780399,167551886.53550994,0.0
2008-12-01,267480333.13620362,0.0,1200438748.0759814,49297689.99049417,562554640.6227984,0.0
2009-01-01,275937398.31133604,0.0,1298632452.9215066,8448086.424658824,389310257.4758271,0.0
2009-02-01,193327650.30743334,0.0,1336051636.9314067,50657401.7949098,283772177.6847766,0.0
2009-03-01,49030546.75115321,0.0,1318650818.7314572,166593346.7074588,196405609.48993424,0.0
2009-04-01,19122619.75530475,0.0,1268492562.8179584,303227834.20970184,263472606.8929868,4704458.564732448
2009-05-01,13390189.635553401,0.0,1168541191.1998165,347987013.14710635,241682549.86966613,12231591.844489101
2009-06-01,112592378.84393945,0.0,1228427885.9040868,351747393.3112864,502492475.50953907,18817834.258929793
2009-07-01,6390787.398293804,0.0,1043392190.9886696,311153752.7906587,78075883.73208985,24463183.688978203
2009-08-01,9602164.63526792,0.0,961498508.2348366,223922861.05007842,96408945.63501246,19758725.468824178
2009-09-01,4441483.530969583,0.0,921192756.1853602,170327504.02654108,89789146.49090946,9408917.129464896
2009-10-01,16368760.123293975,0.0,955445306.7029666,132167382.66943525,169712214.05181903,4704458.564732448
2009-11-01,6645180.46537525,0.0,954516825.5259491,88063907.17917648,83550588.41169384,0.0
2009-12-01,139794524.46115205,0.0,1143245774.625208,49891423.42422747,383471749.543912,0.0
2010-01-01,390361375.1774416,0.0,1314480627.1937823,5893447.685819607,574508996.696555,0.0
2010-02-01,126961387.85107161,0.0,1332782421.0676193,73902390.91378042,218913306.11258805,0.0
2010-03-01,13935820.51033413,0.0,1189923344.0591414,229133359.56324708,94073464.46522142,0.0
2010-04-01,8226995.181474921,0.0,1093831031.2125897,302694312.9249963,204381311.86938015,5661931.042031143
2010-05-01,5345530.387007322,0.0,989144668.3920974,332202581.38224316,209126694.96665424,14721021.390848177
2010-06-01,3299764.055664419,0.0,867086730.1715076,255643598.28163135,88805442.8560854,22647724.16812457
2010-07-01,6341513.712729444,0.0,762324337.3837715,204061179.43534136,26945824.301368356,29442042.781696353
2010-08-01,8770238.334466591,0.0,732663453.3867506,158088935.21248615,68093735.62545162,23780111.62274341
2010-09-01,2489905.327139078,0.0,687879677.8883704,121690391.42501959,19969973.834957574,11323862.084062286
2010-10-01,20815548.579066962,0.0,830404374.4899136,100446646.85007839,257937900.00305885,5661931.042031143
2010-11-01,73874386.94688378,0.0,1051595238.1833369,93240946.46097256,391415410.44131,0.0
2010-12-01,390168206.4409456,0.0,1306873113.8307078,34191465.3815216,688336237.5667478,0.0
2011-01-01,136352636.83837244,0.0,1324117563.688301,63055405.33030587,216389059.32296306,0.0
2011-02-01,184871674.77359405,0.0,1341834026.0968235,91993512.07115294,295473018.9335769,0.0
2011-03-01,161652702.9856002,1126849.8069272381,1334368133.9146614,218625441.90727082,374082826.7087983,0.0
2011-04-01,33667717.13982554,0.0,1288237878.003433,326999044.33173317,309659055.4695875,5189828.804469388
2011-05-01,94173585.027248,0.0,1302981518.9094336,365243381.3828862,462173087.2314436,13493554.730219105
2011-06-01,3103500.0979762645,0.0,1039994258.7412102,405682809.98664314,114366299.05669583,20759315.217877552
2011-07-01,4892621.14626208,0.0,877622610.9071196,280809707.81515294,61127305.94548761,26987109.46043821
2011-08-01,6697696.95759933,0.0,834109310.6665465,240360744.01665094,141910533.87461612,21797281.43765967
2011-09-01,1816520.7463660787,0.0,770644022.5978032,204632116.0766039,87429184.03138162,10379657.608938776
2011-10-01,13521046.823536655,0.0,874517364.2762372,142690116.6583921,252653683.6117026,5189828.804469388
2011-11-01,34203929.447693795,0.0,982529353.2192755,90091267.0387216,234017355.56783736,0.0
2011-12-01,4147167.547554486,0.0,966128952.7396322,73036641.56987455,58769138.14220808,0.0
2012-01-01,141463700.5029666,0.0,1163079471.1299016,79627723.88246274,423894661.0351067,0.0
