Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,66347508.0883716,0.0,246910526.4717515,43528183.9586586,111120325.12073196,0.0
2005-02-01,37374410.46952325,0.0,247313883.56379393,37492571.54793053,75270339.10949612,0.0
2005-03-01,7698127.466675125,0.0,239809976.37301007,31625825.18898667,31820045.464877944,0.0
2005-04-01,10349586.917502174,0.0,239563308.84849358,29617743.60196926,39598716.789145395,52496.77365426859
2005-05-01,3444061.5486610024,0.0,231353150.44668415,23537352.513031587,18248826.515753586,136491.60468083568
2005-06-01,9777324.698440334,0.0,217597458.71058142,52693523.85373365,47584933.08721917,209987.09461707436
2005-07-01,6800872.648286325,0.0,208540329.2904926,23975963.188057993,20080653.1306629,272983.20936167135
2005-08-01,20696065.789304197,0.0,202732051.71307412,57531580.09097974,70969083.68136002,220486.44017819926
2005-09-01,20340928.837635856,0.0,212234994.15686637,47459194.592139475,76205050.61821315,104993.54730853718
2005-10-01,15230072.979634995,0.0,218246896.99079853,35100963.075890325,55974039.21514265,52496.77365426859
2005-11-01,2234566.1047696513,0.0,216736241.87506798,11568269.533188438,12003950.176274974,0.0
2005-12-01,2778209.690333131,0.0,216758630.43281388,10446216.617680887,13093483.11561959,0.0
2006-01-01,3838510.5419280385,0.0,216538484.43382153,13972174.067254834,17472598.552936785,0.0
2006-02-01,1223116.8667818748,0.0,215743464.8099491,5747343.948085266,6001757.824856247,0.0
2006-03-01,25987812.54849992,0.0,225823667.9855906,46841825.00112786,82886429.38734588,0.0
2006-04-01,1249902.0754685577,0.0,220044360.55742428,13944472.754654843,9036500.270694837,56383.30120891353
2006-05-01,71128.65201492787,0.0,213736209.03838262,7648921.121702437,0.0,146596.58290599668
2006-06-01,3481748.5426922124,0.0,213151121.06019652,14764181.988942908,15520647.28810602,225533.20483565412
2006-07-01,6517631.124201941,0.0,201877771.34698507,38849479.612950616,31757577.712167308,293193.16581199336
2006-08-01,3283296.603478778,0.0,172838382.73378286,43050147.15908961,14909190.99937088,236809.86798624226
2006-09-01,8014499.268769515,0.0,161010348.4500121,43083913.654778585,37667446.64812445,112766.60241782706
2006-10-01,126408238.45586705,35106.83989281955,244342102.26717535,80538131.78576365,290256847.59747773,56383.30120891353
2006-11-01,12348884.073340382,0.0,244664806.17965516,6884754.002534789,19556341.988354605,0.0
2006-12-01,13629965.059107313,0.0,245413545.7789363,12247664.72785802,26626369.386246853,0.0
2007-01-01,31145281.066490233,0.0,245852389.2078881,14847439.842830926,46431564.33827296,0.0
2007-02-01,10063725.386628943,0.0,245009900.2423054,12676998.64666415,21898235.067710664,0.0
2007-03-01,5134340.288028978,0.0,241490629.12411833,22376787.92302452,23984773.939313073,0.0
2007-04-01,11078274.432440003,0.0,235906083.77128488,38335751.27050042,43630410.23931892,52202.676647392545
2007-05-01,3244927.030891619,0.0,226526669.49436858,21306869.516859774,14693708.596074779,135726.96492560144
2007-06-01,130336.27223745189,0.0,218174571.20381504,9593845.07892818,572.4076796049812,208810.70658957018
2007-07-01,7895309.535343046,0.0,205177811.44877478,43531936.82470733,36733817.84227242,271453.9298512029
2007-08-01,16554595.667966863,0.0,198428676.99772182,56669591.79892028,64960109.67973728,219251.26047693152
2007-09-01,9203142.47494551,0.0,184850084.53138122,38109940.5610426,32448834.816553034,104405.35329478509
2007-10-01,4690139.788061603,0.0,179895845.46667832,17327695.326100025,16310563.638544668,52202.676647392545
2007-11-01,13480506.138573397,0.0,198362069.8398027,7122586.6481879745,39040418.03699126,0.0
2007-12-01,19066113.837402895,0.0,212701433.200529,36411448.46482391,69811940.65913244,0.0
2008-01-01,16236016.162208183,0.0,221479824.53858703,20780168.412157323,45789101.22023152,0.0
2008-02-01,21175571.55886042,0.0,219714451.4693515,35124416.64990067,54507775.20099425,0.0
2008-03-01,5625746.4423110625,0.0,218397139.45864522,12986129.981391586,17224863.079945117,0.0
2008-04-01,2688021.7471167794,0.0,215482029.85431135,10951574.607733313,10446239.110921195,54416.91466175599
2008-05-01,6614403.074243045,0.0,210988671.05719164,25201460.4402595,26714137.068238545,141483.98635892582
2008-06-01,7677775.993692522,0.0,202439411.45383212,20247368.564150404,18106576.673933808,217667.65864702396
2008-07-01,2553607.276456241,0.0,191259787.4731033,22275289.884687744,11765027.547028935,282967.97271785163
2008-08-01,28622972.86410827,0.0,203942838.742163,56021738.21245559,96246559.92078954,228551.06110357374
2008-09-01,80933.62904750012,0.0,192239219.66217923,13082063.127927475,61749.27512961336,108833.82932351198
2008-10-01,4170630.9429487577,0.0,193514370.41960248,14960442.985864146,19828246.423502915,54416.91466175599
2008-11-01,15339307.049610065,0.0,213682644.0968703,12814938.22396396,48292851.99618736,0.0
2008-12-01,70408152.09378926,0.0,236144979.74543008,13753071.587259224,106623559.32960847,0.0
2009-01-01,6144155.817788525,0.0,235801780.15602845,9604856.769200455,15405812.997587577,0.0
2009-02-01,2146009.4791040495,0.0,233575652.87343255,8485604.824929897,8405487.021437978,0.0
2009-03-01,1298299.8409837238,0.0,223799923.35817844,13747761.687873948,5270332.013603634,0.0
2009-04-01,6389039.637045844,0.0,223816118.4805502,22290334.579353735,28573308.973299608,48824.36753786051
2009-05-01,30614721.449584834,0.0,234187692.44486657,48164500.92413308,88739677.94996662,126943.36102443398
2009-06-01,5001186.177354244,0.0,224371071.68929553,31967410.13196764,25668360.77946351,195297.47015144204
2009-07-01,493780.5179910844,0.0,211016620.44847432,18388303.85454926,2803891.5039879805,253886.72204886796
2009-08-01,842362.8358851045,0.0,205317371.8996333,10977943.893392377,3659036.7661677417,205062.34585935238
2009-09-01,4444167.910808142,0.0,206123285.28500566,24845337.295443572,28664151.590921845,97648.73507572102
2009-10-01,3606186.7971913815,0.0,204697278.210899,17023929.5803752,18202654.935090102,48824.36753786051
2009-11-01,2421077.4402257293,0.0,202737868.06551307,7266385.432813983,7281518.186196826,0.0
2009-12-01,59655508.03488499,0.0,240332863.3018189,19648230.504647084,116898733.77583821,0.0
2010-01-01,118124003.791161,0.0,246132766.9657736,7154505.748192404,131078413.20330773,0.0
2010-02-01,88941636.9109599,0.0,247243224.73720616,19367825.6321946,109419920.31458712,0.0
2010-03-01,49305606.79561854,0.0,246998485.21699393,31940462.250216838,81001329.5256233,0.0
2010-04-01,495165.52552988566,0.0,240139334.07971492,7636513.655940467,1225301.8297380817,47226.21445320091
2010-05-01,2875841.671041244,0.0,238974985.88303053,9228013.758226726,10578087.752455525,122788.15675913732
2010-06-01,9145403.334038038,0.0,237719133.1824284,20970292.027127434,27440295.321288414,188904.85781280365
2010-07-01,27392828.009518836,0.0,238629710.32564944,25858822.49396156,52681853.156290114,245576.31351827463
2010-08-01,19796450.95100784,0.0,224688169.16064408,68021924.08321072,72321545.29276009,198350.11537409347
2010-09-01,7808790.454525454,0.0,223131491.56332764,22630544.046835713,27169494.420740496,94452.42890640182
2010-10-01,50534633.707903,0.0,240724631.19847193,53382187.80707817,121450291.28514002,47226.21445320091
2010-11-01,10779420.68152569,0.0,240890587.31101012,13177044.256085305,24003820.320664383,0.0
2010-12-01,55534081.45748866,0.0,243578754.2114967,9597279.798656328,67819528.15663166,0.0
2011-01-01,2323704.0957130343,0.0,243005451.00195464,1863856.052291662,3614256.938462478,0.0
2011-02-01,5790811.8449174585,0.0,241234023.8268219,17662177.575529832,21676913.95678851,0.0
2011-03-01,3019355.7991170916,0.0,238603204.13999662,16508313.915499909,16838609.377211306,0.0
2011-04-01,10469733.296212802,0.0,232586973.00434637,37120559.87128173,41411481.419713475,43602.00471692812
2011-05-01,26871477.405784573,0.0,240929921.24326888,42325466.56104051,77173174.00790831,113365.21421592316
2011-06-01,2954125.733055035,0.0,238637603.35055128,13451852.901035562,12858537.210572891,174408.01886771247
2011-07-01,21103826.012955386,0.0,228552457.2006384,85865104.0473621,95569465.43969823,226730.42843184632
2011-08-01,9523759.923785135,0.0,224799771.76141554,43912088.01966818,48259932.250542246,183128.42884341313
2011-09-01,8139346.342891252,0.0,215204559.05275276,48730005.65698829,46361175.666239426,87204.00943385623
2011-10-01,10528112.147331255,0.0,221517812.75860918,31143850.454315696,47732795.541289166,43602.00471692812
2011-11-01,8117247.624969424,0.0,219383154.69509968,20496240.75366978,26404063.173684265,0.0
2011-12-01,14944416.040464114,0.0,229195348.60926795,13544902.661407575,38301382.83198085,0.0
2012-01-01,5221667.654847819,0.0,229111455.2697768,12297412.343715124,17433411.735713564,0.0
2012-02-01,12811245.73174995,0.0,227239161.3835724,26208204.586582962,37133023.985888176,0.0
2012-03-01,7946114.608921381,0.0,225114840.50890875,18540992.50216049,24326078.15285976,0.0
2012-04-01,1415292.3903997939,0.0,218723224.26376942,13452991.822933814,8266230.935617965,58130.73217660735
2012-05-01,40700.534131623135,0.0,213648819.94229227,5557416.052157349,0.0,151139.89877275907
2012-06-01,98733.88063890062,0.0,207165205.79177716,7344720.182077931,0.0,232522.9287064294
2012-07-01,13626334.171847202,0.0,192212265.89527422,70504554.19551398,68054065.47832653,302279.79754551814
2012-08-01,15560256.33021441,0.0,193014398.26686803,46604599.293259144,62198342.37304151,244149.06042452675
2012-09-01,8733121.537553856,0.0,190727461.0541479,32124130.444300957,37978858.01273538,116261.4643532147
2012-10-01,9337671.812466895,0.0,193329906.56937304,21087009.85763893,32747104.585508216,58130.73217660735
2012-11-01,4377255.382836797,0.0,193108128.69796336,7201991.89546175,11190221.799996113,0.0
2012-12-01,16229872.036573548,0.0,213067183.67135128,25146965.64505585,61335833.43281502,0.0
2013-01-01,22221962.43203725,0.0,225313041.94133058,9816999.755269313,44284820.457285576,0.0
2013-02-01,33170616.06614829,0.0,233226590.34585693,10669821.26680758,51753985.73748241,0.0
2013-03-01,7515508.803287446,0.0,231731597.63592002,20248047.13057768,26267993.455059458,0.0
2013-04-01,14007630.53904723,0.0,229113444.61719257,28159918.13512709,39460870.35807561,49174.949471240005
2013-05-01,10889311.186457762,0.0,228242426.37557662,32527398.303554565,42310813.03857421,127854.87180265
2013-06-01,63546.509000756756,0.0,218322092.67400736,10696028.365802404,0.0,196699.79788496002
2013-07-01,4311115.159200885,0.0,195632793.9253734,49370233.270836666,29493417.771159254,255709.7436053
2013-08-01,15685711.853779098,0.0,198840977.1835361,49202938.25395936,67205833.65602274,206534.79299717757
2013-09-01,66813526.469251186,0.0,237153037.60216227,59070564.79444547,164092262.42114082,98349.89894248001
2013-10-01,3371119.5504277684,0.0,225620057.5685769,28146547.81484048,19850147.11001509,49174.949471240005
2013-11-01,85223099.21977998,0.0,244706406.7744384,14057743.425495967,118367191.85113716,0.0
2013-12-01,22329833.39708588,0.0,244935239.1988571,15406480.714665607,37965146.53617025,0.0
2014-01-01,28353454.71585196,0.0,246089362.74550077,1914990.5526340595,31422568.815129794,0.0
2014-02-01,14755429.903256636,0.0,246154853.85342303,9589782.133596761,24410703.144775838,0.0
2014-03-01,520719.27686480427,0.0,237726882.00979343,10966044.204113947,3058791.6373487604,0.0
2014-04-01,4949234.198034968,0.0,224096662.97447732,27510311.998252068,18768584.70352645,51008.3261117522
2014-05-01,19529162.415031184,0.0,223696987.6879718,49375972.64474901,68066273.38985014,132621.6523455429
2014-06-01,51465.342892764245,0.0,213157583.73749554,11994214.436005611,0.0,204033.3044470088
2014-07-01,19204667.996743202,0.0,210472251.1629866,47162869.47255034,62305737.598652825,265243.3046910858
2014-08-01,13450268.389104467,0.0,190496833.03933564,64316354.55547862,56238144.083546944,214234.97480540065
2014-09-01,34045737.66669697,0.0,225622711.26959085,44881722.87588232,113751686.80307712,102016.6522235044
2014-10-01,79278.32027788552,0.0,220518971.2695591,5742193.9667438725,156154.81767730997,51008.3261117522
2014-11-01,5493525.080284484,0.0,226951727.08578148,4956337.245247313,16710432.001669906,0.0
2014-12-01,19809007.295431983,0.0,233859198.75060755,21020506.423139453,47736985.383397855,0.0
2015-01-01,48468584.50246749,0.0,242719600.12730587,22460828.78277989,79789814.66194586,0.0
2015-02-01,41296018.09711535,0.0,245410706.77272123,15809350.324681345,59796475.067212045,0.0
2015-03-01,15395306.795876702,0.0,242538522.31534016,21750823.140991647,34273945.47948711,0.0
2015-04-01,16497266.133414166,0.0,227442878.1858272,38600649.76254088,39851540.43678457,50575.50412001657
2015-05-01,31972099.580584757,0.0,220264928.3608912,64078888.87095122,88275672.63632198,131496.32175901753
2015-06-01,39015327.83052381,0.0,218692395.5766055,60046753.729323745,96230071.46886775,202302.0164800663
2015-07-01,58076617.86701281,0.0,214392098.92480275,92070487.46442573,144466038.7151129,262992.64351803507
2015-08-01,24906961.766142387,0.0,215584961.53183413,42904720.34394021,67604952.98377907,212417.13054331954
2015-09-01,11291562.86010041,0.0,207884685.6060032,28797451.65031034,30967323.94683798,101151.00824003314
2015-10-01,79648040.13512388,0.0,236560949.7724146,44825836.85452521,153088111.67115512,50575.50412001657
2015-11-01,31198478.72677697,0.0,238068416.91875377,22510070.645955898,55193258.44364032,0.0
2015-12-01,29696901.0420176,0.0,238971999.32526973,21579084.39592333,52172396.039189674,0.0
2016-01-01,92887225.43606322,0.0,246506882.53857878,16958420.455635063,117380529.10500734,0.0
2016-02-01,22615168.37528119,0.0,246654866.87678266,15320269.40788936,38083422.12137464,0.0
2016-03-01,12045171.570918458,0.0,244380224.68708465,16134935.370782802,25905173.554704864,0.0
2016-04-01,39417630.4617034,0.0,245995784.5864565,39555222.62251357,80516268.886191,50753.554626577294
2016-05-01,9613702.830863575,0.0,235780486.74905834,27180337.32854524,25892814.73175228,131959.24666080112
2016-06-01,1314365.0404018636,0.0,223102203.51994312,16806972.400864176,3582502.7612332203,203014.21850630917
2016-07-01,9945876.626867784,0.0,202767736.27056086,51771667.78519824,39120054.49608669,263918.49332160223
2016-08-01,16448306.37778307,0.0,190649254.1662885,36412149.33027101,38702017.2951888,213164.91951515022
2016-09-01,25516098.11602663,0.0,202827285.61992437,39804921.01777721,76732449.28732617,101507.10925315459
2016-10-01,19955847.52977411,0.0,214071759.39494464,22210071.74632273,53100678.849537276,50753.554626577294
2016-11-01,16539830.584781202,0.0,218795517.85388604,17566573.877771575,38753927.47059719,0.0
2016-12-01,23373418.255599774,0.0,228053195.00027642,12328020.318484511,44959111.14662713,0.0
2017-01-01,57698291.790786035,0.0,239917997.13957992,34831471.53803985,104394565.46812977,0.0
2017-02-01,16630315.64940934,0.0,237168716.53065434,16363151.680251973,30242745.481846694,0.0
