Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,46052097.34846807,0.0,232539865.57351354,23821883.050596073,129512257.64257395,0.0
2005-02-01,9033845.303902913,0.0,231070834.25077206,58850928.24323924,66415742.224400796,0.0
2005-03-01,591819.6268507701,0.0,195006281.17143875,78575617.34502746,43102883.8925448,0.0
2005-04-01,0.0,0.0,92647429.23367797,147348840.47119218,37712260.49813795,323.58340606092656
2005-05-01,1256.9510228335375,0.0,41087261.95435475,120853167.39853333,21974673.94448008,841.3168175099944
2005-06-01,0.0,0.0,46736327.64399414,86415979.16705103,51863118.839665376,1294.3336242437063
2005-07-01,0.0,0.0,36542735.162714005,79393754.6521804,22252792.918008067,1682.6336350199888
2005-08-01,0.0,0.0,39113148.3129578,87266561.79509027,71554514.04204701,1359.050324580099
2005-09-01,1279199.5407687356,0.0,81297886.34922047,31928898.278313726,74312843.5292045,647.1668121218531
2005-10-01,2385421.012740371,0.0,105295807.93625295,34819632.65796077,60986058.55808175,323.58340606092656
2005-11-01,0.0,0.0,86367740.11948921,34538981.992619604,14190945.777533699,0.0
2005-12-01,4508.247405275066,0.0,79266988.59568651,23378278.937184326,14884790.169040091,0.0
2006-01-01,210682.8890663539,0.0,78231111.92190751,30470312.960580382,28382345.3533258,0.0
2006-02-01,105843.05985519302,0.0,56620864.28291986,42789942.34694117,6177953.332742956,0.0
2006-03-01,1360552.9342241222,0.0,95284801.64013241,52477266.863952965,90174793.49597324,0.0
2006-04-01,32239.187244905384,0.0,57255610.46563603,99390354.52291764,12659143.252021726,315.1013419724464
2006-05-01,0.0,0.0,45080519.036660194,88403089.74366277,2498862.7630508137,819.263450879946
2006-06-01,0.0,0.0,33986812.59188504,84341393.81581964,9766856.015741784,1260.4053678897856
2006-07-01,0.0,0.0,26059132.422637377,109030116.157302,49884790.09863615,1638.526901759892
2006-08-01,0.0,0.0,14315556.26244384,127015790.79052551,43636692.7338427,1323.4256554084825
2006-09-01,0.0,0.0,16588304.973138569,54476190.06327842,34350656.00077265,630.2026839448928
2006-10-01,26120247.70740865,0.0,219254489.93650928,37754193.36408628,266540310.9335236,315.1013419724464
2006-11-01,0.0,0.0,189334948.58390534,47599593.94610981,17680052.593505863,0.0
2006-12-01,1487854.8484209185,0.0,202258245.8489769,15896500.137043135,30307652.250535548,0.0
2007-01-01,4867805.878703162,0.0,211885537.2265362,32014337.712745097,46509434.96900784,0.0
2007-02-01,364101.0095484663,0.0,182311940.5852317,48574692.85195294,19365197.22019681,0.0
2007-03-01,109242.65250580275,0.0,132140214.1199768,77815232.65361568,27299315.73578134,0.0
2007-04-01,287311.13038066315,0.0,79322514.05609044,113048043.7147765,47972061.22622821,277.12303269046544
2007-05-01,0.0,0.0,23050011.98543496,173388722.86720783,20664578.66481292,720.519861089951
2007-06-01,0.0,0.0,11680997.45640132,104589192.56403138,2623998.003540078,1108.4921307618617
2007-07-01,0.0,0.0,11220660.667440277,105721127.66697256,54996190.691627055,1441.039722179902
2007-08-01,0.0,0.0,11279452.146455308,137804093.91446275,64493183.748535305,1163.9167612052142
2007-09-01,0.0,0.0,16459985.456746623,76225049.85216472,56179028.402093075,554.2460653809309
2007-10-01,0.0,0.0,12870481.21722491,62370020.69321567,22328236.93591101,277.12303269046544
2007-11-01,0.0,0.0,7584482.824515172,35132712.86853333,10376821.859372128,0.0
2007-12-01,0.0,0.0,79418731.73650487,22462414.479011755,94296663.3910015,0.0
2008-01-01,171607.93362448344,0.0,111327404.39657134,30193869.54366275,61906947.4867037,0.0
2008-02-01,868837.1184580133,0.0,106218638.89439508,64782113.33375685,58795072.69144418,0.0
2008-03-01,98130.35143979508,0.0,71382439.17024149,61294921.66083139,19260972.929773524,0.0
2008-04-01,0.0,0.0,18677032.77916124,107623222.65097259,10501704.06340058,298.40985327727725
2008-05-01,0.0,0.0,2804047.3816251904,162641152.41548237,27107913.36990172,775.8656041777652
2008-06-01,0.0,0.0,1925537.0467737035,94160877.89670591,18107505.759878654,1193.639413109109
2008-07-01,0.0,0.0,1534419.7471672925,92518325.86191377,21801728.922466155,1551.7312083555305
2008-08-01,0.0,0.0,12803975.118056994,115344856.6375608,88683253.62980355,1253.3213789835127
2008-09-01,0.0,0.0,11086734.576797338,35524758.025537245,6891813.407367166,596.8197065545545
2008-10-01,0.0,0.0,10417043.190096159,31810117.636807825,19707400.982413866,298.40985327727725
2008-11-01,0.0,0.0,32762928.102909576,18815757.394062743,41150011.04383952,0.0
2008-12-01,0.0,0.0,128995929.76188794,19482861.74366274,115715863.40264113,0.0
2009-01-01,102409.38958347647,0.0,101279342.93436973,50049675.92578039,22435498.487845566,0.0
2009-02-01,0.0,0.0,69669067.9388609,41881007.08512158,9620094.608309971,0.0
2009-03-01,38860.925467294,0.0,13128215.118641686,104241643.93899609,15103568.370473195,0.0
2009-04-01,7162.264378787925,0.0,5076037.913839179,98329293.5889334,27270596.233698007,150.76999200936393
2009-05-01,29106.37836555584,0.0,33207463.12288559,67217682.73942748,80347552.84923452,392.0019792243462
2009-06-01,0.0,0.0,13995088.20364958,133981665.3313961,30909051.526427213,603.0799680374557
2009-07-01,0.0,0.0,3375642.760311367,153748560.11175683,15111205.354347212,784.0039584486924
2009-08-01,0.0,0.0,591755.3459742757,109260681.89256474,4557252.535166662,633.2339664393284
2009-09-01,0.0,0.0,2718103.9664747603,52151282.40821178,27729233.31300132,301.53998401872786
2009-10-01,0.0,0.0,1941152.4159772734,43385959.82659609,23901497.45322856,150.76999200936393
2009-11-01,0.0,0.0,1299360.8178362534,19118736.051599994,9733052.091283945,0.0
2009-12-01,0.0,0.0,90970877.45787944,25603457.400141187,115274974.04018433,0.0
2010-01-01,6265660.041193065,0.0,190653035.81319007,23478259.76756078,129426078.16406444,0.0
2010-02-01,33560787.73791543,0.0,210155177.66492084,47688163.54670589,100751093.13635206,0.0
2010-03-01,6597961.036203383,0.0,185679958.79785466,69659712.71785884,51732063.94356555,0.0
2010-04-01,0.0,0.0,92953539.15138438,108855544.58541176,4368498.5087189535,145.40832922181804
2010-05-01,0.0,0.0,58425607.7139153,80585814.46815689,2847673.9260415984,378.061651195675
2010-06-01,3699.3889238890824,0.0,48084031.538222566,54024640.06844709,15425009.691639578,581.6333168872721
2010-07-01,0.0,0.0,27679201.03594143,139496763.34114507,35715470.14921164,756.12330239135
2010-08-01,0.0,0.0,34081335.519299686,89622535.54013339,78931132.75225899,610.7149731695321
2010-09-01,0.0,0.0,23896981.91808411,63099304.0634353,23249452.014059704,290.8166584436361
2010-10-01,175709.825950569,0.0,85531544.15259308,37513419.25073725,99168800.82856233,145.40832922181804
2010-11-01,0.0,0.0,71153963.4574151,34546557.19111372,19435434.923870616,0.0
2010-12-01,3183397.1288306653,0.0,114704063.65128756,23609909.005772557,70343406.3284757,0.0
2011-01-01,146280.56555052966,0.0,99547191.56598495,19175123.73333333,3696052.7788215075,0.0
2011-02-01,237858.91342521724,0.0,77880300.26677826,51366120.74363138,24820095.605093617,0.0
2011-03-01,141890.68875517277,0.0,40964054.73509578,85686596.5625255,16845908.497722425,0.0
2011-04-01,278513.28220181784,0.0,25654909.1653209,133865275.62753722,50700886.56146169,146.79330432195383
2011-05-01,42591.48204298585,0.0,22589039.333947375,94754576.36814122,49371010.74261565,381.6625960181318
2011-06-01,0.0,0.0,17291867.784310535,63028587.42145099,7371074.212195947,587.1732172878153
2011-07-01,508896.06946747174,0.0,70594028.66544287,55284574.64170202,107759908.5551193,763.3251920362636
2011-08-01,268137.0202931364,0.0,57880277.19389568,71956006.15053335,40279663.58660344,616.5318877143098
2011-09-01,325453.17133322026,0.0,53825615.0907219,78797023.73555294,59230966.25273343,293.58660864390765
2011-10-01,446842.44259803765,0.0,64961701.23440796,37710056.50143529,45129642.6037095,146.79330432195383
2011-11-01,94540.56333456923,0.0,57868737.55835594,40267209.76610196,31022265.165382005,0.0
2011-12-01,409680.54131381854,0.0,87836565.29247786,23474305.924666658,53851814.20010245,0.0
2012-01-01,212542.49858486524,0.0,75918751.93221563,44824366.88941177,31444407.26220973,0.0
2012-02-01,1132142.9408135728,0.0,72635282.12677516,59385725.66044707,49414348.99409599,0.0
2012-03-01,67302.33731998013,0.0,34811755.44411353,116528156.99093327,25235038.80090199,0.0
2012-04-01,0.0,0.0,18267432.27854,112890246.70318438,11115104.257048974,330.58518478062547
2012-05-01,0.0,0.0,12630136.66026893,91972251.91443136,0.0,859.5215330211968
2012-06-01,0.0,0.0,10868458.82566978,64957361.63924709,60827.296716992576,1322.3407391225019
2012-07-01,0.0,0.0,40838347.2860528,80636087.11734901,95502517.7282269,1719.0430660423935
2012-08-01,0.0,0.0,36168481.60542979,90360701.33194506,54383496.91989551,1388.4578095459901
2012-09-01,0.0,0.0,37367361.9784354,59690395.400596075,39555590.68346269,661.1703695612509
2012-10-01,0.0,0.0,30010512.145358242,53858068.53672941,28873496.890191097,330.58518478062547
2012-11-01,0.0,0.0,23357821.25786453,32068003.169082362,10625409.852584833,0.0
2012-12-01,24743.358345866545,0.0,67722328.17722863,19229786.283278428,63558296.12398443,0.0
2013-01-01,828114.5428252222,0.0,97143333.86836892,29970063.547003917,59786104.57035807,0.0
2013-02-01,1465507.2117829933,0.0,99388664.60892774,43420841.274737254,45009609.552729405,0.0
2013-03-01,102129.7385493058,0.0,47404894.06034602,96582303.12810199,28815034.75036182,0.0
2013-04-01,165087.3703398957,0.0,29204641.875589494,104466212.30050197,34440054.050193325,284.04166891847916
2013-05-01,0.0,0.0,28736855.499061424,68876287.18156865,36688027.915186904,738.5083296259422
