Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,46789188.974836715,0.0,243066621.75975415,53365894.701403916,129512257.64257395,0.0
2005-02-01,5376548.583471392,0.0,241076250.0368796,63029565.363803945,66415742.224400796,0.0
2005-03-01,501652.31345240667,0.0,208029384.08339155,75648097.5325804,43102883.8925448,0.0
2005-04-01,179589.28857766994,0.0,154889110.44289905,90673268.43345885,37712260.49813795,323.58340606092656
2005-05-01,96636.15381960012,0.0,93119609.91888168,86363399.74096473,21974673.94448008,841.3168175099944
2005-06-01,72611.80428427928,0.0,88228864.48801778,58317494.690188244,51863118.839665376,1294.3336242437063
2005-07-01,0.0,0.0,71598865.98301493,42012036.47010196,22252792.918008067,1682.6336350199888
2005-08-01,0.0,0.0,103979332.4957593,39312177.37530195,71554514.04204701,1359.050324580099
2005-09-01,324199.681733032,0.0,146672554.9082273,31721298.79246274,74312843.5292045,647.1668121218531
2005-10-01,978188.876815985,0.0,143033545.78366426,64107700.15701959,60986058.55808175,323.58340606092656
2005-11-01,0.0,0.0,106955362.18155898,51756007.650141165,14190945.777533699,0.0
2005-12-01,89959.32839158403,0.0,94149667.99909666,29007772.348807838,14884790.169040091,0.0
2006-01-01,130288.05326236166,0.0,88439430.2097232,35881883.711992145,28382345.3533258,0.0
2006-02-01,90475.83489833027,0.0,65008854.30017845,39537102.08268235,6177953.332742956,0.0
2006-03-01,331586.85941623576,0.0,90915582.08620743,64346503.813286275,90174793.49597324,0.0
2006-04-01,73950.22641353283,0.0,62386186.00412995,49839102.34135688,12659143.252021726,315.1013419724464
2006-05-01,0.0,0.0,37287194.610958606,52265973.07225882,2498862.7630508137,819.263450879946
2006-06-01,0.0,0.0,27034480.656813607,39217568.56785098,9766856.015741784,1260.4053678897856
2006-07-01,0.0,0.0,38008053.462639235,40577519.88614117,49884790.09863615,1638.526901759892
2006-08-01,0.0,0.0,46841307.7439248,37048235.80756079,43636692.7338427,1323.4256554084825
2006-09-01,0.0,0.0,55537692.8815028,26754945.73761568,34350656.00077265,630.2026839448928
2006-10-01,34863940.38846762,0.0,226589903.3576341,60624475.17026669,266540310.9335236,315.1013419724464
2006-11-01,39837.47898618268,0.0,189782052.7120832,54448065.760070585,17680052.593505863,0.0
2006-12-01,114503.35670365389,0.0,186909006.77276215,33066194.833152942,30307652.250535548,0.0
2007-01-01,1238387.1231698783,0.0,199856672.05114135,32323382.567458823,46509434.96900784,0.0
2007-02-01,94888.39319758111,0.0,168005205.95750517,51121774.920635305,19365197.22019681,0.0
2007-03-01,43299.436971519324,0.0,106820667.62517615,89744405.6436314,27299315.73578134,0.0
2007-04-01,78736.72901389695,0.0,58967037.27238429,102919021.87027456,47972061.22622821,277.12303269046544
2007-05-01,11030.67486956202,0.0,38040513.09502404,52898263.6059059,20664578.66481292,720.519861089951
2007-06-01,0.0,0.0,19213420.90157811,41509437.48833725,2623998.003540078,1108.4921307618617
2007-07-01,0.0,0.0,32400618.296996523,43321988.10956078,54996190.691627055,1441.039722179902
