Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,621860038.2645589,149830041.79367504,775097534.2794015,18744628.72858748,805365838.3534974,0.0
2005-02-01,349816771.3123579,33736.98054503056,775966525.7031996,48050312.05702294,398769811.77372324,0.0
2005-03-01,252198250.7965575,3588215.074805558,764312085.465546,119736670.86061199,363861863.83384246,0.0
2005-04-01,40479013.66955175,0.0,712851055.9634773,179847306.1103152,165958161.3424692,2713823.257485044
2005-05-01,8432430.069428487,0.0,537975884.7608017,280283957.77942973,105974346.40332142,7055940.440833544
2005-06-01,11571552.77516996,0.0,527501419.735628,220500616.22878087,209360607.921686,10855293.029940177
2005-07-01,5213428.269641986,0.0,390108972.5105883,227195714.87261522,58644676.134590834,14111880.881667089
2005-08-01,8039676.132548331,0.0,364642733.1608902,226429355.4574403,173832716.57817173,11398057.464056723
2005-09-01,3208602.7031807527,0.0,331563528.2692637,146907273.65874276,78809128.4626688,5427646.514970088
2005-10-01,13315981.511029601,0.0,391208460.3606064,76422896.96723768,144892003.06298146,2713823.257485044
2005-11-01,7135276.269672472,0.0,423684865.46746194,34768944.65348613,73647710.44584642,0.0
2005-12-01,47136140.45057185,0.0,552608696.1664481,25413770.93991708,201473742.089475,0.0
2006-01-01,99082812.31695455,0.0,668183305.8265367,26286833.782172747,240944255.75921726,0.0
2006-02-01,51439065.1540341,0.0,663840736.3023514,93830716.30530557,140899970.25078696,0.0
2006-03-01,329782311.20566523,963445.0125628912,745615018.3557868,139640567.74958038,552160606.0212414,0.0
2006-04-01,9559497.451784259,0.0,561936443.1042167,278227710.885028,100186134.82973672,2900777.468288573
2006-05-01,440418.2061026131,0.0,313990755.8061087,279826298.2444681,4440188.865267293,7542021.102147317
2006-06-01,1596775.6703082486,0.0,159140779.95062372,299954058.8668736,2600128.3407379244,11603109.873154292
2006-07-01,6480674.528141069,11129.462987078268,178351110.35203442,232576291.5163979,186522293.4054895,15084042.204294633
2006-08-01,5874910.141525844,0.0,158262537.69106764,229160393.06565407,106582210.38790606,12183264.88524073
2006-09-01,3401155.2976516504,0.0,163062210.06212047,176999508.37000138,123429647.4373315,5801554.936577146
2006-10-01,19411696.795540795,0.0,426359259.3934315,84159349.20904966,363967317.8676125,2900777.468288573
2006-11-01,11108946.181771483,0.0,501455822.68973017,52239762.665226385,138444069.92868322,0.0
2006-12-01,48483148.13772485,0.0,654565484.8325429,19012332.303350266,220605142.58388966,0.0
2007-01-01,75520272.66524409,0.0,719146875.9525211,26900462.9555113,167002126.7407321,0.0
2007-02-01,103745347.06539136,0.0,737294109.3333033,83758421.36045715,205641600.88259238,0.0
2007-03-01,28424335.74128139,0.0,669263198.519006,171534447.59025282,131674672.83765088,0.0
2007-04-01,9918841.821423078,0.0,587457364.8944594,215027673.9181535,139186643.5313926,3259089.588686617
2007-05-01,1917483.9631871567,0.0,417017153.68317187,234671544.64721745,51678543.2238327,8473633.004032172
2007-06-01,4571183.079544432,0.0,298597507.1157839,215272541.3927621,40831173.86094183,13036358.354746468
2007-07-01,13790688.369466877,13783.411182959308,288545001.12927496,239139944.28947556,179805006.65257105,16947266.008064345
2007-08-01,10911651.712865107,0.0,276608626.38868296,223563390.60483596,164638383.4353418,13688176.445074925
2007-09-01,8219867.7696325155,0.0,287825709.91712177,167801677.6992015,155161384.55034164,6518179.177373234
2007-10-01,383791.83056073706,0.0,234506498.6529082,168342277.46084118,56462157.4973887,3259089.588686617
2007-11-01,831755.7430705444,0.0,294280643.3105466,39929471.89093945,100440589.2907441,0.0
2007-12-01,96869059.78022058,2604.5125864812007,651898139.5531694,8820875.166020539,463310035.7014535,0.0
2008-01-01,345381601.65657026,9201101.989269363,769575855.5022154,20467325.121731136,492727744.716614,0.0
2008-02-01,311846535.18648624,0.0,774691148.1822627,53695041.52735478,370656869.3938878,0.0
2008-03-01,60446860.03169416,0.0,692879536.3334081,167706246.4272385,146216082.8503216,0.0
2008-04-01,3545634.1758855795,0.0,472936519.80004215,272432399.74009454,51609911.915110484,2722362.304731051
2008-05-01,1601120.0454413046,0.0,349079378.36706525,238356867.5477001,92307741.21461925,7078141.93867987
2008-06-01,2775424.3651102823,0.0,264049945.58926633,185273645.2386666,30704459.773082137,10889449.218924204
2008-07-01,6159573.243682128,0.0,204152491.8825957,281327534.9135795,119646181.40422808,14156283.87735974
