Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,607526318.8864115,120414433.25356445,764057351.5792439,17148415.015160784,766814837.0114092,0.0
2005-02-01,345850829.53734034,0.0,765954540.5784339,43493289.60352941,391241308.1400598,0.0
2005-03-01,255563285.9104973,1105512.9891386156,747388275.7772418,109418999.63255693,347521533.7310011,0.0
2005-04-01,36237664.141266875,0.0,669857935.2687763,180742795.13468245,136574109.73328015,2876009.0342038465
2005-05-01,10014340.368683884,0.0,485905574.16568685,286652838.1253333,105237193.89212361,7477623.498804236
2005-06-01,7388463.169503534,0.0,442153819.0933945,223640449.50403917,173158397.9044007,11504036.136815386
2005-07-01,5299115.847014212,0.0,321180081.14969987,229937846.3370666,58418128.14445603,14955246.997608472
2005-08-01,6490645.004005706,0.0,305186149.5307362,228625706.55639213,170056128.83331,12079237.747195115
2005-09-01,4088528.626585396,0.0,275055471.4618934,150556149.4338118,76862209.56180124,5752018.068407693
2005-10-01,11585077.317726012,0.0,335113214.3357838,77375272.5888235,145560802.48769015,2876009.0342038465
2005-11-01,11727748.113808518,0.0,377787290.74678403,34811153.041984305,89208585.43400064,0.0
2005-12-01,42715198.30979347,0.0,487347244.823043,25740285.007835306,178015437.39388776,0.0
2006-01-01,81742654.0181264,0.0,586596355.276186,26461012.51200786,207452776.9832772,0.0
2006-02-01,62535464.14498126,0.0,582074214.0722858,88571182.38545884,146584505.32653937,0.0
2006-03-01,270863541.4698012,352529.1489907505,674217255.388331,136840556.12210983,500199668.05694705,0.0
2006-04-01,13826693.882492043,0.0,484446352.367727,283946989.1727215,99805211.4420781,3064877.4924418395
2006-05-01,0.0,0.0,270341601.6571561,288057326.955647,14104839.781197725,7968681.271971151
2006-06-01,2367310.5066076154,0.0,148969863.39498845,302798623.5996942,9586118.917962216,12259509.969767358
2006-07-01,10534867.14283025,0.0,177903884.11832196,235319486.42920786,205428407.37668318,15937362.543942302
2006-08-01,8220236.555164278,0.0,156590975.71418533,232128014.24176475,101664493.88191427,12872485.184940951
2006-09-01,4898462.404045334,0.0,171089911.18754256,179355639.95723146,148808690.52434188,6129754.984883679
2006-10-01,27224161.603160687,0.0,417314680.4668469,85896358.49728629,356280411.8873096,3064877.4924418395
2006-11-01,18259392.27144485,0.0,488721441.36710817,50630442.73720787,140296595.9089139,0.0
2006-12-01,53200157.55756651,0.0,621659664.5969988,19286598.22435294,205424979.01181072,0.0
2007-01-01,75526979.3976941,0.0,676525599.1050975,26426524.689819604,156819438.59561184,0.0
2007-02-01,98716792.49629731,0.0,696498799.442372,82473593.61316861,201163586.44674024,0.0
2007-03-01,29835531.178365495,0.0,616626783.427067,171073405.6548784,121036920.81793927,0.0
2007-04-01,11963076.095328791,0.0,530036252.85383624,220290009.980055,141822244.1280911,3464481.8392360145
2007-05-01,3211867.111414154,0.0,367516166.36978066,241625832.11159226,57853954.55975637,9007652.755979119
2007-06-01,6340811.169259512,0.0,260335889.6694571,219868338.18923926,35774126.33123751,13857927.356944058
2007-07-01,16211739.897314709,0.0,248077333.78807575,243581738.01209426,166341269.15625444,18015305.511958238
2007-08-01,15709307.461373264,0.0,247321924.6497238,230322412.1733568,181631068.79943332,14550823.610466687
2007-09-01,10437528.142583715,0.0,261209964.65347493,170881874.27661958,160911907.2426231,6928963.678472029
2007-10-01,633177.8535865527,0.0,227262659.60548776,164531392.5703921,68943244.27617761,3464481.8392360145
2007-11-01,2082023.8153886662,0.0,276881013.04736054,39738832.97207846,91101004.63079588,0.0
2007-12-01,107483036.66479048,251327.1139581602,626140118.3211018,8985866.002854897,465979335.0553452,0.0
2008-01-01,348528708.00800633,10513946.517210063,755173526.1951818,19077230.9171294,507153293.3164246,0.0
2008-02-01,294851762.5150173,0.0,761485851.8439413,54267194.3031843,355431282.46696115,0.0
2008-03-01,61142742.2853962,0.0,666445570.0968053,167021732.65465105,133124193.19291149,0.0
2008-04-01,3763589.9669018094,0.0,431390493.2856765,280555471.6676077,45994979.63159924,2813228.410338692
2008-05-01,3651923.172785493,0.0,313420672.4320639,246257396.23743534,98072511.94452381,7314393.916150742
2008-06-01,3238090.8753256733,0.0,236828379.3302322,193625649.1547529,31723884.18555958,11252913.641354768
2008-07-01,6503647.784901689,0.0,186904258.65502167,291102767.2666746,134570185.20885074,14628787.832301484
2008-08-01,9688243.637021424,0.0,181008375.22531828,198325081.41090992,111435558.25244609,11815560.012207944
2008-09-01,4738029.689453569,0.0,177933093.34998283,108912343.72132543,38602842.27167722,5626456.820677384
2008-10-01,5159069.071124024,0.0,203511774.53566623,65850373.477160774,87457386.84411956,2813228.410338692
2008-11-01,9711197.684087904,0.0,302871858.5416617,39901949.95333333,148973231.64341623,0.0
2008-12-01,112400337.43364242,0.0,633438192.7416192,22549690.040282357,465516361.67388266,0.0
2009-01-01,163230119.73702142,0.0,718294814.8861033,20858494.652996086,268945236.53450114,0.0
2009-02-01,166151573.9424385,0.0,731530283.0426203,68661039.21201569,248048081.31097093,0.0
2009-03-01,128192472.20370692,0.0,706601611.1427418,143673748.694996,246937548.99882504,0.0
2009-04-01,31127904.51783526,0.0,594244187.9210826,284693770.8770589,200284713.15374857,3179539.019486014
2009-05-01,2181516.9868039256,0.0,480569373.72932625,222704918.54406288,101182140.16825552,8266801.5634602895
2009-06-01,6546015.673148046,0.0,350715592.1423331,237132079.5478116,76508112.13864033,12718156.077944055
2009-07-01,11050194.906231135,0.0,288744036.1879278,209001816.5233332,72315752.7166259,16533603.126920579
2009-08-01,7975598.679819849,0.0,236670240.45242703,228492993.65189803,54049998.55853372,13354063.392075857
2009-09-01,3122671.1414533406,0.0,215195405.6118549,169093263.04189813,65472784.831940904,6359078.038972028
2009-10-01,2610428.9452573806,0.0,212421604.85480806,123336232.30280004,84029434.3496231,3179539.019486014
2009-11-01,4234882.038615757,0.0,294742010.31898177,42118493.57753725,128649878.05409889,0.0
2009-12-01,88268651.06934838,0.0,625577436.2852488,19020382.550392173,438124459.5860074,0.0
2010-01-01,297782595.3471155,5168089.5346041955,744056925.1334801,9000371.910541177,430430545.64049184,0.0
2010-02-01,234558816.85523358,0.0,761874505.2551483,57304088.1389255,309680485.1158268,0.0
2010-03-01,208538817.56817266,0.0,758361142.4236164,151235814.13589016,356261268.87253094,0.0
2010-04-01,95111561.7757641,0.0,704401692.591558,198305930.09221172,236898026.33257812,2560015.7033395967
2010-05-01,4293263.009668507,0.0,524231278.9726544,241513409.92015705,58894899.92083225,6656040.721785475
2010-06-01,3293975.071654089,0.0,380121565.2497521,196671423.50656477,31140586.060437288,10240062.813358387
2010-07-01,7149558.442467464,0.0,344841578.6134361,194343461.65394518,118624705.40894954,13312081.44357095
2010-08-01,6737722.5981210675,0.0,312718389.0139232,198038024.54104313,120698162.43404423,10752065.330301037
2010-09-01,1524210.0626338962,0.0,265691978.82255828,115092477.0123216,5580967.5304875,5120031.4066791935
2010-10-01,56414124.87342892,0.0,524200176.76078534,88951723.10495684,401314030.2132731,2560015.7033395967
2010-11-01,73898679.186638,0.0,644609069.4101586,64985431.66301963,259293003.4990308,0.0
2010-12-01,434109371.20846105,61062293.11793568,748378936.0042331,33948391.91570979,632889922.8361803,0.0
2011-01-01,62352018.253517695,0.0,745488297.2554078,31516246.08648628,90977625.59117903,0.0
2011-02-01,385016180.51311505,11454.57517042022,762828057.0616543,36318475.68956079,438685870.5840923,0.0
2011-03-01,222573059.6193622,0.0,754149309.3154263,137688048.3609332,351582360.23406774,0.0
2011-04-01,171136757.53983894,1729229.0413551254,739641278.7966412,172397889.50668234,328564473.24987084,2191372.3192207497
