Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,590498011.6908919,112356741.43121865,764169013.0185903,38031496.626227476,766814837.0114092,0.0
2005-02-01,350403528.11700994,0.0,765825735.4063854,39181057.6352549,391241308.1400598,0.0
2005-03-01,291062144.0919916,2190693.9908863404,761119834.4131439,58974596.64136468,347521533.7310011,0.0
2005-04-01,52818636.201361954,0.0,725800811.2143868,121950505.76487845,136574109.73328015,2876009.0342038465
2005-05-01,15220348.972392052,0.0,618265256.2582016,205030023.37472174,105237193.89212361,7477623.498804236
2005-06-01,9029549.44315642,0.0,557616100.435343,236282040.42091766,173158397.9044007,11504036.136815386
2005-07-01,7659014.789199896,0.0,404920487.3853696,220115423.29696465,58418128.14445603,14955246.997608472
2005-08-01,10102628.15567159,0.0,388906615.0516774,190884408.83887842,170056128.83331,12079237.747195115
2005-09-01,3948558.351747538,0.0,332328982.9067571,145719704.00612548,76862209.56180124,5752018.068407693
2005-10-01,1609421.5057516242,0.0,339728108.0312543,143335434.58593726,145560802.48769015,2876009.0342038465
2005-11-01,2070215.9436134323,0.0,357023853.94796306,73655803.90421967,89208585.43400064,0.0
2005-12-01,21998953.885729823,0.0,472388528.24354845,40697675.472486325,178015437.39388776,0.0
2006-01-01,73695056.4613464,0.0,569938001.2817073,36208247.48377255,207452776.9832772,0.0
2006-02-01,67357330.74875215,0.0,593444743.3748142,55859303.45509019,146584505.32653937,0.0
2006-03-01,302251423.7819862,1678262.0626966036,715151155.1362944,74563570.45078437,500199668.05694705,0.0
2006-04-01,17948929.890416358,0.0,625838370.7778468,174578339.99329415,99805211.4420781,3064877.4924418395
2006-05-01,1258588.2856650425,0.0,412765600.1236704,240453953.23461196,14104839.781197725,7968681.271971151
2006-06-01,5307781.474025326,0.0,257081723.19935387,196733815.54156855,9586118.917962216,12259509.969767358
2006-07-01,12411884.611658921,0.0,288644225.9927047,184159746.4338747,205428407.37668318,15937362.543942302
2006-08-01,9304289.56238373,0.0,232750789.42142108,202397500.88379604,101664493.88191427,12872485.184940951
2006-09-01,5415207.595652152,0.0,247551675.36516923,152868693.79056472,148808690.52434188,6129754.984883679
2006-10-01,18168765.434793558,0.0,441083489.69578165,147644709.61434504,356280411.8873096,3064877.4924418395
2006-11-01,6140355.595253781,0.0,465389909.0553476,109849820.95409402,140296595.9089139,0.0
2006-12-01,48515621.922103405,0.0,582755811.3565848,39543454.78847059,205424979.01181072,0.0
2007-01-01,62186916.63635865,0.0,645944957.339375,31443375.976462737,156819438.59561184,0.0
2007-02-01,101289281.52785344,0.0,687193973.9539716,58625288.30429016,201163586.44674024,0.0
2007-03-01,41564597.31504895,0.0,646482366.3194695,120293336.29648632,121036920.81793927,0.0
2007-04-01,19968854.349200904,0.0,599114648.7421857,173623297.62825888,141822244.1280911,3464481.8392360145
2007-05-01,2878359.764723573,0.0,447465613.47891784,227052430.80170983,57853954.55975637,9007652.755979119
2007-06-01,7003275.243546777,0.0,324183718.39763993,193474259.58714506,35774126.33123751,13857927.356944058
2007-07-01,16311440.607857868,0.0,329285635.8792291,172218955.54447836,166341269.15625444,18015305.511958238
2007-08-01,13072754.963440482,0.0,325966700.77588946,199961095.54287836,181631068.79943332,14550823.610466687
2007-09-01,5447307.565776293,0.0,330120242.5556262,171517349.3232156,160911907.2426231,6928963.678472029
2007-10-01,186509.21842339248,0.0,277271208.7246506,169632936.24787468,68943244.27617761,3464481.8392360145
2007-11-01,212614.75463366706,0.0,291760171.97117853,83609807.13706669,91101004.63079588,0.0
2007-12-01,99007146.42727193,240013.7609071798,635459555.3080697,23032791.530274525,465979335.0553452,0.0
2008-01-01,363896988.5684473,8470123.288341383,750926591.0875579,19319145.680149026,507153293.3164246,0.0
2008-02-01,321830580.484489,0.0,757562116.6813477,26965176.388682358,355431282.46696115,0.0
2008-03-01,86388812.68031445,0.0,735347629.5695128,68949867.62443139,133124193.19291149,0.0
2008-04-01,7424319.479937834,0.0,642278309.9965714,134453208.1349411,45994979.63159924,2813228.410338692
2008-05-01,4230038.786995775,0.0,554410454.1303443,189024722.939906,98072511.94452381,7314393.916150742
2008-06-01,3822818.5833897074,0.0,376579156.20067376,218822736.48493335,31723884.18555958,11252913.641354768
2008-07-01,8362188.457944353,0.0,315842462.0488573,208433550.7876391,134570185.20885074,14628787.832301484
2008-08-01,8678495.74850126,0.0,278791055.96416295,166448337.21512163,111435558.25244609,11815560.012207944
2008-09-01,2800569.605984666,0.0,225930064.7758867,131230510.57965496,38602842.27167722,5626456.820677384
2008-10-01,1609926.4499714156,0.0,226455186.13502365,106341905.93643135,87457386.84411956,2813228.410338692
2008-11-01,1230827.8531391292,0.0,287989819.3935988,87239325.13775691,148973231.64341623,0.0
2008-12-01,86991237.87741102,0.0,620542514.9804627,45972428.20960791,465516361.67388266,0.0
2009-01-01,151086566.47928137,0.0,712287945.7519021,26113239.283780403,268945236.53450114,0.0
2009-02-01,175555531.39638877,0.0,730995798.7939043,53784696.87258036,248048081.31097093,0.0
2009-03-01,152483978.31390122,0.0,725114846.6788435,100334522.79998426,246937548.99882504,0.0
2009-04-01,52903239.71961439,0.0,684475892.1724008,191199966.96006283,200284713.15374857,3179539.019486014
2009-05-01,1507982.2097685663,0.0,565284644.5554034,227501659.13771772,101182140.16825552,8266801.5634602895
2009-06-01,6341386.023358811,0.0,433535918.4502368,219953716.3879374,76508112.13864033,12718156.077944055
2009-07-01,12177878.349597078,0.0,347474127.54993623,169907540.3435766,72315752.7166259,16533603.126920579
2009-08-01,8066812.696847763,0.0,263311775.29526335,177846570.9909569,54049998.55853372,13354063.392075857
2009-09-01,3463900.4277519477,0.0,228160104.62099445,142397387.5606588,65472784.831940904,6359078.038972028
2009-10-01,1820666.9468507082,0.0,213253991.91514406,133854218.2078902,84029434.3496231,3179539.019486014
2009-11-01,2978029.094742205,0.0,269725115.1124226,70235118.64387448,128649878.05409889,0.0
2009-12-01,62688030.74378223,0.0,621166163.3256677,23995380.6289804,438124459.5860074,0.0
2010-01-01,293777071.2907817,3902189.4685609597,738862733.6637036,15054714.543113725,430430545.64049184,0.0
2010-02-01,270929140.04146856,0.0,759067803.3863443,18546275.351717647,309680485.1158268,0.0
2010-03-01,307092498.5249292,0.0,759505482.1603699,48731091.5735765,356261268.87253094,0.0
2010-04-01,136452923.60291293,0.0,745107608.7680722,117402991.82530206,236898026.33257812,2560015.7033395967
2010-05-01,4940383.297644667,0.0,598851539.455837,206866626.6572078,58894899.92083225,6656040.721785475
2010-06-01,3143590.5030818637,0.0,433518764.4618293,203569833.3647216,31140586.060437288,10240062.813358387
2010-07-01,7537067.274887377,0.0,363613796.12988013,197760746.9513333,118624705.40894954,13312081.44357095
2010-08-01,6652430.052606441,0.0,298855832.4828656,203016273.50061962,120698162.43404423,10752065.330301037
2010-09-01,1158245.4486338962,0.0,209274264.02565348,138880637.46457258,5580967.5304875,5120031.4066791935
2010-10-01,9831668.730235338,0.0,472364603.1156541,130952038.09637654,401314030.2132731,2560015.7033395967
2010-11-01,54026994.510894306,0.0,605902160.4601988,71728451.64359215,259293003.4990308,0.0
2010-12-01,413634669.7553671,57785911.60676285,735118634.169136,32252867.765113726,632889922.8361803,0.0
2011-01-01,60068634.96003715,0.0,734251299.4040424,31776325.396235295,90977625.59117903,0.0
2011-02-01,384632298.0521637,0.0,756291198.323344,32013673.612627447,438685870.5840923,0.0
2011-03-01,268999835.7215174,82926.33084934657,754363083.852386,84427712.65265886,351582360.23406774,0.0
2011-04-01,198364499.33022237,1785203.0961551252,748887456.4716961,136081770.52340385,328564473.24987084,2191372.3192207497
2011-05-01,107208345.9454008,4612.2819765882805,722222986.437867,210442626.53527063,285293546.86898416,5697567.859835079
2011-06-01,1292421.2028123853,0.0,502681421.1796049,259356776.98836857,31227955.57517304,8765489.276882999
2011-07-01,9158671.741734643,0.0,521611585.2854762,194087576.4549177,210781276.5828535,11395135.719670158
2011-08-01,8180116.180246784,0.0,476920648.2128909,187543275.0786432,141538655.7000498,9203763.653212525
2011-09-01,4524884.814587927,0.0,462258050.9014536,154358670.3223843,138802364.87725604,4382744.638441499
2011-10-01,14835029.360284034,0.0,536778543.0020043,139595718.55041575,226759867.6920296,2191372.3192207497
2011-11-01,42378880.94072335,0.0,616507746.4648918,52479557.831192106,174587642.23480296,0.0
2011-12-01,118337164.21515921,0.0,705031489.1469026,25425540.39422748,232286447.29139775,0.0
2012-01-01,237489232.9982678,0.0,747093635.2702792,48061969.683192186,327613348.8048358,0.0
2012-02-01,288526126.2585007,0.0,758482211.6979612,33952311.55119999,333867014.2373823,0.0
2012-03-01,216097333.8600327,0.0,758061228.387287,102455429.25864309,318131779.808002,0.0
2012-04-01,35874606.33046055,0.0,708414821.4424652,203060387.63075298,185909677.86418068,3378909.152211684
2012-05-01,2303771.207676488,0.0,528428474.41242635,193779836.73278424,7312097.175232751,8785163.735188762
2012-06-01,6062183.5350756375,0.0,344957550.563706,194433051.9048862,8804.215721062215,13515636.608846735
2012-07-01,20075845.219708353,0.0,409838467.40660864,190689086.5952627,256611176.40495732,17570327.470377523
2012-08-01,21030974.172207672,0.0,469480403.65644634,168149626.39645493,233584475.31735995,14191417.748465989
2012-09-01,3598680.7167699025,0.0,411595808.5123502,152582442.3187373,79901096.0118144,6757818.304423368
2012-10-01,2279265.4076892175,0.0,392191050.7426037,133130306.72280003,100495324.75792696,3378909.152211684
2012-11-01,11160953.238080053,0.0,440741936.3994838,84667076.38047841,142180794.73954025,0.0
2012-12-01,91986544.9340912,0.0,610093303.7815932,44510291.653843164,305848203.97004354,0.0
2013-01-01,153194390.3966331,0.0,699924104.2660383,21821752.0377255,264846942.9188035,0.0
2013-02-01,132404304.39051016,0.0,730690858.3223922,30777754.207184322,193948812.65404803,0.0
2013-03-01,161489207.88275084,0.0,741523756.9652274,107965056.09159997,280287162.6171857,0.0
2013-04-01,109991488.44375552,0.0,727606506.3990698,143152433.38509813,236540701.18477917,2685970.0779169933
2013-05-01,3135815.3460525307,0.0,640601777.7993343,167445982.7477412,76095972.97214274,6983521.882955981
2013-06-01,3765116.1034443714,0.0,445933755.90242535,205427291.53410202,1084049.5370400292,10743880.311667973
2013-07-01,17697647.632332005,0.0,526302559.19193125,216797632.5030195,300850686.44530725,13967043.765911963
2013-08-01,19419820.981325675,0.0,531635888.0684533,211759542.00661176,224891295.6887483,11281073.854159156
2013-09-01,60814208.66160674,0.0,631789248.4219954,178433873.30025095,334029502.1595656,5371940.155833987
2013-10-01,30372069.65432648,0.0,637513816.5530545,130802200.4904392,164212868.1979079,2685970.0779169933
2013-11-01,152611617.7575981,0.0,707157735.425294,69174367.15336466,291429903.7832024,0.0
2013-12-01,199216012.22593772,0.0,735889696.1123688,33142717.92213333,261090690.83514577,0.0
2014-01-01,102046241.93406405,0.0,740945228.0396605,39352155.862580426,146453929.723936,0.0
2014-02-01,224793546.02936003,0.0,749768879.9957567,49614304.770486236,283231502.7559427,0.0
2014-03-01,96582813.02126786,0.0,725125845.9731429,92088709.71937254,164028488.7180267,0.0
2014-04-01,39524838.64715635,0.0,680340582.2928827,128472263.60496467,119040601.84416208,2977511.80650287
2014-05-01,9447844.32617637,0.0,640557720.6304982,175958293.67894128,136658750.0583485,7741530.200714373
2014-06-01,4473907.382064728,0.0,446052535.92564595,206655245.41808635,870967.181436568,11910047.22601148
2014-07-01,12495142.747297468,0.0,421415624.2181157,186166957.77640006,156000074.9875783,15483060.401428746
2014-08-01,13070983.040089639,0.0,446266111.8455029,190684824.53109,214291593.16924074,12505549.439876175
2014-09-01,30770376.900501557,0.0,562901732.064719,166087428.28219602,306856089.0447379,5955023.61300574
2014-10-01,213651.4037584508,0.0,451291549.533592,163950916.21352145,43261663.85478862,2977511.80650287
2014-11-01,565230.1854495495,0.0,451403247.998877,85332694.20568633,81486620.70932761,0.0
2014-12-01,51491028.62440619,0.0,593432831.5712891,34502145.508964695,228022757.70578265,0.0
2015-01-01,91785176.02573124,0.0,660678196.4316374,34501541.88927842,193532082.7753585,0.0
2015-02-01,252179107.84241873,706852.0124977983,724382542.3683418,69315467.7523216,385905773.5439417,0.0
2015-03-01,181976293.3819667,0.0,726098636.6907556,125471751.89085484,309164139.5952356,0.0
2015-04-01,86982152.97912124,0.0,670045572.8611923,173996819.4353254,201602448.16600662,2899827.459236952
2015-05-01,34118163.0955804,0.0,671872805.3094115,246788960.58686277,274488200.1844272,7539551.153287575
2015-06-01,5481780.91513986,0.0,529495601.7545198,242522030.56286255,88546298.93036045,11599309.836947808
2015-07-01,12462012.47125662,0.0,482715303.1716993,210321780.5543686,155778910.9191096,15079102.30657515
2015-08-01,12015862.250926666,0.0,452664354.38255566,213986498.54654908,177612591.66135323,12179275.110400358
2015-09-01,4179609.340214457,0.0,419972073.836256,160238730.09648627,117498084.48670451,5799654.918473904
2015-10-01,23025716.393181246,0.0,528847944.2174196,117472458.5861412,246277628.67942366,2899827.459236952
2015-11-01,69600065.79313715,0.0,626509548.0559695,57727448.3786588,224989118.01034606,0.0
2015-12-01,245048929.61722842,589129.000052503,727179401.002534,37138949.60279221,383446861.16663677,0.0
2016-01-01,299000208.5470889,0.0,756465958.5315456,25939611.368933327,354226377.44503385,0.0
2016-02-01,185970625.18449143,0.0,733344290.0754352,113719752.1899607,276568708.91834205,0.0
2016-03-01,173889903.58428374,0.0,699516475.8105555,134734990.6580706,274472462.7919688,0.0
2016-04-01,149536926.2001125,0.0,695489338.7862369,137410219.83932552,279061800.2093186,3051155.939389106
2016-05-01,16383502.652868642,0.0,560201237.7544669,265505738.82711372,134126407.45644163,7933005.003811125
2016-06-01,1830106.245062048,0.0,375488871.543991,222120012.13087836,20529421.26316784,12204623.757556424
2016-07-01,7986451.280385834,0.0,292088031.74799556,218712899.98461175,117361807.14966223,15866010.00762225
2016-08-01,6795107.784196318,0.0,257467611.82526553,191839390.60501182,130215393.87195835,12814854.764986819
2016-09-01,4798851.35764684,0.0,294888686.5374659,195317304.02180403,227443304.48347318,6102311.878778212
2016-10-01,217675.8448580459,0.0,241695160.40720665,136333508.98275292,50329065.51101988,3051155.939389106
2016-11-01,2873807.0189073174,0.0,326975827.7313179,93686148.17246276,180755255.6991807,0.0
2016-12-01,63678936.07601313,0.0,552874399.9463673,29608185.509733345,319185693.800796,0.0
2017-01-01,322971359.7325056,6773767.935325503,695803219.3038917,21242109.23453334,493916056.25988823,0.0
2017-02-01,249261713.62001193,0.0,705497143.0743926,49623827.694698095,308579465.08521104,0.0
2017-03-01,202378037.20445067,1899615.9125730847,706706717.4854145,119875294.7597176,325319982.19480884,0.0
2017-04-01,109783586.19123578,0.0,664427108.8635267,158493415.90318435,221807153.4805558,2231789.656105081
2017-05-01,1346648.8286747574,0.0,493472670.29177606,275205035.1265883,92536328.96984236,5802652.993974715
2017-06-01,1653746.4158840827,0.0,270575428.68719715,254880392.10829017,5371735.902562294,8927158.624420324
2017-07-01,5538288.4379355395,0.0,307373558.63126534,189828927.6440549,219709054.5537075,11605305.98794943
2017-08-01,4961677.205991182,0.0,285993827.99107254,205841337.7169254,169593726.1418195,9373516.190721191
2017-09-01,2114395.0390313827,0.0,239603826.14394346,199001526.72696474,123897325.21176569,4463579.312210162
2017-10-01,188911.000228843,0.0,172880047.22821426,132073341.58252549,17242500.82969773,2231789.656105081
2017-11-01,176932.31507759736,0.0,150044809.1674008,92701271.117851,32989239.09532179,0.0
2017-12-01,535589.6339233926,0.0,160522263.90424213,42223752.468462765,44258738.8381367,0.0
2018-01-01,7378915.825856934,0.0,362690506.47377187,44741455.17384317,253945877.91568357,0.0
2018-02-01,53828741.23178148,0.0,516742499.3341856,66473810.56808628,274305237.6006021,0.0
2018-03-01,109898282.18622094,0.0,552355266.4011655,95265991.08798432,239207174.5699233,0.0
