Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,625087729.1251568,123841235.71567859,757114261.0040876,10343288.97115294,766814837.0114092,0.0
2005-02-01,381529777.08328706,0.0,759862227.4068447,6963564.654015686,391241308.1400598,0.0
2005-03-01,335268851.1214318,2287275.302305948,758767051.597308,11060583.116800003,347521533.7310011,0.0
2005-04-01,126240337.92266242,0.0,755868107.790004,16108724.65212549,136574109.73328015,2876009.0342038465
2005-05-01,94014816.67775805,0.0,745916924.4502012,28651184.052972548,105237193.89212361,7477623.498804236
2005-06-01,143908146.05512834,0.0,734273089.6274416,52398122.80884706,173158397.9044007,11504036.136815386
2005-07-01,50017841.97416161,0.0,711411522.3958539,50761260.83364706,58418128.14445603,14955246.997608472
2005-08-01,142648354.1748904,0.0,702816454.9364539,54287412.76137254,170056128.83331,12079237.747195115
2005-09-01,63476221.181443155,0.0,696477633.249853,32748429.949592154,76862209.56180124,5752018.068407693
2005-10-01,120918505.52584742,0.0,702938837.5525548,23023324.844352946,145560802.48769015,2876009.0342038465
2005-11-01,74430726.42690285,0.0,710165033.6952963,7758403.824431376,89208585.43400064,0.0
2005-12-01,152955583.84998214,0.0,725871711.7023547,9353175.53684706,178015437.39388776,0.0
2006-01-01,188246755.04910526,0.0,736338067.934048,8739665.702478431,207452776.9832772,0.0
2006-02-01,139413065.05489278,0.0,738037318.491624,5472189.714070588,146584505.32653937,0.0
2006-03-01,468760702.25641686,3350384.785123355,745391249.6540896,20734649.852941178,500199668.05694705,0.0
2006-04-01,90154921.03185321,0.0,741749727.1857836,16356690.370972546,99805211.4420781,3064877.4924418395
2006-05-01,12471561.271932352,0.0,728895319.4879079,23399465.501662754,14104839.781197725,7968681.271971151
2006-06-01,9093879.20176425,0.0,712485474.505185,37779251.54232941,9586118.917962216,12259509.969767358
2006-07-01,174734272.59015143,0.0,708536981.0638955,57446565.47650194,205428407.37668318,15937362.543942302
2006-08-01,86878562.9186689,0.0,702328236.6231246,44960989.193050995,101664493.88191427,12872485.184940951
2006-09-01,123925648.12506759,0.0,702581357.7330425,35794425.81289411,148808690.52434188,6129754.984883679
2006-10-01,303119435.06934416,0.0,725348680.5910732,33458531.45237647,356280411.8873096,3064877.4924418395
2006-11-01,123305662.42348225,0.0,734352502.0527164,7987112.023788235,140296595.9089139,0.0
2006-12-01,188267404.4984169,0.0,744405245.679224,7104830.886886274,205424979.01181072,0.0
2007-01-01,150711430.44292194,0.0,747135638.2422433,3377615.5896705883,156819438.59561184,0.0
2007-02-01,188242171.17809162,0.0,752249562.0529076,7807491.457984312,201163586.44674024,0.0
2007-03-01,110744894.17416674,0.0,751165361.3774408,11376227.319239216,121036920.81793927,0.0
2007-04-01,127041818.52363198,0.0,748209200.7690732,21201068.05206275,141822244.1280911,3464481.8392360145
2007-05-01,48995215.16247385,0.0,736544436.9316812,30255615.421913724,57853954.55975637,9007652.755979119
2007-06-01,30434094.201432753,0.0,717756493.6221672,43376521.80742744,35774126.33123751,13857927.356944058
2007-07-01,142463862.65340236,0.0,712912637.1517812,54310031.51687845,166341269.15625444,18015305.511958238
2007-08-01,154040932.11755127,0.0,708422488.3159153,55936485.070219606,181631068.79943332,14550823.610466687
2007-09-01,135247564.81205517,0.0,710877153.0202492,37173653.93720002,160911907.2426231,6928963.678472029
2007-10-01,56803661.58531228,0.0,711172626.475574,19167288.753427453,68943244.27617761,3464481.8392360145
2007-11-01,77623547.9336801,0.0,714608633.4320107,10734407.204776471,91101004.63079588,0.0
2007-12-01,425916342.64174575,577986.1702625277,743871604.2027122,10222035.472635292,465979335.0553452,0.0
2008-01-01,479292606.8236372,13741447.668562058,755853157.9610395,2137685.065898039,507153293.3164246,0.0
2008-02-01,348809377.11781913,0.0,759628146.1663619,2846917.1438196083,355431282.46696115,0.0
2008-03-01,128287236.27963302,0.0,759153068.641656,5312034.437984314,133124193.19291149,0.0
2008-04-01,42240680.42423305,0.0,756644972.3440983,9075623.915262748,45994979.63159924,2813228.410338692
2008-05-01,86697204.25637405,0.0,752213597.7165555,23121076.231843133,98072511.94452381,7314393.916150742
2008-06-01,26241370.28491704,0.0,732304699.1725819,37304332.40566275,31723884.18555958,11252913.641354768
2008-07-01,116233315.0138409,0.0,714763747.2394047,54808725.266831376,134570185.20885074,14628787.832301484
2008-08-01,93917479.47604091,0.0,706390822.1178738,45260919.04647844,111435558.25244609,11815560.012207944
2008-09-01,32946910.520261005,0.0,701381064.0210645,25852760.03414118,38602842.27167722,5626456.820677384
2008-10-01,73477916.32069136,0.0,701864240.5814264,19063408.63063529,87457386.84411956,2813228.410338692
2008-11-01,125805579.62899764,0.0,713896530.6604902,11249212.909215687,148973231.64341623,0.0
2008-12-01,422993753.97981244,8660443.321209384,742171447.2621746,5587247.7711764695,465516361.67388266,0.0
2009-01-01,258351471.6959396,0.0,749548222.8895754,3216989.211160784,268945236.53450114,0.0
2009-02-01,241141805.76944113,0.0,751746750.383364,4707748.047741177,248048081.31097093,0.0
2009-03-01,235940223.3992405,0.0,755089575.9175996,7654500.065349018,246937548.99882504,0.0
2009-04-01,185422688.0108486,0.0,755296827.971664,17834312.108321574,200284713.15374857,3179539.019486014
2009-05-01,86600737.78973675,0.0,744358112.9357681,33786918.97787452,101182140.16825552,8266801.5634602895
2009-06-01,65016774.277588844,0.0,725427656.0077217,45403373.35909803,76508112.13864033,12718156.077944055
2009-07-01,63227560.88358532,0.0,707060542.0886022,51730925.97307451,72315752.7166259,16533603.126920579
2009-08-01,48861770.820523925,0.0,698873295.588355,41380961.80278431,54049998.55853372,13354063.392075857
2009-09-01,54913286.668025784,0.0,696337785.0154091,29228640.460862752,65472784.831940904,6359078.038972028
2009-10-01,70306841.78871061,0.0,699971974.604508,14989029.496549018,84029434.3496231,3179539.019486014
2009-11-01,109480781.08981985,0.0,710271535.1596642,9058052.141796079,128649878.05409889,0.0
2009-12-01,399706994.19336265,0.0,742507036.7905132,6181963.761796078,438124459.5860074,0.0
2010-01-01,410949144.3755421,6682849.908241043,753438153.2405709,1867434.9066509805,430430545.64049184,0.0
2010-02-01,298314114.90385884,0.0,761208983.7626251,3595539.6899137255,309680485.1158268,0.0
2010-03-01,343591130.8178244,0.0,763009406.5355514,10869715.281780394,356261268.87253094,0.0
2010-04-01,224114403.63607717,0.0,763207691.135894,15145353.79949804,236898026.33257812,2560015.7033395967
