Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,625877112.5821648,145708850.5185353,766095527.1177989,10199518.092509808,786534129.5446278,0.0
2005-02-01,353021626.58734006,0.0,766305623.1244807,25432295.006721586,378664017.6007434,0.0
2005-03-01,291936538.95803064,2396161.323028518,764277292.9094315,64149796.81127061,356454166.87728035,0.0
2005-04-01,60975137.43838061,0.0,745196802.2716652,96571227.55562355,135589865.32203427,2876009.0342038465
2005-05-01,16814939.723021574,0.0,675866016.5896264,148193999.31061962,88200529.85279833,7477623.498804236
2005-06-01,19176639.85619673,0.0,639574875.7628255,194469113.52416462,165850576.416746,11504036.136815386
2005-07-01,5418708.1848995425,0.0,487896604.4333624,206949827.4116392,44791368.310922444,14955246.997608472
2005-08-01,5825670.178294008,0.0,460436573.85774255,178242925.2966118,142963069.6684313,12079237.747195115
2005-09-01,2018078.2515528651,0.0,413746623.140754,113971320.24424319,58767061.62734726,5752018.068407693
2005-10-01,9123344.598853642,0.0,466901826.1980742,85158863.10807066,144305863.80032054,2876009.0342038465
2005-11-01,14911181.466938792,0.0,496614547.7022596,48662108.83345099,91947425.15769117,0.0
2005-12-01,60447070.52048566,0.0,597525663.7360458,26927467.80559215,188285654.35986388,0.0
2006-01-01,114411374.34520875,0.0,669779702.6498916,19612686.49301961,206278099.7520743,0.0
2006-02-01,92235560.45963193,0.0,682393956.5200801,43839507.74055685,148689322.0703768,0.0
2006-03-01,336040280.3132167,275591.74955705623,742317427.4361737,90453246.17848627,486692589.1573541,0.0
2006-04-01,22382667.15578376,0.0,681357038.6182075,132725382.7127843,91082783.55816029,3064877.4924418395
2006-05-01,2024536.2605625922,0.0,538746376.2146462,161573641.77858824,13018834.363618217,7968681.271971151
2006-06-01,4449210.464977251,0.0,380410536.4009528,190468504.0030432,13075700.740448946,12259509.969767358
2006-07-01,16553681.176088125,0.0,404015046.94630605,193583079.69036865,210647121.8038382,15937362.543942302
2006-08-01,12590018.682275694,0.0,366817325.6239917,161047049.98979625,105491560.87583253,12872485.184940951
2006-09-01,13328457.470853604,0.0,393271153.0053969,115409671.85103525,141464969.26285753,6129754.984883679
2006-10-01,86275860.16118507,0.0,581854357.3617177,82845422.15864308,354639609.1837072,3064877.4924418395
2006-11-01,48860711.127339855,0.0,638595305.7080734,32372250.900109783,137973910.37380543,0.0
2006-12-01,112179708.09970526,0.0,716519336.151867,20140176.329505894,210243914.87300417,0.0
2007-01-01,111762134.75115012,0.0,740476001.35408,17329349.4549255,153048149.40828845,0.0
