Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,596157847.9789811,133973153.92047292,765941539.0575396,38031496.626227476,786534129.5446278,0.0
2005-02-01,339137451.2057637,0.0,766287047.8172643,39181057.6352549,378664017.6007434,0.0
2005-03-01,297305769.4563692,2977935.426264925,763482913.1705459,58974596.64136468,356454166.87728035,0.0
2005-04-01,50819954.83688567,0.0,729178326.925019,121950505.76487845,135589865.32203427,2876009.0342038465
2005-05-01,13365923.270347835,0.0,606460533.6315525,205030023.37472174,88200529.85279833,7477623.498804236
2005-06-01,8431814.968225606,0.0,539101290.7959701,236282040.42091766,165850576.416746,11504036.136815386
2005-07-01,7628843.588907016,0.0,375020504.0636409,220115423.29696465,44791368.310922444,14955246.997608472
2005-08-01,8228635.789284836,0.0,338032433.23866886,190884408.83887842,142963069.6684313,12079237.747195115
2005-09-01,3071963.194608638,0.0,274156780.55693007,145719704.00612548,58767061.62734726,5752018.068407693
2005-10-01,1580854.9061821862,0.0,282398080.95946443,143335434.58593726,144305863.80032054,2876009.0342038465
2005-11-01,1541602.3997224339,0.0,305104846.87360847,73655803.90421967,91947425.15769117,0.0
2005-12-01,18020665.768754322,0.0,434672159.99223155,40697675.472486325,188285654.35986388,0.0
2006-01-01,60583899.57706246,0.0,544158112.6834711,36208247.48377255,206278099.7520743,0.0
2006-02-01,62292221.19623403,0.0,574695910.1025238,55859303.45509019,148689322.0703768,0.0
2006-03-01,281019183.2184989,1558977.44007341,704246768.1505212,74563570.45078437,486692589.1573541,0.0
2006-04-01,15174509.007845806,0.0,608641580.1999836,174578339.99329415,91082783.55816029,3064877.4924418395
2006-05-01,1186798.6187231983,0.0,395158107.4637062,240453953.23461196,13018834.363618217,7968681.271971151
2006-06-01,5384988.715403843,0.0,247625146.00418118,196733815.54156855,13075700.740448946,12259509.969767358
2006-07-01,12743887.397344666,0.0,283996591.50478315,184159746.4338747,210647121.8038382,15937362.543942302
2006-08-01,9520110.249077376,0.0,233253606.26714483,202397500.88379604,105491560.87583253,12872485.184940951
2006-09-01,4528313.706627247,0.0,244522165.81454623,152868693.79056472,141464969.26285753,6129754.984883679
2006-10-01,18702887.704224847,0.0,435879055.1721254,147644709.61434504,354639609.1837072,3064877.4924418395
2006-11-01,7161082.345726444,0.0,456842062.2461102,109849820.95409402,137973910.37380543,0.0
2006-12-01,46637173.59882996,0.0,580905348.731814,39543454.78847059,210243914.87300417,0.0
2007-01-01,59277019.194981314,0.0,643233102.9686584,31443375.976462737,153048149.40828845,0.0
2007-02-01,93412509.57095557,0.0,683155373.2655933,58625288.30429016,191960068.17218083,0.0
2007-03-01,39614775.33365956,0.0,644146623.2590874,120293336.29648632,120899361.62364006,0.0
2007-04-01,21921657.685998026,0.0,598494812.656789,173623297.62825888,146380221.67246026,3464481.8392360145
2007-05-01,4258710.943588974,0.0,446523325.6116353,227052430.80170983,59715264.99989741,9007652.755979119
2007-06-01,7075411.674322341,0.0,327123270.5759444,193474259.58714506,36398242.72237695,13857927.356944058
2007-07-01,18074219.664127346,0.0,335701691.951839,172218955.54447836,172745356.65769148,18015305.511958238
2007-08-01,12381608.989270896,0.0,332008830.9867689,199961095.54287836,177899990.56882226,14550823.610466687
2007-09-01,6000679.4008776415,0.0,342701062.63406634,171517349.3232156,169816117.484678,6928963.678472029
2007-10-01,544721.5894425835,0.0,291741743.3715176,169632936.24787468,69804136.24166931,3464481.8392360145
2007-11-01,587945.2639262042,0.0,322713278.35849416,83609807.13706669,112359713.43635443,0.0
2007-12-01,103955823.66706766,283704.25221546326,619577436.3799884,23032791.530274525,424136477.471052,0.0
2008-01-01,352936849.78749275,9067620.686008388,746687438.411283,19319145.680149026,508433618.1849441,0.0
2008-02-01,296382012.81232893,0.0,757062795.2465069,26965176.388682358,333722546.03623515,0.0
2008-03-01,85997814.79194808,0.0,738892851.9250567,68949867.62443139,136777739.0949297,0.0
2008-04-01,9359973.883464418,0.0,646980360.1558623,134453208.1349411,49087461.838872954,2813228.410338692
2008-05-01,4990005.542770292,0.0,560152340.3605447,189024722.939906,99872314.77120748,7314393.916150742
2008-06-01,3744175.386861964,0.0,380895785.40089434,218822736.48493335,29390349.792647846,11252913.641354768
2008-07-01,8169072.643318449,0.0,317602779.9971843,208433550.7876391,131202867.80678304,14628787.832301484
2008-08-01,7899032.850645693,0.0,288803079.5606402,166448337.21512163,118527700.83827935,11815560.012207944
2008-09-01,2356360.4836593177,0.0,229397495.1038547,131230510.57965496,28270167.868440524,5626456.820677384
2008-10-01,879905.1078109059,0.0,226468330.40359804,106341905.93643135,80310694.03705803,2813228.410338692
2008-11-01,1556722.2065149215,0.0,293004814.22008437,87239325.13775691,154307468.2688189,0.0
2008-12-01,94510823.60026217,0.0,633143823.0856848,45972428.20960791,480622260.67547065,0.0
2009-01-01,154388208.28992027,0.0,718505851.7600902,26113239.283780403,265863476.2481059,0.0
2009-02-01,183688032.3948963,0.0,735393682.0593436,53784696.87258036,254360559.56673002,0.0
2009-03-01,141518597.92624417,373149.89983677113,720674275.3561066,100334522.79998426,227506863.92282885,0.0
2009-04-01,56275437.70347963,0.0,676282983.197338,191199966.96006283,199904573.48528767,3179539.019486014
2009-05-01,2541967.447429553,0.0,550225946.0071687,227501659.13771772,95719787.8315174,8266801.5634602895
2009-06-01,6422359.795387525,0.0,407100890.6774183,219953716.3879374,68507895.49739155,12718156.077944055
2009-07-01,11992987.096538547,0.0,315555348.55327266,169907540.3435766,64994307.25656277,16533603.126920579
2009-08-01,7451296.032639903,0.0,237649471.84098998,177846570.9909569,51243816.358865485,13354063.392075857
2009-09-01,3169715.1375239845,0.0,215105212.47343597,142397387.5606588,76801626.34994507,6359078.038972028
2009-10-01,1206760.018300244,0.0,201188742.9838608,133854218.2078902,82223506.65986972,3179539.019486014
2009-11-01,1674674.1134389718,0.0,246287871.20407405,70235118.64387448,113533832.04209585,0.0
2009-12-01,53333882.50159425,0.0,609757836.337181,23995380.6289804,440799228.2636818,0.0
2010-01-01,324108069.936419,6410808.0097873155,750468834.3736454,15054714.543113725,486284590.5257841,0.0
2010-02-01,317171623.44481826,0.0,766216059.8402873,18546275.351717647,351465124.26317745,0.0
2010-03-01,325128066.5359863,0.0,766305623.1244807,48731091.5735765,373948721.39375603,0.0
2010-04-01,154155141.6385535,0.0,758428157.5607953,117402991.82530206,261120652.19683102,2560015.7033395967
2010-05-01,7298806.0345056215,0.0,637323468.6027101,206866626.6572078,86404703.01184276,6656040.721785475
2010-06-01,3597730.855430931,0.0,479488767.91553915,203569833.3647216,39092800.719623245,10240062.813358387
2010-07-01,9230228.00441891,0.0,428009773.75182587,197760746.9513333,141999033.70916662,13312081.44357095
2010-08-01,7774006.4867976075,0.0,384141876.8849029,203016273.50061962,150514516.32722333,10752065.330301037
2010-09-01,1161651.6792482417,0.0,284539239.3505111,138880637.46457258,8787799.346881285,5120031.4066791935
2010-10-01,28147894.531243756,0.0,554615804.8325344,130952038.09637654,426616482.4063041,2560015.7033395967
2010-11-01,95057574.76088277,0.0,678502848.1145132,71728451.64359215,290673069.6864535,0.0
2010-12-01,489206383.78408843,68064477.14177419,760910584.6896504,32252867.765113726,671931465.2661127,0.0
2011-01-01,61690313.132496364,0.0,759657624.0355687,31776325.396235295,92213677.87465014,0.0
2011-02-01,391880666.95071244,66609.14769188437,766305623.1244807,32013673.612627447,430608948.79994386,0.0
2011-03-01,249097044.11159548,202986.85034481622,762268928.8339543,84427712.65265886,329691049.3240727,0.0
2011-04-01,207495601.25817662,1451713.4893173117,757050667.6758716,136081770.52340385,337619451.79359466,2191372.3192207497
2011-05-01,97180576.49924195,756.5942177642097,721611919.7528483,210442626.53527063,266487643.84587246,5697567.859835079
2011-06-01,1384727.0217504147,0.0,499085521.7281419,259356776.98836857,29449616.708529573,8765489.276882999
2011-07-01,10681931.183001647,0.0,511740038.3991262,194087576.4549177,206028888.58923346,11395135.719670158
2011-08-01,8926656.367854316,0.0,472082157.4954465,187543275.0786432,147065687.34825328,9203763.653212525
2011-09-01,5850465.061564945,0.0,470449052.76989853,154358670.3223843,152455658.21049652,4382744.638441499
2011-10-01,12212237.518852575,0.0,536232574.5223341,139595718.55041575,215399221.57967716,2191372.3192207497
2011-11-01,35705299.18708756,0.0,612768971.4205663,52479557.831192106,164721253.91651094,0.0
2011-12-01,107694332.29447314,0.0,706128755.7248238,25425540.39422748,226479656.99295837,0.0
2012-01-01,226604691.14034814,0.0,755459540.5011951,48061969.683192186,323997445.59991133,0.0
2012-02-01,272730817.1144618,0.0,765441621.9860246,33952311.55119999,316665210.15049076,0.0
2012-03-01,204054567.57375354,0.0,764185060.1995406,102455429.25864309,305253435.04591304,0.0
2012-04-01,32017609.347857777,0.0,704843403.4933422,203060387.63075298,172357431.12020084,3378909.152211684
2012-05-01,2273243.1087761675,0.0,525465010.6169924,193779836.73278424,7889523.230021821,8785163.735188762
2012-06-01,6062183.5350756375,0.0,341928073.6010578,194433051.9048862,127919.53059207695,13515636.608846735
2012-07-01,24413070.35817124,137753.7455887977,415713354.0774952,190689086.5952627,268669413.2230002,17570327.470377523
2012-08-01,24065957.94376166,0.0,470234270.5538843,168149626.39645493,231566596.22561213,14191417.748465989
2012-09-01,3465931.5230001234,0.0,412574223.21519417,152582442.3187373,80366256.42728035,6757818.304423368
2012-10-01,2313013.6063989983,0.0,395028007.44977313,133130306.72280003,101172149.39706966,3378909.152211684
2012-11-01,8183850.393633299,0.0,431959243.9461457,84667076.38047841,125557950.37288336,0.0
2012-12-01,81303828.96884733,0.0,600553051.5669295,44510291.653843164,294407928.2434742,0.0
2013-01-01,145384463.84029552,0.0,694442878.8684808,21821752.0377255,261096043.17957243,0.0
2013-02-01,125101956.02388038,0.0,726337232.5739402,30777754.207184322,187774063.93652412,0.0
2013-03-01,148147693.38552418,0.0,736971702.9276357,107965056.09159997,266747219.83081955,0.0
2013-04-01,95320253.60999745,35611.25158452851,707919048.2460833,143152433.38509813,206769673.48721048,2685970.0779169933
2013-05-01,2893623.7440614197,0.0,615759133.1617659,167445982.7477412,71196169.52452993,6983521.882955981
2013-06-01,3774533.8510474134,0.0,423371577.12553054,205427291.53410202,1666835.1323757386,10743880.311667973
2013-07-01,20843646.2953667,0.0,518326302.553795,216797632.5030195,318628718.64484113,13967043.765911963
