Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,466531322.3348829,17918434.30725932,873459320.498383,75230636.20766276,574805564.7764153,0.0
2005-02-01,228963844.06611258,0.0,873984141.9651376,94785825.47164708,324274491.0045145,0.0
2005-03-01,130915099.32803196,0.0,870166218.7755864,77846586.10873716,204943762.2472184,0.0
2005-04-01,83989275.15250392,0.0,859039850.429215,92032042.9439844,163094583.77189672,1800365.9782202628
2005-05-01,55173915.78859714,0.0,825045414.6398906,77063999.4900079,93059649.74317902,4680951.68928572
2005-06-01,66940685.24902119,0.0,764932323.7883637,139349491.3137491,133538428.25071664,7201463.912881051
2005-07-01,33976058.32420536,0.0,723506936.9101739,117021870.13716868,79917894.12155725,9361903.37857144
2005-08-01,87540358.16092454,0.0,691501096.8651594,185093156.00513732,218211437.5890638,7561536.958256308
2005-09-01,41069608.92188136,0.0,664184276.3263695,109351765.9194039,102893542.03608024,3600731.9564405256
2005-10-01,82933450.41871624,0.0,706850808.2286146,90805616.49330981,212926608.305636,1800365.9782202628
2005-11-01,20070732.263727505,0.0,708552914.7756844,16349367.094313722,35037248.411877595,0.0
2005-12-01,59269111.31297188,0.0,714850619.7574761,25513972.845796064,89755183.63419896,0.0
2006-01-01,82682108.10173847,0.0,727473348.8213495,39598475.47207841,134582676.82518184,0.0
2006-02-01,68160186.18651107,0.0,738648360.8788457,9566470.586729417,88611863.24043916,0.0
2006-03-01,254517275.02824065,1372401.2235016192,781544960.3714921,104286187.61395302,402944929.28870916,0.0
2006-04-01,42115808.81858062,0.0,766116384.0801783,46754244.36775685,66962050.13930881,1831139.219422545
2006-05-01,6691805.507749953,0.0,742333337.1628838,52986118.6997333,14615881.06061819,4760961.734753874
2006-06-01,8823835.088784186,0.0,717090860.6897846,69866233.38004705,20107628.823226348,7324556.87769018
2006-07-01,99830724.67997184,0.0,693322745.0864998,173799875.07935697,219048728.14918715,9521923.469507748
2006-08-01,61623089.838670574,0.0,660031353.0913329,147492605.05112153,142711788.30700338,7690784.258424537
2006-09-01,76713358.95854038,0.0,656150558.5450482,102540603.79688625,154933124.62291488,3662278.43884509
2006-10-01,280265305.3486808,0.0,804452614.6546339,158352667.2577804,585088889.4966238,1831139.219422545
2006-11-01,51678994.52233426,0.0,805612928.4160439,20348569.523482334,73187877.80722654,0.0
2006-12-01,98464054.28669168,0.0,816105457.8047644,42346770.51469802,151303354.19011024,0.0
2007-01-01,65958212.82044535,0.0,818222554.033852,18049567.098062735,86124876.14759502,0.0
2007-02-01,96112121.29231742,0.0,823358932.0151753,24556836.615670588,125805335.88931195,0.0
2007-03-01,71522280.61365627,0.0,810959961.6465223,57280444.41409411,115666615.51488249,0.0
2007-04-01,72577774.60134022,0.0,798521227.5641531,68716884.76559998,124082211.81114405,1774087.253580016
2007-05-01,21477730.286622163,0.0,768966256.9298005,62712602.96079214,40140996.68046424,4612627.09595117
2007-06-01,15293482.64393638,0.0,744159194.1522691,64081369.682250984,25019157.701111045,7096349.014320064
2007-07-01,87956215.16259444,0.0,723628025.6580704,175513690.95738032,213848248.33904025,9225254.19190234
2007-08-01,100161689.99058974,0.0,698954008.3563573,192636176.70581174,241142152.77862576,7451167.07178313
2007-09-01,89841009.80783504,0.0,699889588.0083627,124125859.67952165,197430179.81571963,3548174.507160032
2007-10-01,32126306.849613722,0.0,691949861.2416027,58631712.42819606,71918982.65914637,1774087.253580016
2007-11-01,35783062.72341223,0.0,696441890.7964022,32568688.06982744,70231863.81519951,0.0
2007-12-01,154561443.1895588,0.0,743755202.0802363,72685714.0922039,274560468.5655972,0.0
2008-01-01,258849142.09238023,0.0,785163954.4547093,56064067.512447044,356321961.97929937,0.0
2008-02-01,168400465.14998826,0.0,789112944.7671566,49267041.261835255,221616496.72427136,0.0
2008-03-01,63006511.389984414,0.0,783830111.1502893,36639838.177372515,94233960.57313126,0.0
2008-04-01,12951170.803547906,0.0,771438274.5979763,28266455.75586668,25222116.731951177,1835658.732441345
2008-05-01,42345894.81384558,0.0,751078260.3842129,66773894.21373334,78068113.58787476,4772712.58653774
2008-06-01,11409575.599833028,0.0,726400418.6032299,71821439.38932556,32549864.57288624,7342634.92976538
2008-07-01,57949243.05342183,0.0,699502471.1344022,108501994.16890198,104594529.57807733,9545425.17307548
2008-08-01,85259322.18001637,0.0,704364855.4089528,146243108.9375608,211358047.28183255,7709766.780710465
2008-09-01,13029580.472371401,0.0,680037413.2482514,61916225.81347451,25496290.452878796,3671317.46488269
2008-10-01,29687807.339255013,0.0,676741906.8865396,50964942.12531767,68553472.49909504,1835658.732441345
2008-11-01,58052573.9820831,0.0,710636382.8946693,35626404.19552155,127147506.81820326,0.0
2008-12-01,333740142.08621776,0.0,821842643.3297188,31315243.646047063,476261646.1673144,0.0
2009-01-01,92346216.36658312,0.0,824588456.0003079,10367544.919152934,105459573.95632486,0.0
2009-02-01,105928799.65376788,0.0,824130307.1265001,30893514.618376445,136364165.39833626,0.0
2009-03-01,76439095.60466988,0.0,815171805.3050466,32946471.84186667,100427065.62508295,0.0
2009-04-01,82924452.35553628,0.0,800931717.5462917,42560508.39431369,108896139.95452192,1526369.6063053778
2009-05-01,97059851.48137404,0.0,809355426.7358816,110671667.57546665,207590853.4821816,3968560.760414587
2009-06-01,57354767.72791769,0.0,775895959.2325776,115853863.26550587,118634710.96222588,6105478.425221511
2009-07-01,45709253.46679956,0.0,747570015.2779403,111424760.58056474,98725703.18440832,7937121.520829174
2009-08-01,38682749.63329288,0.0,725563502.7630628,79265494.64158437,67662952.17810385,6410752.170545902
2009-09-01,49824729.67333393,0.0,712765023.0088235,73808301.89518434,92611336.3642667,3052739.2126107556
2009-10-01,40302102.07164046,0.0,713124691.0738401,37023868.68025884,68694680.18839388,1526369.6063053778
2009-11-01,42032078.47606652,0.0,717417079.9267186,21800052.68607842,65159731.40744721,0.0
2009-12-01,353692673.2765869,0.0,824226824.9218553,50278606.17625879,510781024.4479813,0.0
2010-01-01,556608371.0157878,0.0,873891127.4885433,18061916.41007059,624334589.9925472,0.0
2010-02-01,310068421.0999689,0.0,874877153.9784439,32749757.565184325,343804205.15505344,0.0
2010-03-01,197014715.11375773,0.0,870623223.1024697,80622274.39164703,273383058.62943065,0.0
2010-04-01,58663277.6309605,0.0,858691263.2823756,28206298.145215675,73477149.4235631,1460466.5325187366
2010-05-01,10040644.663917182,0.0,827041614.871332,43661788.25530979,17547402.431783088,3797213.0362639795
2010-06-01,14302913.717773547,0.0,775154130.0702184,85579764.36742751,36549149.75144003,5841866.130074946
2010-07-01,54870978.527876094,0.0,728853437.1917762,166203304.08494106,148016955.9492236,7594426.072527959
2010-08-01,88016171.6264703,0.0,696994094.5667256,216471227.73149037,245429792.24579552,6133959.453391191
2010-09-01,4020711.340668195,0.0,661072750.8310286,70969951.9542981,12691773.966384647,2920933.065037473
2010-10-01,248158973.11593914,0.0,792806977.1643007,125340290.85687055,503773023.773562,1460466.5325187366
2010-11-01,87855999.56593628,0.0,797641037.1900383,29474734.178831358,122164793.77050605,0.0
2010-12-01,360729034.6097412,6854952.398803215,847722242.6949674,28355411.294109806,446020603.8075835,0.0
2011-01-01,38054293.913768284,0.0,849351155.6307492,3750895.6888627447,43434102.53841306,0.0
2011-02-01,277703075.4239184,0.0,863596426.0074432,50115072.83614119,342063418.6367529,0.0
2011-03-01,130687944.49925353,0.0,854328696.717611,50608615.2546196,172028830.4640407,0.0
2011-04-01,151726932.49802744,164851.42448447229,840265792.970714,84263263.83716077,220483942.86014026,1426546.163901336
2011-05-01,109619240.82744563,0.0,820934521.0551814,89437025.57896467,173413699.11939934,3709020.3345226184
2011-06-01,9189362.189010086,0.0,783237277.314283,64785428.6157098,17195968.60963077,5706184.655605344
2011-07-01,116513172.93838646,0.0,786957682.1198059,186966184.55362347,287884372.6735277,7418040.669045237
2011-08-01,69182416.95058344,0.0,736695718.6490813,159986626.20373344,157067528.4161074,5991494.18110632
2011-09-01,86311518.83155946,0.0,736137482.8082098,138640271.32507432,213070914.95463133,2853092.327802672
2011-10-01,106166192.29978941,0.0,770585926.481924,82602455.66873725,219480480.55882704,1426546.163901336
2011-11-01,106420557.99301861,0.0,796742838.6771029,55681995.51699601,187732859.29477662,0.0
2011-12-01,188942045.46209878,0.0,830742938.5227971,33512437.760533348,256454583.0683269,0.0
2012-01-01,175134775.69518787,0.0,846436851.5599785,9525343.663419606,200354032.39578897,0.0
2012-02-01,174101410.78448078,0.0,851320416.2047143,41305006.25669803,220289981.6859146,0.0
2012-03-01,144308846.88569412,0.0,849151641.9867737,41585781.97061176,183725854.63836458,0.0
2012-04-01,69863327.02114047,0.0,837471970.9064238,46612045.71268234,101397008.76469976,1611087.3960480557
2012-05-01,1920503.1544305421,0.0,814755580.3916131,34833376.99413332,1807568.8193693657,4188827.1908418075
2012-06-01,1230765.302293875,0.0,784506498.0296341,50365972.78300392,7681.014767821329,6444349.584192223
