Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,481166234.5437019,12799682.811595764,873042500.3896132,52216069.519168615,574805564.7764153,0.0
2005-02-01,268569209.7638721,0.0,875327552.82122,53420228.809035264,324274491.0045145,0.0
2005-03-01,123100390.80954003,0.0,872143846.1183335,85027078.14056471,204943762.2472184,0.0
2005-04-01,70976030.58289224,0.0,863203685.4555721,102881027.13587457,163094583.77189672,1800365.9782202628
2005-05-01,13416561.337298676,0.0,805314931.9038726,144723307.79683933,93059649.74317902,4680951.68928572
2005-06-01,16477635.327130206,0.0,736324447.5681955,196175737.27511367,133538428.25071664,7201463.912881051
2005-07-01,8867485.676487854,0.0,596831770.9625158,224777618.946957,79917894.12155725,9361903.37857144
2005-08-01,40386532.794435665,0.0,623049961.2993805,164388200.88611743,218211437.5890638,7561536.958256308
2005-09-01,13118550.102903906,0.0,568501174.0003647,163916771.39381963,102893542.03608024,3600731.9564405256
2005-10-01,58546583.52744501,0.0,611165458.9117445,114928160.36692545,212926608.305636,1800365.9782202628
2005-11-01,2073036.1808848195,0.0,561139892.5875475,95971144.96599218,35037248.411877595,0.0
2005-12-01,6793210.939012173,0.0,572865075.9347366,79756197.61566275,89755183.63419896,0.0
2006-01-01,20937434.487588614,0.0,618352724.514321,71192217.0499058,134582676.82518184,0.0
2006-02-01,16001936.500810353,0.0,613123560.6590363,89763382.5259686,88611863.24043916,0.0
2006-03-01,186192372.2498177,0.0,742001458.1527655,89034627.7785961,402944929.28870916,0.0
2006-04-01,14233965.662650004,0.0,687254959.4974241,117705288.7973412,66962050.13930881,1831139.219422545
2006-05-01,2318245.2361242864,0.0,568726479.9063574,160628314.95834526,14615881.06061819,4760961.734753874
2006-06-01,3470889.6300057573,0.0,441133374.3616219,206812041.45799214,20107628.823226348,7324556.87769018
2006-07-01,27285455.71820187,0.0,480265457.5091979,173985354.02876854,219048728.14918715,9521923.469507748
2006-08-01,24711269.59157928,0.0,468543325.28588164,162400559.6818039,142711788.30700338,7690784.258424537
2006-09-01,22171169.338665657,0.0,492688139.8214397,124148686.6378118,154933124.62291488,3662278.43884509
2006-10-01,258223512.46335366,0.0,733279307.5235289,88105348.55060387,585088889.4966238,1831139.219422545
2006-11-01,9373532.591747912,0.0,718314181.4120119,78779471.32699606,73187877.80722654,0.0
2006-12-01,46983582.685872726,0.0,757256540.7914875,65378394.43389022,151303354.19011024,0.0
2007-01-01,29234180.784457844,0.0,757759762.1895813,56485222.35937252,86124876.14759502,0.0
2007-02-01,42028273.169133745,0.0,757946813.6679746,84021280.58382745,125805335.88931195,0.0
2007-03-01,31088109.876318786,0.0,730340843.6388535,114766976.11005494,115666615.51488249,0.0
2007-04-01,29563342.052331254,0.0,709872449.1833427,121618254.83487846,124082211.81114405,1774087.253580016
2007-05-01,3020909.9910675907,0.0,617832989.7499968,148012562.6649412,40140996.68046424,4612627.09595117
2007-06-01,3342117.4762435234,0.0,487898066.93750775,195641296.2301804,25019157.701111045,7096349.014320064
2007-07-01,27518477.15502231,0.0,518895203.86228937,176776599.21330976,213848248.33904025,9225254.19190234
2007-08-01,53833784.128375635,0.0,551396397.7067338,172424470.4298668,241142152.77862576,7451167.07178313
2007-09-01,45077143.30526468,0.0,570646193.0275445,144303180.3177884,197430179.81571963,3548174.507160032
2007-10-01,6485715.338126815,0.0,544650133.2215562,115955714.88683917,71918982.65914637,1774087.253580016
2007-11-01,6526312.7020553015,0.0,540476495.2938381,84418283.31093343,70231863.81519951,0.0
2007-12-01,87851618.58874203,0.0,681946924.0724037,45238421.1982902,274560468.5655972,0.0
2008-01-01,204791106.4540608,0.0,781431927.8231406,52045851.774501964,356321961.97929937,0.0
2008-02-01,132180075.66084313,0.0,799011184.8926231,71857163.99394514,221616496.72427136,0.0
2008-03-01,33851215.876539394,0.0,745501474.9469624,115137811.12724708,94233960.57313126,0.0
2008-04-01,1707003.8383205615,0.0,656217965.9312383,122861569.44695689,25222116.731951177,1835658.732441345
2008-05-01,7363965.046593387,0.0,601733614.5361686,140482078.25720012,78068113.58787476,4772712.58653774
2008-06-01,5515861.524419775,0.0,474058162.93479,194023263.9308313,32549864.57288624,7342634.92976538
2008-07-01,8713912.576037368,0.0,427166089.01683754,186789458.13774902,104594529.57807733,9545425.17307548
2008-08-01,33878035.06021969,0.0,458880032.02111804,170497563.2884704,211358047.28183255,7709766.780710465
2008-09-01,2223426.887831612,0.0,401342960.2270868,138852326.11511368,25496290.452878796,3671317.46488269
2008-10-01,4892035.100983693,0.0,390502568.97648084,111676903.70707452,68553472.49909504,1835658.732441345
2008-11-01,14406855.08794655,0.0,433014788.4952154,75241708.58866663,127147506.81820326,0.0
2008-12-01,144708268.69792336,0.0,714126740.5429287,50441425.42167843,476261646.1673144,0.0
2009-01-01,29747855.817093734,0.0,730089136.2206037,59756047.67956859,105459573.95632486,0.0
2009-02-01,50018425.27632524,0.0,728438483.794204,88181093.98712938,136364165.39833626,0.0
2009-03-01,39715762.86417239,0.0,682821849.1184523,112978444.70180392,100427065.62508295,0.0
2009-04-01,29934814.071532927,0.0,646764636.1295682,131397268.96544312,108896139.95452192,1526369.6063053778
2009-05-01,47010961.83417371,0.0,662610320.3350537,153165408.4282039,207590853.4821816,3968560.760414587
2009-06-01,16145167.809046118,0.0,609854857.2621559,176125448.72049406,118634710.96222588,6105478.425221511
2009-07-01,11623062.436041899,0.0,529816356.1746188,202727179.5256234,98725703.18440832,7937121.520829174
2009-08-01,6120173.778380663,0.0,459170288.2508924,183580820.4968864,67662952.17810385,6410752.170545902
2009-09-01,8616186.034329565,0.0,441265721.03102237,137410406.20786676,92611336.3642667,3052739.2126107556
