Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,459877584.79052454,31453677.521621037,1003449946.2936537,19871360.41757015,549202215.6722252,0.0
2005-02-01,244021242.52871403,0.0,1007233939.0356902,33270747.861659363,281268889.662958,0.0
2005-03-01,130954592.38767542,626829.2309716808,997523959.5875612,82463551.68561181,204574184.78081548,0.0
2005-04-01,79230419.39162958,0.0,990328495.8741614,126403353.3426177,194536363.03698966,3979195.3844746784
2005-05-01,25351497.611749183,61504.84495723397,932149885.351131,181160045.46182126,138008031.93677977,10345907.492284419
2005-06-01,45342161.30984579,427877.57579444896,893919393.4067163,227174598.0977302,217853883.87328207,15916781.537898714
2005-07-01,14578241.972212834,552671.6147128053,775511066.4256314,208899453.45190173,82120554.30614018,20691814.984568838
2005-08-01,26512970.219418652,384552.67707339354,755814486.2999148,173893115.76667508,161406849.91716686,16712620.719507707
2005-09-01,45285475.87332082,0.0,750857268.5496628,112483100.24291591,140155779.4447435,7958390.768949357
2005-10-01,52183680.20246489,0.0,775557567.4093792,84471409.58280756,155436171.8110859,3979195.3844746784
2005-11-01,18240706.481538143,0.0,802128031.1702236,56206045.78904259,100040016.73278035,0.0
2005-12-01,55731844.53350803,0.0,829605906.7240933,62811606.120797105,144738695.34446007,0.0
2006-01-01,123111008.3357963,0.0,880575603.2981071,37060774.95155827,210934024.21050116,0.0
2006-02-01,70238982.34479113,0.0,890701706.5547276,40358368.87664432,120052061.55935627,0.0
2006-03-01,334516775.79153687,1831.435494496745,966008605.7484149,58446763.395898,468533922.8400046,0.0
2006-04-01,22069731.25110376,0.0,917375566.6192881,122132030.44452643,90950274.4015648,4182481.8114284547
2006-05-01,3346008.42590873,28956.557014746664,772950669.3734832,164376663.84380993,6887299.5343100475,10874452.691857941
2006-06-01,3969660.4824523646,293007.9504805528,600043128.5517479,204281721.08828023,4187619.093514126,16729927.245713819
2006-07-01,30871256.011067048,722049.1931667514,613251925.6976787,177414298.04274774,189624361.95636675,21748905.383715883
2006-08-01,36886459.39573603,373781.3787957206,602831802.6391404,181660070.81830233,173342121.20523834,17566423.331419047
2006-09-01,31735778.924502924,0.0,638393606.6336813,123200323.58576144,175654714.5944656,8364963.622856909
2006-10-01,332595830.57070863,161501.7624355844,899844474.9707433,97667580.11919956,688006188.1468949,4182481.8114284547
2006-11-01,52722756.15656727,0.0,916369623.5976114,56777248.14380964,126162242.42391743,0.0
2006-12-01,127202570.73481423,0.0,969962352.7190175,45139424.35332909,226031449.8862594,0.0
2007-01-01,99977631.06307448,0.0,983835201.6976489,32927824.84891722,146867963.58575583,0.0
2007-02-01,130929862.1279983,0.0,985445068.0095626,45587383.70844011,178258721.71639457,0.0
2007-03-01,92008778.92730096,0.0,978513722.0086787,104388655.73499969,189489296.26030827,0.0
2007-04-01,42417860.7133675,0.0,937687271.3519728,161765410.67188483,158989620.29980305,4168332.897627431
