Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,426822187.8917376,29607960.36087874,1000225751.2819434,41931073.41196077,531974692.85346144,0.0
2005-02-01,224592511.2260733,0.0,1004278092.3230798,56088783.98403921,284733636.25124866,0.0
2005-03-01,160101700.4692588,41433.541330567714,1000531151.1812847,76744328.96372549,233140521.8325198,0.0
2005-04-01,95795624.97804546,0.0,991352552.6151615,95948291.62897253,178619940.49840152,3945377.5424938793
2005-05-01,54954123.89422203,0.0,977470786.5559257,125433948.93476865,156248325.5660343,10257981.203719988
2005-06-01,89409755.50709328,0.0,961173525.8596058,194474965.43997642,251226884.7758604,15781510.169975517
2005-07-01,16250247.600573644,0.0,838672622.3606212,213808785.63979614,83829019.36239989,20515962.407439977
2005-08-01,46870863.69376569,0.0,835625958.8929837,156599650.63683137,181450833.7884718,16570585.614932666
2005-09-01,40276866.2826509,0.0,804507907.606166,144141585.79700387,137661744.56110778,7890755.084987759
2005-10-01,74215553.0234399,0.0,828984622.9233112,96506301.1586746,188398391.35407698,3945377.5424938793
2005-11-01,46688843.7038032,0.0,827110960.3778719,86483004.28387454,122758491.01767533,0.0
2005-12-01,93292359.14192522,0.0,840722369.1100531,69806357.80310592,171630395.89211923,0.0
2006-01-01,119142340.54072908,0.0,859843315.896978,70482515.69879995,205970336.95711952,0.0
2006-02-01,65802211.18349333,0.0,848272106.7956161,87112906.68431376,134108381.82823004,0.0
2006-03-01,312127551.9867387,0.0,918422576.4534967,76428209.79539615,458706231.4400157,0.0
2006-04-01,58765423.905202806,0.0,893623875.0250514,100163661.41583529,125306227.0327129,4170169.2456131484
2006-05-01,6934663.913747952,0.0,793229564.7998418,137042085.858149,19805753.995963,10842440.186203357
2006-06-01,7305329.8910719985,0.0,671367442.325169,183117741.18241572,21257766.06389892,16680676.982452594
2006-07-01,54403426.72921008,0.0,722071737.0624747,161498098.37553737,237105951.42163205,21684880.372406714
2006-08-01,56934742.15367202,0.0,719300989.5350235,146603166.0638432,169405286.3260914,17514710.85016982
2006-09-01,56848159.18629316,0.0,750331408.8287071,107235780.6859373,180582884.43959776,8340338.491226297
2006-10-01,393625324.329096,0.0,923814692.8412426,81106485.77462742,644044924.8706446,4170169.2456131484
2006-11-01,82098162.79827134,0.0,920245291.1524695,68422747.41532548,146951508.52482364,0.0
2006-12-01,122990461.3943511,0.0,938122738.1439437,52734378.99514512,193602287.380971,0.0
2007-01-01,98641699.98381318,0.0,949672950.246201,53324779.93546672,163516692.02153692,0.0
2007-02-01,109291032.58912732,0.0,938631306.8803111,86912354.70989802,184422702.98211402,0.0
2007-03-01,77406529.45099376,0.0,927091333.1199679,103330352.40425096,167751082.2925514,0.0
2007-04-01,86510883.0888012,0.0,922969445.8962739,103811648.06172545,179800773.24240035,4230197.90279255
2007-05-01,19631336.385656103,0.0,868778633.4776636,138568362.2531763,87192062.5865836,10998514.34949826
2007-06-01,6857761.102424107,0.0,744997307.3013085,188500987.22303522,38935923.12773956,16920791.6111702
2007-07-01,43226886.87551053,0.0,766112611.1295396,168464519.22774115,200807556.67784286,21997028.69899652
2007-08-01,83687464.62403747,0.0,781618774.327671,167350302.25161582,240766501.00755548,17766830.275612082
2007-09-01,57208687.219283685,0.0,793473703.9645575,134250743.9160314,186609388.96310994,8460395.8055851
