Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,2293909822.4345045,75960894.79502678,6976254136.75645,141248681.53501424,3154910975.4114475,0.0
2005-02-01,1673780399.8832815,17913108.382900946,7107059430.554754,233067936.55789107,2228018586.3228865,0.0
2005-03-01,1243763977.5068321,80463314.40253541,6956911374.85974,967161125.6721325,2100324411.0395467,0.0
2005-04-01,1337520497.0460174,8697171.542641817,7018348475.265333,893930961.8483174,2344008925.442666,46952594.21341046
2005-05-01,1944371267.7811763,8902963.281897493,7126872683.937516,1207227775.5259287,3428560246.7528467,122076744.15514119
2005-06-01,410199484.4151873,109994.98144056281,6623749410.612821,2329177628.12628,1567133980.6078446,187810376.85364184
2005-07-01,73234753.54377054,0.0,5544015294.762993,1768752206.507153,59687195.10815806,244153488.31028238
2005-08-01,133868608.0179162,0.0,5060493327.381359,1626072413.5092824,422448001.51183456,197200899.33968598
2005-09-01,62956935.22499494,0.0,4728232098.882932,1677685296.5007074,430883218.57648104,93905188.42682092
2005-10-01,207366796.452795,6481.056612565648,5062535892.721214,867965395.0867292,1171178091.1596704,46952594.21341046
2005-11-01,375881106.94857,4092819.975230695,5804490438.215767,386647935.0619459,1479739095.4761403,0.0
2005-12-01,1489987400.3765051,117630088.74498934,6483636204.232154,253823092.6567431,2688419951.587282,0.0
2006-01-01,2140640806.7980435,140719638.0137447,6796306523.390499,313987695.51985544,3013552669.2119417,0.0
2006-02-01,805994123.2784818,10675901.332694419,6857074083.638152,395742018.79214096,1303898840.1105545,0.0
2006-03-01,2432446112.184979,242867536.44006392,7015122563.420067,534459323.62428004,3517811289.8130546,0.0
2006-04-01,1367050148.2061374,60471232.28899685,7067244011.734774,984464093.7623271,2557768511.930727,48887887.32839622
2006-05-01,131058868.16222708,4801.203060660511,6510617834.047126,1789888595.6540427,772516777.3959872,127108507.53243846
2006-06-01,229091055.8066941,0.0,5920324734.300675,2104403879.7428727,760254048.3092726,195551549.3135849
2006-07-01,158102535.99070898,168152.01054754018,5236355173.073767,2004875372.5006416,408694104.1448844,254217015.0648769
2006-08-01,137195741.77044773,556.4235725540295,4828084157.643425,2032070101.9665782,453324400.8365375,205329123.2131487
2006-09-01,370032234.249672,135393.58632590983,5228642543.958563,1010928070.1085123,1557048488.0530236,97775774.65679245
2006-10-01,676580074.8507308,288051.20352784387,5846552074.59409,637302067.427231,1911757757.749409,48887887.32839622
2006-11-01,580881517.8554424,4807530.344491515,6232321444.216555,485868437.3128641,1438655097.7731233,0.0
2006-12-01,1233764470.5956101,1113764.4703642202,6634463919.468064,185164601.88142177,1866485406.5847108,0.0
2007-01-01,557454924.2044137,49039.831368271945,6709167105.872655,162848444.2861815,841424337.4754664,0.0
2007-02-01,1685737643.7906547,28895809.45566305,6856595350.435895,309884141.9851605,2220366986.328614,0.0
2007-03-01,703255451.4566923,2047565.568707391,6809959479.042835,607491558.7561877,1292729233.2008793,0.0
2007-04-01,279430635.4320419,1664081.076125808,6507309765.273126,1192170327.316854,978325101.88965,54724329.773132086
2007-05-01,84775400.5554934,0.0,5962640550.094933,1429609993.9515495,496057561.4786331,142283258.0195642
2007-06-01,258245106.61738473,10657.148444787264,5661610941.795516,2135854500.618517,957338232.8214386,218897319.09252834
2007-07-01,254214485.78649828,1521522.586299596,5086974869.748179,2181751316.358979,774331172.6248727,284566516.0391284
2007-08-01,121211889.47639138,59341.63403781429,4534125835.868168,2361140779.1150794,375814699.976311,229842182.22153345
2007-09-01,172603017.04250902,0.0,4633466036.221816,1534126459.273539,984684918.9257611,109448659.54626417
2007-10-01,302970567.29432464,171279.94402697854,5127899288.792399,748973913.9866321,1370670128.2892618,54724329.773132086
2007-11-01,66034787.90685234,0.0,5187606334.634924,373692998.5993803,358274985.3517784,0.0
2007-12-01,2070310592.4619427,71751970.46371868,6510227066.835203,98815011.22176309,3739852019.486125,0.0
2008-01-01,2498770657.20636,341329974.5069843,6876254365.793526,98773145.62808296,3464465152.3910646,0.0
2008-02-01,2297316050.612117,77780060.24955869,7026425853.440268,197393967.60387412,2840203244.231923,0.0
2008-03-01,621404552.0744268,4864629.682897466,6881998431.350884,663789874.5389465,1048927079.6261938,0.0
2008-04-01,255565103.7911142,2145506.3436692236,6423013112.054445,1441271262.1516755,618789699.8057493,56521706.989911474
2008-05-01,374758796.92825586,650093.5261921919,6337139258.515034,1438435140.9981577,1113620987.5520911,146956437.62628543
2008-06-01,187385240.95799935,2037174.3994809438,5827629019.378216,1896094893.4951737,563344298.0036694,226086827.9596459
2008-07-01,118565647.49469624,10033268.565516675,5026882160.168328,1904390036.198936,90248205.97834994,293912875.25257087
2008-08-01,156600903.80161998,4146547.094385013,4707943142.180947,1881296312.9592838,490664819.993994,237391170.6458156
2008-09-01,64234379.55630239,0.0,4572582346.137806,1117870470.5293603,374738720.48349506,113043413.97982295
2008-10-01,273135711.17118186,20050.438949882286,4980740048.661258,720703398.7298522,1126202200.008167,56521706.989911474
2008-11-01,381082257.7541792,3691755.9877752573,5517213788.475366,313593107.6599758,1277906250.1784835,0.0
2008-12-01,2006689254.39292,69608307.90172598,6422995174.637167,174532801.6585764,3325462454.779721,0.0
2009-01-01,1899911549.9673169,56545402.524582945,6687307781.261236,187961070.48768565,2563863446.2252364,0.0
2009-02-01,1915535089.9897704,56479905.905022904,6883193263.765633,251016729.66556776,2576880476.8342795,0.0
2009-03-01,1501694538.8531442,108364197.87935333,6915789040.442724,461992709.1480681,2100229414.4530547,0.0
2009-04-01,1357990039.744011,44156739.58250847,6859763616.663506,1062454001.1735761,2299282039.096381,45822012.69411448
2009-05-01,421121883.18499005,9073.53350657411,6547859578.478691,1591076143.305771,1220048094.2455556,119137233.25578338
2009-06-01,1527312969.5916443,6839601.451212827,6747340264.092875,1887259417.2200048,3215168444.2829385,183288050.7764579
2009-07-01,101240653.6429902,4087883.9797208086,5762508425.565213,2042655940.5199273,229714121.08694586,238274466.51156676
2009-08-01,119654247.98153496,1229932.232184408,5304545056.532343,1591070852.829494,460434907.4378771,192452449.1055215
2009-09-01,103459244.78330547,0.0,5204205120.682156,1190514437.4390137,708302209.930292,91644025.38822895
2009-10-01,266796304.08711517,17125.02061974976,5615302682.423434,786550570.2889723,1227897355.9215531,45822012.69411448
2009-11-01,79889086.42735183,3472.1252893060673,5702165996.186208,325630074.4846118,400132553.08908415,0.0
2009-12-01,1739750674.6087582,15529828.078732649,6648848725.387659,121712350.15045574,2982424126.4917793,0.0
2010-01-01,2318543408.502306,22973533.879693955,6940382972.45119,166328988.4753055,2905101816.4823856,0.0
2010-02-01,1025509682.4682522,2141636.3415196817,6931403650.417292,247102737.6348546,1286538673.1520553,0.0
2010-03-01,908944333.2449201,2272622.2031851048,6737689123.584735,962472140.675729,1551789016.582373,0.0
2010-04-01,1485296891.6569872,110594835.25847864,6602705201.457748,1383554940.9216096,2532577921.1889205,50534276.178052284
2010-05-01,895674371.0209033,2740755.748948158,6494230319.242293,1706345869.6188798,2175187078.183447,131389118.36434644
2010-06-01,216186216.90812322,167214.5928764809,6021959022.675804,2344497054.157541,948490517.0787992,202137104.71220914
2010-07-01,126662769.0177034,2451388.065798711,5155340634.466895,2679288544.3534703,252158142.31925854,262778236.7286929
2010-08-01,183940871.65720683,268049.69995234837,4794820490.76324,2266136115.595231,782906653.4744434,212243962.5892219
2010-09-01,36297462.24379844,0.0,4496477291.180435,1336224106.6684148,184882210.88660294,101068552.35610457
2010-10-01,494931455.789526,183318.35166194924,5433499334.541529,689116093.1959984,2016654612.9926972,50534276.178052284
2010-11-01,1593511652.3591797,29004448.25599834,6361775078.881262,401333885.9603547,3030135947.4923215,0.0
2010-12-01,3757301297.382205,684442390.8195285,6925428394.218328,183870080.32919225,5450825356.906005,0.0
2011-01-01,1057046758.1921011,5337804.066476981,6971425584.214862,132885205.60308222,1274186779.754633,0.0
2011-02-01,1461097052.0352125,14271058.502544453,6949855712.312486,417566002.29507166,1911557814.234848,0.0
2011-03-01,1890671263.5073237,282981724.5844738,6851167423.501565,969036504.3214256,2942724724.7416515,0.0
2011-04-01,1891161771.5338573,175046552.40311438,6826630888.007038,1015573834.1074083,3012096265.565504,44706583.44825542
2011-05-01,2160615858.645452,37941347.36143202,6911883475.91479,1448361822.259217,3831542863.8476954,116237116.90633596
2011-06-01,89940126.26099913,79258.31888851256,6050573791.6243105,2034116383.9982326,611046168.299167,178826333.79302168
2011-07-01,113765433.34427223,3050375.1792535814,5315138204.8201275,2412376962.225822,625491324.7303069,232474233.81267193
2011-08-01,141023197.60669827,179762.75445746834,4906644685.485647,2131159645.0822325,755863412.3483766,187767652.97194037
2011-09-01,60358311.493090264,0.0,4697087112.609523,1220532928.5130825,391536161.17375207,89413166.89651084
2011-10-01,469520371.40782857,35747.22546646837,5365388186.348647,831054810.684141,1751318385.2379777,44706583.44825542
