Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,1657581055.8006783,46493420.92541843,7003979309.875507,419159399.958471,2950518473.548448,0.0
2005-02-01,878161112.6697702,7712930.938636837,7123730879.6018095,754856754.079427,1740879933.2813761,0.0
2005-03-01,781216115.8253989,40799893.036887445,6973662780.439086,1544328982.497902,2068499146.7709744,0.0
2005-04-01,387090331.99751854,0.0,6995714326.16561,2339132578.2543483,2422127222.57042,43830500.77753537
2005-05-01,416812341.41690135,976921.3668231028,6847934234.913778,3259357539.4556403,3040075747.1683173,113959301.42022641
2005-06-01,153981175.7570602,0.0,6209998167.803873,2795890336.100571,1472885229.4763274,175322003.1101415
2005-07-01,72787495.87788472,0.0,5021943325.830593,2399028488.2926583,78704568.11983706,227918602.84045282
2005-08-01,102288202.07520655,0.0,4451494655.15565,1888486051.3257673,470569579.93122923,184088107.122579
2005-09-01,27765809.96005619,0.0,4059979054.23913,1434163289.0543518,384982761.75739765,87661001.55507074
2005-10-01,43447944.30622001,0.0,4255527994.1407986,1112371209.3972466,1079225680.9413314,43830500.77753537
2005-11-01,43284474.96775567,978868.7094793273,4734536814.340834,903444626.2585267,1325280343.0455387,0.0
2005-12-01,508237153.88637745,57328326.125581875,5812732818.519699,515050393.06211805,2165911776.6109724,0.0
2006-01-01,1301584648.838039,88369551.22814941,6617877252.60816,428377015.5181808,2714031349.0804405,0.0
2006-02-01,474794828.8537297,3759870.598406722,6689236723.794472,687097095.0561244,1158292542.6493092,0.0
2006-03-01,1521082075.5610845,158042468.48118865,6892419375.421205,1289230078.2750192,3080300806.84929,0.0
2006-04-01,519328068.12953705,31667513.580879916,6441948018.761024,2522078935.7899313,2181662630.4819217,45314450.518708386
2006-05-01,28606636.2508882,0.0,5529862275.686476,2473451628.6368513,727041233.8132913,117817570.82808153
2006-06-01,61253297.15882558,0.0,4796079794.547035,2314449257.006311,583967973.0449716,181257802.07483354
2006-07-01,96067886.1952365,459594.86460553244,4165467699.2272844,2200482584.4079494,422918734.25896084,235635141.65616307
