Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,2020610588.660182,49464893.0062441,6967579385.65019,255177032.7345727,3123778221.732728,0.0
2005-02-01,1291696823.0420337,9102929.075448928,7096567704.790982,432220360.3452795,2019651139.6423783,0.0
2005-03-01,1250466212.722521,41240674.30428808,7056452924.2009945,950298277.9790748,2219003541.1616516,0.0
2005-04-01,1139493444.864363,0.0,6993430797.394722,1485961121.0355496,2345376349.719395,43830500.77753537
2005-05-01,1410616009.453761,5919599.6348803295,6976783745.863247,2334194840.661052,3356854129.078308,113959301.42022641
2005-06-01,166499611.64052087,0.0,6242642229.256094,3264690346.551488,1529266787.4635162,175322003.1101415
2005-07-01,56958784.978956655,0.0,4625178842.984478,3488688770.352774,85235505.29761407,227918602.84045282
2005-08-01,77711013.24431558,0.0,4034277008.4886336,2561362322.3357573,453439880.220291,184088107.122579
2005-09-01,33566814.68323755,0.0,3771377611.208414,1810623112.7500126,401751136.0744133,87661001.55507074
2005-10-01,133723696.65915965,0.0,4187430000.9331875,903760189.2246346,1175041442.6591563,43830500.77753537
2005-11-01,206888494.42077717,1324848.295097219,4963561872.985857,533067188.5278275,1502534276.3002672,0.0
2005-12-01,983828550.569289,57658890.69101024,6024759826.392544,286024359.6095841,2628972410.844204,0.0
2006-01-01,1637271130.4586587,86994164.22430003,6599240071.863285,310191982.50060445,2816821323.915498,0.0
2006-02-01,689600168.2146744,3920149.150512724,6716807200.303678,469225920.39113694,1260809607.662788,0.0
2006-03-01,2005838752.6238432,148023202.40683272,6944334845.24112,724847720.5373249,3195563686.504279,0.0
2006-04-01,1192322865.1259468,25566494.380573474,6907616551.729948,1450154612.2650032,2382652413.597872,45314450.518708386
2006-05-01,75728061.2928479,0.0,6102461122.205829,2546416574.431293,821248058.4393921,117817570.82808153
2006-06-01,79571393.7265012,0.0,5112879772.534224,3142426670.253712,639974099.5084515,181257802.07483354
2006-07-01,114498560.86144234,333322.74469106464,4405092447.212201,2945691434.9986134,500400297.0262365,235635141.65616307
2006-08-01,84788047.81666578,0.0,3985010848.463418,2588054513.9939613,439259945.2744468,190320687.97123468
2006-09-01,213698097.99557477,0.0,4356095602.638596,1390951960.4813347,1484439938.8492806,90628901.03741677
2006-10-01,322177432.1517764,0.0,4964783132.895667,831192052.1574591,1673855596.9957511,45314450.518708386
2006-11-01,299295138.83273727,491863.03169923555,5529503924.999666,554642152.6347917,1430606955.4355927,0.0
2006-12-01,769863085.3603039,0.0,6125216295.768893,314421379.9667218,1716463677.1683893,0.0
2007-01-01,416043938.3653891,0.0,6305411066.680695,252915651.71978098,871614918.2504398,0.0
2007-02-01,1287320860.0821764,13096585.026382616,6646174508.752515,473985706.14624333,2187101359.967555,0.0
2007-03-01,503090127.84124655,0.0,6547583619.769997,1055946580.6117643,1228576055.5159223,0.0
2007-04-01,241559031.706418,221541.78755122994,6312573395.780385,1524854769.350871,942347613.5966489,50492500.69870236
2007-05-01,53488945.10808301,0.0,5601709759.834816,2408811042.7662406,573326423.6462662,131280503.04291648
2007-06-01,170876418.6974939,0.0,5020200073.590961,2868088714.6597037,967885994.1329472,201970002.79480943
2007-07-01,197085132.45922694,1113185.951556772,4459429514.514851,2870861787.17056,669499968.229692,262561006.08583295
2007-08-01,108928109.42213085,0.0,4095771038.097744,2481450922.4426346,361737406.1510122,212068499.3426921
2007-09-01,148218159.02840188,0.0,4168947576.246398,1701192341.575549,996624041.5955105,100985001.39740472
2007-10-01,238331373.55171302,0.0,4588285247.576818,954933306.1447141,1357901312.6997445,50492500.69870236
2007-11-01,62104588.42807351,0.0,4629324935.513762,502043138.313671,451363661.73175144,0.0
2007-12-01,1461497635.0906882,36613838.87164063,6250623274.681504,173985551.60170254,3599251521.7082806,0.0
2008-01-01,2160301088.6656456,268016806.86508805,6775295817.6628275,146357772.548447,3372299073.0146685,0.0
2008-02-01,1916436199.9338372,35739107.72331028,6979445970.511966,355399563.40823495,2616554369.3513913,0.0
2008-03-01,557091940.249062,1178107.153797943,6907925978.197377,724501344.287828,1024335708.2998446,0.0
2008-04-01,184967770.2979209,266163.6260439883,6543415387.496378,1286330217.002621,559738331.0918771,51938276.447931685
2008-05-01,350356106.85343784,0.0,6432972535.62336,1733287419.6340082,1186793510.2188385,135039517.4746921
2008-06-01,130484186.00123778,1879404.6866209616,5610409346.283976,2642867500.6341767,608733115.9027553,207753105.79172674
2008-07-01,98335202.05278616,6758568.27223512,4539827413.863622,2971898635.906803,124846426.63716012,270079034.9493842
2008-08-01,154214395.80133146,3584880.2516087503,4281304334.5785627,2481583133.300373,729659219.8301888,218140761.9947409
2008-09-01,42290926.56187691,0.0,4063254257.8632,1443457672.5070214,266469237.8361867,103876552.89586337
2008-10-01,176180110.1288647,0.0,4358913490.988898,927093512.2999066,1089056113.2514193,51938276.447931685
2008-11-01,233232907.66046748,1115216.1362696378,4898860639.486962,446223786.50311375,1237012901.9099317,0.0
2008-12-01,1295609820.5997236,31448702.335033137,6199207512.325861,254399593.60679272,3084992988.531748,0.0
2009-01-01,1641582386.9050143,24796652.642741732,6641644513.346947,274684593.65392923,2595108761.2882366,0.0
2009-02-01,1562158223.5054965,19097312.667640653,6869352868.0915,377657851.16738814,2332788419.232147,0.0
2009-03-01,1310539214.8455374,46549431.40035138,6818531460.590805,902509714.5132084,2074596041.804952,0.0
2009-04-01,1160299029.2756252,21569017.346484903,6811329996.725585,1285518758.6093938,2199995319.7592626,42162033.53300778
2009-05-01,179691310.99607897,0.0,6401608955.002254,2112572478.7247772,1055160614.1759306,109621287.21012968
2009-06-01,1141507249.5429442,6930743.502356371,6587783318.836042,2318369414.0049,3019836910.152198,168648134.1320311
2009-07-01,74912427.10072242,2807096.804251338,5350879505.579364,2963584077.5543814,273447015.0121274,219242574.42025936
2009-08-01,93849841.15013462,948158.6231062602,4765810004.442202,2290269719.0038366,482641519.42304313,177080537.66229126
2009-09-01,67957590.4089441,0.0,4571705759.748411,1680969667.506063,699122608.8098397,84324067.06601556
2009-10-01,173661515.8345156,0.0,4977098742.614516,842013346.8871531,1177431690.6062162,42162033.53300778
2009-11-01,42877692.48774773,0.0,5008310058.634705,540714037.3667145,440326687.6721578,0.0
2009-12-01,1084681606.3424501,3986465.774835971,6345054710.559633,183470863.62544337,2795775715.1470804,0.0
2010-01-01,1746196527.0126238,10110405.747079495,6846508233.610872,207896354.0659844,2561950046.126811,0.0
2010-02-01,863986133.9133255,0.0,6911445197.04269,289748292.374047,1197676285.2829022,0.0
2010-03-01,890918932.4825257,477750.59592422907,6940380880.089653,784917321.9485097,1531063243.4805634,0.0
2010-04-01,1425633782.3860466,61546257.48606378,6900104317.300494,1242973622.6693416,2399318902.8996234,46582786.14173216
2010-05-01,946711236.5833865,0.0,6829945146.237788,1684514688.457223,2084178955.482382,121115245.0816659
2010-06-01,121247887.89684165,0.0,5996110689.381267,2800976460.9231443,877216767.0195862,186331144.56692863
2010-07-01,86344794.81666839,1850423.9851105458,4831939619.063839,3149295455.196525,267434375.93552223,242230490.1633318
2010-08-01,109272313.07552566,379903.65880677133,4403450979.404183,2573902728.198696,691157405.4527467,195647705.2460936
2010-09-01,25190110.169929184,0.0,4036166227.4939,1756746409.9757671,204139628.92343506,93165572.28346431
2010-10-01,320627941.72189003,0.0,4939978659.050482,895038337.6009716,2020839953.7157636,46582786.14173216
2010-11-01,1105571476.4178054,12851098.833029203,6192068772.307709,432271631.16456395,2912794537.3257947,0.0
2010-12-01,3245022654.269667,422793317.1156144,7052022161.60333,221694505.83840802,5199788856.303331,0.0
2011-01-01,963623491.7836155,633599.1983546417,7098151965.400549,276116149.59417284,1335658347.3098168,0.0
2011-02-01,1332596729.4951065,7595822.732470203,7139592399.7051935,476150310.9490283,1848476556.7858949,0.0
2011-03-01,1968661362.7771587,224831009.98140997,7108668721.041538,865165204.1809645,2977450234.7908835,0.0
2011-04-01,1956201799.2660813,106713737.2627337,7115087563.589791,1062386587.3517315,3078960933.941084,41378214.53242281
2011-05-01,2143461218.5619674,7266950.263677651,7162388561.455807,1637478933.4908006,3754072167.2802334,107583358.40341972
2011-06-01,60938955.81358815,0.0,6013853876.817409,2934984269.9822755,685338589.9386637,165512858.12969124
2011-07-01,81658723.16547833,2359577.741802409,4721381299.208741,3519963523.066405,720485071.576411,215166716.80683944
2011-08-01,59933500.106870756,137902.63804829426,4002204787.359959,2911173413.2008953,576087395.0598416,173788503.8469833
2011-09-01,32003537.668562036,0.0,3734686757.442926,1831052909.8553245,448715535.5121923,82756429.06484562
2011-10-01,150821334.81759983,0.0,4324113242.411288,997713862.8729564,1486015093.3584487,41378214.53242281
2011-11-01,267331364.48738033,546292.0414596505,5206550684.408538,513877022.6995679,1650526899.4161332,0.0
2011-12-01,94615983.75534949,0.0,5302336712.186536,266986833.82979622,379758218.6815652,0.0
