Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,28632077.714066785,0.0,150771128.9254443,3422346.032721569,40939216.22586809,0.0
2005-02-01,2261485.412414238,0.0,147055472.0616605,16729990.146078434,15275818.694708852,0.0
2005-03-01,3569221.036658293,0.0,128110355.96235617,35159883.667898044,19783988.605251998,0.0
2005-04-01,12114090.117384544,240105.15338923442,140765689.00425705,26320399.175756864,51103801.726037286,226125.76239431376
2005-05-01,34129947.508356385,2739418.6495255698,150744046.0811054,25163605.93196079,71423402.2090875,587926.9576035294
2005-06-01,629269.957766369,0.0,126475418.3900277,49074385.85130195,24530525.068413407,904503.049577255
2005-07-01,565493.2887496075,0.0,105830928.61458488,25751290.0794902,3865992.4034083257,1175853.915207059
2005-08-01,614176.9852721277,0.0,97666010.84227292,21777385.316517647,12338246.5145638,949728.0913955191
2005-09-01,610833.5897085348,0.0,93180367.50350036,11351407.043160789,5549500.922228674,452251.5247886275
2005-10-01,1422255.3455284561,0.0,104950025.05203776,5060110.58047059,18025897.71214215,226125.76239431376
2005-11-01,5398622.757607826,0.0,127299601.66303678,4157266.037027453,31905465.40563428,0.0
2005-12-01,35148889.136802025,3093684.4166597603,148203682.71283156,3402736.6224470586,62549391.22570362,0.0
2006-01-01,52828619.72316819,4017493.928639003,153396418.09245652,3210748.4244235293,65249597.45585565,0.0
2006-02-01,8129777.839570511,0.0,152718292.63327748,12944041.861999996,20395694.242391475,0.0
2006-03-01,43623426.849738255,0.0,156402693.94430143,13633040.732925493,60940868.893687725,0.0
2006-04-01,4834606.3712088745,5495995.414850944,141185790.8506924,44006309.5248549,38893885.52715954,226122.69014611584
2006-05-01,1296768.1645559657,0.0,131579217.39151183,34161132.07934902,25263407.789795447,587918.9949290046
2006-06-01,741438.1101337693,0.0,113220090.41710868,35073111.10799215,16550931.483138312,904490.7605844634
2006-07-01,317305.90314408235,0.0,86019630.64088663,42421501.689294115,14362509.826358123,1175837.9898580092
2006-08-01,149768.65765841177,0.0,69713011.63431944,22025836.158596076,3556801.059451324,949715.3022747475
