Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,8925409.346697604,0.0,126008005.86952344,4733958.950541177,39391881.543866925,0.0
2005-02-01,1429870.0799450537,0.0,126113613.9982276,13112704.451945096,14648182.66059437,0.0
2005-03-01,1728968.9649391645,0.0,119389537.26676115,25477894.05053333,20482786.284006033,0.0
2005-04-01,6687603.867290809,0.0,127140741.66715805,36552315.77610981,50764998.28140319,226125.76239431376
2005-05-01,16318791.819414532,0.0,141070859.81309015,47977044.38603138,77638027.39377445,587926.9576035294
2005-06-01,151245.94919995303,0.0,112464837.47125216,52999575.977639236,23640296.535423942,904503.049577255
2005-07-01,0.0,0.0,74424800.65008783,46045001.156180404,5685774.714952491,1175853.915207059
2005-08-01,126415.50151963279,0.0,62409651.3975633,30949101.9422353,14004732.2074571,949728.0913955191
2005-09-01,89719.34953110138,0.0,56904278.79243445,17438204.39058823,6310399.256903676,452251.5247886275
2005-10-01,351328.5227611033,0.0,60463064.076115415,15813028.701678429,18653318.560734525,226125.76239431376
2005-11-01,1320633.9585879762,0.0,79156677.00967912,11922436.574964706,31936683.467116375,0.0
2005-12-01,10243187.397219848,0.0,120512129.63738379,8572510.195529412,60171150.220453896,0.0
2006-01-01,33123739.901083387,232814.35944339895,151536084.6311129,148367.6248627451,64528876.87911867,0.0
2006-02-01,13548590.67267182,0.0,154868711.96285415,0.0,16881218.00441305,0.0
2006-03-01,41868315.50931886,3096806.4386284794,155389580.30297726,15454760.206596076,60940750.494666524,0.0
2006-04-01,3301993.5355926817,0.0,149825967.134595,40836520.404070586,38348778.0811349,226122.69014611584
2006-05-01,312045.07049599336,0.0,123233375.84243526,49697199.84116863,22828734.624575887,587918.9949290046
2006-06-01,312045.07049599336,0.0,90588571.07913867,47907775.97657255,14670525.523187485,904490.7605844634
2006-07-01,277784.32438340917,0.0,66643580.9643839,36708939.3926196,11282182.263667168,1175837.9898580092
2006-08-01,150213.75566989343,0.0,52063271.66498256,26573350.744149018,3208935.149320455,949715.3022747475
2006-09-01,188655.3253096305,0.0,49615524.33841856,18768625.802603927,12175416.080807168,452245.3802922317
2006-10-01,224209.32499397467,0.0,57087340.64352155,16752828.96712157,24220293.360479053,226122.69014611584
2006-11-01,1116395.9951825705,0.0,73734425.69189994,9242252.58814902,27005733.63170998,0.0
2006-12-01,4289902.833997561,0.0,106191004.00078426,7268458.255090198,44014939.397972114,0.0
2007-01-01,1830272.4322161882,0.0,111431033.87931745,6279490.104901962,13349792.415651307,0.0
2007-02-01,6509978.555743191,0.0,128614997.74436605,15853709.785184313,39547652.20597615,0.0
2007-03-01,3172605.155717803,0.0,126309207.52549239,30585105.614980392,31451920.55182451,0.0
2007-04-01,439189.81160854315,0.0,116692086.91513935,36549842.19299607,27145789.723032013,226121.6712195387
2007-05-01,189788.46800378553,0.0,78726625.84352568,46753724.25905097,7462624.035558523,587916.3288050509
2007-06-01,9551.39882356491,0.0,60813024.23454983,37505319.993850976,13806879.666771296,904486.6848781548
