Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,20041487.035657804,0.0,133299360.84208429,3409085.638988236,269292336.2589408,0.0
2005-02-01,24150836.51839763,0.0,134638859.8568015,5180231.24305858,218881253.20456037,0.0
2005-03-01,28782546.657806948,0.0,135328150.4067321,8933993.028017655,201656112.21536657,0.0
2005-04-01,21872737.864683393,0.0,132664710.7892394,18404368.624750234,244834595.87091666,3974.7443350675435
2005-05-01,44071449.09093936,9119.668995747686,134393933.0469268,22732507.785442874,460478334.5222522,10334.335115198337
2005-06-01,23100794.90697327,0.0,131759507.65804926,20528406.261609554,250270299.25737,15898.977340270174
2005-07-01,65018.72851406992,0.0,123119419.21875443,11817826.979579171,1624173.2327621419,20668.670230396674
2005-08-01,3463878.294624908,0.0,117739514.67656635,11217481.527247308,46220917.875565924,16693.92627470079
2005-09-01,2667012.339416324,0.0,115733848.57037857,7367236.908056131,30678239.571654987,7949.488670135087
2005-10-01,15386264.722884633,0.0,119951541.88952838,5617500.837721321,137610855.71955806,3974.7443350675435
2005-11-01,12164752.538452124,0.0,123348203.96365125,3617794.514817157,98332354.22847885,0.0
2005-12-01,21773779.051174603,3267.174536241771,127117815.01878336,3919795.7292656875,184735922.92027715,0.0
2006-01-01,23684534.864816103,0.0,129556122.30177362,4480720.87730907,189050544.38283503,0.0
2006-02-01,15296652.542044882,0.0,130766868.74697883,4455039.861764703,123473893.34387895,0.0
2006-03-01,30770385.116068006,0.0,132987234.49075675,10679713.502000744,276979490.79346985,0.0
2006-04-01,26623166.09457473,0.0,133230500.92940813,14789053.30826887,289241990.94055915,4781.479293730167
2006-05-01,10303031.107095208,0.0,127567284.0996812,15953555.496503187,105703724.72818424,12431.845563026754
2006-06-01,6522649.162416704,0.0,121985799.38601093,13707492.539251957,81966943.23857975,19125.91717492067
2006-07-01,3284248.083542515,0.0,119311700.6977587,9641455.091658333,44839343.641321264,24863.69112605351
2006-08-01,8304331.865334655,0.0,117169008.88082987,12071645.690964952,93242175.71459581,20082.211979682033
2006-09-01,23145035.06562366,0.0,123013799.384912,9882254.749723779,241121562.8783747,9562.958587460334
2006-10-01,16469396.225709887,0.0,123802915.4050339,10871536.423019612,209642903.99332267,4781.479293730167
2006-11-01,13453274.488692747,0.0,125862364.25219148,6145681.184773782,111073992.71535063,0.0
2006-12-01,10078983.242745668,0.0,127465722.30253938,2919781.3429926503,70395218.39685453,0.0
