Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,274891224.5315381,60936.50317759602,1468063020.065354,150844471.25377175,491992153.4203062,0.0
2005-02-01,243684519.13335294,0.0,1494858804.439424,207743382.8818261,478331901.5058796,0.0
2005-03-01,55385086.67324899,0.0,1441568561.2903624,334339108.40354335,336377962.2049372,0.0
2005-04-01,247968380.90886545,756319.3579954748,1484083909.130174,356095859.8745154,645773278.1920819,1318217.5787170012
2005-05-01,4559740.783351682,0.0,1282091251.3131664,492939182.11974216,288406063.55806947,3427365.6691666935
2005-06-01,2201386.8273889925,0.0,1069726653.3531225,408571054.8368072,174932791.9943396,5272870.314868005
2005-07-01,2554980.54818089,0.0,938338970.2952597,319239694.44227433,117714264.3031619,6854731.338333387
2005-08-01,1861329.3608567002,0.0,830819037.3330584,339653086.69604117,126341932.75410211,5536513.992585116
2005-09-01,2153288.0348601695,0.0,784279432.338166,232005207.2974738,102459408.67201245,2636435.1574340025
2005-10-01,4350516.201298591,0.0,817185006.2125943,202764191.99903026,212231963.7020223,1318217.5787170012
2005-11-01,264225.0789466697,0.0,762604374.9390117,135753112.46934122,47931888.20697225,0.0
2005-12-01,1835355.9458209341,0.0,799759201.1172104,103072132.12956022,137350006.01735264,0.0
2006-01-01,5428555.034024245,0.0,835966300.4983839,161671394.08648092,196876110.0779018,0.0
2006-02-01,8952124.202879982,0.0,842505350.4105349,237342418.79886335,239149791.09693378,0.0
2006-03-01,143678677.90420184,1501439.714173292,1190232022.7325506,296691154.55236447,789458410.5831679,0.0
2006-04-01,9421759.198155716,0.0,1042093907.6695256,351101255.43765366,201242395.38343877,1600403.0864101853
2006-05-01,1622094.7498245523,0.0,839839094.719479,341215506.44241416,65622586.04710449,4161048.1142522106
2006-06-01,1309180.7473446166,0.0,751856145.8619053,257745544.66811767,52411458.76845348,6401612.345640741
2006-07-01,30053395.194686227,0.0,865926821.3776362,261042486.40378255,368849927.9073329,8322096.228504421
2006-08-01,1164567.3367033398,0.0,734664729.9650121,297929217.097431,8189442.668489111,6721692.90273115
2006-09-01,825622.0110351122,0.0,696797414.4753685,177982882.76712602,45423130.501328185,3200806.1728203706
2006-10-01,43728557.36922973,0.0,891886689.247658,224248536.39454377,460997992.449046,1600403.0864101853
2006-11-01,2484597.5487948544,0.0,831406838.1663225,124447831.70048591,54380055.509579845,0.0
2006-12-01,89115421.69236365,0.0,1046742565.9734027,115557497.72427374,420156601.30292416,0.0
2007-01-01,51140394.77144554,0.0,1119551766.3804028,140055674.43262774,264038005.13218743,0.0
2007-02-01,101370238.87562823,39171.097254293505,1197040827.0013022,248853209.0759712,426629747.1642401,0.0
2007-03-01,57459044.06067294,0.0,1149153382.7051814,358688799.9073527,362163876.40848184,0.0
2007-04-01,15381813.08160687,0.0,1030511311.1242528,375833710.234148,249916039.63891315,1615326.520413708
2007-05-01,2902337.722894181,0.0,874112319.4854147,322059858.886497,102793385.33356854,4199848.796404773
2007-06-01,5699666.693364574,0.0,822856834.0674877,205997824.77365792,81468101.8065112,6461306.081654832
2007-07-01,5482878.558276315,0.0,794020584.0970571,186625666.53976506,78138644.24066302,8399697.592809547
2007-08-01,7748291.005303144,0.0,780270592.5291704,212307261.99107322,119548182.48664224,6784371.062337318
2007-09-01,31045583.111112338,0.0,847503078.239601,199556138.84941566,262213531.12378135,3230653.040827416
2007-10-01,3079467.8270997186,0.0,787826095.6243088,161939039.51987538,37072373.318688855,1615326.520413708
2007-11-01,730531.7652653891,0.0,766635405.4605,113155335.09153518,48660256.768270396,0.0
2007-12-01,190888982.08594024,50232.94446882496,1185287891.5445962,73057293.72229329,683045213.3669405,0.0
2008-01-01,185870010.49042273,136137.81544576495,1328418075.1219468,132738266.1607517,462328555.9582882,0.0
2008-02-01,261171250.0493057,92487.24172979378,1371777958.5574613,221224636.08374983,526175838.4056736,0.0
2008-03-01,42315892.20964526,0.0,1292387566.225289,281698007.3633913,243601715.81225234,0.0
2008-04-01,343218.7227779937,0.0,1047625486.958708,267613402.06042844,12764440.385432888,1542268.1287091558
2008-05-01,4696968.605347401,0.0,977311570.3519113,223047529.16988575,130716950.3477211,4009897.0887973523
2008-06-01,11752719.19767187,0.0,910891450.7883146,231807286.06375736,108635861.9218904,6169072.514836623
2008-07-01,6743524.1163051175,0.0,868224372.9492793,246304051.36439756,128066579.47133647,8019794.177594705
2008-08-01,46383209.66006052,0.0,891261444.4580948,238186258.00724053,244608738.98598325,6477526.042320337
2008-09-01,1200521.2471455757,0.0,817955724.3757555,184667578.65799373,18511364.826750327,3084536.2574183117
2008-10-01,25317357.737450797,0.0,865088923.1504964,161553730.6280456,217062042.8101608,1542268.1287091558
2008-11-01,31441560.30392484,0.0,921324286.7608184,109330852.80855533,194346169.08855447,0.0
2008-12-01,103275927.35085198,0.0,1080597619.501482,118380194.02874434,377808786.69465125,0.0
2009-01-01,152966242.4314403,1076575.8374968679,1227604358.9699569,116020671.27789178,417497045.13577294,0.0
2009-02-01,331605551.49494827,4933083.122602986,1316982056.356246,198181001.26952386,623193690.9992733,0.0
2009-03-01,16793953.79284414,0.0,1126525877.521052,329474045.63679993,140437129.18607336,0.0
2009-04-01,91463504.79180823,14803.738675517028,1219533622.6844044,340525564.03103125,522431495.2739048,1730321.5824952067
2009-05-01,2245746.971417168,0.0,1029057707.6556027,314080250.8055417,98481521.32843557,4498836.309002332
2009-06-01,29812618.949290372,0.0,1017146761.904092,276803715.2483292,264194653.72088993,6921286.329980827
2009-07-01,31692135.4872955,0.0,979360195.0528399,263210752.06466025,196122312.0530431,8997672.618004665
2009-08-01,2083340.1174443644,0.0,879934298.0669076,230515435.52154088,25982279.876741096,7267350.755001635
2009-09-01,1905844.3378440964,0.0,819401008.0278088,205761761.74634156,55244538.252087995,3460643.1649904135
2009-10-01,51643868.779374436,0.0,903383049.6062516,145702701.74044603,261335340.85216048,1730321.5824952067
2009-11-01,492707.06650085276,0.0,843528213.5271087,127034770.93024518,33611240.502920404,0.0
2009-12-01,150434290.76654127,67635.77147491295,1178492751.3092656,92452722.64281455,578319577.4841101,0.0
2010-01-01,387904370.3312917,1442972.3411451972,1375238099.56359,109863630.6657064,696578391.7067608,0.0
2010-02-01,276567912.15719694,138735.36825348146,1390196245.9717407,167378550.77414575,459333127.3524895,0.0
