Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,402291803.0222405,0.0,1511597833.0362377,59152349.5130196,469702898.44834226,0.0
2005-02-01,352820289.431178,0.0,1516065347.8059168,58889632.85947448,417835810.78803,0.0
2005-03-01,288016849.643413,0.0,1514974698.2576528,66185874.55625883,354765227.50806165,0.0
2005-04-01,431031313.07573414,1351599.9737116615,1517351861.9969144,90383559.74750589,526323455.23743546,1639606.7086554538
2005-05-01,207782782.09658504,0.0,1492123293.6517844,139075732.10405493,314720867.83897984,4262977.378356778
2005-06-01,119072685.54813048,0.0,1437639241.3091679,128283540.16314512,176003332.66261956,6558426.834621815
2005-07-01,53402675.032229275,0.0,1387023877.1155453,102084645.80904314,75929654.48731184,8525954.756713556
2005-08-01,114640176.22481567,0.0,1349760923.45222,128688706.17730983,173252442.5101009,6886348.394171967
2005-09-01,72923470.84396833,0.0,1336372169.4958653,82579950.18482354,117780544.47759646,3279213.4173109075
2005-10-01,147702509.12976426,0.0,1355077534.6142373,62936018.96265097,223800011.48466974,1639606.7086554538
2005-11-01,59232966.93876232,0.0,1374152953.6878045,23786131.34186667,100593237.24743448,0.0
2005-12-01,70776153.33272697,0.0,1388219898.3131752,28012090.04247059,113141156.58082834,0.0
2006-01-01,122444790.07765263,0.0,1416306941.2014728,32228828.898494124,183767977.36272585,0.0
2006-02-01,133107819.53545353,0.0,1445955034.5988705,30210089.86952158,194203501.66366446,0.0
2006-03-01,571176249.8512927,1747305.748923791,1485659366.7390404,92422943.42959218,708739659.6522317,0.0
2006-04-01,157044200.85830683,0.0,1477231655.459682,77836930.28054902,224422451.7491905,2000186.0093797725
2006-05-01,42215191.00993156,0.0,1452736235.2880616,64463457.06726274,69465449.22480741,5200483.64725408
2006-06-01,32777399.549723122,0.0,1412578139.747236,80510367.24734902,52453235.75443466,8000744.03751909
2006-07-01,197534227.21523753,0.0,1405719895.6016216,127049851.56442356,295366343.5631752,10400967.29450816
2006-08-01,32055192.762883767,0.0,1371061631.4778244,85870338.67520785,48443728.684882626,8400781.12122593
2006-09-01,59813246.16511387,0.0,1361486167.5959587,65314709.65970981,95488597.61999357,4000372.018759545
2006-10-01,261331883.90653932,0.0,1397190067.09522,107733195.02719218,402382768.29811275,2000186.0093797725
2006-11-01,38830194.689337805,0.0,1400737662.9106138,24318956.80707451,65348617.58875576,0.0
2006-12-01,326326612.43727386,0.0,1460426537.3335328,32488484.819984317,420040799.9629113,0.0
2007-01-01,193841336.72966966,0.0,1479276792.497549,17764225.793364704,231196240.44828108,0.0
2007-02-01,319777744.0825594,0.0,1499013300.1595669,43118792.04778825,384558106.00126374,0.0
2007-03-01,273959115.72557175,0.0,1503684867.7035537,51665580.54691763,332054680.5614884,0.0
2007-04-01,158848079.53029,0.0,1495191292.5153127,72893560.10816473,222661510.0468331,2020575.1221265642
