Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,123293316.81366022,37189699.02198588,423230147.6008877,33471151.054705895,253173062.6794943,0.0
2005-02-01,107443834.22820716,6293482.426014202,449866474.38253516,61411035.20884707,201954058.89585006,0.0
2005-03-01,137947602.95287174,25475360.506855063,474074619.943897,101925903.69333339,289639164.0652083,0.0
2005-04-01,47437308.53218589,297141.4255196158,471533922.9709011,141498966.93151376,184018891.9665378,2357276.692424305
2005-05-01,47934336.02643097,0.0,467660803.3554682,209991734.55506667,244563232.2422113,6128918.9386902265
2005-06-01,4899308.177945291,0.0,365406304.44970894,222830065.6756,100082623.51237938,9429106.76969722
2005-07-01,2989428.9561508503,0.0,181225760.78134924,242700626.32549018,3903191.581285793,12257837.877380453
2005-08-01,3176985.908923959,0.0,117017014.39353758,183149150.0987294,32283673.236798964,9900562.138010135
2005-09-01,1364801.9724039864,0.0,87208123.81266622,130826890.53497262,35042164.78629137,4714553.38484861
2005-10-01,1963271.4345009252,0.0,117569808.37395433,78471742.08989023,99005108.37697168,2357276.692424305
2005-11-01,20233351.40903237,0.0,275456184.0715813,39305818.82610982,217419435.3929357,0.0
2005-12-01,99289113.88883227,32874141.364625763,364471216.9593804,29874544.07494118,251188527.17863873,0.0
2006-01-01,142425946.73979256,33531718.329277154,449292772.4843233,35732976.70752942,296777310.6829672,0.0
2006-02-01,86404013.29103974,4522605.848900839,453840443.4366318,56767237.673882365,152198854.60740522,0.0
2006-03-01,184206243.88665804,45436249.532110274,478291946.6897536,91391716.59424318,345616020.98808783,0.0
2006-04-01,118215964.47211853,14279450.15958447,475358318.9583919,156605212.96422747,284538493.3735191,1582773.7339657808
2006-05-01,1524325.8892084323,0.0,325587194.4361632,229008085.14197642,58637642.925655074,4115211.4895956786
2006-06-01,1295234.1458004392,0.0,173850511.74998066,242408267.4096078,44303185.565042436,6331094.935863123
2006-07-01,2138892.0425371253,0.0,94555206.7219585,230102630.12868232,33857746.198803864,8230422.979191357
2006-08-01,2051855.9519546577,0.0,60017571.599417426,194651554.32391366,48567489.48429494,6647649.556714064
2006-09-01,3189456.858993097,0.0,90477556.94710305,127724004.39181176,147184902.22522414,3165547.4679315616
2006-10-01,3173317.7953857994,0.0,150235540.3561681,82453313.17134902,140122342.7392616,1582773.7339657808
2006-11-01,30959755.654861543,483904.18318876176,238188351.34539285,46189962.16187451,165376136.51229253,0.0
2006-12-01,53864595.93677185,0.0,314510270.6859453,16880631.569035295,147144349.16395366,0.0
2007-01-01,34379060.63976503,0.0,334881120.97032946,44569268.7988549,99300648.62893441,0.0
2007-02-01,112157935.18871547,12020086.79401612,395305276.5970244,77110706.4351843,261635088.82965222,0.0
2007-03-01,43301424.778039016,81026.94350068041,379110096.2990844,109028125.56966272,133974852.29339924,0.0
