Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,286395602.43760467,3587076.0110703628,438436326.2655514,7269367.261019609,306857354.2165022,0.0
2005-02-01,183011358.68888384,0.0,438497924.53580004,32261149.654729426,216223954.70170876,0.0
2005-03-01,58589486.30807385,0.0,434447558.5212605,70517851.36680785,125552422.66624762,0.0
2005-04-01,37553673.04806525,0.0,422001217.9735541,74445781.7980392,99477079.46941803,475615.46026324347
2005-05-01,2514904.3743800884,0.0,375493965.35734123,78933018.88676076,33850562.70735204,1236600.2108848032
2005-06-01,9940411.198286932,0.0,357565718.6503614,64126371.59614898,53863672.050286435,1902461.8410529739
2005-07-01,1045555.811550041,0.0,299484237.4204886,90870052.26556861,26749363.992896322,2473200.4217696064
2005-08-01,14736761.4521869,0.0,316208189.65554893,72628252.46170975,98841338.82212144,1997584.848332407
2005-09-01,195647.66390235227,0.0,285343962.30518186,56544330.718470566,14246190.311621929,951230.9205264869
2005-10-01,19964464.590593554,0.0,316896497.5778997,56685473.19356864,107018488.77971426,475615.46026324347
2005-11-01,381811.8866336008,0.0,289910790.6569272,40155531.949882366,9308273.552972976,0.0
2005-12-01,4393992.183646205,0.0,307136396.1554632,22876295.13372549,44157669.43593935,0.0
2006-01-01,18512837.699985042,0.0,338270833.1035716,15269452.096125485,65232333.918617524,0.0
2006-02-01,7482218.1990554985,0.0,339795253.4339437,35756174.10065883,44779857.13959518,0.0
2006-03-01,100090101.12779814,0.0,395563534.8413868,92973633.50426665,250049258.36626723,0.0
2006-04-01,6586784.685883255,0.0,365195878.8694362,70163876.037749,45491827.857671894,492263.3762063156
2006-05-01,187281.51329367844,0.0,320550945.08181995,59186290.01180395,5934624.3311972795,1279884.6722771525
2006-06-01,300236.47030825977,0.0,266215336.34775162,84613482.18675295,10656168.136212848,1969053.5048252624
2006-07-01,6161040.712263961,0.0,271384228.5341629,113264906.30070587,113851518.66070212,2559769.344554305
2006-08-01,929602.9664415726,0.0,231532916.17751884,87367293.69126275,30266341.49079442,2067506.1248137834
2006-09-01,2447636.6939376425,0.0,235975191.75137198,48414434.1691294,45967432.45027141,984526.7524126312
2006-10-01,34489851.98623564,0.0,318509172.5239232,36076934.12531765,153435741.37238798,492263.3762063156
2006-11-01,619250.373092469,0.0,287068701.32389235,55694145.11609408,24783344.84008848,0.0
2006-12-01,13021243.488663761,0.0,336815877.18211484,15752509.25362353,78797655.42229423,0.0
2007-01-01,9421342.557500057,0.0,349839554.15594727,16283306.992392153,38878053.107547946,0.0
2007-02-01,15824815.206414618,0.0,355833822.61692476,33809607.25386667,55783596.796534434,0.0
2007-03-01,2365485.1411813875,0.0,329340277.92607874,55369671.57094903,29503678.41904432,0.0
2007-04-01,8459530.15827077,0.0,321585299.0337038,61593861.87778038,57481520.96571712,513119.12914715084
2007-05-01,0.0,0.0,254348805.19605672,94781968.55352944,7326487.914004589,1334109.764743199
2007-06-01,0.0,0.0,225711497.1130673,57876818.80903528,6446461.155881806,2052476.5165886034
2007-07-01,72842.33460196768,0.0,210914512.74989122,98695877.98976469,58689279.237889685,2668219.529486398
2007-08-01,3927099.0957008996,0.0,220375648.23825788,103460565.45803134,104102963.30388817,2155100.4619178055
