Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,278375679.289374,3798688.3649400906,436749875.0558891,33825093.97008627,318843142.59728885,0.0
2005-02-01,182741295.99479666,0.0,437521757.5939567,44070539.82312157,228553883.79024377,0.0
2005-03-01,78041568.91853675,0.0,435574953.5852911,45956055.40967846,122563228.66559082,0.0
2005-04-01,56506788.55576834,0.0,431120674.58487207,53152098.728117645,105246865.3822674,475615.46026324347
2005-05-01,13676242.557295179,0.0,402416051.7082229,48392387.787137255,32311429.442035686,1236600.2108848032
2005-06-01,20150370.12174238,0.0,361416263.45461917,73495343.6275059,46963617.15595526,1902461.8410529739
2005-07-01,9416891.904566772,0.0,334970707.8085221,56230286.1287137,20083075.96937884,2473200.4217696064
2005-08-01,38987821.73477213,0.0,310825584.3896644,87043073.1942353,88958125.61496857,1997584.848332407
2005-09-01,5900271.110785976,0.0,299279604.78804594,33793059.72115295,13400783.862472985,951230.9205264869
2005-10-01,46871554.02561062,0.0,315783290.99801934,48007435.37797648,110235630.41827191,475615.46026324347
2005-11-01,3024956.4514050204,0.0,310562229.1266838,12385884.866062751,7374238.32356954,0.0
2005-12-01,24797279.984561995,0.0,316035813.89398634,23190967.955968637,52663130.67454222,0.0
2006-01-01,24429581.978790507,0.0,314637499.16562545,29680494.509921562,51436177.53195631,0.0
2006-02-01,28694201.32051702,0.0,331361169.70530033,11793230.261882352,57395323.75814573,0.0
2006-03-01,123234418.67811191,0.0,376895267.2212077,67952584.20279999,237951997.20155105,0.0
2006-04-01,20667192.03677205,0.0,368753962.6000258,36480992.78437647,47343476.303240776,492263.3762063156
2006-05-01,1234046.1842360985,0.0,347408820.63393146,33958047.34610979,2077752.4738211874,1279884.6722771525
2006-06-01,4854788.018390698,0.0,332493994.8967677,44835190.42876863,12467454.612259194,1969053.5048252624
2006-07-01,54995440.733242676,0.0,334312883.9660753,79879612.88072158,119094271.40416369,2559769.344554305
2006-08-01,13708958.327445237,0.0,324525482.87158585,54146037.65884707,34935891.30446375,2067506.1248137834
2006-09-01,15410264.163647974,0.0,313596429.06318444,46692071.580337256,34337066.30761239,984526.7524126312
2006-10-01,72930761.7521299,0.0,336825007.4669094,59547821.36393727,155711623.39850405,492263.3762063156
2006-11-01,14636472.906443879,0.0,337852784.2005556,11543718.2946902,26108828.410197347,0.0
2006-12-01,40101664.461029395,0.0,346854483.8333891,28359495.74718433,77554049.92899501,0.0
2007-01-01,16442371.238842828,0.0,350542835.0022407,13031465.584556863,32890844.45785758,0.0
2007-02-01,25578525.2258999,0.0,351975722.27008957,23508832.438847065,49986958.68263473,0.0
2007-03-01,11456514.698370175,0.0,344820416.97463346,24891633.193866666,26093446.993639383,0.0
2007-04-01,26348847.16409757,0.0,343197880.3012983,41858331.19191374,61697302.03213657,513119.12914715084
2007-05-01,2310716.2824007035,0.0,333026722.26135945,28508646.56860392,5057961.1475141635,1334109.764743199
2007-06-01,3210343.4924340243,0.0,321908248.9108955,39035273.7019451,6230266.782077147,2052476.5165886034
2007-07-01,22867803.27355335,0.0,316163405.3052531,57085224.4554353,50680286.864061125,2668219.529486398
2007-08-01,46748207.65374443,0.0,315594023.9743322,76326381.1857647,105605996.72034149,2155100.4619178055
2007-09-01,42299081.72627568,0.0,321967248.5358698,55042758.354251,93505299.49884811,1026238.2582943017
2007-10-01,4200306.088860557,0.0,318459212.88327235,18224288.655529417,8284855.286371765,513119.12914715084
2007-11-01,42151892.94283087,0.0,339685497.95708674,21674903.460682355,85435073.7685366,0.0
2007-12-01,82695871.0199471,0.0,366421343.85123956,29970563.499137253,139915083.22163925,0.0
2008-01-01,205771773.2834881,1152467.7213301056,411101780.97604865,26482254.663960785,279107834.34652555,0.0
2008-02-01,148761707.68935707,0.0,422153669.5212902,37472628.82081569,198067759.44481477,0.0
