Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,483260667.32222277,44663784.37628701,655181897.5398409,11429996.782670822,570126068.6470768,0.0
2005-02-01,323567203.74177086,4092888.326546681,658325529.6996764,7120593.453257603,338066978.2734964,0.0
2005-03-01,357029997.5245422,6039351.690763022,658772626.7359238,15428129.106812,379022486.26607007,0.0
2005-04-01,224201476.97773212,800454.1297683376,657324995.4210442,66845590.48887669,285893737.6006456,4703516.7835460305
2005-05-01,93847706.58776817,0.0,631343428.6621169,122285807.74028778,177897535.05116072,12229144.337240646
2005-06-01,75420678.92108846,0.0,571144929.2601222,159755640.28636336,156033850.1104561,18814067.134184122
2005-07-01,769330.5213132512,0.0,443621600.41864324,158811829.71076888,1758931.1094033772,24458288.67448129
2005-08-01,17935600.0658532,0.0,399321260.8271606,120883416.4317886,33404307.018104993,19754770.097859297
2005-09-01,14062871.41379412,0.0,381398767.87780434,76293763.18559057,27927502.58081889,9407033.567092061
2005-10-01,64938642.842096366,0.0,399176487.8220518,46771066.0932007,124135420.92492008,4703516.7835460305
2005-11-01,209529815.14237386,2980279.8112958577,491467087.71980655,29823249.67243474,334678226.3687692,0.0
2005-12-01,360267130.5240928,103085694.2901845,620065624.5283042,10920673.893372305,603083935.62863,0.0
2006-01-01,483605057.24207836,106807422.9546732,651962600.6293912,12330681.930803202,634880283.5721542,0.0
2006-02-01,242178572.94351658,4703405.27009364,654564756.247196,11062674.57457842,260583706.07382184,0.0
2006-03-01,462048274.5708253,43479137.33149301,657587220.0727884,20492247.503533322,529164866.03502035,0.0
2006-04-01,161223064.3765374,196599.26829398627,649810037.3652965,78673204.61597751,226665747.16449225,5639560.13835611
2006-05-01,32273064.658482645,0.0,585278539.0455779,111082792.90629783,64062351.24284357,14662856.494505633
2006-06-01,29384452.114025895,0.0,481026828.3221748,154993416.5087461,57227821.06911449,22558240.55342444
2006-07-01,15473740.227407908,0.0,402572519.5960223,148833628.02000973,26967234.27304896,29325712.989011265
2006-08-01,26153200.88585732,0.0,382312760.5588936,122203778.36333214,47179793.58745345,23686151.01199244
2006-09-01,108857892.58544073,0.0,406994478.5345403,83133832.60630988,205032121.49624604,11279120.27671222
2006-10-01,93587443.46043381,0.0,427811426.8397555,59961437.93519136,168652435.1018288,5639560.13835611
2006-11-01,197444724.38518906,698413.427442088,510466140.579948,27871765.704496764,308687455.4551293,0.0
2006-12-01,160364536.2283952,563336.2248856775,567085114.0324188,9549840.427736988,227131424.6352068,0.0
2007-01-01,89542430.81191207,0.0,589452953.9127843,7727310.2409438845,119671009.63346428,0.0
2007-02-01,340897594.0166394,4284270.0278413,630495314.257638,17968405.839930877,404292433.3198548,0.0
2007-03-01,156672299.4723967,37582.94369560916,630472767.7201577,37724307.85793847,194417749.87950525,0.0
2007-04-01,83769595.71342874,0.0,599598492.771461,74289834.66897376,120784264.28485985,6316423.316694002
2007-05-01,54747319.16676133,0.0,528558175.59930515,133785247.25918105,100493156.23915903,16422701.71035134
2007-06-01,35732566.36786875,0.0,439160577.458899,152482836.6230992,67523372.09703837,25265693.266776007
2007-07-01,27911144.554496717,0.0,396259874.7044934,138677835.23378277,48187392.669805996,32845403.42070268
2007-08-01,26909979.65718002,0.0,386961119.56716543,114648798.9152604,45692209.83422164,26528978.729134317
2007-09-01,63917503.928037666,0.0,387634081.50950706,84325276.33370905,114668134.16959424,12632846.633388003
2007-10-01,86034531.64265667,0.0,399397234.75398356,59703277.46070428,150037712.4271065,6316423.316694002
2007-11-01,47183858.65136807,0.0,408719494.4199516,24023994.626627423,80473832.65263996,0.0
2007-12-01,288934278.8268069,16154605.155550413,567901455.567449,11326047.87878627,475755890.7120646,0.0
2008-01-01,489340505.4011388,105652446.18301548,642891456.084344,248683.86487500006,670469480.9895688,0.0
2008-02-01,445828391.56864876,17719310.202631634,654577430.3819482,1185415.5667306376,476598425.9749752,0.0
2008-03-01,283771717.6140038,9078188.448926473,654948866.9945478,12400933.527948035,305617291.0865162,0.0
2008-04-01,88390392.29093948,0.0,646168255.6392748,35068727.74452646,108495196.29025836,6160014.405270012
2008-05-01,81267299.07228237,0.0,616650058.164296,93379682.51676024,129076024.9186728,16016037.738163242
2008-06-01,27481398.959280834,0.0,523809489.46071273,146870449.53393516,56737031.35288032,24640057.62108005
2008-07-01,4409515.213252928,0.0,417987878.7904361,148022040.48840198,4393747.991645049,32032075.476326484
2008-08-01,45567773.30364201,0.0,405287877.40078735,111407981.83165726,81982949.16076511,25872061.240829326
2008-09-01,25002769.41220337,0.0,391517453.3188935,85504822.42889948,45950793.59677839,12320028.810540024
2008-10-01,60224015.23181163,0.0,398152646.86334425,53109747.941467166,110511458.04083037,6160014.405270012
2008-11-01,113425911.52669153,140383.08550673022,433516299.3293754,33382584.456900854,182343600.92401585,0.0
2008-12-01,342921138.22932917,49781809.170776114,618835886.5380815,12237415.21384627,590491360.3838662,0.0
2009-01-01,399591390.3909732,19003630.931888614,645840867.7431676,6392045.202749024,452231345.7261062,0.0
2009-02-01,377979891.6543541,9502747.645942755,656066460.3008057,3783214.44182647,401689779.7194661,0.0
2009-03-01,468825971.3874588,54451585.61354406,658251246.6305842,20875714.443994623,546469179.449753,0.0
2009-04-01,247154737.13488695,2331520.9201318095,657191836.2250359,62746714.809726015,306325084.06128275,4930170.6833353555
2009-05-01,45590234.364668384,0.0,627211387.5047122,87084024.14492916,89879997.25011368,12818443.380698267
2009-06-01,153397528.87047687,0.0,607386025.6056427,118826905.36690268,232711770.11673862,19720682.733341422
2009-07-01,5855463.143971478,0.0,521600372.49844015,113396257.47611359,6840416.521565068,25636886.761396535
2009-08-01,45455645.51278102,0.0,488875099.50061697,96628552.39912736,76793937.96300463,20706716.513373073
2009-09-01,42737216.67480073,0.0,475568184.8015875,65865350.89707378,70944787.64630929,9860341.366670711
2009-10-01,143836758.82176384,0.0,499011461.1547767,47938017.35797547,210063313.7542476,4930170.6833353555
2009-11-01,78948256.02433233,0.0,508123666.29315895,16271620.174357392,104240767.49382535,0.0
2009-12-01,272122978.1751424,527671.3300941545,595132815.8195778,7256782.105900731,367094803.2378251,0.0
2010-01-01,320328906.7955535,7521494.780442249,647183274.4470234,3146442.432728921,383264854.78732795,0.0
2010-02-01,209344265.48085982,67767.12077048604,653284846.9658579,2795998.9188102954,218395405.41671923,0.0
2010-03-01,173338011.06346756,0.0,655158090.6033319,15986529.335253928,191265442.14736167,0.0
2010-04-01,352340734.42885363,18638789.240310412,653406867.946698,58900654.26286619,421805462.79944044,6346385.702115198
2010-05-01,208679669.32242045,646710.7136116336,651846339.7305181,91807996.91551778,283175154.76395947,16500602.936969591
2010-06-01,77983054.66090463,0.0,597598414.3995843,130783323.09496634,129119359.35695924,25385542.80846079
2010-07-01,6655921.554021066,0.0,504793232.91250676,124460700.97386304,5085605.699424285,33001205.873939183
2010-08-01,53578778.30088762,0.0,464885235.9776831,106363991.16139235,86709992.45346087,26654819.854071267
2010-09-01,16122218.28195233,0.0,441211171.28976125,64395910.6369887,28772994.510933585,12692771.404230395
2010-10-01,182707338.78375727,91415.61716768218,517581312.25012517,46414094.43647159,299411778.3185932,6346385.702115198
2010-11-01,356336501.53588164,28790592.257484615,626319968.1525831,17016430.984681863,511013906.5037978,0.0
2010-12-01,561640123.1059954,257955014.9751512,656371140.5622246,3712059.441955883,853723441.1697252,0.0
2011-01-01,307105710.4113097,6769623.04120748,657299405.110516,5663599.519460301,320540419.7074333,0.0
2011-02-01,392448971.2615361,6026277.342731585,658477146.8325691,5368648.14229534,405171146.87755394,0.0
2011-03-01,491658253.41059846,128112209.3062332,658647338.3581573,38864999.568145566,658846058.8916408,0.0
2011-04-01,451858284.39525956,112146376.66780081,659039010.849271,49249733.802050926,609181046.6459485,4603435.191722055
2011-05-01,267361238.93441406,4783050.912560843,659050359.937981,81275924.2819578,341572350.0904236,11968931.047978586
2011-06-01,19706005.881131217,0.0,587976633.4419503,121911236.3085696,51947776.40895069,18413740.76688822
2011-07-01,38299518.82344184,0.0,509048791.63144505,149476776.58082807,84433806.32700244,23937862.09595717
2011-08-01,31499303.45075498,0.0,429581087.79971707,133510906.7857084,55167345.288113914,19334428.00348185
2011-09-01,25475719.146623395,0.0,403635802.00274897,84054501.81353661,53731957.85087024,9206870.38344411
2011-10-01,102569281.9740507,0.0,443155991.77296585,55888350.04615969,193229495.29015514,4603435.191722055
2011-11-01,228041158.41915226,477747.2890102038,545957177.2105854,27891883.82191124,359292084.73464686,0.0
2011-12-01,62046047.00799503,0.0,564473171.3459823,4985590.65274878,85552040.3564348,0.0
2012-01-01,401608931.2941267,39849759.10459461,621067355.5157517,12174281.776392628,510349025.6438994,0.0
2012-02-01,278956800.79395926,585816.8556181273,633539026.83761,13815015.244663967,305852965.74565005,0.0
2012-03-01,266642919.83727333,1067720.1663259,638301677.1815654,38914070.34276907,311379044.075419,0.0
2012-04-01,143990488.9545503,67068.04241002367,634346433.0296476,79860151.65760015,212359417.64403397,7596302.29947998
2012-05-01,73785574.3448226,0.0,585463335.4904834,131040648.66269691,136082081.258877,19750386.31163902
2012-06-01,2965201.7083406392,0.0,469419516.91453004,151632829.0379749,5723804.188229443,30385209.19791992
2012-07-01,30270450.988562737,0.0,396358826.15936846,150953601.7887062,51882324.313019626,39500772.62327804
2012-08-01,19231538.619895346,0.0,367846298.85345006,119592304.20627129,32239213.115082584,31904470.606479917
2012-09-01,20890411.587663587,0.0,357770304.5959874,82375258.61920735,41506163.908297054,15192604.59895996
2012-10-01,117120266.14391635,0.0,423195199.94225043,49055748.48161787,223945636.73286453,7596302.29947998
2012-11-01,107027212.02176061,0.0,487129403.92510885,31463055.300528623,202480087.33507615,0.0
2012-12-01,305228440.0248642,20338085.666332133,605617519.371105,18604357.196120817,462808514.34373426,0.0
2013-01-01,258677573.52750692,322841.1211575844,639566306.1785879,917037.3937188709,293987658.1393339,0.0
2013-02-01,185944607.2172394,0.0,648580936.1126482,1153814.9384299,196188999.47553253,0.0
2013-03-01,186802484.11114493,16821.89719123961,648000996.1931406,20290708.126677684,206521944.68549153,0.0
2013-04-01,213182637.17187667,6819944.936714705,643423850.6470795,53517605.28688803,262276799.7176506,6618010.479739869
2013-05-01,62652248.73912274,0.0,611479637.1486199,90274409.98381515,103716134.38705577,17206827.310237244
2013-06-01,259054.43806531266,0.0,520787551.3465175,117664218.58681573,274155.9772550165,26472041.918959476
2013-07-01,32050093.72215619,0.0,476143944.09389937,107600120.16433486,41350895.900803894,34413654.62047449
2013-08-01,16928518.95540866,0.0,464065335.7158835,82786414.08749701,17282387.14495371,27795644.86372045
2013-09-01,118998732.62187006,0.0,468118429.12394273,63590579.363123335,167505645.89701527,13236020.959479738
2013-10-01,112723809.11135651,0.0,480600315.2137198,34020505.94891202,151757131.62059134,6618010.479739869
2013-11-01,164880841.28064248,0.0,517290990.4664832,18090317.65871568,219721372.34080264,0.0
2013-12-01,250421465.50827935,322088.665942052,592018318.0927248,6213578.444797539,331828180.0230843,0.0
2014-01-01,305948535.5182065,5381931.941615911,633218502.2238582,6972102.267028433,359619609.71065867,0.0
2014-02-01,517027541.34296453,165625200.92888165,649408210.3229567,16742102.019052437,715790235.0293863,0.0
2014-03-01,368670110.55148125,50205049.00209027,650977025.7159505,46964174.76240977,467432537.83583814,0.0
2014-04-01,143889651.67614216,2319118.2507911325,645099449.9515958,59015084.893500544,193897406.27716103,5445642.462603735
2014-05-01,70444100.2915952,0.0,594638862.47972,106487339.91897605,112185434.58120625,14158670.510352412
2014-06-01,52964176.79305028,0.0,524382078.51975995,127900390.32815522,88568003.4718935,21782569.85041494
2014-07-01,52010148.74116947,0.0,463109431.3728042,128651346.02977394,84809419.2354483,28317341.020704824
2014-08-01,141245276.9593269,10910.012232350204,463804951.019956,110670393.61166662,223512410.5990349,22871697.84887164
