Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,489750400.51903814,42725127.01939827,665753880.7144197,15316426.58254902,567164159.626279,0.0
2005-02-01,310127688.93489313,2336607.6791299274,667909432.0909238,13909801.173129419,328529649.1636566,0.0
2005-03-01,307032269.87107503,1673007.5851666278,664169339.0942341,61425161.18881569,366390345.64836776,0.0
2005-04-01,120017675.44744958,0.0,650796007.166649,150053654.69299605,252335256.5545181,4362741.658342095
2005-05-01,14840281.011897417,0.0,566136080.2175332,245554986.68535677,164392211.63289273,11343129.115246164
2005-06-01,4011813.445851142,0.0,433020356.9493862,292172195.36385095,145617318.9081865,17450966.63336838
2005-07-01,3052.834182716629,0.0,132890267.55275378,360084021.06483924,5566474.246847212,22686258.230492327
2005-08-01,9372.372373431253,0.0,70420404.00161016,230380783.32036087,42402766.536330454,18323514.589212507
2005-09-01,4703.434859878529,0.0,62205193.62443847,107412139.23002352,33747760.99208686,8725483.31668419
2005-10-01,14658.578324877117,0.0,143461048.89746493,40999848.20742745,117903478.9331501,4362741.658342095
2005-11-01,10115041.750541767,0.0,424770043.5936421,21071403.86739606,312495440.3141151,0.0
2005-12-01,308769974.17297155,65865275.88936005,620989276.0234569,12626720.564352943,583481203.0564989,0.0
2006-01-01,473674662.0909593,99356164.16134948,658199696.2184998,22207970.962321572,632449217.409674,0.0
2006-02-01,242514082.84236452,4073464.032166817,660883266.1835207,26780100.70517646,276051217.5447286,0.0
2006-03-01,421499569.45843065,26795290.5953147,664318435.6720597,50927532.984713696,502657562.52699804,0.0
2006-04-01,86691537.84531887,0.0,636140799.6244559,163551869.9872314,216814553.49756703,5251218.287379488
2006-05-01,589257.3317641245,0.0,457875958.8336369,252094418.0669097,60765667.10529116,13653167.502563732
2006-06-01,183571.12265903238,0.0,185384507.2161023,355072693.4743059,57728430.78300839,21004873.149517953
2006-07-01,385101.7692062477,0.0,72957920.8403662,299005191.3457489,39634353.11517692,27306335.005127463
2006-08-01,476916.760092985,0.0,63520767.71335458,205104103.6039608,50204402.82369848,22055114.826029975
2006-09-01,1732849.480523277,0.0,139827092.37744924,140373473.5231059,207713733.14905775,10502436.574758977
2006-10-01,1954508.2359364226,0.0,251432689.05723786,63304516.57428236,171596438.8231901,5251218.287379488
2006-11-01,26122987.791790754,0.0,505072444.6086518,36319345.48559217,316082088.82879716,0.0
2006-12-01,129341737.84429294,245277.17210960042,586281238.7253917,13686757.406917645,224482566.54006016,0.0
2007-01-01,97821438.77251394,0.0,603224324.5329027,17594971.254454907,132359495.83447987,0.0
2007-02-01,328812129.27118003,1882269.597089425,633065242.5525497,33669260.23672157,394204577.1246377,0.0
2007-03-01,82586129.45034039,0.0,618026303.2982858,116556690.19450983,184103880.39058635,0.0
2007-04-01,30492710.94455958,0.0,520717228.0222894,189259968.2565177,115871028.94457246,5862962.051439732
2007-05-01,696.4889222327395,0.0,347948862.3369892,293187207.80372536,100297868.19951132,15243702.271090962
2007-06-01,0.0,0.0,156107006.85865074,304813449.313843,69005254.37143597,23451848.20575893
2007-07-01,18106.58760699578,0.0,61676415.300733,298369162.415749,33400146.808299866,30487404.542181924
2007-08-01,19564.389610652983,0.0,53843234.00365688,232106132.24730197,57963786.574453026,24624441.30326398
2007-09-01,301082.7386752875,0.0,78912739.33337136,113217240.65735692,118833036.16850102,11725924.102879465
2007-10-01,421649.47934171156,0.0,168601363.38654685,70230052.33309017,153906834.73033744,5862962.051439732
2007-11-01,448517.7406223025,0.0,222521427.47868955,30563919.84877647,84621714.8868404,0.0
2007-12-01,109264376.26004352,1630411.6210276566,587808949.9038069,6872053.390815687,483054363.69700485,0.0
2008-01-01,494130251.45762485,118079093.16937989,650746814.6324656,2170635.944705882,677317845.3003689,0.0
2008-02-01,425542123.5878248,15054436.992200095,662195914.0605602,16807735.176572554,468853395.184692,0.0
2008-03-01,255035118.96315002,8281705.20606293,656619485.1746887,39269866.530964695,297010261.8143063,0.0
2008-04-01,45900165.62684561,0.0,564838541.6358335,150138374.27153727,98514477.14849468,5743119.211033293
2008-05-01,24446522.500167187,0.0,453880808.0949401,220497160.98543528,119053839.42324325,14932110.521465376
2008-06-01,27864.292522823667,0.0,208567494.1762547,331540398.83415693,54718975.53138624,22972476.844133172
