Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,491433393.66784954,36602088.7276286,665800912.3726108,24348298.72638432,567164159.626279,0.0
2005-02-01,290995270.24936277,1252942.4222239156,667220544.1549238,34861804.709756844,328529649.1636566,0.0
2005-03-01,323620389.80292386,1415670.2949409557,667919837.6357013,40654992.0697255,366390345.64836776,0.0
2005-04-01,184597634.74046192,0.0,667052387.1742328,72967813.93386668,252335256.5545181,4362741.658342095
2005-05-01,43853955.22289359,0.0,651832853.360278,147100919.33920005,164392211.63289273,11343129.115246164
2005-06-01,9353141.209173191,0.0,555498099.0637187,250049898.62894106,145617318.9081865,17450966.63336838
2005-07-01,346372.4512259524,0.0,286135863.22212744,299429705.4623451,5566474.246847212,22686258.230492327
2005-08-01,742545.3266119164,0.0,169894570.75199676,215826089.3969961,42402766.536330454,18323514.589212507
2005-09-01,145043.8149081915,0.0,132490256.48010315,139738201.12980396,33747760.99208686,8725483.31668419
2005-10-01,2309411.2324926415,0.0,195476509.58495212,57403719.72978824,117903478.9331501,4362741.658342095
2005-11-01,16203711.57904355,0.0,463177753.4293336,28590484.89069019,312495440.3141151,0.0
2005-12-01,323710279.48381525,64574090.67187584,639015172.1869023,19359414.143239226,583481203.0564989,0.0
2006-01-01,490047457.8541196,93173169.3538058,661022731.4859525,27221030.902698033,632449217.409674,0.0
2006-02-01,238511763.39123723,3695294.8044165354,664187637.0468314,30679253.78819607,276051217.5447286,0.0
2006-03-01,441286787.89344674,24673290.82771932,666866848.1249536,34018272.72770981,502657562.52699804,0.0
2006-04-01,136960709.0824335,0.0,666780076.7381021,85191834.08936474,216814553.49756703,5251218.287379488
2006-05-01,2992756.830100546,0.0,557086485.6707113,181119668.84514514,60765667.10529116,13653167.502563732
2006-06-01,2050881.0363389994,0.0,364892742.3965695,269124261.3378823,57728430.78300839,21004873.149517953
2006-07-01,3780669.263842203,0.0,180901410.48531052,276688064.8546195,39634353.11517692,27306335.005127463
2006-08-01,1336428.1528903933,0.0,128558856.94201207,223385068.73308223,50204402.82369848,22055114.826029975
2006-09-01,8083035.9900163915,0.0,224682676.47177488,114103042.314251,207713733.14905775,10502436.574758977
2006-10-01,10177176.840655524,0.0,331529597.6373047,59823559.104384296,171596438.8231901,5251218.287379488
2006-11-01,42078297.99057824,230895.49173708548,550204367.210743,55098125.77304316,316082088.82879716,0.0
2006-12-01,137569131.44744286,204973.33891015724,618392594.9346777,18520234.02977255,224482566.54006016,0.0
2007-01-01,100132999.27515543,0.0,630800102.0681514,19818989.425850987,132359495.83447987,0.0
2007-02-01,340777669.60181177,1563925.5115453517,652089832.1079965,30573251.971435286,394204577.1246377,0.0
2007-03-01,123448770.53200954,0.0,653675867.141985,59069074.82458825,184103880.39058635,0.0
2007-04-01,42395404.57256958,0.0,640801977.6643609,92212475.90106666,115871028.94457246,5862962.051439732
2007-05-01,1552391.0541140765,0.0,548273328.5710921,206517828.5097569,100297868.19951132,15243702.271090962
2007-06-01,2212896.018899318,0.0,366790706.8558973,276222412.7646667,69005254.37143597,23451848.20575893
2007-07-01,5830839.977258232,0.0,192829918.01410535,270990850.3175843,33400146.808299866,30487404.542181924
2007-08-01,3775147.689592417,0.0,142017924.27247038,210739827.52687064,57963786.574453026,24624441.30326398
2007-09-01,4027822.3046034053,0.0,162443644.59379372,122103784.36833727,118833036.16850102,11725924.102879465
2007-10-01,6168423.15552222,0.0,248680698.46407583,67470754.97850196,153906834.73033744,5862962.051439732
2007-11-01,2970012.944142413,0.0,292060917.5418143,38486878.51446275,84621714.8868404,0.0
2007-12-01,141271285.18848756,2859538.226964516,618897238.4021512,12087219.421215685,483054363.69700485,0.0
