Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,216425591.00253847,2129232.516521519,601747010.6772157,21038162.896223728,267782212.57593617,0.0
2005-02-01,144832509.78556457,62778.41260421995,609705948.3755574,45869202.63143849,202386777.25064278,0.0
2005-03-01,43935694.21172623,57906.00658254246,604132245.6474901,104099534.99694788,142664548.43618196,0.0
2005-04-01,99045833.89699507,26620.554953300507,605341389.6261915,165260553.39009523,244096562.68795866,19708934.642772015
2005-05-01,58393711.43936957,0.0,598481856.531887,248695831.07178777,248722042.95091727,51243229.445544004
2005-06-01,51589442.098949686,0.0,539922029.5705297,229465182.90060633,138677449.3910176,78835738.57108806
2005-07-01,41200821.98565777,26132.017405867504,429793775.6171797,180266531.36303774,20810.107581456217,102486458.89108801
2005-08-01,40616667.76127818,0.0,374146460.128148,138590537.55074066,30899703.374754358,82777526.10669845
2005-09-01,16454800.072232584,0.0,348650299.7649005,100396912.65614356,39376137.004387654,39417869.28554403
2005-10-01,20545792.637727533,0.0,377400949.4991766,77333011.13809697,104447983.06174415,19708934.642772015
2005-11-01,4269976.752267811,0.0,423053399.9885082,62781410.452057876,111502843.55157608,0.0
2005-12-01,114696359.39858122,2006124.2024418004,552113164.0761974,30421761.40988258,283247552.9134753,0.0
2006-01-01,182946244.01499602,6573481.876537851,590793535.3483803,28682928.896526426,261546718.43776956,0.0
2006-02-01,39013331.297772564,0.0,591519069.4466872,43666872.6552545,84222352.64631483,0.0
2006-03-01,178552309.94334477,3594828.0296150907,600110397.7676209,83581815.9568939,278543232.61044407,0.0
2006-04-01,39265665.84313641,0.0,591151290.4872473,166355846.43490976,171876984.2034112,22597433.613677803
2006-05-01,19287087.29867035,0.0,511421529.27139884,183942483.8837382,58288696.02702002,58753327.74280852
2006-06-01,43690373.62151099,0.0,457975300.4921956,176790831.96987346,69904682.41746257,90389734.45471121
2006-07-01,55752941.0983787,597065.3502313318,378995613.34073675,160207794.1896008,5320871.871525718,117506655.48561704
2006-08-01,56264050.38871451,57684.27843491348,346083740.69582915,115468781.80211401,23846294.193211127,94909219.86570294
2006-09-01,39359194.60354993,0.0,381357907.57897866,115677870.39107133,140553191.40141684,45194867.22735561
2006-10-01,15517371.465761103,0.0,394181163.3476505,125784567.76325071,128221376.61841844,22597433.613677803
2006-11-01,4560994.179626345,0.0,424706115.895771,62299222.696136266,95950019.85994512,0.0
2006-12-01,22344329.959837064,0.0,475392362.44868934,34569265.263720304,107911463.39181638,0.0
2007-01-01,13115153.35988787,0.0,491338690.35600597,21750077.982409045,50539211.8629875,0.0
2007-02-01,63501147.5873801,83021.93984412194,534777111.17789817,56011545.71074977,164564858.5430449,0.0
2007-03-01,3453785.9178619212,0.0,493296030.0187847,125939221.74507949,82738291.58889538,0.0
2007-04-01,3922868.734432165,0.0,462004118.74085337,140365460.56632596,78458510.98092037,24910457.224392876
2007-05-01,14645275.3881513,0.0,364871476.9741819,214844643.7183905,41643471.42748688,64767190.2060756
2007-06-01,36873760.56623002,32080.889127858252,327738667.9516676,169467743.0325138,52476208.96278749,99641828.8975715
2007-07-01,57478640.419405624,2295530.4939812566,289045100.4998797,152989009.12425682,11701768.400496006,129534380.4121512
2007-08-01,57820221.54116042,244239.35318363528,276993165.4312521,124392630.07949722,28276574.496001597,104623919.62400396
2007-09-01,36565190.19704206,0.0,291664813.648965,78653945.63950986,72040576.3952648,49820914.44878575
2007-10-01,17878024.76876796,0.0,299478398.94111633,117233852.54787976,115139712.75240837,24910457.224392876
2007-11-01,37675.54768323789,0.0,290059705.6418628,50311536.7245417,35177795.15988503,0.0
2007-12-01,65516979.984280735,21698.129641596155,482514991.59637153,13971769.98581568,278015532.5670471,0.0
