Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,190493864.05122745,535538.8356894415,616816019.0225743,20834295.477098037,284084748.1851915,0.0
2005-02-01,104376967.71115158,154208.45178150697,622829440.5288143,45916599.078541175,161119520.22193754,0.0
2005-03-01,36702671.67286604,17301.2109493052,616875599.2368987,104213754.90903528,135741486.54530427,0.0
2005-04-01,76885779.07286999,0.0,618832576.817381,168036762.2204784,228354733.98780292,17421644.108491015
2005-05-01,32481720.200501237,0.0,589623584.1523733,254494264.3799531,207588544.46780664,45296273.86928614
2005-06-01,43669324.30900908,0.0,530206190.0327761,235811102.0696863,144856482.1982203,69686576.43396406
2005-07-01,33417870.0573533,0.0,417444071.1791044,184003469.31601572,3635617.3500555824,90592547.73857228
2005-08-01,34948661.19604857,0.0,359901311.04341835,141987945.5118667,32001965.763706606,73170905.91501302
2005-09-01,13881801.086161753,0.0,333171816.04015976,102040322.24592157,37865683.799226716,34843288.21698203
2005-10-01,15166855.259188993,0.0,352024006.81437314,77936831.17633724,92388958.07325956,17421644.108491015
2005-11-01,2686921.7383904555,0.0,382410786.78896075,64098695.32006274,97669250.3050241,0.0
2005-12-01,57561076.47349467,866479.555663562,498669723.0047916,30953335.43566274,215767805.32392904,0.0
2006-01-01,105756516.74086848,5047095.586187275,588000664.5720291,29148894.6347451,236749225.40877426,0.0
2006-02-01,36807614.17254973,0.0,596137741.1435597,43842136.80712157,89530633.47065163,0.0
2006-03-01,118093099.54429446,2391763.6290946947,608635317.0899035,83802725.5361098,220451425.78337198,0.0
2006-04-01,19719724.90555492,0.0,592269962.0973055,171864984.5231452,151801578.483962,19944943.517280396
2006-05-01,14131403.822797954,0.0,503819279.83576524,192559667.8146431,56434570.7273386,51856853.15675196
2006-06-01,30318660.105662234,0.0,426593519.8176294,180411846.96507463,41898623.05958691,79779774.06912158
2006-07-01,51656503.71641863,591634.5766910646,370191034.4942312,162326122.413851,36473344.56669963,103713706.31350392
2006-08-01,46523011.76879883,0.0,331045365.7820623,115307112.77653334,17682470.70284883,83768761.56001712
2006-09-01,37495977.489140384,0.0,357046383.124067,116295630.75003137,135382163.78163528,39889887.03456079
2006-10-01,12592435.960446138,0.0,360171975.0321056,127554392.63172552,120119870.20194495,19944943.517280396
2006-11-01,7025962.259003483,0.0,389113367.85467774,63702259.3997255,100606323.71470279,0.0
2006-12-01,17024239.71576673,0.0,435128424.60112077,35222683.93414117,98797812.87212959,0.0
2007-01-01,8074098.320282672,0.0,452397867.91469043,22154585.122925494,47652604.45919911,0.0
2007-02-01,36896010.53853864,69209.29678059035,514907124.1208016,57478733.72679216,160150909.50136173,0.0
2007-03-01,3260321.0295133106,0.0,468843795.4427581,129328046.28894126,81674914.23734242,0.0
2007-04-01,1794052.0449515413,0.0,420713696.05199754,144198831.8750118,65065373.399464846,21831697.76706319
2007-05-01,7147430.691126702,0.0,326243055.21423066,220903011.3797725,52446862.05284825,56762415.32060485
2007-06-01,24030512.298991635,0.0,297091237.5830337,172486461.8716392,54111376.33457145,87326791.06825276
2007-07-01,46800776.128412105,1242341.8675567722,271608469.92213225,153194630.7778196,16862305.99666173,113524830.6412097
2007-08-01,47986953.86909383,0.0,261635844.63147703,123426762.71994506,23558439.010606416,91693129.1527719
2007-09-01,34559418.93733305,0.0,278604031.59356433,77917228.5464628,78031313.62185773,43663395.53412638
2007-10-01,9302714.95082536,0.0,274850111.15168893,118503319.16141179,93683830.89881516,21831697.76706319
2007-11-01,79514.69332374599,0.0,267123486.0758108,51150544.29929411,37553786.17951905,0.0
2007-12-01,52812561.63494289,0.0,442510864.82848895,14072474.424611764,251526550.50271356,0.0
2008-01-01,137367345.6157325,9458949.807178436,568028867.4441663,4752335.159207844,288338246.2455373,0.0
2008-02-01,139070680.39226922,1587134.6208144298,600736856.179931,25302647.89761569,204206797.34461117,0.0
2008-03-01,12823175.492617982,0.0,573768203.825339,67060248.71085488,49732832.08718713,0.0
2008-04-01,3133843.706293932,0.0,506198519.3318863,128129671.94585101,32842647.95184681,24018110.165147685
2008-05-01,22043335.069975995,0.0,489572129.3007617,175107705.58266672,112373925.88550219,62447086.41249384
2008-06-01,44200828.993400365,1392492.4848911797,413628795.0000467,178231339.10379604,37301590.68033359,96072440.66059074
2008-07-01,58642125.10656462,6629409.50023512,335401534.2573578,164971032.9607764,6563464.229960521,124894172.82498768
2008-08-01,71926330.07269791,4166093.297608751,329158583.3000922,111446318.06974117,66892484.94715513,100876065.2396857
2008-09-01,20036558.34379406,0.0,306594089.229982,93125597.94918431,17745171.461064514,48036220.33029537
2008-10-01,18025580.205301043,0.0,314753320.6241232,79621135.70003922,76272238.47068135,24018110.165147685
2008-11-01,5858249.329708747,0.0,346623150.3550972,50229874.20392939,89019525.99577354,0.0
2008-12-01,83222513.46455619,114541.29070043405,527439927.98390734,25234665.55141177,296992877.5263947,0.0
