Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,87732259.31555243,0.0,500294246.8761282,23444320.052587483,117627357.56288885,0.0
2005-02-01,51361673.35384187,0.0,499852128.7240842,24277966.144898042,75197521.34669545,0.0
2005-03-01,79773893.36389808,286475.0152524576,500623484.5618296,43321661.696565166,124153385.91346157,0.0
2005-04-01,47585019.91200581,279109.04561490373,481337810.26121664,54279862.58891548,81958492.1427497,884702.409481647
2005-05-01,35948960.34686006,0.0,440164990.93590933,70796535.51269196,62810126.83610642,2300226.165678143
2005-06-01,28646127.614291765,0.0,417458396.49609965,52330200.70839405,53115182.179654345,3538809.637926588
2005-07-01,3182591.3426881465,0.0,406869099.0700185,19384462.69546518,3709034.1632317076,4600452.331356286
2005-08-01,15746426.470415594,0.0,396153413.86344016,29803705.268257342,26998905.76654069,3715750.1262869705
2005-09-01,24472272.635148007,0.0,394632447.25665027,26275193.681893133,44606780.60119073,1769404.818963294
2005-10-01,42249154.556411274,0.0,405516740.71505386,23335345.183979403,75402492.9020048,884702.409481647
2005-11-01,11175361.990065137,0.0,408735501.8741462,7009806.078852937,21197469.930227917,0.0
2005-12-01,23515966.307235707,0.0,409552522.9843974,18037388.39214878,42277863.34682676,0.0
2006-01-01,48239921.304912254,0.0,429703363.90804964,17527337.849629913,85918100.07819447,0.0
2006-02-01,25074963.27878874,0.0,432811254.4538207,15063752.975076476,43246606.799635336,0.0
2006-03-01,77084867.73639357,0.0,445696470.7147518,41498534.136988655,131468618.13431454,0.0
2006-04-01,44923286.91042486,0.0,440167814.030831,40712131.87570146,78913106.9482843,973022.9601264356
2006-05-01,5501529.084989638,0.0,429693127.98478884,17883919.436735064,9055760.657634849,2529859.5785025237
2006-06-01,3678755.515421846,0.0,423897577.6721361,13464976.56263998,4076716.659503353,3892091.8405057425
2006-07-01,30198276.27784175,0.0,424250524.39684355,30654251.484905157,53201935.24990825,5059719.157005047
2006-08-01,15631999.542057443,0.0,415678739.53795946,27654744.376343414,27347326.55206382,4086696.416418237
2006-09-01,40074457.772108816,0.0,416320644.0047893,31076080.82893925,67907918.09879738,1946045.9202528712
2006-10-01,99084975.39829268,0.0,443618179.65588516,49462774.95939901,174870481.12834248,973022.9601264356
2006-11-01,30008881.65734869,0.0,452615499.2174718,9621841.922629906,48627745.164609134,0.0
2006-12-01,97613717.6148883,524035.52450399706,483590971.44070286,2509549.625749756,131622774.98837292,0.0
2007-01-01,74860322.70002154,224108.49453665185,494451211.82398826,2044626.8298470601,87989298.40769152,0.0
2007-02-01,60610195.638120994,268970.2404142752,497537937.4910581,19031151.89601543,82997043.44162041,0.0
2007-03-01,45093635.46913483,279154.2497967358,496581007.08995247,27301504.54386669,71717363.86169283,0.0
2007-04-01,25314757.81576758,0.0,466972436.1349394,50579195.1372603,45309794.661874436,975587.3361404035
2007-05-01,30598620.65258208,0.0,447250350.70865005,47483935.84791106,55737893.03002784,2536527.0431198296
2007-06-01,16266105.447270276,0.0,438083719.71962094,25928184.94663825,28122603.057863623,3902349.344561614
2007-07-01,12763552.866244234,0.0,428378532.80853426,25959051.495171335,21298380.655028768,5073054.086239659
2007-08-01,28576375.097046062,0.0,421686746.9512711,34236000.260357566,48250543.62649704,4097466.83536699
2007-09-01,40007034.634641185,0.0,426908244.57416636,29349382.38495368,70669426.7954036,1951174.672280807
2007-10-01,20136160.80667646,0.0,425481083.882248,19677961.689782605,36017017.930749066,975587.3361404035
2007-11-01,8595135.23161001,0.0,422060016.0042483,11238403.694285283,15509081.751106871,0.0
2007-12-01,119205237.53534289,0.0,477601492.74456745,18786216.57444021,193532930.8501021,0.0
2008-01-01,36781271.99224359,0.0,484805842.4088302,10975561.297767885,54961182.95427469,0.0
2008-02-01,75022574.03856076,0.0,492463769.7594124,29282675.115903415,111963176.50504641,0.0
2008-03-01,45531910.50151966,282055.95703293994,495421217.62611693,12759760.09511053,61531174.42036812,0.0
2008-04-01,13193312.92030658,0.0,488615871.94696265,17686459.780883815,23031820.015190177,1042607.0068453763
2008-05-01,33090965.834985256,0.0,476446604.43717223,42600407.50174901,60775733.68638012,2710778.335044253
