Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,89790170.62191296,480976.50907999795,215073423.55275422,5747305.535252936,122314420.85822755,0.0
2005-02-01,69013611.46032415,4779.212658015293,218978668.261014,4691861.702230885,77642878.33848104,0.0
2005-03-01,83735735.83745809,51724.50352965182,219853160.88444772,4870740.33510392,89569670.80043992,0.0
2005-04-01,20699017.425915528,0.0,216331928.2027159,8750898.863762252,25756247.465206936,147609.52625070905
2005-05-01,12978896.903059797,0.0,199627055.65357366,23887302.71146494,18731000.641717475,383784.79286798055
2005-06-01,36233805.5847708,0.0,178925977.3243863,42228740.60222547,54163367.794115335,590438.1050028362
2005-07-01,7903758.04399645,0.0,150646293.9302774,42132769.8894029,10992468.208268072,767569.5857359611
2005-08-01,25263343.513032105,0.0,144933026.5562546,34079222.522420086,36881106.3812924,619960.0005069474
2005-09-01,42574765.503349334,0.0,144792268.3618113,30423493.286691908,61979643.02801705,295219.0525014181
2005-10-01,32908036.148006003,0.0,145423339.31398013,19606831.805545345,48679651.806629136,147609.52625070905
2005-11-01,12651476.133460814,0.0,146916304.64746293,6264868.919450485,19141589.24681977,0.0
2005-12-01,24627813.421400942,0.0,156522117.92423174,5594852.243312497,39827364.31359642,0.0
2006-01-01,25598482.715195987,0.0,169508941.3281638,2929176.916558577,41485363.36168057,0.0
2006-02-01,4175731.3380272626,0.0,169559458.28818205,2365776.8312977953,6493877.399730412,0.0
2006-03-01,88006447.33380583,1564066.6728499234,202510917.39594638,5959212.476242894,128522531.9234634,0.0
2006-04-01,21207328.602052752,0.0,202006141.40260074,12568273.83769388,32389712.430472996,130505.99272806232
2006-05-01,1238318.5753061913,0.0,185333003.09032556,20818074.932458345,1928644.9971637195,339315.57499877503
2006-06-01,7344397.496704162,0.0,161970480.61512807,34775770.49306373,11885547.84853573,522023.9709122493
2006-07-01,31355194.418858495,0.0,148953889.67953163,41900054.16470028,49703416.1812472,678631.1499975501
2006-08-01,29849674.755176786,0.0,144608948.2795994,39332020.29857256,48080732.96097527,548125.1824877417
2006-09-01,49074676.424275905,0.0,145581939.22261322,28502132.360875484,73154990.5548408,261011.98545612465
2006-10-01,107881763.14720745,1509709.657736351,179071324.9404111,19911343.904612757,162724317.3347085,130505.99272806232
2006-11-01,26588229.795553017,0.0,185024077.1512615,7231152.2466531815,39768759.22795932,0.0
2006-12-01,27701621.14715686,0.0,197525388.00480813,3069126.784513232,43280472.06344301,0.0
2007-01-01,39885901.46082129,0.0,210169190.8259203,3592488.7919225493,56132864.82136251,0.0
2007-02-01,37326475.880687416,0.0,213509496.28380442,4009646.7492686235,44689443.00766364,0.0
2007-03-01,33195503.550902456,0.0,213142548.98887974,9494246.071627693,42272284.82921958,0.0
2007-04-01,44503261.0272154,0.0,211820400.07146838,16369124.980280885,58842702.49333945,128445.01731291816
2007-05-01,24610810.1250863,0.0,200005300.76468265,27835791.214400265,38395979.50507126,333957.0651413331
2007-06-01,4170601.273791316,0.0,169820483.992465,38209840.07279587,6213042.032821362,513780.06925167266
2007-07-01,34387384.573118195,0.0,151922800.6273595,44193714.64103777,51944284.62825079,667914.1302826662
2007-08-01,38839693.430395216,0.0,146210526.98796552,37685477.06550338,57457351.19527546,539469.0727828798
2007-09-01,62956491.294179685,0.0,150305551.44671908,29892179.450676948,94874579.86741035,256890.03462583633
2007-10-01,20714436.874145836,0.0,148220537.04445308,17744426.27181518,31085369.12870582,128445.01731291816
2007-11-01,13378842.871661618,0.0,151419673.7214974,5534606.367765931,21693174.62297149,0.0
2007-12-01,85806449.99514867,1247667.1419843326,197179986.25345415,4666962.908869852,137537241.1670858,0.0
2008-01-01,80127906.05921662,175464.667498502,217720813.71994752,952446.5345183826,101834701.05367915,0.0
2008-02-01,76976719.9323099,0.0,219144151.19707552,3107498.8962401943,81538882.61655077,0.0
2008-03-01,15112154.868306793,0.0,218494335.05256063,2021773.4210585789,16484423.446182722,0.0
