Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,57917959.14090966,9205468.341798237,213792604.92298287,19361846.00095686,147299231.7124413,0
2005-02-01,50877704.56192595,158480.89247883236,219944122.20034882,26855956.610674504,84043659.34244528,0
2005-03-01,41976135.331380755,101627.59091864819,220688949.59423146,35348532.78752156,78171123.10370362,0
2005-04-01,7004519.499653772,0.0,183820291.1340694,60549111.424501956,30684972.463993777,0
2005-05-01,495568.03660914244,0.0,131461272.78145464,73721191.24049415,21245240.58943198,0
2005-06-01,0.0,0.0,97349118.97985677,88550838.23157646,53867256.618946426,0
2005-07-01,0.0,0.0,45625845.08655812,83217806.00641571,22153488.187952105,0
2005-08-01,0.0,0.0,30122650.690545276,69477040.03979608,41837805.10114106,0
2005-09-01,0.0,0.0,47327929.51037336,49307504.80956079,66181400.52278514,0
2005-10-01,3827.3875705241635,0.0,65772687.04888719,44041000.405474514,60757882.359646775,0
2005-11-01,5982.828255836284,0.0,52477204.04695323,36990373.30007059,17844873.339025337,0
2005-12-01,1225887.564144697,0.0,77546189.94621405,19688308.522752937,45908862.305455476,0
2006-01-01,5071899.860687273,0.0,105740470.09099309,12016312.839301959,45263209.04209432,0
2006-02-01,1023883.6561567446,0.0,98470712.1818159,17734770.235537257,10552067.827369591,0
2006-03-01,27853563.621172093,4718943.511169097,154967998.69036025,26748217.242196083,115818010.88308166,0
2006-04-01,5433322.282873156,0.0,131397918.87985647,47293706.974282354,27940798.221292622,0
2006-05-01,0.0,0.0,68375140.75147991,82531925.1822902,2822051.5361495563,0
2006-06-01,0.0,0.0,29553504.95843821,84094868.74690196,12742780.919815233,0
2006-07-01,0.0,0.0,30531780.586937945,69286583.89965491,64533575.48164311,0
2006-08-01,0.0,0.0,29442684.18869147,71177105.50337256,60332786.93811458,0
2006-09-01,0.0,0.0,40732158.129966974,50601269.87272157,59627215.188546136,0
2006-10-01,5276023.897715223,3894.8915265427718,132239744.89306755,53604618.221223526,150392123.77356595,0
2006-11-01,4621350.893560666,0.0,131670516.4519711,41116101.87145882,45168224.32392302,0
2006-12-01,9013256.60705811,0.0,148846079.57810014,14458252.236266669,40647071.96945381,0
2007-01-01,15027630.116170853,0.0,175875815.19015825,12294855.509898044,54352221.2381269,0
2007-02-01,14407943.696162345,0.0,181139061.86533743,26897067.516086273,46568257.88742787,0
2007-03-01,6827936.533625376,0.0,154660338.26013622,55558270.87090198,35907184.86240715,0
2007-04-01,5332087.731284848,0.0,120830321.18314184,76958972.23536474,45919948.205129035,0
2007-05-01,865873.0488943134,0.0,84840249.44650911,80684122.1702902,31133903.1608193,0
2007-06-01,0.0,0.0,42734563.134135485,77884682.47956078,9893112.399999725,0
2007-07-01,0.0,0.0,25509539.001418013,83592038.63485488,49630122.74037772,0
2007-08-01,0.0,0.0,20474101.958445955,67277312.00196078,46274683.99028911,0
2007-09-01,0.0,0.0,48884695.10945032,65411230.80908235,93774045.22812872,0
2007-10-01,0.0,0.0,33624036.42122005,58015089.29517647,37276936.22395707,0
2007-11-01,8110.917153238305,0.0,34528179.761104666,28935109.037749022,27705368.732041463,0
2007-12-01,14036634.475416962,993628.1278332277,138864473.46601188,12754506.10808627,132121062.41624364,0
2008-01-01,44449121.7785986,450276.93054960977,190744591.14762256,5659159.04356863,102438675.43432744,0
2008-02-01,51144301.27084222,0.0,206921720.3742156,15571583.389717652,82893013.88715288,0
2008-03-01,6829212.529279117,0.0,187160669.79658458,29949381.772909798,17017543.72455793,0
2008-04-01,10776208.956086135,0.0,175973659.18239012,50423659.930015706,50002930.8021385,0
2008-05-01,273395.24566561833,0.0,147281677.6197391,59925781.04116863,31191510.073103264,0
2008-06-01,0.0,0.0,94914698.58915924,79988405.66727844,26092419.67095632,0
2008-07-01,0.0,0.0,41333804.0446035,80172137.24514511,15491138.532589518,0
2008-08-01,0.0,0.0,28537763.52747153,73730375.27893332,51133710.49522406,0
2008-09-01,0.0,0.0,15377323.617613398,52206159.20704313,15244553.696934585,0
2008-10-01,0.0,0.0,15297469.774371168,32077665.737607837,25057848.07410058,0
2008-11-01,0.0,0.0,24653782.713116318,32599286.545576457,40137872.58686385,0
2008-12-01,6274864.859700474,25620.177215045445,141124919.73917264,14996416.555584319,137768038.6185562,0
2009-01-01,11009410.562357021,0.0,157681235.0046131,15084487.765709808,42650213.59350727,0
2009-02-01,15401316.535957595,0.0,152354906.64966944,26391899.433419604,36431305.532410346,0
2009-03-01,16319787.145460373,0.0,133525811.79866639,47342406.087560795,40571330.317680694,0
2009-04-01,14956096.777786944,0.0,120153600.19557348,62512508.365490176,57005458.38273554,0
2009-05-01,398215.5921902304,0.0,108093782.70428039,62662668.33694903,50365417.99941857,0
2009-06-01,314.2957787952618,0.0,88135231.63132508,67284807.69609413,42587379.74480597,0
2009-07-01,0.0,0.0,50375425.98793892,73425103.49221964,16361463.60537655,0
2009-08-01,0.0,0.0,25240131.540580235,59802057.42524706,11607461.729445053,0
2009-09-01,0.0,0.0,23980657.376329783,42617986.51671373,31790239.93641882,0
2009-10-01,0.0,0.0,21245808.377292275,57344883.49453332,38310053.521054596,0
2009-11-01,0.0,0.0,28477384.662245575,24841156.98761569,28971570.11985792,0
2009-12-01,9466208.827939307,14232.862271932483,136356134.48755723,12663858.411772553,130023049.92729545,0
2010-01-01,26994792.114681028,0.0,186560186.8192381,5738501.256470589,82937345.70283243,0
2010-02-01,70151071.37590265,2218086.68272141,219546578.90261075,13554988.833521564,118910538.97551832,0
2010-03-01,52013843.13244467,14707.55031823479,218781794.95560417,38119222.8541647,89382989.58992094,0
2010-04-01,12378103.09536418,0.0,191667321.50466517,71051589.2518039,56315218.896229155,0
2010-05-01,0.0,0.0,135834698.32545617,70083849.17535688,14251225.996147951,0
2010-06-01,0.0,0.0,90379112.97045867,65623977.57723138,19703686.806015663,0
2010-07-01,0.0,0.0,57600942.68559607,79689437.96375684,42129539.17735262,0
2010-08-01,0.0,0.0,59967888.4933883,62593079.22957645,61576243.94725834,0
2010-09-01,0.0,0.0,35303758.51443654,64420921.46989804,26505087.080467455,0
2010-10-01,19181.836514053146,0.0,58750893.61319371,46509900.58842353,69943165.73455511,0
2010-11-01,5510312.88707605,0.0,95924441.90488195,30354679.49239216,73038540.67115642,0
2010-12-01,48115749.064718775,9776712.811727567,190491955.84976032,17444199.383803915,169904175.20512858,0
2011-01-01,11538031.703530721,0.0,187867452.4542246,13709430.128392162,22622958.436387163,0
2011-02-01,24328210.076503042,0.0,184612522.78866452,24513470.55642353,45476445.90707313,0
2011-03-01,21289812.72823603,0.0,161521676.10854506,52898456.216972545,48117680.492148966,0
2011-04-01,17524620.011737175,2128.973252006901,140333593.0920444,70043943.43369412,60408574.48129714,0
2011-05-01,7123830.387515194,0.0,123054489.4943877,74507311.67015688,60994355.94609526,0
2011-06-01,0.0,0.0,77644407.82420713,83626213.10312943,25979712.70933801,0
2011-07-01,0.0,0.0,61379962.19075026,84326933.5852392,60549883.692468286,0
2011-08-01,0.0,0.0,44052292.507206745,66667881.02563139,38403812.63105272,0
2011-09-01,0.0,0.0,34057738.71132808,64574322.50385885,43161537.31142091,0
2011-10-01,8160.175697115491,0.0,36774487.53683694,52246152.56279216,48144828.86527845,0
2011-11-01,3135024.991039435,0.0,56855658.42618007,42530917.36305883,59409091.9229218,0
2011-12-01,6214443.564676415,0.0,88047086.24925825,11295885.080423528,48701756.4681781,0
2012-01-01,17304157.84321279,0.0,124809692.2548194,8258299.970188234,62325063.81896217,0
2012-02-01,31337122.295640156,2346.763084109125,158225730.881444,12758711.621843146,77483050.96569954,0
2012-03-01,10740714.790558703,0.0,142066347.77787653,35782000.6694902,28325214.576117005,0
2012-04-01,1007520.6708289186,0.0,113271627.85857303,55694367.548831366,21002361.77118649,0
2012-05-01,0.0,0.0,60227579.71678676,80566120.7190039,412127.22403422085,0
2012-06-01,0.0,0.0,20411079.790233742,78165368.30686276,1537967.9438963388,0
2012-07-01,0.0,0.0,10074789.89475452,65827684.93877647,38296131.77458217,0
2012-08-01,0.0,0.0,4278547.52447327,57542356.58905884,26372779.38782987,0
2012-09-01,0.0,0.0,4530486.589293977,46278001.64916079,24149433.6525606,0
2012-10-01,0.0,0.0,3185445.640075168,38351215.90891765,20117064.85220017,0
2012-11-01,0.0,0.0,6095140.0877102045,28544356.07918431,24937435.788423836,0
2012-12-01,290857.0170234679,0.0,105145501.26515502,19328564.002305888,118669782.19677413,0
2013-01-01,9613781.382143343,0.0,155564359.2953089,5886790.528862748,65919429.941159986,0
2013-02-01,26569537.113418173,0.0,194992070.51364192,6349670.147952943,72346918.47970407,0
2013-03-01,22112596.021910746,0.0,176646848.62804753,26130195.587560795,29897569.723877154,0
2013-04-01,8941367.833649743,0.0,159484988.75505266,53056699.259325475,44836207.21998041,0
2013-05-01,1398387.8167308448,0.0,129691835.52517861,66998646.90527061,38457697.235265754,0
2013-06-01,0.0,0.0,68326982.25420962,67224378.31585883,8188.309288060276,0
2013-07-01,0.0,0.0,77367215.67183138,88452504.85276864,94934274.82531172,0
2013-08-01,503272.9264193154,0.0,90582269.57164347,64086526.91740393,76903378.7278423,0
2013-09-01,1589677.803972699,0.0,118967662.77345708,69316517.05941176,99291588.06519805,0
