Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,435453715.7882614,45415965.21741743,834065743.8711267,67978624.53569959,654116327.5695188,0.0
2005-02-01,146209991.77225956,0.0,806913822.4211192,126516510.35972409,245403162.9710745,0.0
2005-03-01,31424898.87228827,0.0,707443537.4590596,220714846.46993822,150649526.910656,0.0
2005-04-01,3279080.986458984,0.0,558034550.8346055,286897909.8939485,128690458.25669983,3144985.2980235415
2005-05-01,863068.9083641316,0.0,327943373.9836172,376735107.259511,92290850.26222946,8176961.995902957
2005-06-01,5942155.30733866,0.0,269063234.4592526,348836421.8704114,229209747.43384218,12579941.192094166
2005-07-01,7799270.411502669,0.0,144248329.08125138,364938329.91150326,53784558.02863441,16353923.991805915
2005-08-01,6692858.910658833,0.0,109106581.25726226,311233130.0543277,143715302.1201207,13208938.440800061
2005-09-01,3274888.4310438717,0.0,130347990.49512033,253755546.46387118,221360540.72002184,6289970.596047083
2005-10-01,2914916.3229047908,0.0,160193092.9380137,176129205.249141,180696327.44034868,3144985.2980235415
2005-11-01,488723.60516806104,0.0,156564711.39263117,105016241.5713318,67752831.1648936,0.0
2005-12-01,1145270.3918541456,0.0,183601970.08829424,80402047.6671938,93403747.2042411,0.0
2006-01-01,3840837.183772338,0.0,236135213.3697751,100722766.38235112,148074616.07703903,0.0
2006-02-01,2664042.121834394,0.0,171575580.50123176,169878280.6178837,29540237.173365347,0.0
2006-03-01,34151549.86268159,43106.53263592946,338355022.79935235,234038515.85864675,431425544.01341635,0.0
2006-04-01,342401.68618556403,0.0,216444558.29548928,298761573.7072999,93435890.9765319,3289338.1842904445
2006-05-01,926090.0929607744,0.0,124472082.79058422,324769845.03000456,21880311.913598433,8552279.240598205
2006-06-01,5348891.118658735,0.0,79124307.91950428,338931549.46639925,49201239.063980974,13157352.737161778
2006-07-01,10503970.806733573,100536.73279554705,78602444.12041949,327099969.80660915,176279307.48273897,17104558.48119641
2006-08-01,7728767.951411367,0.0,64870030.861053765,299208220.20393926,103379607.78827053,13815220.82994854
2006-09-01,3429114.944501296,0.0,87081102.257249,209850955.3029908,172783116.07799116,6578676.368580889
2006-10-01,33307715.03798401,0.0,547864336.9370774,171245570.79894063,662047182.3324599,3289338.1842904445
2006-11-01,3838052.8355720025,0.0,533298353.0422645,111446540.96281363,100670388.16214314,0.0
2006-12-01,11069841.775602665,0.0,566829158.2914845,77021959.03362533,121366857.37400486,0.0
2007-01-01,35132570.29401722,0.0,633299869.2752098,58818104.80137482,159693007.54838833,0.0
2007-02-01,8489557.647568509,0.0,576315491.3360498,138891153.6171468,85914776.48452106,0.0
2007-03-01,290299.3318692982,0.0,414203237.3956449,246935981.4988459,57692422.9148004,0.0
2007-04-01,546.1846478514163,0.0,251514512.01284873,311466735.06585443,71798028.87120277,3048923.6874943823
2007-05-01,220659.46550048713,0.0,169801692.0463592,346396777.90863144,135086857.8841303,7927201.543420819
2007-06-01,2909070.274175944,0.0,87262756.20627022,311943700.48944885,422.65064901755204,12195694.749977529
2007-07-01,7825877.589445054,0.0,58188210.85193604,309556393.3855396,61960764.010938,15854403.086841637
2007-08-01,6131116.503205811,0.0,51182571.4062301,301819457.1716105,136461690.260723,12805479.28076648
2007-09-01,2929836.145727638,0.0,85578220.61124742,238782351.84197938,230149433.77784872,6097847.3749887645
2007-10-01,706509.0613138961,0.0,71744569.6475727,156195551.8171292,66845116.000978224,3048923.6874943823
2007-11-01,725087.9975728245,0.0,127975664.19539298,89090501.39853594,135883658.31058398,0.0
2007-12-01,40227556.644592896,138272.80108198195,608088951.0454873,45796839.27925348,566275955.5750204,0.0
2008-01-01,177198757.2164105,19347.740962852804,775214020.4617379,5180871.109880388,349524045.4835048,0.0
2008-02-01,341074583.44512814,679017.3006502131,829534081.5402416,51944650.51303346,448018312.33731925,0.0
2008-03-01,46709312.528053485,0.0,693410943.3189855,213757309.21757483,124180125.18492538,0.0
2008-04-01,105899.39181247087,0.0,511599744.06355065,282192520.41944337,88458797.834757,3114492.841723822
2008-05-01,1931553.3800161278,0.0,391360287.5015203,306220804.4978575,137882530.82065818,8097681.4482510155
2008-06-01,8286911.629137569,0.0,282536410.6720807,323581511.79574436,110137634.47751532,12457971.366895288
2008-07-01,8684686.041798947,0.0,186502579.41802183,285144167.20489883,29580132.047017314,16195362.896502031
2008-08-01,11685027.18636384,0.0,195435221.77635467,249280830.30428725,170603036.63374543,13080869.933517726
2008-09-01,14987087.117130239,0.0,222338952.98525298,224322562.3194385,215053350.4998122,6228985.683447644
2008-10-01,20492381.117229175,0.0,262903220.6595836,140058176.62834468,173696555.89888036,3114492.841723822
2008-11-01,1435578.5401384484,0.0,269875056.71781635,85291718.57774359,82992939.75365259,0.0
2008-12-01,50047275.40585382,16473.96691773473,611899472.7344416,51589266.11050041,443677431.49989736,0.0
2009-01-01,79707345.77777092,0.0,734960750.9192196,46122199.693031296,248890823.65558085,0.0
2009-02-01,70834191.81729667,0.0,679973803.9464668,139678826.90878576,154905261.52842245,0.0
2009-03-01,3405581.428923436,0.0,491880976.78311515,238338043.706557,35917513.017594635,0.0
2009-04-01,21985684.46743606,0.0,533345103.4027228,280727833.3075599,325509064.5612295,3182144.9183387435
2009-05-01,14239396.544927621,0.0,494963676.76672685,309051772.53105825,249659260.36339414,8273576.859195491
2009-06-01,28161340.56023178,0.0,448119374.17874736,343989756.2557025,260500043.27666888,12728579.673354974
2009-07-01,9117934.89123492,0.0,303180952.17886823,301904997.6243865,38679040.65972858,16547153.718390983
2009-08-01,7538452.997601464,0.0,256244778.95195553,241137775.20957962,80367429.01119983,13365009.197832884
2009-09-01,14415798.203260617,0.0,279158817.9522236,208513995.27514657,182087931.0315372,6364289.836677487
2009-10-01,6911479.004727794,0.0,302670732.39721745,137854802.0955364,147207454.8044365,3182144.9183387435
2009-11-01,277266.66087470617,0.0,271702736.0427935,107754029.8173756,36371753.886523575,0.0
2009-12-01,55437070.44325219,0.0,545455890.3544861,71010213.26866342,400200438.02360994,0.0
2010-01-01,179496849.28054854,0.0,789869183.1497047,3973929.0015019425,427884071.0772639,0.0
2010-02-01,75602512.04324555,0.0,794271471.7562598,57953840.11418033,137958640.7639817,0.0
2010-03-01,126088322.17435914,0.0,727884414.5670843,224127815.31078407,283442271.8081477,0.0
2010-04-01,3162348.5416083676,0.0,580238114.0669806,289282924.14928806,139026695.4980092,2047041.6968937665
2010-05-01,235705.8617197788,0.0,400344883.07334024,317032272.40423733,98749599.80186397,5322308.401441527
2010-06-01,2094426.68083409,0.0,301707402.02896243,298600298.2248431,124049016.32225631,8188166.787575066
2010-07-01,3122789.714891004,0.0,211773162.27262786,284572317.3605952,62434072.36554226,10644616.802883053
2010-08-01,9316386.951669717,0.0,225151849.26124015,261494183.62665123,194230220.10678905,8597574.96718207
2010-09-01,341592.9471075146,0.0,193616711.9613011,185191878.79397246,28475185.03010102,4094083.393787533
2010-10-01,23487018.35963017,0.0,413898090.7607675,155671925.4224,396746408.8716466,2047041.6968937665
2010-11-01,13937371.396918505,0.0,470822559.55806977,106805567.82403167,174866694.67790955,0.0
2010-12-01,551798307.880443,49605888.7160845,828699242.406454,65185532.811282694,1024466412.2561942,0.0
2011-01-01,20247308.616639744,0.0,800489286.5627338,47179808.15851366,39217160.93143093,0.0
2011-02-01,156999536.52541736,0.0,808443104.2215166,92202438.22160633,257140366.03893384,0.0
2011-03-01,101255581.21445958,0.0,707249613.3902377,180547684.30279538,179013150.59195647,0.0
2011-04-01,18117244.143949512,0.0,582751261.4679978,277534234.28470093,160152478.72605193,724613.174038657
2011-05-01,45652365.65516626,0.0,645667691.3662713,310638570.5867517,406617598.794677,1883994.1930734394
2011-06-01,2599436.3316047587,0.0,468461390.0857132,354899888.138219,129030549.46514222,2898452.696154628
2011-07-01,29478054.75917267,0.0,436088903.70892245,373266415.9445812,317244131.21635395,3767988.386146879
2011-08-01,789972.2074324478,0.0,321042955.45384127,310846729.40707445,111908178.2780056,3043375.361531935
2011-09-01,540531.959266979,0.0,273100114.41734415,232209324.30936477,109806957.63525891,1449226.348077314
2011-10-01,24827463.46253851,0.0,436777538.02882147,155108104.62823388,338933721.627099,724613.174038657
2011-11-01,14242272.510273164,0.0,487391475.9333925,108863328.49531466,167704630.74445227,0.0
2011-12-01,73442961.07850048,0.0,637477986.239216,35288743.68291342,258812511.9259911,0.0
2012-01-01,79455120.84640633,0.0,687750479.9433779,59846956.46561245,188540632.43382755,0.0
2012-02-01,169878031.21141005,0.0,721867805.0434673,101422980.77054371,302583045.37749135,0.0
2012-03-01,18211851.15219227,0.0,615251518.7193073,245387956.31290033,139796468.60065553,0.0
2012-04-01,400315.1967505131,0.0,500364300.7954931,261884784.63987133,111965060.67278776,1728937.2108018363
2012-05-01,50570.777768993255,0.0,291149484.6218021,296021284.46938586,1379528.6192941838,4495236.916365173
2012-06-01,146695.95134057672,0.0,166759981.9943947,281732862.95501375,578792.6209398089,6915748.843207345
2012-07-01,1912377.0191401935,0.0,200279475.5457398,266380209.53686768,239518047.93307275,8990473.832730345
2012-08-01,844872.146908348,0.0,154501780.22444192,283514978.4701959,86702954.1521814,7261536.623780744
2012-09-01,2712406.3197841765,0.0,173415609.43905738,229636931.60466704,175800410.9305217,3457874.4216036727
2012-10-01,1284339.4798295356,0.0,169016779.1425251,150002785.65359214,88535534.88997471,1728937.2108018363
2012-11-01,48032.385679334344,0.0,163043467.63865992,86147972.3100904,51329108.987444,0.0
2012-12-01,49294494.675747335,0.0,556318910.1111354,54960660.804231755,497530597.9524582,0.0
2013-01-01,49681146.63745871,0.0,691670795.6409122,29453613.22291036,214486645.39014256,0.0
2013-02-01,22149393.844828915,0.0,698546535.7152914,59310813.94512561,88157137.5928442,0.0
2013-03-01,73971206.38947916,0.0,684951448.953049,193824435.38919038,250768385.0520551,0.0
2013-04-01,80690802.66149497,0.0,655622061.1813612,292129461.76735646,329528205.54848564,1857012.3947176961
2013-05-01,851565.9758764039,0.0,494944265.2604267,315589789.02379394,114385553.0956284,4828232.126442791
2013-06-01,782482.2490238582,0.0,299729211.16348135,303654461.1830863,0.0,7428049.5788707845
2013-07-01,7677252.384296503,0.0,299670683.6311194,274800823.3022462,222203692.47423095,9656464.252885582
2013-08-01,5454448.372950731,0.0,282058114.9140192,267794978.79322597,197071513.25332472,7799452.110529762
2013-09-01,56735953.49436945,0.0,453692144.2721488,230081989.63233635,454266438.3974998,3714024.7894353922
2013-10-01,28331347.07731831,0.0,485698665.95764357,157471938.7234565,211828251.14082903,1857012.3947176961
2013-11-01,25307906.473164313,0.0,532529495.78259236,115583743.6511758,184623017.0003927,0.0
2013-12-01,81711413.13961026,0.0,628373426.3772591,83825884.04511708,261177237.40402672,0.0
2014-01-01,38005224.742167845,0.0,633236405.2116674,99435372.30736396,137357953.6113625,0.0
2014-02-01,40394486.214381024,0.0,610652013.6063124,165919630.98473218,170804952.30809125,0.0
2014-03-01,7521899.488111686,0.0,516423103.14849174,242696340.0691366,118888804.16017555,0.0
2014-04-01,566430.6671107658,0.0,412148584.511537,283039569.4235651,117865423.35766268,2670381.6426526345
2014-05-01,508842.8973387924,0.0,330885681.10897774,346957825.300144,182687880.44077098,6942992.357964445
2014-06-01,2212047.909238563,0.0,193908311.2414834,309186520.77586293,7109776.570229111,10681526.570610538
2014-07-01,4406242.790620625,0.0,120139101.44624044,382253420.6891828,142860831.85247105,13885984.71592889
2014-08-01,11430006.196431797,0.0,266132598.3761655,329436618.555854,466314459.5759726,11215603.255257126
2014-09-01,31832302.99991413,0.0,387591282.1067565,268696867.5469097,409195816.66725874,5340763.285305269
2014-10-01,138853.81145364422,0.0,286661154.120432,181891636.1626429,30165690.39021546,2670381.6426526345
2014-11-01,2647069.4873728044,0.0,301572319.61892945,96318549.05117004,98175703.75134541,0.0
2014-12-01,26973199.19261186,0.0,470269498.0319716,67523865.40544006,262755917.2475764,0.0
2015-01-01,42862519.3837375,0.0,560231067.5369585,115438111.84072293,246933192.11979666,0.0
2015-02-01,13602724.8905538,0.0,518080663.03877115,158360430.91783705,113968909.85855101,0.0
2015-03-01,13105897.049370272,0.0,490817348.5630042,267673996.21266976,217831762.7602306,0.0
2015-04-01,14712396.51180486,0.0,471014035.129676,282658126.04523295,232295168.01872244,2787365.5402182024
2015-05-01,104115770.83670983,0.0,521785904.3233713,372803770.5781166,491260621.1869556,7247150.169608977
2015-06-01,3821342.380176669,0.0,321677281.75736594,428389988.4285242,103421803.93057524,11149462.16087281
2015-07-01,8424741.16860469,0.0,282046044.36645174,342329154.24491674,184423370.9170069,14494300.339217953
2015-08-01,18463223.33445073,0.0,320199389.17276907,261375424.70551166,257252478.61701387,11706935.024893008
2015-09-01,18362158.58709738,0.0,326315117.1006089,183525397.429098,137554008.2249488,5574731.080436405
2015-10-01,71706239.08778022,0.0,474414155.365496,148940887.21698657,365476581.7768103,2787365.5402182024
2015-11-01,57980059.80725608,0.0,576076440.7085215,118738631.70869693,277695358.1629153,0.0
2015-12-01,191993787.48871043,12662.964378449426,762974637.211814,64453395.45244119,443357625.4769602,0.0
2016-01-01,90132310.86541176,0.0,777533596.8111709,70656610.00199418,175278404.9498111,0.0
2016-02-01,25956606.099101074,0.0,687459414.5389771,187873896.26192573,120747888.9689987,0.0
2016-03-01,21940776.007197056,0.0,613382213.3659017,249456237.75612333,186267787.0477626,0.0
2016-04-01,39451831.568070695,0.0,623151845.774535,271764983.08312887,305604689.1864907,2760111.0164651754
2016-05-01,8997871.326449955,0.0,490902006.81016284,344717588.171941,171730857.48180762,7176288.179677808
2016-06-01,4389238.526077277,0.0,310481173.9901057,319590154.3686148,33363581.086425114,11040444.065860702
2016-07-01,8243617.400577162,0.0,240880143.8758206,274756056.9860611,68394219.74982321,14352576.359355615
2016-08-01,8206798.311982485,0.0,245289492.9757053,253454363.99623635,163944992.99229294,11592465.662120553
2016-09-01,200914921.453062,1117296.4019392745,642933990.5982845,195472464.1728965,789578963.8674343,5520222.032930351
2016-10-01,10716823.47514465,0.0,586341754.4677703,159395610.0827252,109191877.83621123,2760111.0164651754
2016-11-01,16237065.090931375,0.0,605442831.4664357,104850475.22972405,138160881.2739702,0.0
2016-12-01,153993532.77896816,31786.654631788708,732385122.4504939,81939816.55807993,362595031.07646716,0.0
2017-01-01,530853883.3783064,35348241.054838896,832625056.3117913,83051567.92735732,749493626.2217969,0.0
2017-02-01,158143088.57716188,19875.04208492067,816628435.5675327,145329417.87676734,287443682.95817053,0.0
2017-03-01,134362111.10001096,82553.15940296512,803731005.3904026,264685746.91990674,385653393.5055647,0.0
2017-04-01,2417003.2493782467,0.0,536826030.2130658,347910910.2010479,70131186.7931726,2791029.338346793
2017-05-01,692718.4298219346,0.0,274164679.5529227,373634925.91374296,50395376.938964255,7256675.936975845
2017-06-01,3073478.361728493,0.0,108556219.27448842,370888324.5846025,6554457.82215791,11164117.353387171
2017-07-01,7952601.301395992,0.0,111523736.4000434,315184872.89274603,166385732.5039387,14513351.87395169
2017-08-01,6975754.728337801,0.0,123901251.67440392,291883532.71183723,186892517.10965988,11722322.57833998
2017-09-01,4512908.978347925,0.0,164372917.53263354,235201571.00459576,244616992.89530653,5582058.676693586
2017-10-01,430773.93308529333,0.0,136086054.03769687,152983411.32261676,34910415.09141458,2791029.338346793
2017-11-01,2095.1935351708535,0.0,123737821.24869016,78606803.96302782,15685834.199233724,0.0
2017-12-01,336100.5299991245,0.0,156600021.89178935,77242330.34970313,101738063.84882803,0.0
2018-01-01,2016886.1509034687,0.0,275461959.53671527,118842246.57316352,231039915.11988664,0.0
2018-02-01,6751027.869371616,0.0,388330045.5604473,149381759.13892362,259827476.97539997,0.0
2018-03-01,11446614.886510067,0.0,388198401.3265471,251699939.0621424,236173715.05035296,0.0
2018-04-01,349547.42317985336,0.0,287038543.9395922,313293784.37339056,133160191.8218831,2633594.9061065014
2018-05-01,718949.3375426424,0.0,187322489.76192477,310432367.43373346,68582003.54991981,6847346.806902681
2018-06-01,3311116.988890452,0.0,121369425.71142645,302660527.0039896,33524550.68603975,10534379.624426005
2018-07-01,6971789.249021,0.0,107606500.77748606,263604254.32766572,97391788.83442011,13694693.613805361
2018-08-01,5766915.597414635,0.0,119475144.09103411,264957030.92513052,151225398.62693995,11061098.546992088
2018-09-01,1241935.8215272587,0.0,97990232.43667328,192929136.29202306,11592149.761156933,5267189.812213003
2018-10-01,33683120.44512325,0.0,518937336.22666377,128691657.38334079,580688286.7123452,2633594.9061065014
2018-11-01,7626437.539604559,0.0,533638488.3202814,79614590.68397072,101581353.22662386,0.0
2018-12-01,10358688.67730266,0.0,567553175.3463719,57849821.89192298,101085746.95656995,0.0
2019-01-01,250997140.08736944,0.0,792402343.7248333,52908362.42034272,528754670.8861732,0.0
