Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,316431143.54753315,15596302.399056498,818878628.0504239,71774126.86096472,494779630.7586764,0.0
2005-02-01,122567595.91428976,0.0,814926917.3189366,98058313.2077805,216540723.54110673,0.0
2005-03-01,63526232.23153516,0.0,753166216.1612931,177217382.6271608,177520272.76454908,0.0
2005-04-01,9921742.32564071,0.0,663944299.1590354,212032483.8888235,126236951.15670808,3147398.9516616683
2005-05-01,2930463.792728984,0.0,489830788.86466616,287516141.47152144,89237294.16014206,8183237.604564523
2005-06-01,7716761.827530362,0.0,427218459.76207745,322295967.15776455,240153241.08367702,12589595.806646673
2005-07-01,10371552.019621084,0.0,263236663.18309435,262857668.55498824,40260101.70474684,16366475.209129047
2005-08-01,8878438.816239854,0.0,235811861.39017192,234049791.03737253,162798238.61559838,13219076.373935813
2005-09-01,6356036.560429882,0.0,292845925.9171634,167228453.60589814,214884637.3617605,6294797.9033233365
2005-10-01,1763466.5411959882,0.0,296986899.7843639,175343365.24376464,165423715.5446312,3147398.9516616683
2005-11-01,47097.243307913566,0.0,298060007.43956816,104988343.92915297,91223158.20810519,0.0
2005-12-01,1925475.4132170198,0.0,365527010.1938909,55870278.58727847,120143939.74754268,0.0
2006-01-01,10972650.657065865,0.0,435934574.0072497,58288979.88317651,138770770.5460209,0.0
2006-02-01,10309247.775022829,0.0,398773765.1278248,89259006.644,48097393.08258386,0.0
2006-03-01,70430578.16484194,0.0,529746336.8113885,169878483.32705885,368228745.81123394,0.0
2006-04-01,999683.9093102139,0.0,418696305.52546126,237479803.2580236,97672044.57096837,3241186.5305401613
2006-05-01,3295502.9947916474,0.0,253654268.95200324,300612198.0368313,33821592.441410966,8427084.869437015
2006-06-01,8623360.371887233,0.0,157160049.7034425,252696405.4314668,51658534.877684325,12964746.122160645
2006-07-01,11552495.473331137,426410.9398081243,138395948.2532986,256399610.90922344,165696926.35954764,16854169.73887403
2006-08-01,9158069.60262987,0.0,134173172.6372752,238206145.2987529,152831188.92001033,13612983.495693693
2006-09-01,5684701.442615879,0.0,147220132.80353943,168690450.0488862,146988747.59375718,6482373.061080323
2006-10-01,15506771.797556423,0.0,475392130.3438319,186316480.52015686,526754063.32746536,3241186.5305401613
2006-11-01,1138263.274468249,0.0,463866555.0755695,121737822.12681565,110918288.63511792,0.0
2006-12-01,7332882.447102658,0.0,514890217.9797103,69983326.95416471,128053452.78166458,0.0
2007-01-01,21854261.04082408,0.0,593759035.9391992,51416484.59494899,152084644.12461433,0.0
2007-02-01,16857484.507851403,0.0,554025892.6959658,117534445.16049421,91625989.91163,0.0
2007-03-01,1956474.8151056555,0.0,416245600.2007032,259061960.62279987,88298520.8889462,0.0
2007-04-01,37089.98211165194,0.0,290257904.01171875,295295084.1159135,95402595.5176314,2922194.1465963637
2007-05-01,1207134.1017804514,0.0,230163083.47062242,260570945.39381185,135263801.87820765,7597704.9109460255
2007-06-01,3889114.3780050664,0.0,132899895.7331235,237734481.857098,20561101.460693657,11688776.586385455
2007-07-01,8885858.532346783,0.0,103192701.57591733,237842084.88199216,119924270.07822014,15195409.821892051
2007-08-01,7770705.310835857,0.0,118465795.67300491,221482346.8743058,195934277.1732699,12273215.206945844
2007-09-01,4008626.4626460955,0.0,139333268.5032801,233222069.23081553,230880532.19127187,5844388.2931927275
2007-10-01,473737.1274409496,0.0,104973424.43133534,211938722.45763135,110722905.69243257,2922194.1465963637
2007-11-01,0.0,0.0,112819721.11707518,125766458.52607848,123358909.32794432,0.0
2007-12-01,12719641.325205095,0.0,508809123.1675139,42964662.10701958,451673705.48266375,0.0
2008-01-01,106322815.14687783,0.0,677559983.3550309,34995823.35958431,310069498.69397897,0.0
2008-02-01,217971019.15581203,0.0,763019523.711551,67553387.89967847,370983947.4120104,0.0
2008-03-01,56572493.63196778,0.0,704776000.2542379,125451891.10631374,123603323.90554485,0.0
2008-04-01,5317576.575122029,0.0,591024681.3560838,198570990.14827454,80668177.54683664,3051017.7383644525
2008-05-01,5235931.641922761,0.0,532358479.8227628,200959234.35352936,129425254.99132079,7932646.263620829
2008-06-01,7478537.901756182,0.0,397442486.79038846,288407911.84091777,119381701.33530498,12204070.95345781
2008-07-01,10202771.545333393,0.0,272683740.0097341,242717760.98091775,53507902.53462846,15865292.527241658
2008-08-01,8448404.296997774,0.0,243988450.70266625,233869710.3024001,148441991.5996748,12814274.789002685
2008-09-01,4763472.369450692,0.0,252126870.47638214,164067980.34483916,139427899.73859897,6102035.476728905
2008-10-01,2693116.452270558,0.0,256281984.73163542,124961989.2870195,114029879.03310682,3051017.7383644525
2008-11-01,0.0,0.0,231480821.4629331,139605188.62062734,91127528.8292346,0.0
2008-12-01,18996506.577325035,0.0,574248307.7840034,64340398.275937274,426104391.17433244,0.0
2009-01-01,50023369.21758416,0.0,674622732.256569,56663674.492854886,207061468.1830051,0.0
2009-02-01,78671842.63506813,0.0,639848120.7058208,101190043.52338043,144415552.39480445,0.0
2009-03-01,18522276.02660702,0.0,532388877.5978635,174853059.57646272,71593877.18798043,0.0
2009-04-01,65886014.93653409,0.0,550740114.0409662,240611860.1926822,309906212.5147744,3133213.6603453634
2009-05-01,5220882.846931029,0.0,512095807.3395517,260685266.69841573,208636973.06727073,8146355.43344061
2009-06-01,15116868.40546945,0.0,476273218.8940345,263810533.45109043,211694489.99056602,12532854.641381454
2009-07-01,11781372.78698555,207263.07290677828,371169468.31067437,216128922.28066677,66593370.86637861,16292710.86688122
2009-08-01,9544686.816034792,0.0,279963612.273986,203210762.1551058,54988222.502698585,13159497.983390654
2009-09-01,8300965.178643875,0.0,281780395.5885546,170049245.5371214,141272164.27429834,6266427.320690727
2009-10-01,984780.1747013999,0.0,261229141.92923597,209280292.35935694,149295349.17831543,3133213.6603453634
2009-11-01,0.0,0.0,240239532.40163285,90811927.18069808,44621163.79837245,0.0
2009-12-01,34834949.04661468,0.0,545064047.4930518,44695544.089262746,384355008.2272964,0.0
2010-01-01,112668864.08590393,0.0,723973561.1879617,22903593.04482353,314481970.8256385,0.0
2010-02-01,58291767.85548276,0.0,733031588.1274438,63685514.45528626,131035309.25025092,0.0
2010-03-01,135453811.22480443,0.0,687206832.0691648,161042702.18097267,250490933.88558426,0.0
2010-04-01,23610733.324426923,0.0,622329572.0959822,198819992.2040078,151541160.9139469,2005341.3388283323
2010-05-01,815048.2921173142,0.0,500412463.0640447,257877980.2926508,110492772.70050758,5213887.252501194
