Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,307790976.35920537,25668892.271567225,813199843.7383202,47174538.08424314,460987845.7581503,0.0
2005-02-01,113836494.12575363,0.0,815948399.3667486,72458751.71054113,188565034.66534403,0.0
2005-03-01,144054326.66007662,419169.6944969022,770165291.4203221,125015819.81014115,221816586.4869201,0.0
2005-04-01,34720424.62100772,0.0,690870473.5711073,197727874.66399226,135737842.81014672,14149208.484597985
2005-05-01,23564054.24354409,0.0,589415229.3115209,270137836.1115372,148811494.41017997,36787942.42306452
2005-06-01,27066364.03526738,1285481.6836235044,431881756.60871696,315511512.7907373,115792293.81557448,56596833.93839194
2005-07-01,35103984.03727035,5654592.812565256,288926710.04931146,258776827.8109961,44647486.311593994,73575884.84612904
2005-08-01,36414788.3336678,2289871.852450195,266626908.24801618,207293401.3602196,134944612.97728503,59426674.77354056
2005-09-01,23023461.96933714,0.0,290694060.9461539,167302555.10688645,171129940.78469342,28298416.96919597
2005-10-01,11122386.63699482,0.0,311154729.8589468,145223559.13240004,158585765.4497698,14149208.484597985
2005-11-01,4129535.4811684773,0.0,322737475.9516965,98384473.44744311,105942710.09338894,0.0
2005-12-01,12953214.19021293,0.0,366096835.0169783,53733372.48164703,106497676.10586719,0.0
2006-01-01,21568862.915807772,0.0,426760059.212462,42062665.91968628,124173110.93023035,0.0
2006-02-01,31321016.463198327,0.0,402758356.59862304,65200664.59596865,63297486.16596293,0.0
2006-03-01,135275245.79422253,3180771.5536349146,499676066.4790259,118129301.66367845,349901548.24515444,0.0
2006-04-01,35976769.37011268,0.0,449207169.77947795,164906588.36992148,126312699.61005509,13545535.630593078
2006-05-01,7980925.907024272,0.0,322883519.4291049,255080795.28400785,54039247.20074483,35218393.42846048
2006-06-01,25989274.28016651,67701.22295466631,216852952.63681245,245082911.0376784,50911857.29120672,54182142.52237231
2006-07-01,38633867.36609919,1881465.473127853,170694742.1325617,237679084.03847855,98481049.81832863,70436786.85692096
2006-08-01,30490010.111153793,197691.73680269122,136474106.40936968,212913338.45803922,61146057.874013096,56891251.50489622
2006-09-01,19601214.840437874,0.0,215946617.15953565,137482118.20564705,206066675.54181138,27091071.261186156
2006-10-01,30089261.4428506,0.0,456071115.0014926,151408380.76732546,408076604.4215395,13545535.630593078
2006-11-01,16453497.672464449,0.0,459609433.01007044,96151171.19366272,115714578.35508846,0.0
2006-12-01,34732223.997668214,0.0,521286691.1046733,36956891.94705881,133035961.3699954,0.0
2007-01-01,39770813.098927505,0.0,605293620.7022096,20831610.28890982,144609352.9853729,0.0
2007-02-01,58757233.76020409,0.0,598121712.1199615,78952612.41311374,130034362.89534102,0.0
2007-03-01,68070242.89568718,0.0,483571779.31964815,186495278.97487062,129820681.46556161,0.0
2007-04-01,13205409.554325504,0.0,366380422.715958,223665687.62367085,78063031.46222803,10475415.59857386
2007-05-01,6520476.855883084,0.0,330030306.5627627,236370704.26802346,153537290.56950805,27236080.047381975
2007-06-01,9633436.42938705,0.0,218719305.70657855,222719307.77883133,20732446.389555875,41901662.39429544
2007-07-01,22534346.102720074,892.3473836018444,148416493.79967412,225109803.5102666,47992719.90027132,54472160.09476395
2007-08-01,22257739.182811283,0.0,139558957.37025344,197078628.22239998,121956299.8587414,43996742.70510656
2007-09-01,17770951.35923977,0.0,242407637.9821671,175500338.70919994,272657518.51256984,20950831.19714772
2007-10-01,10465496.882333025,0.0,254991707.4667382,168050637.29812542,170296092.1910525,10475415.59857386
2007-11-01,1772203.4993036678,0.0,259258190.57121876,92490779.86175682,95534120.61299413,0.0
2007-12-01,66985322.43966597,0.0,582788571.722968,24443487.43441569,414959191.0258302,0.0
2008-01-01,151291716.1616507,753356.954292316,740324516.2102939,8505533.776635295,318086551.37990516,0.0
2008-02-01,157747157.75600836,0.0,824591211.3842063,32720776.588611774,274734629.51853275,0.0
2008-03-01,121798222.43769366,0.0,816284472.0253305,94685809.22514509,208177292.30396235,0.0
2008-04-01,7788907.5527336765,0.0,716054151.1104438,177857192.8124548,75297743.30112651,10118036.149175836
2008-05-01,21840454.94890645,0.0,631376244.2927061,208032391.45189798,118033355.32770127,26306894.121036086
2008-06-01,18501745.66606049,0.0,537089518.9238428,266558211.67157644,144134960.98064303,40472144.59670334
2008-07-01,22928593.660929173,0.0,358236223.6403293,256175671.6528076,28383915.966520827,52613788.24207217
2008-08-01,20956019.033410113,0.0,306153840.58207387,217490240.40832165,108739235.2791083,42495751.76540843
2008-09-01,9547712.222240597,0.0,323895911.0455987,141463087.02541965,133566771.45892209,20236072.29835167
2008-10-01,7903459.514308195,0.0,333899059.27549696,105278580.69618031,106020525.03003985,10118036.149175836
2008-11-01,3200702.0612956733,0.0,312971640.43653536,108480587.50960788,80675626.26761192,0.0
2008-12-01,21592896.576531366,0.0,530980184.24720764,48049026.99709806,287650467.3843013,0.0
2009-01-01,39939091.01797764,0.0,643033350.9361037,14997793.483599996,166990051.19047457,0.0
2009-02-01,63482209.21601041,0.0,661395622.4113594,48429362.99397647,130273704.9147662,0.0
2009-03-01,70315438.13562433,0.0,589554912.4661233,128624744.86929412,124629203.23625064,0.0
