Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,183444947.96035978,0.0,602127776.1454802,60631246.51819449,344315705.4714887,0
2005-02-01,105322695.29401247,0.0,615712167.829375,135675952.77825654,257409521.38348067,0
2005-03-01,1285812.7574146618,0.0,481822060.90236664,227904045.70480174,92278454.64716198,0
2005-04-01,468680.51251416595,0.0,298336496.9722414,305913517.6485445,89958138.52286993,0
2005-05-01,79397.94534909495,0.0,164323253.95011997,303195606.6995068,29363277.025451194,0
2005-06-01,110007.19203987495,0.0,136747468.53448963,169292019.91368845,27420177.909983546,0
2005-07-01,382952.39213059994,0.0,125566466.94079211,179192927.36254576,60066701.5617463,0
2005-08-01,4566015.310482876,0.0,169186122.67006138,164282420.5005084,168566833.78638887,0
2005-09-01,10122031.275533844,0.0,216641383.11089766,108970370.91420172,145607762.558276,0
2005-10-01,92627.99589856739,0.0,174735075.9464008,150693195.99699172,93472313.7803744,0
2005-11-01,0.0,0.0,135968177.75876287,83484184.55395669,7863773.952864239,0
2005-12-01,0.0,0.0,98555220.10906528,82178899.21985106,6313243.433607659,0
2006-01-01,0.0,0.0,99407119.30575664,86171207.34963417,73936522.61681174,0
2006-02-01,0.0,0.0,78425156.10248093,95023553.25380488,35834.16792120245,0
2006-03-01,1218891.4822799037,0.0,171670881.67644203,147474645.85846537,219434930.32329696,0
2006-04-01,8343.3022919738,0.0,82139856.69028594,292824671.73394656,14672134.607251514,0
2006-05-01,0.0,0.0,66037347.83536723,238909034.80338997,127456.46100879053,0
2006-06-01,23561.621405886614,0.0,60156008.71672187,218324724.8457119,21848308.175302014,0
2006-07-01,173438.65490678197,0.0,52486107.859221496,261043326.1669928,107619046.17673631,0
2006-08-01,80203.96864711014,0.0,50666475.64761099,182350298.04879907,40066070.35679657,0
2006-09-01,79524.86368775791,0.0,50846236.47443649,133946004.51528414,42791718.22089525,0
2006-10-01,18901131.633666255,0.0,400599960.5325007,97252124.79488528,471538642.3744616,0
2006-11-01,24871.877130526987,0.0,331137987.3263011,79517784.32464883,8474973.225744694,0
2006-12-01,1668919.589930107,0.0,362440348.9275605,30507567.042904668,64280847.28076944,0
2007-01-01,5609809.829301935,0.0,393386319.26527154,52134905.093178436,89781569.42142944,0
2007-02-01,1318211.6512281168,0.0,333856371.6633887,125187756.22484155,63831932.65939966,0
2007-03-01,28871.81268197263,0.0,227558041.75205314,144595656.07481122,19684740.013671655,0
2007-04-01,30370.110608864084,0.0,117119891.55264589,252867407.93783242,53371287.337538384,0
2007-05-01,0.0,0.0,46476557.65868177,429011236.37419236,32661629.52543426,0
2007-06-01,0.0,0.0,35862408.97130394,208315698.69143382,41238.59871225842,0
2007-07-01,1451.8501026747902,0.0,26522925.7676113,341763958.6691578,89398958.15815002,0
2007-08-01,4479.769965848929,0.0,20870338.59265594,272927923.48212767,95515654.73323987,0
2007-09-01,16220.429425934171,0.0,29031358.88963589,123808302.95518456,78885051.62253396,0
2007-10-01,0.0,0.0,15765380.460053427,185206132.58692908,26965978.174036272,0
2007-11-01,20740.96975664207,0.0,18936106.282330908,84520349.95336907,54688928.43184841,0
2007-12-01,374229.10449042934,0.0,215898187.98710558,57144456.81007338,258268396.97607774,0
2008-01-01,18885012.280883484,0.0,398377991.55781573,62378089.5709261,267737281.58604118,0
2008-02-01,68091117.28805223,0.0,495229439.01141423,114505002.88191879,282985264.639114,0
2008-03-01,0.0,0.0,313836883.36343247,196489768.20001066,5710881.181694374,0
2008-04-01,7455.656372805488,0.0,151688916.29481196,279288428.08599746,29037062.595916845,0
2008-05-01,533796.5691038158,0.0,123556659.0863409,213624203.42298096,79157654.46588275,0
2008-06-01,341395.2054211358,0.0,113295868.81323856,158890379.87978807,29552394.544934653,0
2008-07-01,8191.914194434419,0.0,51672608.74009428,326955518.15130174,22984728.98455593,0
2008-08-01,32968.23044002373,0.0,56514506.16337979,205784537.97847226,101228245.12141265,0
2008-09-01,1856.2637067175508,0.0,48263295.48471493,152041273.65966368,13848145.977104764,0
2008-10-01,21456.04205341597,0.0,47436171.5593921,91881524.52857785,50231111.612705,0
