Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,373675688.55550927,19328819.104011666,700894861.6009645,28671469.82003015,443818939.2661076,0.0
2005-02-01,212532480.13442987,516520.7975090097,703517371.4783919,74338918.81654641,291131372.4361276,0.0
2005-03-01,43383967.251109645,0.0,694762096.7240881,54658921.72643693,89510650.86295006,0.0
2005-04-01,93710477.69539039,0.0,681724482.4507722,77499670.87064101,157594509.18213668,1429078.745802668
2005-05-01,28419155.520086754,0.0,602277793.7820253,145878809.62027287,89722467.63107252,3715604.7205921384
2005-06-01,8070473.675224601,56570.673837597365,532659729.84579957,113273658.05326961,38637276.88358127,5716314.983210672
2005-07-01,22831708.24275137,263070.368163103,484785504.97658086,146391423.74099684,93059937.73348643,7431209.441184277
2005-08-01,43319477.92321084,66265.86699584774,481718986.8114152,132208785.17615385,148181278.74468008,6002130.649122742
2005-09-01,93508796.97258298,0.0,520762127.278001,75354497.6046154,202769454.08934602,2858157.491605336
2005-10-01,54765409.69846443,0.0,520514358.79869026,79960475.19980244,124016457.13047715,1429078.745802668
2005-11-01,472701.4508386856,0.0,479880698.70064855,79039292.44393931,14784387.185525535,0.0
2005-12-01,280379.2787202263,0.0,467858944.85719055,34642042.993729144,17646493.361416344,0.0
2006-01-01,9716439.044626404,0.0,523637480.06620854,26697995.547706638,92172819.61988375,0.0
2006-02-01,62718.90161790773,0.0,506483669.4762705,20539658.42597165,1423702.6637408605,0.0
2006-03-01,114795983.21451142,719810.3802446625,635917213.1319605,28762082.615898807,274579590.7762297,0.0
2006-04-01,5451767.72706914,0.0,580103222.5390571,79805206.08815178,26510422.429049227,302594.9713231772
2006-05-01,2058537.9541488404,0.0,518860355.82029104,83570459.82256842,13190288.07173639,786746.9187767354
2006-06-01,7045314.561129353,0.0,489149369.54349816,82175222.15304539,38046688.39604813,1210379.8852927089
2006-07-01,46104111.18857694,0.0,498509116.3077622,109588463.34501809,144320111.09002572,1573493.8375534709
2006-08-01,22221033.724581514,0.0,480506008.7692172,100065916.07033502,79492368.81795831,1270898.8547543585
2006-09-01,29051266.970036812,0.0,498243204.0174142,62408248.18656907,103568912.16520368,605189.9426463544
2006-10-01,237532711.63908967,0.0,630511099.7047417,41345984.6607502,412439332.94417834,302594.9713231772
2006-11-01,8910358.767999442,0.0,609587536.3702091,46663836.09045928,34243799.29930178,0.0
2006-12-01,23126209.259640448,0.0,631600851.5975946,29952898.94462307,75041773.49844128,0.0
2007-01-01,58120279.48022294,0.0,651041283.6357818,23595684.41233625,101932018.4991146,0.0
2007-02-01,28791427.14910891,0.0,653899556.3458428,30187461.673983224,61707054.7021792,0.0
2007-03-01,55607331.27629949,0.0,645294630.637514,41815297.963972904,89015779.96209715,0.0
2007-04-01,26176125.00027444,0.0,619620163.2566124,73720937.90082613,71227947.30250522,207581.51846810302
2007-05-01,41168860.52069972,0.0,558489755.9516939,152877784.42241502,122338456.3082775,539711.9393662334
2007-06-01,554380.8621991001,0.0,458656954.69488436,146495983.03354084,17261816.195012197,830326.0738724121
2007-07-01,14919054.175048433,0.0,427633102.6211354,182709593.5614763,133481808.83246192,1079423.8787324668
2007-08-01,13608105.525447333,0.0,411102993.1277244,154649323.53822917,119262898.60594964,871842.3998107855
2007-09-01,51211381.81963734,0.0,480656011.10780144,58573681.91327829,177426754.48879018,415163.03693620604
2007-10-01,2164595.882320853,0.0,451040729.2730513,80035831.64020629,40140307.953471534,207581.51846810302
2007-11-01,12755044.595556865,0.0,466334049.19409406,73445035.06046608,96993400.92410153,0.0
2007-12-01,136461734.36439347,1220114.4990679733,614333923.9567732,29094576.603129253,315693782.33092755,0.0
2008-01-01,311128499.1922628,9430904.936767193,691617309.9743499,36202983.51533715,435640409.470687,0.0
2008-02-01,341897950.03807,1203103.7947166958,701595578.4344503,36865701.45171211,391494573.0594691,0.0
2008-03-01,6366803.370689592,0.0,645077799.3776655,60242643.3500878,9935353.31691913,0.0
2008-04-01,10803827.653476145,0.0,630080952.2428435,55313336.37681478,50566348.43157812,344721.20092146716
2008-05-01,36858795.4216798,0.0,631092318.8981609,67090728.53887176,103300190.74411203,896275.0949423846
2008-06-01,7779658.79502587,0.0,572590636.0532633,110166692.78133215,51374853.18800207,1378884.8036858686
2008-07-01,6080563.817227849,0.0,493240607.73334026,159294661.67439234,65615159.44562445,1792550.1898847693
2008-08-01,13119052.14673181,0.0,465769550.71831834,128959140.21715678,90531882.36011134,1447829.0645543283
2008-09-01,1226352.8871710808,0.0,421448420.18698645,103554617.08515821,32142024.299972724,689442.4018429343
2008-10-01,8463052.584203608,0.0,430462355.2650146,69685815.58781487,76310045.45091903,344721.20092146716
2008-11-01,12789846.368183514,0.0,473503068.36855346,37533289.91855574,92940426.11786368,0.0
2008-12-01,415307689.6272486,953820.4964464925,679245108.6225452,41787411.67834063,668517320.5476592,0.0
2009-01-01,73246076.75182861,0.0,681794240.037305,33705107.21538793,110824490.60546382,0.0
