Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,224932233.54918143,0.0,2139864146.451406,197119156.63199228,654145887.4789243,0.0
2005-02-01,159980289.73175725,0.0,2209637107.8261757,301719033.7019055,531472284.8084343,0.0
2005-03-01,133487551.21342823,0.0,2210981519.385254,431799031.27029055,566497508.4644257,0.0
2005-04-01,60016523.19115985,0.0,2122032896.4583268,597921977.3374585,546569646.7478534,21637487.58348866
2005-05-01,45638094.21141051,0.0,1954237486.3037634,821629058.869105,627998913.0867146,56257466.87799399
2005-06-01,25108298.508910857,0.0,1630250986.861449,688661745.8657099,231916356.3725239,86549950.33395465
2005-07-01,36769062.80927369,0.0,1283779225.6703043,626320126.8360077,26114650.131523605,112514933.75598799
2005-08-01,36794827.316893265,0.0,1146963326.116992,523929459.6870982,144562273.7747857,90877446.79035346
2005-09-01,17052479.9653805,0.0,1119647210.9842067,398698725.9944154,219210800.6059291,43274975.16697732
2005-10-01,33036098.423337504,0.0,1283632468.5415747,314521339.00753725,479865436.72132844,21637487.58348866
2005-11-01,705053.9027699882,0.0,1250785344.7276015,191118713.44378033,138321866.26157165,0.0
2005-12-01,16963195.421327215,0.0,1496116981.6353781,157718616.6485491,419642034.25300205,0.0
2006-01-01,63372649.69136319,0.0,1757605997.110471,224952556.99049416,549685319.4995426,0.0
2006-02-01,15588561.373518886,0.0,1696793373.1187277,336392772.4832863,288172575.4329196,0.0
2006-03-01,151568741.29793543,1044227.1082704411,1890127977.213742,457089670.1403056,802313093.3683938,0.0
2006-04-01,13001011.202589197,0.0,1697667030.1762967,671424299.5972873,443808467.5671584,24465692.251317203
2006-05-01,4366088.674965135,0.0,1279174172.524554,685240204.7178589,90061126.84096311,63610799.991249435
2006-06-01,28090211.508651618,0.0,1083344346.251775,516856811.59549814,64045581.948124565,97862769.00526881
2006-07-01,66008696.24462115,0.0,1035444876.8564243,494114914.3191455,203610651.36499068,127221599.98249887
2006-08-01,49374832.993934125,0.0,949116052.3693573,473945652.6515214,97018417.91672865,102755906.49221803
2006-09-01,36553818.1420276,0.0,1013508042.873502,324915173.36191374,315002272.94137985,48931384.502634406
2006-10-01,71912842.41304667,0.0,1338366061.0173626,308574615.63813347,680556461.2687438,24465692.251317203
2006-11-01,16681071.825317223,0.0,1384769072.7187684,192932445.67515287,251347443.05092123,0.0
2006-12-01,133794627.20284389,0.0,1776595518.8899662,70469984.07900387,596091057.4530469,0.0
2007-01-01,54214919.02795744,0.0,1836517751.9800556,203347380.08323127,317484532.201278,0.0
2007-02-01,76830336.75502901,0.0,1911061592.56542,329321364.1678978,480695541.5082939,0.0
2007-03-01,24524305.806650605,0.0,1781912894.7253501,465087897.1440789,358872984.9505369,0.0
2007-04-01,5127937.05226565,0.0,1491800162.7645307,594038288.8245332,252723311.1099431,23616062.790203985
2007-05-01,9361902.522938197,0.0,1281322536.1850612,593205587.9365649,229923121.41844827,61401762.56052563
2007-06-01,30491903.265841696,0.0,1168061859.4532778,494502759.8664472,160289733.22935584,94464251.16081594
2007-07-01,60115745.16584907,0.0,1116874902.2396157,460092526.99469817,150442613.37392908,122803525.12105127
2007-08-01,58543383.61566178,0.0,1109984681.0621717,460643350.00492567,248970164.44410884,99187462.48608132
2007-09-01,34245152.5551167,0.0,1150271111.5898929,379058372.16545904,327444166.7990657,47232125.58040797
2007-10-01,26289135.629918396,0.0,1186066875.2047193,271177552.7752703,277990778.69951004,23616062.790203985
2007-11-01,12888511.921121052,0.0,1212900096.0168796,159238475.7688472,175526568.9795722,0.0
2007-12-01,252800508.2532654,139051.27998928094,1894757169.0649798,101907364.42335697,1036703997.0047119,0.0
2008-01-01,224433867.11455247,0.0,2039554786.1937113,126624193.79389021,495855678.0371746,0.0
2008-02-01,312793257.6276498,0.0,2100745189.214524,300606516.99277645,674531126.6569469,0.0
2008-03-01,93613103.21916437,0.0,1976842408.7901778,391806362.4979369,356278018.38134205,0.0
2008-04-01,2351733.082080601,0.0,1708913046.592687,407307187.944306,95065882.51998547,21529643.168932475
2008-05-01,34764164.45443315,0.0,1676184641.8075874,473577603.37753695,391623225.1006728,55977073.27216612
2008-06-01,62058255.81601028,0.0,1542421176.7433965,520175782.2899299,306601094.65849984,86118572.6757299
2008-07-01,64965393.24990378,0.0,1413653294.3400543,439196808.5598354,133393976.11859006,111954146.54433224
2008-08-01,72475456.5470408,0.0,1397560890.9981024,407753791.5005411,250261667.77768603,90424502.60712045
2008-09-01,10648221.74895577,0.0,1281998988.4782207,361626748.5397175,61728881.46122497,43059286.33786495
2008-10-01,41254031.53961953,0.0,1354380636.8093042,259689386.04724693,324985944.24717444,21529643.168932475
2008-11-01,54696680.318305776,0.0,1480893396.8666406,125827071.60752939,306515462.5053187,0.0
2008-12-01,186093528.25355932,0.0,1883937847.8154233,55098359.96051763,644236339.1628586,0.0
2009-01-01,410752161.63132334,0.0,2145645118.686568,84426897.30980387,756886329.8122728,0.0
2009-02-01,274245834.880464,0.0,2153938922.30438,170788020.47847837,452807832.94423306,0.0
2009-03-01,194317314.29492986,0.0,2030795865.948269,351040578.35843945,406226414.09535825,0.0
2009-04-01,86198523.29793301,0.0,2003769960.3490882,531026244.3355613,556301214.8727,20937362.376164358
2009-05-01,10687755.868871005,0.0,1695038652.6834729,601610268.2594435,218462462.19842762,54437143.14113464
