Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,461543155.824287,0.0,2471270006.1188784,76532250.28265879,654145887.4789243,0.0
2005-02-01,388729786.8490906,0.0,2509033406.1096196,104979097.96860386,531472284.8084343,0.0
2005-03-01,361165394.31813955,0.0,2524190645.5166492,190174874.739255,566497508.4644257,0.0
2005-04-01,300948421.4832849,0.0,2525202976.5424395,266246381.82226676,546569646.7478534,21637487.58348866
2005-05-01,250755292.0022923,0.0,2503691837.1915884,455228446.1685883,627998913.0867146,56257466.87799399
2005-06-01,43666220.89199062,0.0,2234419916.3367987,547290659.7769883,231916356.3725239,86549950.33395465
2005-07-01,40740652.81906341,0.0,1848327873.914874,504258583.3081881,26114650.131523605,112514933.75598799
2005-08-01,47223276.75432002,0.0,1729599175.165148,382399959.7666118,144562273.7747857,90877446.79035346
2005-09-01,38817521.329553425,0.0,1727325043.5244038,296117445.6075606,219210800.6059291,43274975.16697732
2005-10-01,138971379.73652264,0.0,1907241244.459391,184618757.51282358,479865436.72132844,21637487.58348866
2005-11-01,15675240.909595344,0.0,1903389372.6706681,133496220.15728615,138321866.26157165,0.0
2005-12-01,127604566.96537472,0.0,2086154652.5525818,109311674.18276073,419642034.25300205,0.0
2006-01-01,259614294.48609787,0.0,2273508775.5267015,102716902.0393255,549685319.4995426,0.0
2006-02-01,125746683.76742204,0.0,2311357575.6142845,124577091.57791376,288172575.4329196,0.0
2006-03-01,488323004.7662147,1300003.8558027085,2442175286.2577686,181872374.10289407,802313093.3683938,0.0
2006-04-01,181421567.3728316,0.0,2427688733.741159,301428436.3435215,443808467.5671584,24465692.251317203
2006-05-01,13622352.018866664,0.0,2112500498.8699384,461375943.98764724,90061126.84096311,63610799.991249435
2006-06-01,36145833.58742256,0.0,1849744586.598442,425811998.2084389,64045581.948124565,97862769.00526881
2006-07-01,88224338.81007655,0.0,1785632050.7205064,386207649.24311346,203610651.36499068,127221599.98249887
2006-08-01,53732040.20783603,0.0,1683776554.8684497,370749817.5340475,97018417.91672865,102755906.49221803
2006-09-01,83464320.74484722,0.0,1778336605.192753,213173683.29845497,315002272.94137985,48931384.502634406
2006-10-01,253321881.4617453,0.0,2080432733.3840256,149604143.86704332,680556461.2687438,24465692.251317203
2006-11-01,69728657.22136085,0.0,2129367096.706995,133710240.1865568,251347443.05092123,0.0
2006-12-01,329543230.76045746,0.0,2303065518.7230487,92849404.67653324,596091057.4530469,0.0
2007-01-01,187142194.77447656,0.0,2365351973.266645,68055882.88320781,317484532.201278,0.0
2007-02-01,272026841.8834066,0.0,2438820287.1813917,135200385.71014112,480695541.5082939,0.0
2007-03-01,153073119.52444768,0.0,2435655020.2367597,208965132.3707216,358872984.9505369,0.0
2007-04-01,55304356.44690564,0.0,2361938324.924965,295110286.2414743,252723311.1099431,23616062.790203985
2007-05-01,40753729.0143868,0.0,2223066621.87488,398240281.6435529,229923121.41844827,61401762.56052563
2007-06-01,62653690.25549783,0.0,2029751905.5380979,413777221.4813408,160289733.22935584,94464251.16081594
2007-07-01,78976639.5901485,0.0,1882871243.3666208,419526205.57428247,150442613.37392908,122803525.12105127
2007-08-01,105644572.65810515,0.0,1850843878.8608007,363036821.47689414,248970164.44410884,99187462.48608132
