Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,479385921.0402742,18483517.684962418,932570442.3957947,19450047.56736917,544181815.1952845,0.0
2005-02-01,417220684.21897805,7004396.182395899,945494678.3492107,37539730.34308841,482890323.42842376,0.0
2005-03-01,469958776.1845695,46728715.76972079,957245660.0650966,57731148.849562,596497435.633622,0.0
2005-04-01,184934514.45852214,3498913.0956871794,948517568.5532782,133150672.61648971,309889639.981993,14336468.857472684
2005-05-01,268540088.79957306,5335806.719546008,950286873.634473,199741242.58682534,454862849.93582314,37274818.641100466
2005-06-01,145976830.45156267,6030.297274090382,874013332.816838,250702675.55001652,271492569.10831344,57345875.42989074
2005-07-01,16457414.194676973,0.0,723222280.2022972,220729317.24815118,1891486.2206394502,74549637.28220093
2005-08-01,36506635.11679669,0.0,645456904.8298675,183423421.54733953,44021741.353533395,60213170.84435167
2005-09-01,28749378.969398927,0.0,611695002.319441,124547943.22577977,45402841.66696188,28672937.71494537
2005-10-01,109137687.90046272,13475.255549619575,643270391.2826153,69099599.35987283,200943736.89578402,14336468.857472684
2005-11-01,279065200.83834,1311003.1961926192,742849907.8323938,48805626.09207658,432762562.8590127,0.0
2005-12-01,455717044.3695602,71228716.67316185,879820262.9414614,26420067.53040691,702199818.2379689,0.0
2006-01-01,550460784.901425,86170570.65745592,930263353.315726,25737249.126497377,723452715.7742544,0.0
2006-02-01,261928184.40676662,1388703.845906781,938793938.6541146,33486184.380236752,310099122.1457137,0.0
2006-03-01,618955214.9157873,154713541.52555364,954495862.2698717,70428796.37035963,870969980.7859422,0.0
2006-04-01,339317896.1489918,28695863.535421144,957855583.9107811,136411221.7054473,504885976.80386364,12940751.94527317
2006-05-01,62383105.19585503,0.0,881779458.1036217,180921538.03181648,137112580.66854277,33645955.43852721
2006-06-01,57969043.62312062,0.0,747690213.0212883,231854333.03724918,101313238.94990443,51763007.78109268
2006-07-01,32425627.079056766,0.0,641137163.8083577,211349239.64264527,38500574.11732764,67291910.87705442
2006-08-01,64373786.6195869,0.0,604164322.8251749,199601054.70545968,111145173.12723632,54351157.47749289
2006-09-01,165060797.86580095,6175.180993190246,640757018.8342065,128285404.25840907,309574702.54046416,25881503.89054634
2006-10-01,168739295.90335417,99361.23025881534,667251525.459301,97917767.38443014,286335211.7246914,12940751.94527317
2006-11-01,290717819.0080983,1568290.4584215628,764450878.4769521,49360744.428466216,443537928.1987545,0.0
2006-12-01,203944253.363542,343088.20690270653,817190504.281636,19627429.23025101,279760906.5191672,0.0
2007-01-01,113558649.00396082,0.0,844345993.219271,17799450.677670322,159458119.99741277,0.0
2007-02-01,449386067.0901747,10086424.816191023,914096453.8718485,41677188.02729434,577543616.7928319,0.0
2007-03-01,159501456.12187266,100929.67195586188,913220695.2210599,70199533.80912128,232693655.54289195,0.0
2007-04-01,120093952.31020471,0.0,880944635.8841028,117551120.53520454,191937681.38661844,15931933.150194762
2007-05-01,78019424.67333558,0.0,783496970.6467683,184459473.7755211,119603149.782012,41423026.065180115
