Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,449511730.4607783,10708573.863107705,932546718.7986628,41802601.77200001,540620231.4681844,0.0
2005-02-01,348997066.0841493,2927885.199876867,941448428.0480931,77867910.18068235,445373878.33720493,0.0
2005-03-01,390045835.9474241,19318685.973641634,948344854.2034667,154555589.5604313,577437788.893279,0.0
2005-04-01,77821632.52631794,0.0,892086720.6250178,255118921.87858847,265891264.74525154,13626991.502970848
2005-05-01,60541687.33219755,594794.3822565179,857340073.8474773,414543559.13776433,409876660.3470753,35430177.71526521
2005-06-01,20948502.769538112,0.0,669622160.7188028,475012120.4236787,241057655.8696638,54507966.01188339
2005-07-01,9838232.443313692,0.0,322631041.2731316,486863354.98076886,4183893.3540877462,70860355.43053041
2005-08-01,11033903.520551007,0.0,224529791.4504212,349594295.1264238,63014774.48161312,57233366.27939747
2005-09-01,2918666.199114296,0.0,193166163.64563027,224418956.51083148,58968829.229470685,27253983.005941696
2005-10-01,6974634.408888674,0.0,246976871.27627078,138896048.802157,178094508.73023123,13626991.502970848
2005-11-01,22376006.239965606,0.0,565462970.6289507,72335607.19362351,418368210.8189472,0.0
2005-12-01,278817612.2729117,22513512.14772675,852139985.8363974,45616404.446243145,648491348.4822042,0.0
2006-01-01,510094730.73038363,52799265.93975991,916717104.9300046,37922522.26377256,678235923.2044756,0.0
2006-02-01,237480918.2629967,0.0,922749126.1408961,49811689.69941961,295079065.97748876,0.0
2006-03-01,548169335.8241905,93341686.60880516,935634710.345763,128204454.09705105,790140828.4451947,0.0
2006-04-01,180582219.08871886,8470646.649334779,926097247.5750954,281171696.9077255,446224094.09090585,12204499.180030687
2006-05-01,412465.63674901106,0.0,662684920.678839,439410177.1092624,121883829.06721598,31731698.072717622
2006-06-01,3619316.546728631,0.0,372701028.58385485,496799012.7316864,117487425.97215432,48817996.72012275
2006-07-01,6212541.526736909,0.0,208762395.74402472,431109419.6130115,52890232.7311385,63463396.145435244
2006-08-01,8574849.426557975,0.0,164356649.40653563,357254100.28522354,98072565.34355761,51258895.602806024
2006-09-01,13066647.952984057,0.0,252199853.68724817,231445780.48860398,303291394.0389519,24408998.360061374
2006-10-01,12192643.399807932,0.0,383387972.7244879,143530237.90275297,276465866.75147563,12204499.180030687
2006-11-01,44181860.74027254,0.0,680411104.0282544,76319918.14756866,422541696.712879,0.0
2006-12-01,124838789.95006667,0.0,784157337.0654353,35266018.71607843,265453838.67771894,0.0
2007-01-01,94000459.64553943,0.0,811819420.0114514,44139590.27929412,166203431.49808976,0.0
2007-02-01,397255263.45335877,3865670.6287099593,884695144.5110954,71409052.20552939,551495333.265276,0.0
2007-03-01,62157512.33684714,0.0,860134272.5740318,177569707.50883928,209424745.98673254,0.0
2007-04-01,19988026.91865001,0.0,742258889.8753651,300745884.6328078,174384830.27286762,15021449.184141682
2007-05-01,1722485.8741848692,0.0,538398111.7932689,388369494.59931785,108990721.04216428,39055768.51321724
2007-06-01,8643395.558428368,0.0,376958411.9699414,422835251.8473568,152960305.2664363,60085796.73656673
2007-07-01,15958676.46333572,0.0,224164268.2027358,419891389.0499919,55350660.75192448,78111537.02643448
2007-08-01,17649121.086384203,0.0,186144668.57426882,312445851.8387685,80445540.92574361,63090086.18610146
2007-09-01,15727787.470979271,0.0,212603861.88578486,218217810.29015693,200519052.84566873,30042898.368283365
2007-10-01,21873585.223218355,0.0,345066035.673963,143655673.09141958,286161635.0865386,15021449.184141682
2007-11-01,3753946.330152701,0.0,373787241.7533582,76404066.35283926,105852876.69112931,0.0
2007-12-01,219039035.8256479,4244675.739547472,851069700.0478185,37527565.5898039,753653621.9604053,0.0
2008-01-01,665569785.9661617,173545202.18589148,945452778.845258,3198573.6617490198,955617888.7825118,0.0
2008-02-01,547745053.4117211,18862042.423475735,955251597.6936982,35289835.68413332,619339387.6307976,0.0
2008-03-01,253377406.049457,0.0,928603758.2735689,83942988.62629803,305784343.507194,0.0
2008-04-01,35746187.5275493,0.0,819511033.3471614,241761498.56854117,142801744.66404286,13887975.114433765
2008-05-01,16553854.585079588,0.0,692869628.779582,311297797.5194744,153513881.8513081,36108734.39258738
