Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,101332346.41280504,0.0,623844869.4419569,54467538.6826162,264933060.89017165,0.0
2005-02-01,62890089.148531206,0.0,622885365.5461131,81709824.172011,144070991.63267472,0.0
2005-03-01,14138779.033985712,0.0,575168303.2260828,130267295.21363571,96148435.36875062,0.0
2005-04-01,4771813.004233547,0.0,504185712.7936888,168841081.33244243,101649393.10087179,121675.77965360477
2005-05-01,124833.95186197001,1092.2721364188762,415974072.10925686,170938749.47414735,80334962.53714341,316357.0229032353
2005-06-01,359367.34194827103,19534.369061572717,374633478.39713,205064477.485962,160303749.17189497,486703.1186144191
2005-07-01,356192.91944993066,29573.77999197263,288063306.4120842,150903380.66539326,57720274.74014469,632714.0458064706
2005-08-01,493814.10084557236,21019.359246973832,262323869.966238,121537401.3568556,88260010.15842196,511038.2879101465
2005-09-01,1815649.3030253723,0.0,307425860.6596094,114837593.38444816,158097847.31837592,243351.55930720954
2005-10-01,3320954.574934193,0.0,338760124.7773311,86640466.21038117,120837069.16707443,121675.77965360477
2005-11-01,139187.40692782126,0.0,297044185.2089458,93820883.28188089,48899902.2975286,0.0
2005-12-01,0.0,0.0,272595604.12180096,58520359.84215784,31039448.77677831,0.0
2006-01-01,328554.25855296204,0.0,287937695.7221382,50601102.21495867,65665110.841466516,0.0
2006-02-01,0.0,0.0,242330262.6260171,59361314.55415586,7570297.61506367,0.0
2006-03-01,4696278.595588253,0.0,347692378.9461138,89860224.29831243,199280603.34357455,0.0
2006-04-01,1317283.8512164275,0.0,310841561.14811766,102113141.418464,63136897.47903306,121675.77965360477
2006-05-01,115871.64931111,0.0,220785392.07856244,139769363.95436123,26050598.763382524,316357.0229032353
2006-06-01,230589.86438500695,15542.259452257153,156142708.68411377,144403816.8890158,22715471.523392487,486703.1186144191
2006-07-01,421673.44713454595,40129.15781025002,179087933.6011812,105997079.7960425,113866706.66264454,632714.0458064706
2006-08-01,280366.19824623165,19212.353087738436,142436291.33546552,126188514.02618675,41908964.3657214,511038.2879101465
2006-09-01,1038229.1823498184,0.0,191424511.09826967,85121492.35491288,128758884.82103904,243351.55930720954
2006-10-01,53422399.89675302,0.0,487593186.62922454,128580957.88986412,479361930.701777,121675.77965360477
2006-11-01,995205.711693971,0.0,463686077.0988788,77286889.21531014,54456322.72945276,0.0
2006-12-01,3208400.691712787,0.0,485528249.0503868,28521006.79244891,53629004.567595415,0.0
2007-01-01,26999271.076971564,0.0,545992351.6220883,14766812.542992318,102617848.74289268,0.0
2007-02-01,607878.0830002702,0.0,519426945.1558262,88189014.52795766,62255930.23206584,0.0
