Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,86974455.22443989,0.0,606717571.1919879,54869302.41169412,227515777.11037886,0
2005-02-01,44619741.51736272,0.0,605380127.5417787,82259909.34009409,128721232.43660305,0
2005-03-01,15426864.089243185,0.0,551876448.1729769,131159642.08196865,91951523.29965907,0
2005-04-01,1085172.2257936073,0.0,456681287.63530064,173526209.559404,77926583.07156184,0
2005-05-01,0.0,0.0,378439385.1761133,174103939.14872152,92574076.41637714,0
2005-06-01,126997.27180363878,0.0,372373216.0200249,207889902.64525488,199965800.16322756,0
2005-07-01,0.0,0.0,268089351.82331806,154499856.29403925,38753342.06671198,0
2005-08-01,164018.82727257532,0.0,267942032.94653553,124837783.05814904,113032363.84086151,0
2005-09-01,5458254.699384614,0.0,312542677.10854477,116758319.89298822,163853648.17884827,0
2005-10-01,6497451.610806705,0.0,351802649.3124982,87642989.11988236,134548141.62413374,0
2005-11-01,0.0,0.0,307648491.0563877,94145980.7764862,48187507.089009374,0
2005-12-01,0.0,0.0,294978611.58327836,58868646.01783529,45382572.94459705,0
2006-01-01,0.0,0.0,312517614.2342634,51114272.32054902,69578911.1573796,0
2006-02-01,0.0,0.0,271766094.89686036,59809853.770588204,15956429.328564648,0
2006-03-01,987785.0398194254,0.0,345124381.03294504,90289421.0310432,165610288.70335945,0
2006-04-01,0.0,0.0,301370144.77735406,103800782.41538037,58227489.77158808,0
2006-05-01,0.0,0.0,202864044.9043389,141512536.51279214,20505024.6140443,0
2006-06-01,0.0,0.0,137677636.91336712,148504319.16006285,24157778.965770997,0
2006-07-01,0.0,0.0,153329396.27663374,109431830.72058041,91158572.48242345,0
2006-08-01,0.0,0.0,138124261.5366793,129184575.90517642,81584193.25829875,0
2006-09-01,122952.57669083281,0.0,169004909.2772828,87089320.73181184,107120895.63910837,0
2006-10-01,12666698.52270032,0.0,396361091.3583742,129529144.07062748,376294874.5187859,0
2006-11-01,59524.1522661969,0.0,381017532.47361374,77033056.50727841,63008932.88536489,0
2006-12-01,957098.7192603279,0.0,398790108.2911687,28586270.79610193,47967930.404290885,0
2007-01-01,15938961.585016403,0.0,485978985.4376292,14799997.6701098,120264733.60037093,0
2007-02-01,2175802.1677369843,0.0,469483952.60607004,88741612.88045494,76118982.77216253,0
2007-03-01,0.0,0.0,342664974.75857776,185543681.68682346,55230424.012418315,0
2007-04-01,0.0,0.0,207428640.9465396,189801294.316,42598048.28564552,0
2007-05-01,0.0,0.0,159666407.54240084,158455495.0181568,95058053.92499003,0
2007-06-01,0.0,0.0,89720828.243353,132691898.77338037,13084511.366755456,0
2007-07-01,0.0,0.0,75149378.87103474,135869083.40736473,73917924.1574137,0
2007-08-01,0.0,0.0,90213972.33190879,125764620.03145103,112421311.09434098,0
2007-09-01,0.0,0.0,147748109.60235447,138921223.50183532,191359026.8921748,0
2007-10-01,0.0,0.0,90124891.94492409,169340523.69407067,79333047.24776343,0
2007-11-01,0.0,0.0,93462034.5781497,89383352.1519765,88654629.08273433,0
2007-12-01,7363162.965316095,0.0,415590750.4786584,23120623.878156874,358417172.6886022,0
2008-01-01,31255600.628620718,0.0,532437488.9686476,6502783.502345097,157217265.47628886,0
2008-02-01,68997427.85461761,0.0,578515254.0612553,42275313.30515292,159692401.91177312,0
2008-03-01,2785326.7108253194,0.0,532931478.1538501,118734085.84209411,77377862.46150155,0
2008-04-01,2847760.3434399352,0.0,449527545.3474727,169915278.7293725,91318803.66371557,0
2008-05-01,0.0,0.0,370259565.58715165,140925417.91927838,63148246.26052883,0
2008-06-01,0.0,0.0,311389932.7781837,153244039.88334122,92549328.8603594,0
2008-07-01,0.0,0.0,212962656.56210494,149855222.75072944,36362780.8894387,0
2008-08-01,0.0,0.0,198272041.48999587,121657480.43843918,85127855.44851379,0
2008-09-01,432526.9735101742,0.0,231219458.7142072,85330471.19974896,106142880.95952463,0
2008-10-01,245501.44852112106,0.0,229911792.09247252,77882553.65324703,70319123.80877616,0
2008-11-01,177167.34129412324,0.0,228893822.5015221,78781311.71453328,76909848.3442759,0
2008-12-01,5686484.703782389,0.0,396956954.01238436,29768084.71712157,206469768.34639677,0
2009-01-01,8981007.40237509,0.0,463655745.3771281,18030524.72369412,95011414.2374299,0
2009-02-01,4093648.9010294117,0.0,429990651.44486964,77451580.43749806,48950377.945936635,0
2009-03-01,338845.74512500246,0.0,341280954.5063622,124046070.49331765,33450222.431134515,0
2009-04-01,1872688.759592149,0.0,327281902.1801464,162043864.44483918,148659187.7338608,0
2009-05-01,0.0,0.0,295180601.33982,161056356.1094745,125758665.68010254,0
2009-06-01,31836.102098339463,0.0,280269399.29436594,152448141.51093343,131224172.85951948,0
2009-07-01,65134.50559963094,0.0,232387967.41067758,132446068.84010191,60694763.53259143,0
2009-08-01,0.0,0.0,194590156.9767379,107253049.28127061,26144221.163737584,0
2009-09-01,97712.0461872477,0.0,211458561.45370385,99215187.23701961,103879215.61669633,0
2009-10-01,0.0,0.0,182117588.45376673,154344440.62226674,107721179.71921869,0
2009-11-01,0.0,0.0,177472585.17731497,67706178.55549018,59365646.133255295,0
2009-12-01,6240536.396582197,0.0,379342528.0729053,26360691.29923135,237996824.7654661,0
2010-01-01,14485578.524486594,0.0,470576396.3520242,5222837.429098041,112824349.30936979,0
