Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,209325599.12020758,0.0,633268437.2124081,5063149.0506666675,227515777.11037886,0
2005-02-01,119232605.79360594,0.0,634631000.8899885,4628486.150917647,128721232.43660305,0
2005-03-01,84830953.05320501,0.0,633826353.2309198,6436699.812313726,91951523.29965907,0
2005-04-01,69143340.56263904,0.0,630256920.808028,10961095.862901961,77926583.07156184,0
2005-05-01,81642855.35095333,0.0,615782582.8360702,24386366.745686274,92574076.41637714,0
2005-06-01,177693009.2453158,0.0,606517105.2191556,36437907.49227451,199965800.16322756,0
2005-07-01,34739297.84821388,0.0,598126556.7578502,30891582.12992157,38753342.06671198,0
2005-08-01,100279514.27169219,0.0,596547141.1625144,28419285.947709803,113032363.84086151,0
2005-09-01,145882554.38644472,0.0,596281074.1061975,25913993.73840785,163853648.17884827,0
2005-10-01,119521864.34103243,0.0,597495227.1218419,12613135.796705881,134548141.62413374,0
2005-11-01,42504023.56904649,0.0,597566041.3302586,5434613.078980393,48187507.089009374,0
2005-12-01,40406384.09414349,0.0,599886099.8754042,1725444.3294431372,45382572.94459705,0
2006-01-01,61565145.94803815,0.0,602502715.1924964,4111137.1400313727,69578911.1573796,0
2006-02-01,14254088.504186114,0.0,603129077.5486907,693246.6952078432,15956429.328564648,0
2006-03-01,147363688.51198316,0.0,608953708.7727472,9692410.076313725,165610288.70335945,0
2006-04-01,50827966.71494312,0.0,606476056.209807,9264182.963262744,58227489.77158808,0
2006-05-01,18048709.02304951,0.0,601699447.5816251,13120867.631019609,20505024.6140443,0
2006-06-01,21109811.377800625,0.0,595809331.1258992,23671994.717207845,24157778.965770997,0
2006-07-01,79920993.26513942,0.0,596025697.7303419,26648116.60956078,91158572.48242345,0
2006-08-01,73033199.47748584,0.0,594184720.3518537,26186728.520376474,81584193.25829875,0
2006-09-01,94159887.30560099,0.0,593071254.773926,20261766.14322353,107120895.63910837,0
2006-10-01,333523536.4308517,0.0,610154397.4659095,18945345.551584315,376294874.5187859,0
2006-11-01,56579817.924535304,0.0,611563040.2391175,3555842.174062745,63008932.88536489,0
2006-12-01,42895583.11741383,0.0,614420391.1706698,1347011.1324470588,47967930.404290885,0
2007-01-01,108402265.6841422,0.0,622919858.6698316,1026103.2182823529,120264733.60037093,0
2007-02-01,68799198.29476355,0.0,626684174.541929,1609063.5741098034,76118982.77216253,0
2007-03-01,49185621.13520165,0.0,625858381.873192,5818466.164470589,55230424.012418315,0
2007-04-01,37838381.695366055,0.0,618019465.3833859,11863821.451992158,42598048.28564552,0
2007-05-01,83657445.08680864,0.0,605053758.0312328,26668871.759458825,95058053.92499003,0
2007-06-01,11594408.243993962,0.0,597173521.814909,28388644.413505886,13084511.366755456,0
2007-07-01,65885685.18511209,0.0,595453295.0690846,29757179.90138823,73917924.1574137,0
2007-08-01,100048416.64639659,0.0,595696417.9656091,28835181.495427452,112421311.09434098,0
2007-09-01,170385806.57680282,0.0,596177954.696102,25388753.19799216,191359026.8921748,0
2007-10-01,70390853.27280629,0.0,595713052.2946163,12298881.528549021,79333047.24776343,0
2007-11-01,79645322.83802041,0.0,600587326.4149371,2741028.764227451,88654629.08273433,0
2007-12-01,322691191.14302343,0.0,626984314.3421699,3524323.6737254905,358417172.6886022,0
2008-01-01,143543411.43296024,0.0,638046025.5301641,0.0,157217265.47628886,0
2008-02-01,152044414.2000647,0.0,643128720.0405405,223397.54193725492,159692401.91177312,0
2008-03-01,71623294.87063758,0.0,643558555.517339,3882506.298078431,77377862.46150155,0
2008-04-01,81859776.01678751,0.0,641277822.9935906,9780062.77339608,91318803.66371557,0
2008-05-01,55661604.125021204,0.0,629662873.2934628,17438783.32604706,63148246.26052883,0
2008-06-01,81513999.80096659,0.0,607997986.2902424,32697344.815027457,92549328.8603594,0
2008-07-01,32341655.83334889,0.0,595772695.443493,33284631.170847066,36362780.8894387,0
2008-08-01,75505616.1791036,0.0,594364931.9287579,29776495.444180395,85127855.44851379,0
2008-09-01,94655386.26331456,0.0,593019782.244711,23633687.268980395,106142880.95952463,0
2008-10-01,62465763.13089146,0.0,592928116.8023139,10454814.35705098,70319123.80877616,0
2008-11-01,68077542.72193883,0.0,594499323.401522,6096876.130101962,76909848.3442759,0
2008-12-01,184389105.42728508,0.0,612389906.6279092,1238012.2780941175,206469768.34639677,0
2009-01-01,85955078.19302377,0.0,619737205.3285532,407946.5971450981,95011414.2374299,0
2009-02-01,43124029.81301406,0.0,621894763.0537434,2598236.1682274505,48950377.945936635,0
2009-03-01,29407356.939959586,0.0,619495510.3569344,5609162.2639137255,33450222.431134515,0
2009-04-01,129960242.04573607,0.0,615438043.7145076,20373920.292070594,148659187.7338608,0
2009-05-01,109876247.98934342,0.0,605677171.7091057,23879977.916031376,125758665.68010254,0
2009-06-01,113896915.736318,0.0,596305019.924231,31905795.70283137,131224172.85951948,0
2009-07-01,52720554.21365854,0.0,588940301.7794877,30407427.977505885,60694763.53259143,0
2009-08-01,22628126.57702451,0.0,585162420.0928311,23861348.90115294,26144221.163737584,0
2009-09-01,91086315.52584457,0.0,585136957.0768908,18242719.858549017,103879215.61669633,0
2009-10-01,94884278.66556261,0.0,586481116.2770633,10518464.529294118,107721179.71921869,0
2009-11-01,51790348.40239628,0.0,587370440.9467629,5593228.9553960785,59365646.133255295,0
2009-12-01,210603311.34399733,0.0,607960921.8742089,3277378.319960784,237996824.7654661,0
2010-01-01,99772460.49644333,0.0,618807973.762469,322771.848,112824349.30936979,0
2010-02-01,100176531.96379536,0.0,625730948.8622316,914040.6049411765,110272141.22779678,0
2010-03-01,86317811.34040608,0.0,627091777.3976448,8854961.199278433,98367578.3827546,0
2010-04-01,94895443.73152514,0.0,625212032.21765,28285760.706462745,123744030.1159004,0
2010-05-01,55475722.84756169,0.0,608255921.7039243,35417128.02160784,75020534.9262346,0
2010-06-01,59603467.03403296,0.0,572094829.1006588,63730857.43528628,80801939.19396698,0
2010-07-01,52477473.08453582,0.0,548936835.282715,62709735.11397646,71311493.57646301,0
2010-08-01,86423408.22228514,0.0,539475970.8521501,64422854.651066676,118163434.7910132,0
2010-09-01,23728996.66412162,0.0,532250733.7362841,39721047.6766902,32445327.97854529,0
2010-10-01,106979092.92314444,0.0,533339472.7743454,37854719.05523137,145393257.3115454,0
2010-11-01,112866493.1407681,0.0,551122029.3556393,19358202.609043136,153070945.59680554,0
2010-12-01,325215825.7751398,152962.26048003222,626291543.3087779,4445207.833521569,411024029.166044,0
2011-01-01,33941474.35305215,0.0,629643313.0963923,710316.9451294118,38554210.3153515,0
2011-02-01,77444548.61985809,0.0,635122638.8115903,1184232.6627058822,85547879.99484739,0
2011-03-01,61564007.23916539,0.0,635455103.0728593,8510607.56729412,71664829.32806611,0
2011-04-01,84549864.65016498,0.0,630535311.5595021,22605828.342211764,104780132.94300741,0
2011-05-01,156419112.50175497,0.0,621708162.2715493,36409262.965874515,186645972.32879853,0
2011-06-01,87986911.25571886,0.0,588454713.150019,53921854.009576485,106323493.92494442,0
2011-07-01,195687675.97499713,0.0,567896016.2083681,71931420.3110745,233925056.53092688,0
2011-08-01,49476033.9244408,0.0,559669286.2239878,53315871.73968628,60951604.657879286,0
2011-09-01,67949341.87426169,0.0,558791877.8438619,35265613.5841647,82515991.57599264,0
2011-10-01,135944368.51664993,0.0,564751687.7686812,22159412.50466667,165702712.49422163,0
2011-11-01,64305888.31521997,0.0,569029488.1182165,11058600.20031373,80475448.71134317,0
2011-12-01,63726364.777641535,0.0,580520796.019498,1593097.2381176471,77971225.76815611,0
2012-01-01,42686543.53619679,0.0,593785579.9528073,880532.2023686274,57731407.931855924,0
2012-02-01,146833327.44504255,0.0,619029122.1695954,3395431.5767764705,178497640.72912315,0
2012-03-01,14213892.11856491,0.0,620199012.0481844,3190610.634235294,18849114.154786434,0
2012-04-01,62620470.43480616,0.0,621502416.9473788,8942531.689450981,74548716.9790588,0
2012-05-01,3636340.705760594,0.0,613102906.4431454,13228031.286690194,4053392.8877901067,0
2012-06-01,3956296.7931603,0.0,606308141.3034792,21074147.045137256,4645928.831007428,0
2012-07-01,90714655.9077963,0.0,608132536.9552044,23159801.31145098,103545559.56874318,0
2012-08-01,62501131.363110095,0.0,609924496.8388864,15686452.024658823,70676574.49868026,0
2012-09-01,87901254.22699583,0.0,611453498.6769607,14873853.292603923,98637149.75203477,0
