Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,172191893.44780198,0.0,635747972.7782221,25722917.27109804,227515777.11037886,0
2005-02-01,92413750.72287218,0.0,636948216.4647166,31609661.212737262,128721232.43660305,0
2005-03-01,40202456.873094276,0.0,632280610.3611156,54928154.436956845,91951523.29965907,0
2005-04-01,19530545.190380577,0.0,615273120.839186,74930143.86952943,77926583.07156184,0
2005-05-01,22222208.557362698,0.0,582567683.669973,103991369.93905097,92574076.41637714,0
2005-06-01,72989256.705035,0.0,581705476.5609953,128940814.5821176,199965800.16322756,0
2005-07-01,1710953.7605931018,0.0,495677066.9910539,131905628.03389806,38753342.06671198,0
2005-08-01,21282976.25989422,0.0,487937261.63665116,106642685.99978821,113032363.84086151,0
2005-09-01,64231540.882133156,0.0,503023759.81884015,87150161.40098819,163853648.17884827,0
2005-10-01,55191516.74567054,0.0,514827902.20344925,66702727.66176471,134548141.62413374,0
2005-11-01,14742498.048569303,0.0,508104126.05634797,42629017.96849411,48187507.089009374,0
2005-12-01,7577454.372153334,0.0,522613711.6894834,23005453.25396863,45382572.94459705,0
2006-01-01,29068524.697152995,0.0,536920566.9622529,24917518.435239214,69578911.1573796,0
2006-02-01,215795.05011426573,0.0,509934177.3420341,43406615.89554512,15956429.328564648,0
2006-03-01,57253327.54605236,0.0,563407202.232275,52721718.42092549,165610288.70335945,0
2006-04-01,16150512.162189394,0.0,544793790.6103945,62378523.98141961,58227489.77158808,0
2006-05-01,1426001.2723605225,0.0,485621733.8783792,91583058.58471374,20505024.6140443,0
2006-06-01,2695381.2100461493,0.0,434192392.322044,111113150.89498039,24157778.965770997,0
2006-07-01,15304266.972564029,0.0,437098446.040055,98526481.4721647,91158572.48242345,0
2006-08-01,12012347.901293071,0.0,434752404.2891088,87593028.73221962,81584193.25829875,0
2006-09-01,37379109.08765292,0.0,453686021.5516727,53176236.3102196,107120895.63910837,0
2006-10-01,203092557.2772259,0.0,576887905.9187248,43257583.030141175,376294874.5187859,0
2006-11-01,19490277.6033572,0.0,583677865.0498012,35264066.137372576,63008932.88536489,0
2006-12-01,22294121.37764689,0.0,589109711.4238889,19373977.429678425,47967930.404290885,0
2007-01-01,76730696.2505817,0.0,612150418.2848468,18156433.29004706,120264733.60037093,0
2007-02-01,16904883.563977454,0.0,608973932.930428,60444179.53141173,76118982.77216253,0
2007-03-01,2192664.2730862387,0.0,574100334.0510181,87263447.34990591,55230424.012418315,0
2007-04-01,873184.2031800576,0.0,524152748.8487556,93144813.94545881,42598048.28564552,0
2007-05-01,7206748.156776519,0.0,508668701.31471676,105586140.98018825,95058053.92499003,0
2007-06-01,0.0,0.0,415653499.1962385,125196208.01289411,13084511.366755456,0
2007-07-01,2649808.8164314954,0.0,397201281.8652937,113441951.68054901,73917924.1574137,0
2007-08-01,15046641.880676692,0.0,410025567.10737383,103950575.45705101,112421311.09434098,0
2007-09-01,56025296.471513934,0.0,457984933.460611,87371104.31049411,191359026.8921748,0
2007-10-01,16768183.358720789,0.0,460823383.6181312,62228152.01344314,79333047.24776343,0
2007-11-01,30656573.695385687,0.0,473837718.9363038,44405999.19476078,88654629.08273433,0
2007-12-01,223310361.83884856,0.0,590588304.1397346,12551555.701701961,358417172.6886022,0
2008-01-01,96456019.14315987,0.0,636921041.9934433,11816365.624086274,157217265.47628886,0
2008-02-01,117700237.14861767,0.0,642571519.3658625,33999791.731341176,159692401.91177312,0
2008-03-01,32776874.676657315,0.0,633814739.6555983,51915541.679121554,77377862.46150155,0
2008-04-01,21865604.137547392,0.0,625709340.4655446,75598901.31894119,91318803.66371557,0
2008-05-01,6448630.477652263,0.0,583186704.4012159,97873621.30705102,63148246.26052883,0
2008-06-01,17116474.43181989,0.0,531371219.15492177,128850155.97999997,92549328.8603594,0
2008-07-01,1035639.9589218928,0.0,450450037.3583577,126674249.71992946,36362780.8894387,0
2008-08-01,8314055.59111716,0.0,434405418.7823454,112175097.60542744,85127855.44851379,0
2008-09-01,29944959.978313025,0.0,441530592.8651407,83908162.57044701,106142880.95952463,0
2008-10-01,14817193.305736301,0.0,441021305.8674365,61296425.934235275,70319123.80877616,0
2008-11-01,17396938.412744023,0.0,460942185.9309048,38731620.60993725,76909848.3442759,0
2008-12-01,89291326.38874277,0.0,559587764.0559989,15580796.417929418,206469768.34639677,0
2009-01-01,48098458.70470727,0.0,594349149.473234,10850479.36887059,95011414.2374299,0
2009-02-01,8667700.576175677,0.0,594897165.5133961,38664107.09009412,48950377.945936635,0
2009-03-01,1935504.7981562333,0.0,562003224.2219288,63844653.11725492,33450222.431134515,0
2009-04-01,57899886.069695294,0.0,583743866.4209244,67287939.88024312,148659187.7338608,0
2009-05-01,46142266.693231806,0.0,569813755.0147038,93926627.80745879,125758665.68010254,0
2009-06-01,51928259.79166347,0.0,543397442.9222208,107602795.0551451,131224172.85951948,0
2009-07-01,8609973.313932247,0.0,485233056.21530277,121933924.68782745,60694763.53259143,0
2009-08-01,2908343.9870628743,0.0,434108472.91201574,107383827.62912159,26144221.163737584,0
2009-09-01,25034271.918328475,0.0,444231024.42152876,81611549.29198436,103879215.61669633,0
2009-10-01,31432233.105251156,0.0,463438625.2661822,57220618.58278432,107721179.71921869,0
2009-11-01,13074258.572303588,0.0,465829990.0746428,46116124.98149018,59365646.133255295,0
2009-12-01,123538167.71388116,0.0,560653860.6340559,16109132.318109805,237996824.7654661,0
2010-01-01,66538270.12139828,0.0,600502018.8911963,4555855.854164706,112824349.30936979,0
2010-02-01,67815044.38621998,0.0,622244844.3934442,18455677.780031368,110272141.22779678,0
2010-03-01,47712919.557881,0.0,622959761.6220726,48105764.28858823,98367578.3827546,0
2010-04-01,42744806.562806934,0.0,620023533.2220668,81492881.09519213,123744030.1159004,0
2010-05-01,11147413.798614798,0.0,583282001.2393093,100795346.29461963,75020534.9262346,0
2010-06-01,16836174.034409758,0.0,515623665.83279055,134015217.8346353,80801939.19396698,0
2010-07-01,8241293.974630088,0.0,457740357.121966,130838083.81550592,71311493.57646301,0
2010-08-01,25098111.05930857,0.0,448826850.9866396,117627147.95963143,118163434.7910132,0
2010-09-01,981540.9577289465,0.0,416695473.9809254,96914930.81196865,32445327.97854529,0
