Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,10926814.46625205,0,49970075.47669546,9117385.077696323,23374608.81683385,0.0
2005-02-01,3940695.0513821,0,50325594.30121918,13347375.217895826,17757554.509551704,0.0
2005-03-01,0.0,0,43392844.71017093,15635292.246692901,8565955.903908117,0.0
2005-04-01,388.93102078444457,0,37736125.79105886,17027209.390560295,11172444.37570247,3005.169897902789
2005-05-01,0.0,0,27839600.170114465,19206134.993355136,8528942.222570224,7813.441812603927
2005-06-01,0.0,0,21894982.92907547,9898087.90512256,2926119.0243850434,12020.679591611157
2005-07-01,29089.21117540295,0,25523321.344860587,8258377.292442163,11539700.120153258,15626.883625207854
2005-08-01,179056.17619757948,0,26824770.19873249,7756938.16969437,9165254.023409799,12621.713911582245
2005-09-01,3308883.187507131,0,36228077.1352549,5531972.803294855,18517631.63460465,6010.339795805578
2005-10-01,6850.546782859317,0,32949588.76949791,17612399.122903433,14052286.28215815,3005.169897902789
2005-11-01,0.0,0,23525268.422182616,12838209.836405892,1911546.8894424953,0.0
2005-12-01,0.0,0,20234400.360336117,4370573.013710789,275663.95907608507,0.0
2006-01-01,0.0,0,19975843.730902743,4309659.407085291,3863061.4439149587,0.0
2006-02-01,0.0,0,15341278.929048778,6702176.270008092,360451.52945116203,0.0
2006-03-01,0.0,0,21321419.87821922,10351689.27299951,16518207.934558004,0.0
2006-04-01,0.0,0,18623787.80336193,5402978.553216427,2249155.598861411,3192.1033594440005
2006-05-01,0.0,0,15642646.246430144,6760688.905237994,2220392.1635003584,8299.468713077005
2006-06-01,0.0,0,15333483.158231054,5768886.842736521,4302708.471323346,12768.413437776002
2006-07-01,8286.956610651072,0,21886514.547646295,5636578.280734072,12187538.818368685,16598.93742615401
2006-08-01,369917.1364919317,0,26736102.757494148,5743188.537808828,10782831.407614093,13406.834279274819
2006-09-01,1059582.4668138067,0,30360483.079690676,6180246.591002945,10662185.465234334,6384.206718888001
2006-10-01,8305078.374512848,0,41828719.67402533,10707170.017233588,31075272.20363529,3192.1033594440005
2006-11-01,0.0,0,36505613.54994113,8607923.206289718,3187817.995776092,0.0
2006-12-01,717571.3714686609,0,41128952.17958847,4977635.519005145,10483984.67549595,0.0
2007-01-01,1362401.5866113184,0,41973133.03099994,6514292.908783825,8823238.583092468,0.0
2007-02-01,0.0,0,36711369.29270658,12767531.823192397,7268214.478568021,0.0
2007-03-01,0.0,0,31628328.062647317,14161983.613985788,8668828.164579391,0.0
2007-04-01,0.0,0,19794343.93487562,18804731.896316417,5415074.445369482,3093.25788269722
2007-05-01,0.0,0,25550077.572456982,10964353.873594126,16629654.05783404,8042.470666848543
2007-06-01,0.0,0,20749452.617293514,8284257.724984315,1636685.2691444673,12373.03153078888
2007-07-01,24819.25841537117,0,23900519.79620261,6969147.68938456,9739085.354819493,16084.941333697087
2007-08-01,273493.3707862106,0,26359288.74886299,6224114.024446571,8504976.384958155,12991.683181567892
2007-09-01,2491245.078901596,0,32082566.95190522,11046486.744478676,19258178.659348127,6186.51576539444
2007-10-01,0.0,0,24957867.64276853,12257794.955909323,3461427.492065807,3093.25788269722
2007-11-01,3664.3335191079677,0,29118821.80567662,6995347.749625494,11246547.864428934,0.0
2007-12-01,2125796.6427304354,0,36308827.43941333,8542225.165810792,18096750.452369645,0.0
2008-01-01,10095677.395386295,0,45263377.85516613,5115707.6201188695,24852062.81736123,0.0
2008-02-01,12171821.148016227,0,49631081.470132396,9044784.480018387,26214633.08791593,0.0
2008-03-01,0.0,0,37228243.947111644,12832075.544603202,69346.71552191763,0.0
2008-04-01,0.0,0,30491324.98989027,11854497.63859879,4925428.075737203,3037.7308801085596
2008-05-01,0.0,0,28765750.623814847,8827672.914825981,6939585.573223445,7898.100281759197
2008-06-01,0.0,0,22158196.380496502,10661251.44410564,3481599.4512767177,12150.923520434239
