Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,19606966.510183353,0,51954306.84637847,2378334.6152899526,23374608.81683385,0.0
2005-02-01,14373977.755262172,0,52163787.60433801,2779499.672263974,17757554.509551704,0.0
2005-03-01,3550821.43438405,0,52039848.87036022,4984377.055165686,8565955.903908117,0.0
2005-04-01,3137669.963242797,0,51186509.66265383,8818251.402320594,11172444.37570247,3005.169897902789
2005-05-01,1971133.426680456,0,48919802.31093724,8862670.764018385,8528942.222570224,7813.441812603927
2005-06-01,143280.91061482407,0,43716334.491300866,8213961.379665197,2926119.0243850434,12020.679591611157
2005-07-01,2182446.6192307356,0,44287338.70311178,8864739.690986767,11539700.120153258,15626.883625207854
2005-08-01,2766061.5359981414,0,43807009.11187194,6598044.8488009805,9165254.023409799,12621.713911582245
2005-09-01,9960282.251510872,0,47158852.250277996,4962172.88667525,18517631.63460465,6010.339795805578
2005-10-01,6190285.289843529,0,48256281.18087859,6532921.103133825,14052286.28215815,3005.169897902789
2005-11-01,129089.64771482913,0,46027388.17793209,4167967.1667284314,1911546.8894424953,0.0
2005-12-01,5453.46020844624,0,43682907.19623196,2798618.1571058794,275663.95907608507,0.0
2006-01-01,504633.0241973751,0,44374931.15863701,2635235.812104901,3863061.4439149587,0.0
2006-02-01,23558.237121393006,0,42215426.006907426,2750326.625541176,360451.52945116203,0.0
2006-03-01,7749335.9378934745,0,47338165.32276642,3276998.195591671,16518207.934558004,0.0
2006-04-01,169383.10264823795,0,44423302.52363173,5159997.807353926,2249155.598861411,3192.1033594440005
2006-05-01,194115.90489003138,0,42372169.84575831,4496431.654274023,2220392.1635003584,8299.468713077005
2006-06-01,704528.9414911944,0,41664834.048496254,4762446.318373532,4302708.471323346,12768.413437776002
2006-07-01,4648433.640623008,0,43994098.480526365,5147047.73640784,12187538.818368685,16598.93742615401
2006-08-01,4501418.981957672,0,44667653.75657955,5731916.715931373,10782831.407614093,13406.834279274819
2006-09-01,5557110.547208734,0,45738617.39052191,3996619.419519118,10662185.465234334,6384.206718888001
2006-10-01,22584793.28668382,0,49864253.08299341,3600790.4289705893,31075272.20363529,3192.1033594440005
2006-11-01,625488.824915354,0,48677924.52308165,3728132.79835147,3187817.995776092,0.0
2006-12-01,6475566.480975664,0,50075127.92637544,2415216.3034622543,10483984.67549595,0.0
2007-01-01,5871736.226117084,0,50549487.93885379,2306456.3951022075,8823238.583092468,0.0
2007-02-01,3860261.6651324145,0,50712620.59924087,3089334.7958357884,7268214.478568021,0.0
2007-03-01,4049467.3360669264,0,50491733.25487922,4777412.344104656,8668828.164579391,0.0
2007-04-01,834095.6251418042,0,48722259.61519968,6322998.7975850515,5415074.445369482,3093.25788269722
2007-05-01,8712382.272636369,0,50360021.25914049,6099272.3095696075,16629654.05783404,8042.470666848543
2007-06-01,123905.08521266734,0,45480978.33308587,6759289.901607589,1636685.2691444673,12373.03153078888
2007-07-01,2226634.0382304573,0,46028248.45172068,7213218.916422059,9739085.354819493,16084.941333697087
2007-08-01,2593932.6774742976,0,45634851.19932982,6647296.208313721,8504976.384958155,12991.683181567892
2007-09-01,11218735.634745145,0,48624902.59283244,4878437.596611275,19258178.659348127,6186.51576539444
2007-10-01,476985.9735802707,0,46441813.759011075,5408057.6339875,3461427.492065807,3093.25788269722
2007-11-01,5734831.735859254,0,48431528.13383558,3312790.679680884,11246547.864428934,0.0
2007-12-01,14153931.711855529,0,50123480.624559455,1850649.9809438728,18096750.452369645,0.0
2008-01-01,19771631.93347942,0,51385794.315065265,3124691.9835622543,24852062.81736123,0.0
2008-02-01,15371227.618268002,0,51861018.89769543,9839563.834509311,26214633.08791593,0.0
2008-03-01,0.0,0,48379549.783648446,3673423.9634960797,69346.71552191763,0.0
2008-04-01,326882.74836076685,0,47725739.12887224,5290819.16875662,4925428.075737203,3037.7308801085596
2008-05-01,1422188.413981263,0,47447376.07796288,5844501.62139853,6939585.573223445,7898.100281759197
2008-06-01,371103.90468977607,0,44101720.02185516,6652802.2942149555,3481599.4512767177,12150.923520434239
2008-07-01,392546.40113995905,0,41066611.78129807,6544150.509079416,3718293.5966224703,15796.200563518394
2008-08-01,2312577.091760846,0,42163893.78393828,6750684.796714218,10017368.111964442,12758.469704329766
2008-09-01,307881.3023544813,0,40282764.07675755,4656465.3964701025,2691154.919914176,6075.461760217119
2008-10-01,1322123.261751346,0,40207757.88927305,3869263.9608169124,4845353.084931549,3037.7308801085596
2008-11-01,5003126.647391983,0,43736463.7625752,2832087.868939216,11710453.132339146,0.0
2008-12-01,27872274.34393294,0,51014832.425672844,1702872.222753677,37855947.719332375,0.0
2009-01-01,4861002.563533183,0,51098514.61847991,2094392.1964698497,7164444.349244332,0.0
2009-02-01,3130115.224994291,0,51171165.532643,2954295.0218365225,6256677.801721231,0.0
2009-03-01,162624.86090673678,0,48824536.4095566,4108533.2435019603,1857928.137457265,0.0
