Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,2539894.479570279,0,34207051.37900061,6776655.292933333,19470895.33740699,0.0
2005-02-01,2828275.5479918355,0,38670050.666686736,9396896.941396076,19282992.949189845,0.0
2005-03-01,32164.571607542763,0,31912802.275449112,14307708.705254901,8827758.341327444,0.0
2005-04-01,0.0,0,25091747.622005872,15974694.350737257,9138943.97652291,614.1421363869205
2005-05-01,0.0,0,17562465.451520503,15558794.591592154,5661639.645118,1596.7696224944957
2005-06-01,0.0,0,14411889.035132958,10038804.5740549,3945368.286417273,2456.568545547682
2005-07-01,0.0,0,13034264.062851254,12216242.444141176,8788216.468731305,3193.5392449889914
2005-08-01,0.0,0,11536018.871613441,9055193.685278432,4670339.703497514,2579.3970407135685
2005-09-01,124452.50059058206,0,14957529.867098358,8189358.302556863,13031163.55530718,1228.284272773841
2005-10-01,343540.4853196631,0,15384555.384384936,12717103.232792158,14070113.43277366,614.1421363869205
2005-11-01,0.0,0,13368665.768384263,6396295.743529412,2000496.6344633738,0.0
2005-12-01,0.0,0,11573355.758818926,5222069.467309804,317626.849065163,0.0
2006-01-01,0.0,0,10146132.600887403,6768892.1048470605,2354872.8841771404,0.0
2006-02-01,0.0,0,7857632.233258214,7970207.236321569,237718.1183790089,0.0
2006-03-01,262592.3125433947,0,13110433.142510526,9745842.924015688,17718404.864929583,0.0
2006-04-01,0.0,0,8128779.411760197,10649096.078235293,1960485.3492011104,728.4325661456738
2006-05-01,0.0,0,5824840.682163392,10556288.740501963,1693050.10773404,1893.9245226240466
2006-06-01,0.0,0,5049514.037971876,9192551.218917647,3559238.8589830697,2913.7302645826953
2006-07-01,48352.94169967079,0,6800863.45572605,9484425.19067451,11174973.654688777,3787.8490452480933
2006-08-01,0.0,0,6316616.392868673,11978125.777247058,9159278.76097336,3059.416275436912
2006-09-01,0.0,0,4728709.114856479,11764236.6172,5960714.7580219,1456.8651322913477
2006-10-01,990846.3936863665,0,20513981.001337834,10900943.099992156,31397641.203970723,728.4325661456738
2006-11-01,0.0,0,15602375.122336468,7306277.564384317,2727869.0434432686,0.0
2006-12-01,339889.19303529186,0,18305555.67942207,6487852.205294116,10823110.22697044,0.0
2007-01-01,0.0,0,15505737.975269973,9533252.214439215,7861667.7996095205,0.0
2007-02-01,158360.08903790158,0,12261599.505027562,12537565.782854905,9161995.036209194,0.0
2007-03-01,0.0,0,7193197.770637935,14078556.34711373,4840130.869194608,0.0
2007-04-01,0.0,0,4715300.664581339,15258699.991254905,5080300.5040257005,674.268471188677
2007-05-01,0.0,0,5309992.242634164,15779886.93919216,16341203.348916944,1753.0981065567632
2007-06-01,0.0,0,4441136.907038631,8803477.593545098,1619513.5329660487,2697.073884754708
2007-07-01,0.0,0,4179937.5024302,10661171.648721568,7210553.354309027,3506.1962131135265
2007-08-01,0.0,0,4233443.499454543,11182517.739772547,7071514.6828710735,2831.9276061478445
2007-09-01,0.0,0,9061073.951881435,10383655.066886274,17204120.328229167,1348.536942377354
2007-10-01,0.0,0,5768920.767966847,10025221.30164706,4759155.54828703,674.268471188677
2007-11-01,218393.23822183302,0,9805560.306910945,5850896.441356861,11567883.882777363,0.0
2007-12-01,662202.7045522167,0,14369141.930779604,5520156.425623529,12304688.122783907,0.0
2008-01-01,1606439.1598609935,0,30440135.87312992,4707670.174470589,25701706.302171126,0.0
2008-02-01,1190213.6992824124,0,37315055.02573062,9978508.945498038,21195604.672026917,0.0
2008-03-01,0.0,0,23175145.608272817,14462334.770603921,415469.6832674458,0.0
2008-04-01,0.0,0,15998477.461335206,13866257.33134902,5960317.098051247,634.6357065292218
2008-05-01,0.0,0,10939811.346352084,14888871.5324,7571257.305947064,1650.0529999083828
2008-06-01,0.0,0,8364220.277201621,8222770.131937255,2400909.4291044297,2538.542826116887
2008-07-01,0.0,0,5680512.528150367,11015047.801513724,3036357.9369794265,3300.1059998167657
2008-08-01,0.0,0,7564780.047680507,9868392.93407843,12093028.382605566,2665.4698859565287
2008-09-01,0.0,0,5054386.172884862,9225977.811952941,2052175.8258927453,1269.2714130584436
2008-10-01,0.0,0,4687211.8281143615,8729685.945717648,4921300.525802188,634.6357065292218
2008-11-01,0.0,0,8078964.240899908,5991221.096525489,10454756.770223819,0.0
2008-12-01,661518.0016027377,0,18743516.800413705,6610951.994666667,21156206.644140325,0.0
2009-01-01,0.0,0,12255685.708747469,9147144.787968628,2894304.313626627,0.0
2009-02-01,66027.810958521,0,9891537.822145628,9781792.28290196,6071782.77785407,0.0
2009-03-01,0.0,0,6241182.261694159,11759683.804415686,1573966.0029773056,0.0
2009-04-01,0.0,0,5069484.145091838,11127322.100729408,5471066.448721682,532.5767822126058
2009-05-01,224469.12386126976,0,8855947.664553648,9806966.543490196,15251517.720353464,1384.699518342321
2009-06-01,45065.18718825978,0,6921738.494463188,8136442.834776468,3331989.6969640856,2130.3071288504234
2009-07-01,0.0,0,5527168.305997837,5491405.960564705,579675.0789781513,2769.399036684642
2009-08-01,0.0,0,4943570.834758766,7304401.694196078,1547105.3928469187,2236.822559970298
2009-09-01,0.0,0,4881295.846130773,6771206.65282353,3015387.8328687106,1065.1535644252117
2009-10-01,0.0,0,5094420.863443969,6354316.699325491,4696703.878375265,532.5767822126058
2009-11-01,52599.20405300914,0,4958196.77991004,6448283.68192941,4066475.6052065548,0.0
2009-12-01,814293.4883159881,0,16470256.96244586,6460094.113811764,22126806.02109318,0.0
2010-01-01,1146984.1324521033,0,29801686.66813724,8210107.586415688,26507320.076082114,0.0
2010-02-01,75236.48476429653,0,27829688.571467273,10760483.29225098,10222565.146168971,0.0
2010-03-01,403027.3910819494,0,28341663.425654538,14027922.142054906,16597605.493221126,0.0
2010-04-01,0.0,0,19357427.291092522,11175041.971074507,2527700.0341117475,519.5788155770891
2010-05-01,0.0,0,12264718.736933809,9253889.3811451,486779.1062105646,1350.9048933450306
2010-06-01,0.0,0,11290917.959922126,5053755.281576471,2583177.5217445623,2078.3152623083565
2010-07-01,0.0,0,11207412.709931467,7596288.0692941155,7376923.487205463,2701.809786690061
2010-08-01,142207.11599414423,0,15039475.116840286,13886650.004250973,20307402.64482865,2182.231106889977
2010-09-01,121063.93702242643,0,13452753.552058026,10060421.740949022,8498656.458601218,1039.1576311541783
2010-10-01,534601.3199500424,0,15287499.4669378,10727391.683043137,14485803.754419288,519.5788155770891
2010-11-01,0.0,0,13225906.761320671,5929632.050862744,2853023.8561258004,0.0
2010-12-01,2049875.0750267417,0,34126865.417790465,5190772.256862746,32298873.24702616,0.0
2011-01-01,0.0,0,25102725.613422617,9148653.576486275,201331.3851740748,0.0
2011-02-01,0.0,0,18141179.20310058,11189554.235631373,4688237.8292943165,0.0
2011-03-01,0.0,0,11367939.194373636,13055747.1836,1911571.1503296006,0.0
2011-04-01,0.0,0,10478021.469102373,11978291.986384315,9279305.274363665,594.8155017143263
2011-05-01,0.0,0,10309894.261774382,10254556.850180391,9640158.957706619,1546.5205895889592
2011-06-01,0.0,0,8999581.37340564,3929807.3188156863,0.0,2379.262006857305
2011-07-01,74685.04235440835,0,16871127.699518073,4405173.1748156855,13790018.929546319,3093.0411791779184
2011-08-01,178556.72903358797,0,14376218.416729944,9132569.665003924,6443531.413594693,2498.2252022440744
2011-09-01,133194.0644462624,0,12133191.47584031,12720134.758517647,9314966.393660678,1189.6310034286525
2011-10-01,341645.3594807935,0,12532981.248778304,9938750.309411764,11353678.750104256,594.8155017143263
2011-11-01,0.0,0,12084027.179268735,6268218.974188236,4934408.056052984,0.0
2011-12-01,329055.9914800075,0,13948612.641304739,5048360.343921569,8396405.009823363,0.0
2012-01-01,202446.71199831885,0,13759077.564219393,6633979.574164705,6564309.71414773,0.0
2012-02-01,481257.3683800468,0,15833845.408017244,9219038.013105882,13041791.258830082,0.0
2012-03-01,6273.618008985611,0,13336504.968338951,11894768.588180391,6147626.884829437,0.0
2012-04-01,0.0,0,11015136.972317789,8962060.967113728,1966640.098752221,600.3094466687469
2012-05-01,0.0,0,8260811.682060072,8455993.307850983,0.0,1560.8043305178335
