Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,57762784.510977104,1577128.0726118006,104523604.7760244,8649811.385770341,69177718.87998733,0.0
2005-02-01,49424310.44030152,0.0,105084805.2104182,11368894.297696572,61354405.17239188,0.0
2005-03-01,7935683.794153079,0.0,102519410.95151591,25939373.274533547,31309662.80978433,0.0
2005-04-01,12839491.967237353,0.0,102731272.5440087,29615352.026022095,42525657.36075031,141048.22500192013
2005-05-01,29385.893887102204,0.0,80311184.97616215,40011387.495060086,17253960.43479591,366725.38630456466
2005-06-01,140000.49551346916,0.0,62111751.59924743,39422274.12857298,20661236.986510523,564192.9000076805
2005-07-01,176203.19832608892,0.0,45172245.22841056,34542124.9051456,13723925.312780404,733450.7726091293
2005-08-01,135130.67606348632,0.0,36564277.38506316,37939162.65368996,22779931.76558185,592402.5601872714
2005-09-01,33492.54687718056,0.0,27918389.817048986,25606460.704150748,6175904.702098204,282096.45000384026
2005-10-01,346675.531627836,0.0,34379563.139304064,20517384.437382855,26769432.02260107,141048.22500192013
2005-11-01,907.2489081586231,0.0,29367460.28504211,13530647.350333089,4844558.034738521,0.0
2005-12-01,175472.23651120224,0.0,34992710.94680841,9587878.678764692,15310858.507457515,0.0
2006-01-01,115055.38351821201,0.0,36390751.06900726,13142498.461588738,14137963.611241966,0.0
2006-02-01,211750.43535123716,0.0,35041709.47653342,17691631.541674286,15174081.686838519,0.0
2006-03-01,8581187.190077858,0.0,79105787.44774638,25850659.880122557,78495925.04141346,0.0
2006-04-01,117255.19716705126,0.0,60533931.815428294,32479225.751623772,13860845.10299357,163780.21347913827
2006-05-01,0.0,0.0,31160041.21251884,38297602.51161452,266923.19825046347,425828.5574279532
2006-06-01,22636.207811851702,0.0,22936623.720409784,29559400.910412036,3515689.6924734428,655120.8539165531
2006-07-01,827506.7912177949,0.0,31078889.29774719,28325948.07034511,34886209.43613766,851657.1148559063
2006-08-01,85622.77746022434,0.0,20749855.310930632,34275855.161521085,468097.55403241626,687876.8943640467
2006-09-01,37119.92870674574,0.0,17692178.53832263,23065282.77726447,3824427.7561204988,327560.42695827654
2006-10-01,862729.0768753401,0.0,35072678.9348237,20095321.69106153,38174631.951557636,163780.21347913827
2006-11-01,0.0,0.0,26171974.423402444,10870597.382444128,848882.4097621938,0.0
2006-12-01,1958957.18814479,0.0,45979901.06008605,8081460.164591674,29848343.989420075,0.0
2007-01-01,221389.36824107912,0.0,44530163.61950531,10732537.921999015,9499046.25444143,0.0
2007-02-01,1172783.5297888622,0.0,49150384.722291745,17556270.96467451,23284670.20896241,0.0
2007-03-01,2271.3821086983125,0.0,33984463.247364186,30826231.114872087,12082589.946881805,0.0
2007-04-01,697114.4219414038,0.0,36068955.217518546,33707069.02662648,32685178.770461325,160654.0019403807
2007-05-01,14896.326049499325,0.0,23153141.53764979,33933752.55018361,1422577.2342862487,417700.39926455484
2007-06-01,107688.52612616884,0.0,19910831.6099374,25279455.19487623,3391814.7872183076,642616.0077615228
2007-07-01,333826.1481739168,0.0,20284729.179834012,21934604.82218087,11696018.602766275,835400.7985291097
2007-08-01,234897.03730150705,0.0,18995997.134220373,26807746.39462374,9840787.333063439,674746.7961622548
2007-09-01,1849223.4626223731,0.0,29265411.47127992,23202608.055063248,34158356.80024913,321308.0038807614
2007-10-01,11060.7797479546,0.0,22117100.875876404,15631687.929202935,635196.2925944485,160654.0019403807
2007-11-01,906497.4716417614,0.0,26212974.322092764,10669885.382084293,15080220.242959091,0.0
2007-12-01,6812152.255275924,0.0,65403890.461549565,4549723.20337622,50552791.59810892,0.0
2008-01-01,29374726.23017353,0.0,101309842.74241346,1646207.2626781869,66926885.77371587,0.0
