Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,61426222.14423857,1918592.5978112693,104921714.06987837,5192132.137516915,69177718.87998733,0.0
2005-02-01,49205230.31990843,0.0,105455237.04924002,11615651.873121805,61354405.17239188,0.0
2005-03-01,14121991.190742385,0.0,104800704.05261213,17842204.615669854,31309662.80978433,0.0
2005-04-01,15009567.178416993,0.0,104471713.52111529,27986128.93883213,42525657.36075031,141048.22500192013
2005-05-01,38930.76700140033,0.0,79138706.20296903,42914762.37224537,17253960.43479591,366725.38630456466
2005-06-01,66597.98542175852,0.0,68518118.37679915,31779419.727266405,20661236.986510523,564192.9000076805
2005-07-01,260828.47491556226,0.0,54683183.57901511,28049538.011564992,13723925.312780404,733450.7726091293
2005-08-01,252354.73474319594,0.0,49880397.94443787,28259450.68686937,22779931.76558185,592402.5601872714
2005-09-01,0.0,0.0,33458959.489206128,28283477.906718634,6175904.702098204,282096.45000384026
2005-10-01,127169.957083872,0.0,39168614.48252631,21264835.463711776,26769432.02260107,141048.22500192013
2005-11-01,0.0,0.0,32720255.90184156,14294697.010974495,4844558.034738521,0.0
2005-12-01,1331.356851686649,0.0,39764325.00509538,8269444.298606113,15310858.507457515,0.0
2006-01-01,48633.45147038927,0.0,46057653.24071696,7796001.924149998,14137963.611241966,0.0
2006-02-01,10600.963891035894,0.0,46451403.69537119,14770830.149003683,15174081.686838519,0.0
2006-03-01,7941522.414830443,0.0,88120102.31282462,28885704.00912965,78495925.04141346,0.0
2006-04-01,0.0,0.0,72548272.56711283,29597833.599449992,13860845.10299357,163780.21347913827
2006-05-01,0.0,0.0,46331472.94538443,27278742.012948032,266923.19825046347,425828.5574279532
2006-06-01,8267.175744014145,0.0,30137500.07505727,27004624.27994903,3515689.6924734428,655120.8539165531
2006-07-01,490701.7307212298,0.0,37992425.56656317,27975655.942388467,34886209.43613766,851657.1148559063
2006-08-01,135829.00991611014,0.0,27661692.015817143,23695096.78680073,468097.55403241626,687876.8943640467
2006-09-01,15062.070947402279,0.0,21907002.193225015,22780776.500487283,3824427.7561204988,327560.42695827654
2006-10-01,185747.375075815,0.0,31738753.72310168,28471503.018536504,38174631.951557636,163780.21347913827
2006-11-01,0.0,0.0,23109802.605934545,13066703.747504424,848882.4097621938,0.0
2006-12-01,122352.2840906734,0.0,45937349.465512715,6898444.845751231,29848343.989420075,0.0
2007-01-01,50495.38293758042,0.0,48451010.980846256,6934889.35617034,9499046.25444143,0.0
2007-02-01,336176.3016778087,0.0,57909381.445530355,13490123.442600502,23284670.20896241,0.0
2007-03-01,35253.15808419667,0.0,49213647.946225986,20806044.150908086,12082589.946881805,0.0
